Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39832947.3082,-0.06429002,-0.2731074,3.331811,-0.07408711,-0.2341314,3.372276,-0.07427311,0.0005086458,3.370598,-0.05967806,0.1425407,3.342349,-0.2115652,-0.07686292,3.333479,-0.3688303,-0.05708669,3.309312,-0.5055547,-0.1393907,3.236872,-0.5537135,-0.1626521,3.210489,0.0596943,-0.03243554,3.402285,0.2176219,-0.01370404,3.36363,0.3689992,-0.01379614,3.307006,0.4293557,-0.02734352,3.293075,-0.1209045,-0.3373766,3.302345,-0.1149492,-0.6471995,3.307599,-0.09621125,-0.8563949,3.297443,-0.1314354,-0.9194239,3.315537,-0.003070599,-0.3370549,3.339085,-0.0201115,-0.644456,3.313311,-0.006871708,-0.8714296,3.321846,0.003861864,-0.9179263,3.28762,106,Draw-a-circle,
39832977.3099,-0.06320649,-0.2735809,3.332408,-0.07319178,-0.2345547,3.372732,-0.07375655,6.041551E-05,3.370535,-0.05963378,0.1411726,3.341137,-0.2106995,-0.07698259,3.333794,-0.3687274,-0.05531774,3.30998,-0.506075,-0.1395168,3.23607,-0.5520048,-0.1623692,3.211793,0.06046538,-0.03308612,3.403068,0.2478513,-0.01678368,3.355434,0.4182898,-0.04877621,3.304402,0.4510363,-0.02501914,3.280742,-0.1194579,-0.3383003,3.302887,-0.1148975,-0.6469842,3.307469,-0.09625413,-0.8556298,3.296138,-0.1374868,-0.9153237,3.312793,-0.001854273,-0.3371934,3.340094,-0.01867076,-0.6434839,3.312559,-0.008861623,-0.8688621,3.319705,0.01220171,-0.9142201,3.285557,106,Draw-a-circle,
39833013.3119,-0.06309944,-0.2738129,3.333073,-0.07324675,-0.2349061,3.373409,-0.0737463,-0.0005706708,3.371475,-0.05763106,0.1413823,3.341687,-0.2100834,-0.07690513,3.334593,-0.3746213,-0.04321431,3.311722,-0.5016652,-0.1425192,3.239712,-0.5487109,-0.1698349,3.210143,0.06412935,-0.03576797,3.405412,0.2329796,-0.0247413,3.356806,0.4145378,-0.06029204,3.300756,0.4486833,-0.07455673,3.271999,-0.1195528,-0.3384921,3.303742,-0.1148731,-0.6476935,3.307006,-0.09726803,-0.8713248,3.293212,-0.1121606,-0.9218603,3.277352,-0.001545307,-0.337563,3.340446,-0.01828302,-0.6450492,3.312997,-0.006727771,-0.8773305,3.322392,0.01081313,-0.9166132,3.287364,106,Draw-a-circle,
39833046.3138,-0.06285828,-0.2737646,3.333405,-0.07309719,-0.2351276,3.373785,-0.07416943,-0.001434616,3.372893,-0.05639014,0.1399617,3.341288,-0.2097569,-0.07715049,3.334792,-0.3655583,-0.103397,3.29828,-0.4948773,-0.1756044,3.241714,-0.5470495,-0.2012298,3.209029,0.06465589,-0.03649759,3.406099,0.2151153,-0.05390139,3.352248,0.4151719,-0.08983485,3.296497,0.4331577,-0.1192933,3.264794,-0.1193243,-0.3384932,3.303704,-0.1146041,-0.6474789,3.307751,-0.09549045,-0.8737783,3.293496,-0.1132062,-0.9230356,3.276558,-0.001000407,-0.3375767,3.340993,-0.01829666,-0.6444491,3.313002,-0.01049973,-0.8745738,3.32166,0.008364785,-0.9146057,3.279372,106,Draw-a-circle,
39833077.3156,-0.06268781,-0.2743989,3.333876,-0.07279722,-0.2356049,3.374225,-0.07379675,-0.001554816,3.373,-0.05527273,0.1404791,3.341068,-0.2091589,-0.07811278,3.335675,-0.3861372,-0.1472572,3.281094,-0.5075154,-0.2315596,3.22349,-0.5013909,-0.2328491,3.212714,0.06558715,-0.03738812,3.406314,0.2137046,-0.06907536,3.352498,0.3416774,-0.136722,3.286326,0.3945791,-0.1709391,3.279149,-0.1193164,-0.3390937,3.303936,-0.1148281,-0.6467996,3.308435,-0.09447813,-0.862569,3.297527,-0.1156358,-0.9122884,3.287171,-0.0007709646,-0.3389092,3.341907,-0.01805681,-0.6449511,3.31343,-0.01188258,-0.8728053,3.322351,0.01033373,-0.9135888,3.2792,106,Draw-a-circle,
39833113.3177,-0.06202369,-0.2767525,3.33438,-0.0716446,-0.2377318,3.375085,-0.07311147,-0.002071879,3.375181,-0.05408854,0.1422132,3.342381,-0.2078975,-0.08032844,3.33765,-0.3629141,-0.1656163,3.291446,-0.448446,-0.2765312,3.21441,-0.4616198,-0.2856472,3.204298,0.06506291,-0.04692481,3.402549,0.2331992,-0.1328764,3.338336,0.3557258,-0.2211737,3.292377,0.4060227,-0.2569602,3.277851,-0.1187201,-0.3404204,3.303901,-0.1154236,-0.647582,3.308392,-0.1004218,-0.869537,3.296935,-0.122699,-0.9186041,3.311581,-0.000354128,-0.3409272,3.342122,-0.01925585,-0.6468112,3.313635,-0.01180862,-0.8803911,3.324441,0.004564464,-0.9223291,3.292819,106,Draw-a-circle,
39833145.3195,-0.06124137,-0.2795547,3.335371,-0.07065688,-0.2408786,3.376504,-0.07393857,-0.004427993,3.379126,-0.05569975,0.142089,3.343288,-0.2061172,-0.0848735,3.340783,-0.3207207,-0.1970399,3.294093,-0.396815,-0.3083897,3.207116,-0.4236598,-0.3550646,3.193073,0.06501929,-0.05188274,3.402324,0.2148993,-0.1568546,3.342021,0.309892,-0.2743086,3.296202,0.3377438,-0.3288166,3.279624,-0.117594,-0.3425109,3.304688,-0.1156442,-0.6487703,3.310066,-0.1004633,-0.8690907,3.297388,-0.1216879,-0.9166495,3.315119,0.0004172604,-0.342782,3.342238,-0.02009913,-0.6472195,3.313572,-0.01178,-0.8738213,3.323765,0.01244557,-0.9161351,3.290811,106,Draw-a-circle,
39833177.3213,-0.06060863,-0.2830812,3.335691,-0.06985729,-0.2431754,3.376951,-0.07350633,-0.004098625,3.379467,-0.05781423,0.1446261,3.34634,-0.2044102,-0.08437284,3.342888,-0.3055294,-0.1999545,3.289539,-0.3476708,-0.3376492,3.19393,-0.3771822,-0.3897633,3.173069,0.06506246,-0.0553079,3.401479,0.2035237,-0.1804766,3.351278,0.2843949,-0.3207636,3.286211,0.32546,-0.3668658,3.285662,-0.1164128,-0.3452772,3.305927,-0.1154812,-0.6498693,3.310895,-0.09956908,-0.877136,3.298807,-0.1202753,-0.9280938,3.297733,0.0003024585,-0.3449934,3.341848,-0.02069337,-0.6484677,3.31341,-0.009839807,-0.8721641,3.323202,0.001890422,-0.9171387,3.286458,106,Draw-a-circle,
39833213.3234,-0.06062321,-0.2878182,3.336082,-0.07015712,-0.246362,3.377502,-0.07339334,-0.003079378,3.380711,-0.05783844,0.1457277,3.347197,-0.2018491,-0.08445971,3.341732,-0.2867965,-0.2084529,3.271475,-0.3349802,-0.3458953,3.199007,-0.3458856,-0.3996615,3.167187,0.0653777,-0.05865598,3.401663,0.1961763,-0.1916482,3.348316,0.2764327,-0.3296838,3.2764,0.3063142,-0.380138,3.271463,-0.1157002,-0.3508437,3.306649,-0.1154952,-0.6505539,3.311393,-0.09822142,-0.8811008,3.297348,-0.1217271,-0.9308359,3.297941,-0.000210855,-0.3471805,3.341872,-0.02109525,-0.6498917,3.313536,-0.007861907,-0.8818778,3.326847,0.008275175,-0.9214762,3.292235,106,Draw-a-circle,
39833245.3252,-0.06134388,-0.2898071,3.336286,-0.07079528,-0.2478352,3.377711,-0.07364957,-0.002518918,3.380831,-0.05786015,0.1463768,3.347435,-0.2005735,-0.08521208,3.340721,-0.2845667,-0.2094738,3.271125,-0.3361558,-0.3460162,3.198047,-0.363551,-0.397381,3.172875,0.06488331,-0.06015604,3.400321,0.194933,-0.1919529,3.346465,0.2767115,-0.327101,3.2771,0.3063015,-0.3775663,3.274521,-0.1161608,-0.3517623,3.306835,-0.115978,-0.6503804,3.311975,-0.1014755,-0.865115,3.294401,-0.1290597,-0.9126366,3.297076,-0.00130071,-0.3498689,3.342416,-0.02107386,-0.6499539,3.313558,-0.01128584,-0.8728553,3.320085,0.01117256,-0.9181798,3.290163,106,Draw-a-circle,
