Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39876961.7867,0.01736136,-0.3071675,3.355458,0.00437772,-0.263353,3.395789,0.008398352,-0.00648819,3.398964,0.02416535,0.1487093,3.365123,-0.1132441,-0.09089105,3.3562,-0.1963892,-0.2561016,3.302716,-0.2322875,-0.4073849,3.285777,-0.2477266,-0.4534444,3.273293,0.1479369,-0.07715821,3.443651,0.2559161,-0.2159573,3.394315,0.331858,-0.3479912,3.344432,0.3471158,-0.3933628,3.328703,-0.03787617,-0.3672864,3.323491,-0.08251417,-0.6592152,3.301489,-0.1119133,-0.8531256,3.295708,-0.09321848,-0.8779907,3.239735,0.07597823,-0.3707377,3.365337,0.06434852,-0.6539019,3.339683,0.03309451,-0.8617762,3.328871,0.04323123,-0.9078838,3.279077,106,Draw-the-letter-C,
39876993.7886,0.01801259,-0.308932,3.354761,0.004310992,-0.2647075,3.394995,0.008378241,-0.006459043,3.398722,0.02582836,0.1492204,3.363154,-0.1113166,-0.0906432,3.352312,-0.1957207,-0.2567596,3.298163,-0.2347174,-0.4071984,3.279717,-0.2476817,-0.4537762,3.265244,0.148272,-0.07756673,3.443641,0.2540248,-0.2158795,3.390807,0.3307597,-0.3496349,3.343304,0.3473389,-0.3940161,3.327492,-0.03701962,-0.3686074,3.322601,-0.07967998,-0.6623636,3.305831,-0.1119925,-0.8542643,3.296227,-0.09243389,-0.8791124,3.240543,0.07679015,-0.3731142,3.364979,0.06323195,-0.6548241,3.34256,0.04438009,-0.8657658,3.328786,0.04362417,-0.9096798,3.280604,106,Draw-the-letter-C,
39877025.7904,0.01833868,-0.3090567,3.354769,0.004476093,-0.2648944,3.395013,0.008301803,-0.006539324,3.399034,0.02714833,0.1484483,3.363442,-0.1112629,-0.09017026,3.350761,-0.1960633,-0.2564843,3.298031,-0.2360495,-0.4068577,3.284661,-0.2492386,-0.4523346,3.263968,0.1484311,-0.07759669,3.442727,0.2496488,-0.2147153,3.386223,0.329572,-0.3495603,3.34359,0.3469194,-0.3984221,3.325584,-0.03645179,-0.3687254,3.322611,-0.07958666,-0.6623253,3.305935,-0.1120044,-0.8529131,3.296714,-0.09231443,-0.8777462,3.24107,0.07724584,-0.3731838,3.364843,0.0636472,-0.6548679,3.343009,0.05222583,-0.8622222,3.332434,0.03034318,-0.9105793,3.281387,106,Draw-the-letter-C,
39877061.7924,0.01887278,-0.3091695,3.354535,0.004579368,-0.265005,3.394742,0.007740601,-0.006422325,3.398634,0.02894189,0.1499332,3.365964,-0.1105233,-0.08890436,3.347243,-0.1958719,-0.2567575,3.298278,-0.236728,-0.4068936,3.28476,-0.2493165,-0.4523342,3.265092,0.1493929,-0.07877933,3.44044,0.249456,-0.2156843,3.378417,0.3266888,-0.354242,3.342237,0.3469263,-0.4024232,3.326974,-0.03548629,-0.3691198,3.322148,-0.06886257,-0.663182,3.308618,-0.1131917,-0.8500797,3.294284,-0.0931957,-0.874905,3.238745,0.07832555,-0.3731645,3.364723,0.0644322,-0.6550879,3.343349,0.03869097,-0.8622245,3.327453,0.03515361,-0.9119641,3.280895,106,Draw-the-letter-C,
39877093.7943,0.01898167,-0.3093393,3.354456,0.004762919,-0.2651684,3.394649,0.007858764,-0.006441015,3.398379,0.0290653,0.1500539,3.366066,-0.1103513,-0.08907417,3.347023,-0.1944499,-0.2560884,3.29834,-0.2378098,-0.4054953,3.283848,-0.2529875,-0.4642496,3.264766,0.1496672,-0.07934693,3.439723,0.2475366,-0.2160346,3.374919,0.3251015,-0.3579221,3.339484,0.3453986,-0.4074684,3.327549,-0.03532705,-0.3694385,3.322203,-0.06948076,-0.6628481,3.30901,-0.1138426,-0.8478673,3.291881,-0.09393276,-0.8726997,3.236316,0.07835852,-0.3731655,3.364654,0.06634152,-0.6549677,3.344395,0.05025932,-0.8598003,3.330094,0.04087862,-0.9124796,3.280127,106,Draw-the-letter-C,
39877125.7961,0.02057488,-0.3103074,3.353863,0.006254609,-0.2662036,3.394092,0.008168174,-0.006911641,3.398017,0.03027726,0.1490354,3.365921,-0.1098069,-0.09014257,3.344851,-0.194424,-0.2560622,3.298328,-0.2336635,-0.4063021,3.277717,-0.2470631,-0.4514705,3.266219,0.1507932,-0.08039534,3.436931,0.2457655,-0.2206284,3.372305,0.3173057,-0.3663262,3.334506,0.3401521,-0.4138713,3.328867,-0.03320007,-0.3711074,3.321523,-0.06777777,-0.6633034,3.309788,-0.1137289,-0.8474592,3.291659,-0.09397475,-0.8722739,3.236031,0.08006442,-0.3737167,3.364054,0.07060996,-0.6588622,3.346112,0.05197591,-0.8582968,3.329845,0.04409835,-0.9110755,3.279098,106,Draw-the-letter-C,
39877161.7982,0.02090755,-0.3110472,3.353405,0.006682062,-0.2668435,3.393667,0.007861509,-0.007078592,3.397281,0.03029233,0.1491571,3.365919,-0.1100407,-0.09038841,3.343733,-0.1862386,-0.256311,3.305242,-0.229681,-0.4056081,3.28843,-0.2374866,-0.4412563,3.275259,0.1508819,-0.0819793,3.434046,0.2458198,-0.2303992,3.370085,0.3043333,-0.3724778,3.335222,0.3246484,-0.4213053,3.322388,-0.03293089,-0.3717791,3.321163,-0.06664658,-0.6633548,3.309939,-0.1184366,-0.8691286,3.298884,-0.09898911,-0.8939506,3.243153,0.08066044,-0.3745532,3.363652,0.07265373,-0.6573728,3.346151,0.03989628,-0.8592579,3.328697,0.0380743,-0.9116691,3.281429,106,Draw-the-letter-C,
39877193.8,0.02169495,-0.3113208,3.352847,0.007156834,-0.2671526,3.393312,0.007860444,-0.006978764,3.397593,0.02985833,0.1500843,3.366125,-0.1096788,-0.09080306,3.342858,-0.1755342,-0.2603538,3.30836,-0.2273698,-0.4065152,3.28513,-0.2284849,-0.4509797,3.282711,0.1517344,-0.08315244,3.4339,0.2353777,-0.2464625,3.370307,0.2875975,-0.3897895,3.329314,0.3049282,-0.4500438,3.318553,-0.03191915,-0.3721762,3.319926,-0.07167266,-0.6635154,3.307525,-0.1168003,-0.850579,3.289974,-0.0972175,-0.8753663,3.234276,0.08189888,-0.3749354,3.362932,0.07366446,-0.656381,3.346124,0.05255111,-0.8507948,3.332177,0.03950723,-0.9048369,3.283887,106,Draw-the-letter-C,
39877225.8018,0.02292639,-0.3121845,3.351499,0.008328136,-0.2677982,3.391609,0.009720262,-0.007322668,3.394427,0.03020059,0.1505992,3.365714,-0.1074576,-0.09094955,3.340691,-0.1724707,-0.2643319,3.309659,-0.2065927,-0.4132618,3.269898,-0.2126286,-0.4764166,3.274601,0.1519197,-0.08444139,3.432673,0.2093436,-0.2711583,3.372567,0.2664527,-0.4080227,3.31522,0.2590165,-0.4704634,3.30558,-0.03043119,-0.3724973,3.318632,-0.06872922,-0.661822,3.305956,-0.1167437,-0.8498392,3.290692,-0.09681318,-0.8746912,3.235146,0.08236356,-0.3755314,3.362402,0.07424252,-0.6565827,3.345189,0.05507611,-0.851702,3.330904,0.03955476,-0.9049216,3.282435,106,Draw-the-letter-C,
39877261.8039,0.02406477,-0.3128627,3.350642,0.009648022,-0.2682762,3.390539,0.01182723,-0.007659753,3.392045,0.02918071,0.151137,3.362532,-0.1067462,-0.09147444,3.34137,-0.1560506,-0.2882157,3.315469,-0.177491,-0.4418553,3.292767,-0.1906804,-0.4969554,3.263831,0.1526608,-0.08527143,3.433297,0.1938374,-0.2893773,3.38203,0.2206132,-0.4327776,3.317649,0.239215,-0.4920745,3.304043,-0.02953554,-0.3729705,3.318237,-0.06980113,-0.6622975,3.305355,-0.1173901,-0.849358,3.290169,-0.09746628,-0.8742748,3.23465,0.08319203,-0.3761871,3.361691,0.07400335,-0.6562707,3.344589,0.05699233,-0.8513286,3.330933,0.03975615,-0.9042468,3.282714,106,Draw-the-letter-C,
