Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39968769.9687,0.04873265,-0.2669728,3.381216,0.04093282,-0.2244041,3.420012,0.05082061,0.0192299,3.412865,0.06154399,0.1746664,3.406211,-0.08977972,-0.03938515,3.388694,-0.2784846,-0.02269244,3.332981,-0.427923,-0.0645386,3.318485,-0.4748034,-0.06309281,3.315927,0.1921026,-0.0219995,3.456647,0.337635,0.05810154,3.393314,0.4737317,0.05123245,3.308796,0.5437596,0.04374499,3.278688,-0.01377377,-0.3309227,3.360327,-0.0753416,-0.6298255,3.324893,-0.09733419,-0.8367541,3.306281,-0.08371373,-0.8618432,3.249817,0.1097332,-0.3305176,3.382587,0.08893548,-0.6319295,3.374098,0.07907229,-0.8626456,3.36758,0.09269275,-0.8877348,3.311116,106,Make-the-letter-K,
39968792.97,0.04460577,-0.2728896,3.379289,0.0359792,-0.2292143,3.418312,0.04923321,0.01826123,3.413095,0.05693709,0.1715162,3.405888,-0.09328826,-0.05078644,3.376585,-0.281504,-0.036069,3.328805,-0.4307555,-0.07879078,3.319477,-0.4706603,-0.1189595,3.290617,0.188735,-0.03008781,3.456173,0.330761,0.0227731,3.387288,0.4663447,0.01043346,3.297901,0.5130556,-0.006028478,3.275456,-0.01693165,-0.3365548,3.357592,-0.07540355,-0.6321747,3.326213,-0.09508468,-0.8388076,3.308346,-0.079403,-0.86386,3.252403,0.1040967,-0.3371673,3.380983,0.08704528,-0.6346524,3.372833,0.07815586,-0.8615546,3.366193,0.09383754,-0.886607,3.31025,106,Make-the-letter-K,
39968824.9718,0.04174548,-0.2745677,3.377923,0.03256661,-0.2313042,3.416865,0.04471894,0.01537949,3.411936,0.05035723,0.1701072,3.402091,-0.09550165,-0.05348305,3.374553,-0.2850344,-0.04635514,3.325684,-0.4247124,-0.106161,3.283689,-0.4511023,-0.1256473,3.261797,0.1887311,-0.03279409,3.456275,0.3327587,-0.001895875,3.387356,0.4665846,-0.0005102347,3.29854,0.5341477,-0.03175377,3.285365,-0.02021907,-0.3388929,3.354836,-0.07670368,-0.6344137,3.327523,-0.0927625,-0.8421364,3.318578,-0.07680738,-0.8671507,3.262697,0.1013719,-0.3400941,3.380302,0.0852726,-0.6356311,3.372844,0.0771203,-0.8605793,3.366001,0.09307542,-0.8855937,3.31012,106,Make-the-letter-K,
39968861.9739,0.03806768,-0.2759188,3.376531,0.02823139,-0.2327383,3.415181,0.03702661,0.01326858,3.408298,0.04914646,0.1691561,3.401772,-0.09592569,-0.05381843,3.374315,-0.2857696,-0.04929087,3.320569,-0.4267227,-0.1066131,3.279645,-0.4465916,-0.123484,3.253309,0.1867135,-0.03411389,3.455452,0.3303801,-0.01093795,3.370902,0.4669138,-0.02563642,3.28835,0.5322942,-0.04428066,3.268603,-0.02222695,-0.3395932,3.352886,-0.08077432,-0.6366429,3.334871,-0.0897838,-0.8435624,3.328239,-0.07382259,-0.8686238,3.27238,0.09719702,-0.3422226,3.380621,0.07862493,-0.6426071,3.372357,0.07701258,-0.8601971,3.366052,0.0929738,-0.8852586,3.310193,106,Make-the-letter-K,
39968893.9758,0.0302449,-0.279043,3.373725,0.01849014,-0.2347455,3.411913,0.01661172,0.01971298,3.402488,0.04800124,0.1672024,3.400764,-0.09879263,-0.05395339,3.369358,-0.2881803,-0.04993504,3.316214,-0.4287516,-0.102491,3.266341,-0.4782868,-0.1263158,3.234437,0.1767327,-0.0437301,3.451041,0.3294613,-0.01368598,3.372374,0.4628341,-0.03195895,3.284912,0.5175882,-0.05043501,3.25984,-0.02718661,-0.3410135,3.349452,-0.08786835,-0.6365578,3.344777,-0.08924922,-0.8450976,3.331546,-0.07256546,-0.870191,3.275911,0.0911501,-0.3453046,3.380399,0.07513476,-0.6428016,3.372573,0.07657427,-0.8600178,3.365723,0.09325804,-0.8851112,3.310089,106,Make-the-letter-K,
39968925.9776,0.02456285,-0.2798175,3.373618,0.01178018,-0.2353859,3.411506,0.01565753,0.01891356,3.403297,0.04351395,0.1682707,3.397645,-0.1046283,-0.05651402,3.354091,-0.2900429,-0.0487671,3.314744,-0.4316956,-0.09499174,3.261028,-0.4543942,-0.0995141,3.234829,0.1740352,-0.04647483,3.451853,0.3295268,-0.01367921,3.37099,0.4613102,-0.03370384,3.28127,0.4934216,-0.04592563,3.258678,-0.03408639,-0.3420477,3.345661,-0.09021662,-0.6399979,3.349312,-0.08906067,-0.8455768,3.332538,-0.06967232,-0.8706701,3.277788,0.0833728,-0.3479751,3.383249,0.07138823,-0.6447229,3.373402,0.07551287,-0.8598316,3.365409,0.09490123,-0.8849249,3.31066,106,Make-the-letter-K,
39968960.9796,0.02123801,-0.2794887,3.372961,0.008534453,-0.2350578,3.410754,0.01556749,0.0188002,3.403193,0.03970203,0.1663205,3.392305,-0.1045753,-0.05584697,3.349711,-0.2938791,-0.0445451,3.312331,-0.4366298,-0.08588996,3.257315,-0.4515153,-0.0897385,3.233015,0.1722905,-0.04758982,3.450784,0.330448,-0.01354212,3.370497,0.4624885,-0.03457203,3.281464,0.4933701,-0.04608829,3.258724,-0.03837999,-0.3415319,3.342716,-0.0897655,-0.645335,3.358574,-0.09017434,-0.845233,3.334538,-0.07006089,-0.8703466,3.280062,0.07959582,-0.3480845,3.384463,0.06787179,-0.6455913,3.372862,0.07290508,-0.8604983,3.366553,0.09301852,-0.885612,3.312076,106,Make-the-letter-K,
39968992.9814,0.01468018,-0.2789286,3.371853,0.001393865,-0.2339758,3.40954,0.009195982,0.02128397,3.402089,0.036491,0.1688467,3.386192,-0.1090603,-0.05293077,3.347441,-0.296977,-0.04203982,3.309616,-0.4407197,-0.07131565,3.248662,-0.4748921,-0.08784585,3.220994,0.1673482,-0.04929838,3.448353,0.3307378,-0.01487746,3.367813,0.463431,-0.03579371,3.279853,0.4923922,-0.04717838,3.25743,-0.04515687,-0.3401001,3.341723,-0.09023269,-0.6453161,3.358329,-0.09096022,-0.8451391,3.334174,-0.07073505,-0.8702676,3.279746,0.07538065,-0.3481756,3.383873,0.0615839,-0.6436605,3.374995,0.07236835,-0.8593925,3.366504,0.09259352,-0.8845209,3.312077,106,Make-the-letter-K,
39969025.9833,0.01291735,-0.278669,3.372738,-0.000107619,-0.2338506,3.41049,0.008038517,0.02055707,3.402879,0.03637819,0.1693062,3.386048,-0.1114921,-0.05107652,3.345374,-0.3008587,-0.04007298,3.307492,-0.4444941,-0.07038931,3.246847,-0.4818919,-0.07699645,3.214358,0.1613485,-0.0509949,3.442793,0.3204184,-0.01949617,3.36316,0.4551617,-0.04178162,3.279206,0.5010777,-0.05942921,3.243877,-0.046119,-0.3399564,3.341865,-0.09062053,-0.6452212,3.358373,-0.09155916,-0.8445188,3.334353,-0.07163265,-0.8696555,3.279821,0.07268577,-0.347855,3.385988,0.05926145,-0.6420387,3.375424,0.07227361,-0.8593924,3.366507,0.09220012,-0.8845291,3.311975,106,Make-the-letter-K,
39969060.9853,0.008542214,-0.2791809,3.372177,-0.004633985,-0.2341582,3.409849,0.004399684,0.02057758,3.402125,0.03376481,0.1685955,3.386178,-0.1142651,-0.05070157,3.343083,-0.3112155,-0.0416556,3.312779,-0.4515585,-0.07263571,3.243946,-0.4788817,-0.07766699,3.215611,0.1582962,-0.05363475,3.441433,0.2934304,-0.02824032,3.349458,0.454037,-0.04534879,3.279998,0.4915138,-0.06471457,3.245588,-0.05129948,-0.3403955,3.34053,-0.09356017,-0.6453016,3.356753,-0.09141827,-0.8448583,3.335188,-0.07124232,-0.8700193,3.280759,0.06935519,-0.3485992,3.386187,0.05351686,-0.6481516,3.377094,0.0719804,-0.8662533,3.365806,0.0861242,-0.9264907,3.332336,106,Make-the-letter-K,
39969092.9871,0.005298011,-0.2807054,3.370515,-0.007149901,-0.235384,3.408597,0.002668677,0.02057951,3.401587,0.02963732,0.1688633,3.384707,-0.1180886,-0.05017344,3.342454,-0.3100439,-0.04181629,3.308064,-0.4452602,-0.07356335,3.228574,-0.4842431,-0.0889457,3.207355,0.1493047,-0.05501252,3.434686,0.2988141,-0.03937937,3.346434,0.445661,-0.0717919,3.280637,0.4934865,-0.08979797,3.241956,-0.05417649,-0.3406102,3.339818,-0.09383436,-0.6471806,3.358459,-0.09155503,-0.8449724,3.335057,-0.07208965,-0.8701162,3.280363,0.06580279,-0.3500327,3.38342,0.052764,-0.6482868,3.377632,0.07025167,-0.8644302,3.366091,0.07719064,-0.9132608,3.34466,106,Make-the-letter-K,
39969124.989,-0.002626799,-0.2838879,3.367506,-0.01445952,-0.2380593,3.405974,-0.003199771,0.02034935,3.400149,0.02115967,0.1715032,3.383829,-0.1206788,-0.05000252,3.342334,-0.308304,-0.05348198,3.303469,-0.4351018,-0.1228576,3.236672,-0.4788795,-0.1372832,3.227625,0.1449513,-0.05667385,3.431151,0.2944891,-0.05419985,3.341742,0.4418728,-0.1258243,3.263441,0.4745178,-0.1418095,3.242413,-0.06120349,-0.3416806,3.338635,-0.09606507,-0.6492698,3.358518,-0.09145891,-0.8443394,3.334673,-0.07245354,-0.8694621,3.279809,0.05676237,-0.3531606,3.378309,0.04963686,-0.6501648,3.37725,0.07044069,-0.864266,3.36616,0.07674313,-0.9127942,3.343865,106,Make-the-letter-K,
39969161.9911,-0.005407933,-0.2873314,3.36661,-0.01756623,-0.2411066,3.40518,-0.00806821,0.01962652,3.399934,0.01515363,0.1676148,3.381072,-0.1249624,-0.05371888,3.341466,-0.3093197,-0.06458291,3.300182,-0.4269531,-0.1473106,3.231571,-0.4499291,-0.1719176,3.222195,0.1388125,-0.05985967,3.430173,0.2844344,-0.08859519,3.359226,0.416567,-0.1594135,3.270396,0.4433427,-0.1860088,3.224849,-0.06390825,-0.3448401,3.33778,-0.09585276,-0.6491973,3.357844,-0.09180462,-0.844407,3.334687,-0.07270582,-0.8694853,3.279835,0.05511213,-0.3549624,3.377712,0.04841468,-0.6527272,3.376766,0.07055016,-0.863996,3.366248,0.08964896,-0.8890743,3.311395,106,Make-the-letter-K,
