Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64492867.6814,-0.1509146,-0.1951587,3.173832,-0.1563213,-0.1437708,3.218653,-0.1716084,0.1533027,3.220064,-0.1814162,0.3040812,3.224092,-0.3338779,0.05098109,3.222269,-0.5476995,0.01970571,3.190883,-0.7094005,-0.01560298,3.112348,-0.777878,-0.02534501,3.096906,-0.00565315,0.07256173,3.24565,0.2069001,0.04522943,3.249739,0.3797555,0.003158379,3.223178,0.4485047,-0.01372667,3.219862,-0.2185028,-0.2708901,3.156692,-0.1976393,-0.606925,3.175933,-0.2122689,-0.8731486,3.158016,-0.2154797,-0.937506,3.105031,-0.07594572,-0.2653619,3.165608,-0.08927543,-0.6039631,3.197953,-0.05651738,-0.8591805,3.21955,-0.05352723,-0.9256855,3.1967,169,Bow,
64492902.6835,-0.1506377,-0.1950917,3.173896,-0.156233,-0.143841,3.218969,-0.1716466,0.1523724,3.219925,-0.1813872,0.3039013,3.224129,-0.334113,0.05110312,3.22219,-0.5475979,0.01978457,3.190931,-0.7088261,-0.01533087,3.111158,-0.7775636,-0.02516387,3.096939,-0.005423883,0.07309406,3.24591,0.2066628,0.04551573,3.249784,0.379222,0.002410114,3.222726,0.4479475,-0.01476227,3.220356,-0.218017,-0.2711587,3.156681,-0.1980415,-0.6073874,3.175982,-0.2117219,-0.8719185,3.157605,-0.21415,-0.9365081,3.103118,-0.07513526,-0.2651373,3.165977,-0.08609561,-0.6048092,3.199082,-0.05542405,-0.8554157,3.223703,-0.0524393,-0.9249985,3.196737,169,Bow,
64492934.6853,-0.1514214,-0.1950343,3.172757,-0.1570258,-0.1439662,3.218207,-0.1719911,0.1522823,3.219596,-0.1807627,0.3034706,3.223794,-0.3342581,0.05110754,3.222082,-0.5463252,0.02131865,3.190496,-0.7078646,-0.01416844,3.111653,-0.7767185,-0.02434033,3.098307,-0.005572244,0.07308722,3.245919,0.2066495,0.04556669,3.249743,0.4134095,-0.01682274,3.215673,0.4437405,0.01630174,3.24263,-0.2190704,-0.2705778,3.1551,-0.1985496,-0.6067116,3.174156,-0.2120758,-0.87151,3.157336,-0.2142905,-0.9373472,3.102521,-0.07574622,-0.2654696,3.164975,-0.08674008,-0.6046333,3.19852,-0.0538106,-0.8652098,3.227081,-0.05173769,-0.9252215,3.197273,169,Bow,
64492967.6872,-0.1499004,-0.1952284,3.172165,-0.156127,-0.1442259,3.217839,-0.1725153,0.1513235,3.218232,-0.1786437,0.3019052,3.221931,-0.3343262,0.05108282,3.221761,-0.5448045,0.02212397,3.187725,-0.7072809,-0.0131706,3.111074,-0.7765019,-0.02340667,3.099796,-0.005753877,0.07310818,3.245927,0.1981182,0.04765372,3.249701,0.3688777,-0.004170414,3.232658,0.4373604,-0.01926594,3.222375,-0.2165025,-0.2710813,3.154123,-0.2005324,-0.6072375,3.172668,-0.2120714,-0.8715335,3.157331,-0.2144638,-0.9382617,3.104726,-0.0731674,-0.2653606,3.164969,-0.08464886,-0.604437,3.198648,-0.05396331,-0.8672748,3.225409,-0.0557181,-0.9264647,3.194538,169,Bow,
64493002.6892,-0.1513367,-0.1946855,3.170756,-0.1575369,-0.1438494,3.216477,-0.1734542,0.1502872,3.215495,-0.1777296,0.3017069,3.222007,-0.334872,0.05125991,3.221435,-0.544555,0.02229567,3.187558,-0.7068946,-0.01248931,3.110299,-0.7750499,-0.02330947,3.094108,-0.005673883,0.07318218,3.246016,0.1884537,0.04168567,3.25668,0.3606704,-0.002112072,3.227848,0.4008639,-0.01346721,3.215736,-0.2184048,-0.2705958,3.152867,-0.2007792,-0.6074113,3.172153,-0.212026,-0.8720354,3.158277,-0.2141072,-0.9386371,3.1064,-0.0744494,-0.2654098,3.163798,-0.08343198,-0.6062325,3.199937,-0.05416939,-0.8615047,3.224241,-0.06329648,-0.9287398,3.189465,169,Bow,
64493034.691,-0.1506277,-0.1946746,3.17073,-0.1571017,-0.143825,3.216625,-0.1734598,0.1505788,3.215482,-0.174944,0.2998685,3.219357,-0.3347869,0.05134067,3.221148,-0.5447319,0.02256151,3.186773,-0.7058684,-0.0158886,3.1086,-0.7739651,-0.02583925,3.091598,-0.005665502,0.07317033,3.246012,0.1981698,0.03806517,3.257546,0.3696517,-0.007438805,3.226012,0.4029862,-0.02027034,3.217854,-0.2173807,-0.2705714,3.152915,-0.1995141,-0.6067767,3.17201,-0.2120425,-0.8721214,3.158025,-0.2143838,-0.9381307,3.106383,-0.07353914,-0.2653453,3.163858,-0.08548262,-0.605885,3.199272,-0.05396376,-0.8651931,3.225854,-0.05585688,-0.9286963,3.19237,169,Bow,
64493066.6928,-0.1505826,-0.1945714,3.170547,-0.157106,-0.1438076,3.216607,-0.1730848,0.1503361,3.215272,-0.1749493,0.3001188,3.219319,-0.3346381,0.05194441,3.220706,-0.537435,0.02042356,3.186596,-0.6989489,-0.01699107,3.108751,-0.7672315,-0.02745554,3.092791,-0.00564115,0.07317826,3.246067,0.1978139,0.03391946,3.25498,0.3680842,-0.01672459,3.225582,0.4340375,-0.04270804,3.226917,-0.2173734,-0.2704533,3.152623,-0.1993326,-0.6061684,3.171444,-0.2119789,-0.8720009,3.157618,-0.2152791,-0.9379426,3.106873,-0.07356893,-0.2652502,3.163771,-0.08506151,-0.6065116,3.199346,-0.05335577,-0.8636625,3.22672,-0.05107997,-0.9325449,3.186199,169,Bow,
64493103.6949,-0.1506513,-0.194607,3.170297,-0.1573445,-0.1438947,3.216504,-0.1728459,0.1502977,3.215104,-0.1751822,0.3005345,3.219273,-0.3341474,0.05213508,3.219717,-0.5363655,0.017411,3.188498,-0.6958489,-0.02426785,3.108326,-0.7636772,-0.03754591,3.092486,-0.005421935,0.07319143,3.246772,0.1922712,0.02779982,3.253458,0.3621135,-0.02642914,3.232624,0.4137969,-0.04971406,3.234605,-0.2175833,-0.2703121,3.151532,-0.1998644,-0.606061,3.172044,-0.2118868,-0.8723997,3.157932,-0.2154549,-0.9385446,3.107961,-0.07377595,-0.2654015,3.163812,-0.08395856,-0.6067256,3.199778,-0.05624921,-0.8741125,3.227397,-0.05448527,-0.9344516,3.198838,169,Bow,
64493134.6967,-0.1517899,-0.1950681,3.169546,-0.1581149,-0.144224,3.215926,-0.1723098,0.1503159,3.214196,-0.1751146,0.3004672,3.219155,-0.3340551,0.05215769,3.219673,-0.5307078,0.002644519,3.187256,-0.6896769,-0.04274817,3.108266,-0.7365985,-0.05870835,3.091371,-0.006420021,0.07289614,3.246892,0.1877655,0.01859936,3.25194,0.35605,-0.04022529,3.230778,0.4006493,-0.06120644,3.22455,-0.218785,-0.2701831,3.151099,-0.1984763,-0.6050498,3.170336,-0.2120102,-0.8723061,3.157952,-0.2155454,-0.9384176,3.107905,-0.07637635,-0.2660129,3.163028,-0.08415101,-0.6057341,3.198859,-0.05603079,-0.8743212,3.226802,-0.05960335,-0.9318179,3.193029,169,Bow,
64493166.6986,-0.1508673,-0.1960332,3.169255,-0.1573625,-0.1450993,3.215738,-0.1710424,0.1501165,3.214075,-0.1741348,0.3002657,3.219012,-0.3330172,0.05161552,3.21805,-0.5200305,-0.008368122,3.185772,-0.6759053,-0.0723329,3.115157,-0.7387359,-0.09279719,3.089417,-0.00743811,0.0711255,3.246445,0.1827073,0.004725686,3.25275,0.3403359,-0.07795459,3.227469,0.3861394,-0.1013963,3.217471,-0.2175269,-0.2710405,3.150501,-0.198767,-0.6058511,3.169914,-0.2116572,-0.8708357,3.156615,-0.2151023,-0.9374191,3.103059,-0.07609154,-0.266265,3.163164,-0.0832628,-0.607439,3.198282,-0.05527248,-0.8745049,3.226998,-0.05453146,-0.9334859,3.195697,169,Bow,
