Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64626446.5317,-0.2090639,-0.1650734,3.137411,-0.2150412,-0.12206,3.186843,-0.235613,0.1505293,3.198891,-0.2311384,0.2894455,3.176822,-0.3966833,0.06282777,3.191208,-0.5983938,0.06787322,3.134398,-0.7636542,0.04070952,3.075381,-0.8274578,0.03620276,3.047364,-0.06320483,0.08649708,3.208115,0.1399863,0.09295747,3.232627,0.3134638,0.07994592,3.227722,0.3283414,0.07949053,3.217132,-0.2737573,-0.241596,3.114127,-0.2371083,-0.5908436,3.141658,-0.2095758,-0.8826774,3.161463,-0.1914502,-0.9404574,3.092586,-0.1314305,-0.2356099,3.126219,-0.1484258,-0.5843319,3.094533,-0.1104135,-0.8853096,3.07867,-0.09418231,-0.9457812,3.011656,169,Lift-your-leg-to-one-side,
64626478.5335,-0.2075333,-0.1654266,3.137054,-0.2138626,-0.122247,3.186604,-0.2355954,0.1509402,3.198999,-0.2304281,0.2893684,3.176385,-0.3948702,0.0628624,3.191714,-0.5964599,0.06131074,3.132643,-0.7626906,0.02323591,3.086148,-0.8224478,0.01958876,3.050203,-0.06142983,0.08555625,3.207726,0.1410333,0.09150533,3.232801,0.3133636,0.0676768,3.227766,0.3313047,0.06327183,3.219919,-0.2716587,-0.2420804,3.113788,-0.2371169,-0.5894389,3.140248,-0.2098726,-0.8827426,3.161366,-0.1920764,-0.9415952,3.093312,-0.1294387,-0.2356537,3.125752,-0.1482981,-0.5847198,3.094727,-0.1109944,-0.8850049,3.079503,-0.09463735,-0.9446802,3.011806,169,Lift-your-leg-to-one-side,
64626513.5355,-0.2063084,-0.1658011,3.136431,-0.2125113,-0.1227088,3.185813,-0.2329672,0.1497144,3.197474,-0.2293308,0.2880192,3.175651,-0.3909273,0.06396291,3.191862,-0.5823017,0.04420319,3.139908,-0.7493263,0.01469966,3.089175,-0.8056906,-0.002994293,3.051943,-0.06061399,0.08457828,3.208769,0.1449121,0.07714766,3.236389,0.3170641,0.05130002,3.223229,0.3675418,0.04054484,3.222671,-0.2702745,-0.2416341,3.112772,-0.2370338,-0.5897382,3.140438,-0.209803,-0.8822873,3.161715,-0.1920305,-0.9410195,3.093546,-0.1289298,-0.2359838,3.125766,-0.1482811,-0.5847188,3.094809,-0.1108525,-0.8851657,3.079536,-0.09452426,-0.9446831,3.011688,169,Lift-your-leg-to-one-side,
64626546.5374,-0.2040612,-0.1660655,3.135149,-0.2099277,-0.1225133,3.184259,-0.2278152,0.1510366,3.193979,-0.2279093,0.2891487,3.172686,-0.3883503,0.06304045,3.191658,-0.5773519,0.03913723,3.142962,-0.7450832,-0.00164144,3.090175,-0.8030073,-0.01767897,3.054621,-0.05987157,0.08316927,3.209457,0.1422263,0.07304274,3.234936,0.3139426,0.04453434,3.226215,0.3324787,0.03402872,3.226233,-0.2681076,-0.2416626,3.112183,-0.2367975,-0.588761,3.140775,-0.2098541,-0.8823754,3.161721,-0.1914284,-0.9415469,3.094105,-0.1280388,-0.2358008,3.125076,-0.1440932,-0.5831397,3.091777,-0.1016711,-0.8799801,3.065817,-0.09404542,-0.947632,3.007325,169,Lift-your-leg-to-one-side,
64626578.5392,-0.2044338,-0.1686427,3.134576,-0.2103187,-0.1240536,3.183987,-0.2272714,0.1518625,3.194755,-0.2285794,0.2889604,3.17336,-0.3862756,0.05958952,3.189737,-0.594309,0.03029703,3.130467,-0.7599117,-0.01450538,3.08938,-0.8199936,-0.03827691,3.062887,-0.05860146,0.08133528,3.210278,0.1419589,0.06882288,3.23455,0.3124874,0.03412424,3.227875,0.3311549,0.02089605,3.218906,-0.268773,-0.243739,3.111803,-0.2328591,-0.5956933,3.139519,-0.2099213,-0.8781604,3.163654,-0.1901059,-0.9359875,3.095268,-0.1290249,-0.2386029,3.124151,-0.1450688,-0.5906325,3.093284,-0.1104529,-0.880347,3.077368,-0.1112274,-0.9445903,3.022269,169,Lift-your-leg-to-one-side,
64626613.5412,-0.2006756,-0.1749343,3.133956,-0.2061969,-0.1301381,3.182999,-0.2218012,0.1471459,3.192189,-0.2266014,0.2887815,3.172903,-0.3850335,0.05788323,3.189058,-0.5951276,0.02977037,3.13062,-0.7567314,-0.02461526,3.083995,-0.8207667,-0.04461517,3.064588,-0.05724609,0.07959867,3.209668,0.143499,0.06795433,3.236035,0.3131655,0.02917862,3.228697,0.3258875,0.01799599,3.218624,-0.26548,-0.2499623,3.111463,-0.2295168,-0.6085013,3.145606,-0.209978,-0.8782196,3.162781,-0.186475,-0.9355103,3.095112,-0.1260145,-0.2447767,3.124518,-0.1435445,-0.5911319,3.090893,-0.1107484,-0.8805782,3.077141,-0.1090606,-0.9452464,3.016381,169,Lift-your-leg-to-one-side,
64626647.5432,-0.2003526,-0.1753585,3.133812,-0.2057975,-0.1307903,3.182756,-0.2205431,0.1447761,3.191321,-0.2258793,0.2864198,3.174128,-0.38456,0.05716933,3.189331,-0.5963967,0.02799157,3.129969,-0.7557821,-0.03006501,3.07931,-0.8204582,-0.04958919,3.061608,-0.0554734,0.07832086,3.210268,0.1446217,0.06042227,3.238852,0.3157853,0.02863076,3.227898,0.3264348,0.01564875,3.217092,-0.2651283,-0.2504857,3.111421,-0.2297129,-0.6084256,3.145791,-0.2104373,-0.8798985,3.163822,-0.1845183,-0.9375612,3.09736,-0.1257789,-0.2454387,3.124301,-0.133962,-0.6023831,3.094337,-0.09763765,-0.881762,3.069003,-0.1187555,-0.9457718,3.029286,169,Lift-your-leg-to-one-side,
64626678.5449,-0.2009822,-0.1753934,3.133724,-0.2066016,-0.1309621,3.182692,-0.2232167,0.1448007,3.191985,-0.2247637,0.2874088,3.174554,-0.384639,0.0568729,3.189728,-0.5879403,0.02765593,3.130806,-0.7482867,-0.02949488,3.082823,-0.8129598,-0.04967369,3.065851,-0.05526646,0.07812217,3.21035,0.1581252,0.05766781,3.238091,0.328639,0.0228622,3.231302,0.3275129,0.01474046,3.218541,-0.2656546,-0.2505548,3.111596,-0.2292602,-0.609137,3.146027,-0.2102508,-0.8783336,3.164223,-0.1841028,-0.9327543,3.095165,-0.1262815,-0.2455278,3.123768,-0.1370637,-0.5974324,3.092798,-0.09280393,-0.8822219,3.064512,-0.1185891,-0.9456329,3.029126,169,Lift-your-leg-to-one-side,
64626714.547,-0.2010116,-0.1756825,3.133677,-0.2064554,-0.131206,3.182634,-0.2223173,0.1445415,3.191687,-0.2233533,0.2869812,3.175208,-0.3839595,0.05598595,3.190497,-0.5898191,0.02693414,3.130071,-0.7488907,-0.03217222,3.079703,-0.8133899,-0.05216582,3.061862,-0.05427794,0.07696249,3.210289,0.1335524,0.06604387,3.233211,0.3023885,0.02418929,3.228854,0.3265802,0.01310578,3.214022,-0.2657384,-0.2509904,3.111985,-0.2287823,-0.6108677,3.147834,-0.2103806,-0.876349,3.163418,-0.1836819,-0.9321956,3.09572,-0.1266614,-0.2460427,3.123316,-0.1375308,-0.5972531,3.092707,-0.120673,-0.8840355,3.083518,-0.1201417,-0.9455975,3.032112,169,Lift-your-leg-to-one-side,
64626746.5488,-0.200524,-0.1756557,3.1336,-0.2058745,-0.1311758,3.182586,-0.221044,0.1451765,3.192054,-0.2186888,0.284777,3.174258,-0.383463,0.05585443,3.19123,-0.5803844,0.02656828,3.13771,-0.7391623,-0.02872092,3.08104,-0.8037169,-0.04836928,3.063008,-0.05224856,0.07595957,3.210815,0.1368316,0.06075984,3.235077,0.3069062,0.02392989,3.228699,0.3223887,0.01603729,3.216129,-0.2652825,-0.2512159,3.111904,-0.2287597,-0.6108399,3.147925,-0.2106394,-0.8764722,3.163773,-0.1839508,-0.9324041,3.096138,-0.1262637,-0.2459687,3.123154,-0.1326112,-0.600569,3.093361,-0.09373769,-0.8824033,3.057024,-0.1200243,-0.9456005,3.031922,169,Lift-your-leg-to-one-side,
