Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64652905.6399,-0.06390277,-0.18255,3.13877,-0.07167031,-0.1363467,3.187576,-0.08284125,0.1510759,3.199441,-0.08114215,0.3007652,3.212287,-0.2491224,0.05358114,3.195813,-0.4420234,0.01896218,3.161113,-0.6019816,-0.04744641,3.138679,-0.6218765,-0.05582742,3.112836,0.09421606,0.08614651,3.237996,0.2735759,0.07583211,3.244068,0.439517,0.01151153,3.246501,0.4952913,-0.02707706,3.248457,-0.1341984,-0.2618206,3.112632,-0.1038827,-0.5991653,3.162325,-0.1162439,-0.8819098,3.168885,-0.1233347,-0.9460941,3.126242,0.01611397,-0.2555347,3.132365,-0.009826213,-0.5908884,3.165596,0.00882283,-0.8563408,3.219085,0.01685884,-0.9259537,3.175322,169,Walk-in-place,
64652941.6419,-0.05870739,-0.1854984,3.139173,-0.06814155,-0.1383276,3.188174,-0.08084752,0.1523323,3.201,-0.07995556,0.3008003,3.211659,-0.2389517,0.05021692,3.191618,-0.4213759,-0.01277897,3.135334,-0.5819422,-0.07247321,3.151615,-0.6368949,-0.1087016,3.127414,0.09513122,0.08313069,3.240974,0.2715688,0.05458461,3.243701,0.4203587,-0.03454725,3.226486,0.4690793,-0.05223183,3.227047,-0.1270292,-0.2633806,3.110693,-0.104581,-0.5998135,3.162078,-0.1156401,-0.8828732,3.170472,-0.1233402,-0.9462168,3.126884,0.02027611,-0.2580037,3.134688,-0.01038252,-0.5913661,3.165725,0.01257807,-0.8579566,3.218338,0.01005905,-0.9273598,3.171158,169,Walk-in-place,
64652973.6437,-0.05895929,-0.1869393,3.139636,-0.06853487,-0.139329,3.188629,-0.0799131,0.152868,3.202287,-0.0777597,0.3001221,3.211453,-0.2366674,0.0494927,3.191565,-0.4200587,-0.02076866,3.135419,-0.5674551,-0.1096372,3.146115,-0.6132705,-0.15991,3.129041,0.09650497,0.07593917,3.242911,0.2752092,0.01950235,3.235296,0.4315422,-0.05480112,3.23623,0.4809386,-0.06921325,3.229984,-0.1272254,-0.2638181,3.110376,-0.1047887,-0.6007516,3.161865,-0.1154966,-0.8829418,3.170552,-0.1233561,-0.947454,3.125131,0.01884037,-0.2609366,3.137004,-0.01038775,-0.5922481,3.166167,0.01179416,-0.8588793,3.218752,0.01851097,-0.9249687,3.178636,169,Walk-in-place,
64653005.6456,-0.05950299,-0.1899699,3.140041,-0.068851,-0.1417803,3.189256,-0.07929249,0.152486,3.20378,-0.07724503,0.2998891,3.211246,-0.2351511,0.04838637,3.191604,-0.4123124,-0.03638318,3.137555,-0.5458305,-0.1446583,3.149821,-0.5848083,-0.1693088,3.126329,0.09498274,0.07270566,3.243285,0.2671744,0.003522541,3.234595,0.4175515,-0.07963881,3.247309,0.4457384,-0.1410297,3.228471,-0.127481,-0.2647463,3.110313,-0.1048816,-0.601338,3.162071,-0.1143764,-0.8837651,3.172449,-0.1241944,-0.948675,3.12348,0.01744596,-0.2634562,3.137603,-0.01120742,-0.5921918,3.167635,0.00822228,-0.8567119,3.21827,0.01688848,-0.9243126,3.177255,169,Walk-in-place,
64653041.6476,-0.05821814,-0.1914917,3.140886,-0.06763489,-0.1431514,3.190152,-0.07879066,0.1522053,3.204448,-0.07616107,0.2988245,3.210039,-0.2341503,0.0472318,3.19199,-0.4048817,-0.05492767,3.149875,-0.5388239,-0.1648751,3.129189,-0.5893949,-0.2108642,3.113492,0.09344623,0.07154199,3.24348,0.2453406,-0.0118137,3.230614,0.3735725,-0.1284421,3.210884,0.423731,-0.177462,3.210867,-0.1255098,-0.2656144,3.110389,-0.1057345,-0.6026906,3.163028,-0.1148019,-0.8829472,3.172421,-0.1244147,-0.9473772,3.124566,0.01811688,-0.2648185,3.13942,-0.009979476,-0.5923607,3.168231,0.008501308,-0.8619708,3.219807,0.02247758,-0.9295454,3.176775,169,Walk-in-place,
64653073.6495,-0.06043785,-0.1971636,3.140918,-0.06917875,-0.1473625,3.190598,-0.07899708,0.15205,3.205629,-0.0754765,0.2980178,3.209945,-0.2328659,0.04593337,3.192243,-0.4034813,-0.05590239,3.14979,-0.5285494,-0.1755693,3.126031,-0.5750732,-0.2277742,3.120598,0.08802547,0.06823314,3.24184,0.2382248,-0.02570855,3.229908,0.3649788,-0.1440832,3.212618,0.4162407,-0.1917308,3.208005,-0.1268578,-0.2682158,3.110867,-0.105851,-0.6026983,3.162409,-0.1149818,-0.8821951,3.172355,-0.1231544,-0.9452589,3.125289,0.01494639,-0.2683152,3.139015,-0.01027021,-0.5922841,3.168473,0.01724432,-0.8682266,3.226994,0.0220618,-0.9288793,3.178825,169,Walk-in-place,
64653105.6513,-0.06111769,-0.1988012,3.141317,-0.06989042,-0.1492364,3.190963,-0.07893664,0.1505778,3.205884,-0.07500428,0.297881,3.209487,-0.2311952,0.04278604,3.191965,-0.4007618,-0.05763952,3.150806,-0.5203856,-0.1833464,3.139373,-0.5586892,-0.2311714,3.136063,0.08717166,0.06681654,3.242467,0.2331828,-0.03280868,3.23269,0.3543233,-0.1566744,3.211495,0.3996327,-0.2101733,3.209247,-0.1274893,-0.2694085,3.111233,-0.1043601,-0.6048704,3.162276,-0.1164812,-0.8792777,3.171709,-0.1224016,-0.9448465,3.124003,0.01353935,-0.2700732,3.139802,-0.01136922,-0.5931985,3.168968,0.01021322,-0.8607591,3.223453,0.01900492,-0.928151,3.176893,169,Walk-in-place,
64653141.6533,-0.06267472,-0.2029797,3.141831,-0.07147821,-0.1524392,3.191304,-0.07909396,0.1504462,3.205878,-0.07335678,0.2968954,3.205799,-0.2291029,0.03910484,3.190603,-0.4075852,-0.09240361,3.159657,-0.5397258,-0.2044799,3.138706,-0.5498608,-0.2336836,3.136711,0.08197978,0.06103004,3.241827,0.226051,-0.04376395,3.230798,0.3465787,-0.1678053,3.20522,0.3889879,-0.2236824,3.20569,-0.1283807,-0.2722905,3.111955,-0.1059147,-0.6048873,3.164232,-0.1165584,-0.8792911,3.171029,-0.1230026,-0.9449527,3.122824,0.01084905,-0.2728345,3.141038,-0.01148874,-0.5935578,3.169945,0.01192958,-0.8552674,3.222455,0.01860745,-0.9260068,3.177183,169,Walk-in-place,
64653173.6552,-0.06312321,-0.2050104,3.142016,-0.0718296,-0.1545892,3.191568,-0.07842345,0.1490803,3.206592,-0.07202848,0.2954459,3.204912,-0.2278084,0.03698403,3.190558,-0.4046072,-0.09337451,3.156132,-0.5304211,-0.2128801,3.145539,-0.5450894,-0.2368802,3.139079,0.08129796,0.05893441,3.242172,0.2180544,-0.04727959,3.230935,0.3287422,-0.1807192,3.212132,0.33176,-0.2144572,3.214593,-0.1288803,-0.273939,3.112256,-0.1053146,-0.606847,3.165572,-0.1170576,-0.8788146,3.170599,-0.1229399,-0.9448816,3.122779,0.009770866,-0.2744235,3.1412,-0.01185802,-0.5929722,3.170294,0.01311971,-0.855504,3.22275,0.01539696,-0.9248089,3.174717,169,Walk-in-place,
64653205.657,-0.06323592,-0.2050999,3.141982,-0.07183333,-0.1549251,3.191563,-0.07869413,0.1476975,3.207099,-0.07206048,0.2943928,3.204173,-0.2281962,0.03667995,3.192055,-0.4027675,-0.09409566,3.158642,-0.5214079,-0.2204178,3.156029,-0.5633324,-0.276662,3.156417,0.0801269,0.05981179,3.242725,0.2175851,-0.06957803,3.232996,0.3336279,-0.1979565,3.208686,0.3338309,-0.2307156,3.203206,-0.1289926,-0.2740279,3.112341,-0.105664,-0.6078556,3.166886,-0.1173533,-0.8779671,3.171222,-0.122751,-0.9447204,3.122844,0.009423337,-0.2744139,3.140861,-0.01161813,-0.5920706,3.169435,0.002784318,-0.8558855,3.221193,0.01744401,-0.9245167,3.175858,169,Walk-in-place,
