Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64668391.5256,-0.0881325,-0.2138797,3.127063,-0.09417897,-0.1608028,3.177476,-0.1036042,0.1549359,3.194187,-0.1048997,0.3057333,3.196054,-0.2470018,0.04536584,3.182326,-0.385022,-0.1397006,3.144754,-0.4874811,-0.2782537,3.155486,-0.4931744,-0.2959369,3.160183,0.03048608,0.05003407,3.208556,0.1811201,-0.09514289,3.224737,0.2790149,-0.2361181,3.186224,0.3102685,-0.2952894,3.164513,-0.1505973,-0.2759855,3.102057,-0.1279988,-0.6139846,3.161952,-0.1360951,-0.8725374,3.176655,-0.1504922,-0.9395042,3.122958,-0.01980866,-0.2787041,3.125109,-0.05821489,-0.6162859,3.186473,-0.04520074,-0.8738937,3.220574,-0.04469846,-0.9442712,3.160905,169,Walk-in-place-as-fast-as-you-can,
64668425.5275,-0.08978774,-0.2154555,3.127177,-0.09557135,-0.1622805,3.17774,-0.1067128,0.1554216,3.195523,-0.1117813,0.3046761,3.199395,-0.2513804,0.04382519,3.184341,-0.3903769,-0.1431064,3.143875,-0.4926784,-0.2822186,3.151664,-0.4900135,-0.2906457,3.150665,0.02779437,0.04704666,3.206999,0.1792174,-0.09740444,3.222235,0.2768704,-0.2382499,3.182198,0.3094104,-0.2972081,3.161831,-0.1520879,-0.2777027,3.102899,-0.1289194,-0.6152868,3.162705,-0.1358711,-0.8724194,3.176861,-0.1513465,-0.9391799,3.120962,-0.02140819,-0.2796247,3.124472,-0.05820975,-0.6163029,3.186533,-0.03925049,-0.8798552,3.226236,-0.04394465,-0.9441642,3.161392,169,Walk-in-place-as-fast-as-you-can,
64668457.5294,-0.09133921,-0.2151769,3.127194,-0.0971387,-0.1619754,3.177639,-0.1089337,0.1557142,3.194618,-0.1144896,0.3053636,3.199966,-0.252838,0.04334996,3.185384,-0.3922429,-0.1426122,3.143114,-0.4962076,-0.2802166,3.15276,-0.4951102,-0.2929062,3.15148,0.0296339,0.0487558,3.207626,0.178491,-0.1000954,3.218802,0.2746009,-0.2398231,3.16952,0.292794,-0.2759557,3.162801,-0.1539515,-0.2780079,3.103014,-0.1289596,-0.6152671,3.162694,-0.1358469,-0.8731301,3.176504,-0.15214,-0.9403304,3.121087,-0.02253013,-0.2797015,3.124431,-0.05892237,-0.6176132,3.186795,-0.03965328,-0.8789176,3.224362,-0.04350254,-0.9443085,3.161393,169,Walk-in-place-as-fast-as-you-can,
64668489.5312,-0.09323736,-0.2148804,3.127167,-0.09934205,-0.1619293,3.177558,-0.1137236,0.1545581,3.194291,-0.1181027,0.3061684,3.201493,-0.2552586,0.04291234,3.18687,-0.3966541,-0.1286791,3.147091,-0.4917411,-0.2737094,3.146347,-0.5013969,-0.2967799,3.148099,0.0295355,0.04911868,3.208453,0.1775605,-0.09928722,3.216055,0.2736978,-0.2386486,3.165503,0.3090494,-0.297629,3.150614,-0.1557179,-0.2780436,3.103266,-0.1297603,-0.6155528,3.16184,-0.1368718,-0.8735309,3.176415,-0.1532626,-0.9408205,3.120768,-0.02387986,-0.2795077,3.124048,-0.06001525,-0.6162398,3.18601,-0.03970331,-0.8745693,3.224272,-0.04119727,-0.9414492,3.160717,169,Walk-in-place-as-fast-as-you-can,
64668525.5333,-0.09433652,-0.2160525,3.12581,-0.1002449,-0.1629863,3.176241,-0.113727,0.1544061,3.193406,-0.11816,0.3063026,3.201822,-0.2540674,0.042721,3.18641,-0.3977404,-0.1046705,3.144361,-0.4874231,-0.2530537,3.144294,-0.514355,-0.2937363,3.148648,0.02892278,0.04913112,3.207763,0.177938,-0.09989751,3.213582,0.2768796,-0.2367676,3.161262,0.3133677,-0.2957707,3.149527,-0.1562461,-0.2783518,3.102842,-0.1301573,-0.6153194,3.161244,-0.1362473,-0.8732294,3.177233,-0.1559245,-0.9394732,3.121178,-0.02586911,-0.2800214,3.122102,-0.06109721,-0.6136051,3.184646,-0.03566127,-0.878848,3.227737,-0.04257908,-0.9425141,3.161303,169,Walk-in-place-as-fast-as-you-can,
64668557.5351,-0.095074,-0.2158711,3.126207,-0.1007627,-0.1629854,3.176819,-0.1167279,0.1547448,3.19541,-0.1183933,0.3064913,3.201676,-0.2581912,0.04292812,3.187751,-0.4009447,-0.1023486,3.147884,-0.5082598,-0.2350444,3.169059,-0.536989,-0.2982923,3.157866,0.02613959,0.05069146,3.205793,0.1764934,-0.09910453,3.209442,0.2783841,-0.2350535,3.161532,0.317662,-0.2928328,3.153181,-0.1565884,-0.2783281,3.103044,-0.1313237,-0.6144055,3.161752,-0.1362481,-0.8732308,3.177235,-0.1556573,-0.9398027,3.121193,-0.02652483,-0.2798092,3.122323,-0.06219935,-0.6136399,3.184751,-0.03617625,-0.8784422,3.226199,-0.02850828,-0.9429913,3.168692,169,Walk-in-place-as-fast-as-you-can,
64668592.5371,-0.09762566,-0.2157003,3.12656,-0.1032938,-0.1628396,3.176992,-0.120786,0.1538866,3.193938,-0.1187856,0.3067735,3.200639,-0.25956,0.04386661,3.18851,-0.4017125,-0.1019464,3.154718,-0.5127522,-0.2331982,3.168422,-0.5467165,-0.2929138,3.153198,0.02482684,0.05151094,3.20427,0.1721376,-0.09457647,3.207763,0.2780455,-0.2285085,3.164083,0.319502,-0.2820514,3.144957,-0.1595345,-0.2778727,3.105513,-0.1342202,-0.6076071,3.161079,-0.1363452,-0.8709907,3.177297,-0.1540485,-0.9388797,3.121536,-0.02896004,-0.2796784,3.12138,-0.06311316,-0.6135796,3.184651,-0.03606492,-0.8787062,3.226294,-0.02917163,-0.9423838,3.169134,169,Walk-in-place-as-fast-as-you-can,
64668619.1377,-0.09802305,-0.2156599,3.126534,-0.1043934,-0.162951,3.177021,-0.1220787,0.1548252,3.195642,-0.1193252,0.3081904,3.200431,-0.2568627,0.04287051,3.186135,-0.4067905,-0.1004846,3.157626,-0.5186648,-0.2311442,3.170713,-0.5542667,-0.2893616,3.153528,0.02558341,0.05541094,3.206992,0.1719171,-0.0938421,3.207512,0.2803977,-0.2235077,3.155906,0.3233571,-0.2777029,3.142889,-0.1596495,-0.2778517,3.105455,-0.1342163,-0.6082929,3.161339,-0.1366815,-0.8713247,3.177174,-0.1538757,-0.9392762,3.12154,-0.02968981,-0.2791157,3.121133,-0.06349786,-0.613234,3.184476,-0.03519227,-0.880127,3.230355,-0.02956552,-0.9424621,3.16883,169,Walk-in-place-as-fast-as-you-can,
64668650.3378,-0.09991008,-0.2150251,3.126903,-0.1056011,-0.1624407,3.177198,-0.1234434,0.1539744,3.194337,-0.1212779,0.3073899,3.20047,-0.2615834,0.04254891,3.187284,-0.4091006,-0.09941919,3.158482,-0.5208145,-0.2293876,3.175632,-0.558103,-0.2865494,3.158465,0.0232229,0.05464534,3.204484,0.1720557,-0.09593078,3.20474,0.2813654,-0.2246033,3.152195,0.3110001,-0.2631422,3.144549,-0.1612355,-0.2775944,3.105939,-0.1340694,-0.6091005,3.161981,-0.1372053,-0.8716456,3.176856,-0.155187,-0.940519,3.121668,-0.03149927,-0.2786432,3.121519,-0.06394719,-0.615405,3.18534,-0.03598532,-0.8790852,3.228663,-0.03370281,-0.9437206,3.166155,169,Walk-in-place-as-fast-as-you-can,
64668689.5383,-0.1020374,-0.2165856,3.127026,-0.1064238,-0.1635432,3.177206,-0.1240451,0.1537406,3.1936,-0.1245183,0.3080775,3.199903,-0.2628366,0.0423497,3.187619,-0.4119607,-0.1020025,3.161889,-0.5241908,-0.2320985,3.176318,-0.563439,-0.289082,3.163449,0.01757876,0.04925075,3.196323,0.1729252,-0.09699899,3.203517,0.2827082,-0.227169,3.157463,0.3251894,-0.2806565,3.140505,-0.1636737,-0.2792851,3.107114,-0.1337797,-0.6094243,3.161822,-0.1362476,-0.8719143,3.177716,-0.1548332,-0.9401521,3.122197,-0.03365074,-0.2796958,3.121192,-0.06460255,-0.6171698,3.185787,-0.03571784,-0.8820695,3.227645,-0.03378933,-0.9437217,3.165636,169,Walk-in-place-as-fast-as-you-can,
