Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64693585.5528,-0.0565359,-0.1893921,2.937144,-0.06510196,-0.1398666,2.985464,-0.06433682,0.1568103,2.99536,-0.06362288,0.2989115,2.993406,-0.213019,0.06258588,2.976478,-0.4073555,-0.01461966,2.914086,-0.5457404,-0.1190928,2.899846,-0.5729232,-0.1524484,2.887449,0.1089803,0.07330768,3.037258,0.270995,0.02293723,3.050603,0.4302229,-0.04233725,3.060538,0.4881568,-0.08103534,3.047506,-0.1263329,-0.2617968,2.909879,-0.1519846,-0.5862936,2.934008,-0.2012003,-0.8496662,2.958684,-0.2207775,-0.926676,2.924578,0.01599627,-0.2620446,2.935915,-0.008779061,-0.5888394,2.962505,-0.006181119,-0.8603983,2.957536,-0.02033915,-0.925513,2.926479,169,Run-in-place-as-fast-as-you-can,
64693617.5546,-0.0578505,-0.1920688,2.936395,-0.06644188,-0.1419629,2.984735,-0.06481548,0.1566427,2.994896,-0.06413125,0.2991773,2.993192,-0.2125393,0.06227706,2.975865,-0.3957068,-0.02389054,2.910303,-0.5173095,-0.1474958,2.896273,-0.5576708,-0.1708237,2.886216,0.1057884,0.07071635,3.036649,0.2638649,0.002403446,3.034549,0.4169981,-0.0680436,3.06381,0.4655412,-0.1174706,3.048816,-0.1266513,-0.2632557,2.908775,-0.1519936,-0.5868476,2.933579,-0.2017006,-0.8501937,2.958398,-0.2170697,-0.9302336,2.923567,0.01366974,-0.264329,2.936199,-0.007930365,-0.5882525,2.960974,-0.005924722,-0.8612015,2.95748,-0.01593581,-0.9259065,2.928491,169,Run-in-place-as-fast-as-you-can,
64693649.5564,-0.05827453,-0.1937604,2.936173,-0.06698644,-0.1435719,2.984474,-0.06541739,0.1557996,2.994483,-0.06412634,0.2987685,2.992794,-0.2124079,0.06192504,2.975725,-0.3899206,-0.03632493,2.910836,-0.5122477,-0.1592372,2.899723,-0.5393982,-0.2028626,2.894116,0.1018323,0.06740989,3.035412,0.2589404,-0.01149662,3.033101,0.4050842,-0.1136392,3.052137,0.4557439,-0.1418158,3.050641,-0.1264721,-0.264415,2.908196,-0.1523122,-0.5870906,2.933662,-0.2015905,-0.8509484,2.958011,-0.2187513,-0.929408,2.922664,0.01286432,-0.2653543,2.936538,-0.007497723,-0.5884924,2.960716,-0.006133664,-0.8616577,2.957296,-0.0143909,-0.9262095,2.928789,169,Run-in-place-as-fast-as-you-can,
64693685.5585,-0.05853645,-0.1950922,2.935554,-0.0673849,-0.1445303,2.983929,-0.06584772,0.1560043,2.994111,-0.06449963,0.2986485,2.992661,-0.2119605,0.06084232,2.974969,-0.3831348,-0.0552546,2.914257,-0.5033082,-0.1799067,2.912329,-0.5299305,-0.2154624,2.903431,0.100648,0.06612639,3.035033,0.2534161,-0.02039534,3.032741,0.3919184,-0.1417033,3.041408,0.4231106,-0.1829132,3.032834,-0.126016,-0.2658674,2.906346,-0.1525754,-0.5865599,2.932597,-0.2015915,-0.8482153,2.959257,-0.2097553,-0.9267193,2.922026,0.01212619,-0.2665877,2.936791,-0.007490015,-0.5901535,2.959421,-0.006384485,-0.8616247,2.957361,-0.01303921,-0.9256886,2.928245,169,Run-in-place-as-fast-as-you-can,
64693717.5603,-0.05984648,-0.1983237,2.933621,-0.06879687,-0.1471469,2.982415,-0.06765317,0.1561338,2.993938,-0.06717399,0.2986974,2.992421,-0.2119124,0.06008639,2.974856,-0.3817255,-0.06310726,2.913148,-0.4930232,-0.1957052,2.911741,-0.5363579,-0.2513373,2.904546,0.09851214,0.06361749,3.034245,0.247508,-0.04658237,3.029637,0.3684622,-0.1705248,3.027057,0.4190254,-0.2183305,3.040569,-0.1263791,-0.2676682,2.904894,-0.1531156,-0.5868767,2.932546,-0.2020546,-0.8480013,2.959534,-0.2096097,-0.9267628,2.921859,0.01041708,-0.2692363,2.934657,-0.007660819,-0.5903543,2.959514,-0.006274174,-0.8618416,2.956641,-0.01144972,-0.9263322,2.92668,169,Run-in-place-as-fast-as-you-can,
64693753.5624,-0.05979031,-0.2005119,2.932135,-0.06893745,-0.1493625,2.981007,-0.06888135,0.155073,2.993178,-0.06685914,0.2986741,2.992069,-0.211702,0.05781292,2.973976,-0.3764965,-0.07436731,2.911467,-0.4783907,-0.214682,2.900129,-0.5083864,-0.2435738,2.902959,0.09576191,0.0621498,3.032403,0.2416636,-0.05516962,3.027556,0.3605188,-0.181221,3.023506,0.3924371,-0.2440881,3.030833,-0.1256138,-0.2693383,2.903577,-0.1536015,-0.5876554,2.93092,-0.2022272,-0.8479098,2.959416,-0.2158937,-0.9247357,2.919958,0.01016086,-0.2703958,2.933326,-0.006988322,-0.5913398,2.959306,-0.005989168,-0.8597715,2.959877,-0.01071169,-0.9254092,2.927866,169,Run-in-place-as-fast-as-you-can,
64693785.5642,-0.06000226,-0.2038816,2.93082,-0.06923702,-0.1521158,2.979776,-0.06991298,0.154778,2.992284,-0.06742121,0.2988388,2.991883,-0.2112185,0.05551429,2.972783,-0.3729334,-0.07945299,2.910883,-0.4739431,-0.2203963,2.897789,-0.4935219,-0.2468987,2.899729,0.09205638,0.05969342,3.029445,0.2343214,-0.06655199,3.023177,0.3355174,-0.2067345,2.99833,0.3819045,-0.2583672,3.012741,-0.1250584,-0.27151,2.902663,-0.1535023,-0.5881305,2.930996,-0.2024471,-0.8487396,2.958874,-0.2166274,-0.9247555,2.922688,0.009503551,-0.272557,2.932335,-0.006700068,-0.5918202,2.959418,-0.005801308,-0.8599094,2.95966,-0.01017621,-0.9249941,2.927469,169,Run-in-place-as-fast-as-you-can,
64693842.7658,-0.06025355,-0.2067728,2.929709,-0.069679,-0.1548432,2.97879,-0.07041492,0.1539644,2.992138,-0.0673138,0.2984703,2.991628,-0.2100389,0.05436385,2.971847,-0.3695135,-0.08152728,2.908548,-0.4691637,-0.2234423,2.897911,-0.5124414,-0.2795389,2.900448,0.09047793,0.05876125,3.028906,0.2333086,-0.08290769,3.017973,0.3418185,-0.2181626,3.00807,0.3853822,-0.2738346,3.01346,-0.1245926,-0.2738341,2.901631,-0.1533116,-0.588467,2.930339,-0.2025013,-0.8518062,2.95938,-0.2222073,-0.9334722,2.923068,0.00870431,-0.2740443,2.931314,-0.006573337,-0.5924258,2.959496,-0.004743201,-0.8626588,2.957803,-0.008233962,-0.9258443,2.929133,169,Run-in-place-as-fast-as-you-can,
64693842.7658,-0.06006296,-0.2093809,2.928541,-0.06941625,-0.1571546,2.977859,-0.0708939,0.1535196,2.992008,-0.06754654,0.2987667,2.991566,-0.210218,0.05376585,2.971733,-0.3667223,-0.08346743,2.907652,-0.4656605,-0.2258745,2.897705,-0.4893431,-0.2511392,2.900378,0.08706416,0.05461378,3.025595,0.23141,-0.08558314,3.017795,0.3369763,-0.2231569,3.006023,0.3762307,-0.2821959,3.006823,-0.1240206,-0.2757225,2.900885,-0.1526176,-0.5879562,2.929843,-0.2023604,-0.8505423,2.959252,-0.2221488,-0.9277413,2.921942,0.008603171,-0.2763445,2.929535,-0.006914191,-0.593172,2.958875,-0.0048416,-0.862754,2.957786,-0.007408711,-0.9250609,2.929993,169,Run-in-place-as-fast-as-you-can,
64693873.9658,-0.06007575,-0.2097629,2.927974,-0.06972583,-0.15772,2.977188,-0.07129168,0.1524269,2.991391,-0.06754356,0.2984596,2.991087,-0.2080626,0.05204502,2.970005,-0.3663994,-0.09023084,2.904257,-0.4679098,-0.23071,2.898469,-0.4866739,-0.2514291,2.899066,0.08681665,0.05472506,3.025802,0.2279769,-0.08676689,3.017889,0.3376672,-0.2210586,3.004209,0.3772632,-0.2798555,3.005981,-0.1236702,-0.2758004,2.899795,-0.1525109,-0.5882738,2.928555,-0.2023896,-0.8548979,2.960034,-0.2132804,-0.9323137,2.93017,0.00835257,-0.2766378,2.929194,-0.007397517,-0.5961795,2.95929,-0.004776289,-0.8614751,2.957691,-0.007932108,-0.9247212,2.929213,169,Run-in-place-as-fast-as-you-can,
64693917.5674,-0.05934984,-0.2105612,2.927556,-0.06930025,-0.1584443,2.976984,-0.07187095,0.1523642,2.99217,-0.06756762,0.2986466,2.99099,-0.2083255,0.05214444,2.970119,-0.3665465,-0.09049503,2.904281,-0.4685113,-0.2307117,2.896523,-0.4854113,-0.2509279,2.895137,0.08589035,0.05471016,3.02573,0.2277232,-0.08786236,3.017808,0.3382105,-0.2214744,3.002909,0.3644091,-0.2663876,2.996336,-0.1223644,-0.2770176,2.899319,-0.1522246,-0.5888553,2.927879,-0.2015074,-0.8565105,2.959723,-0.2123761,-0.9330215,2.931969,0.00914064,-0.2768962,2.928318,-0.007644261,-0.5969051,2.959242,-0.005073416,-0.8617418,2.95796,-0.008359322,-0.9268125,2.931997,169,Run-in-place-as-fast-as-you-can,
