Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64723649.268,0.06856199,-0.1873819,2.722932,0.06176061,-0.1392333,2.771776,0.05125743,0.1544199,2.782511,0.04897129,0.3048806,2.764913,-0.1172415,0.05216435,2.7669,-0.3067262,-0.01064664,2.757081,-0.4642155,-0.08293267,2.735583,-0.5226798,-0.120621,2.724019,0.211287,0.08264454,2.807769,0.3966477,-0.005837023,2.805501,0.5455779,-0.09477673,2.800189,0.6027186,-0.1357256,2.794681,-0.002036646,-0.2662389,2.698325,0.01113987,-0.5834659,2.746276,0.002133697,-0.8589804,2.772451,-0.0242052,-0.9329205,2.726825,0.1461963,-0.2557062,2.718158,0.1132053,-0.5902195,2.757092,0.124097,-0.8465602,2.780234,0.1163369,-0.9195949,2.754404,169,Do-two-jumping-jacks,
64723686.2701,0.06777531,-0.1898022,2.723847,0.06117903,-0.1409953,2.772711,0.05138306,0.1542453,2.78323,0.04931004,0.3046823,2.765074,-0.1156738,0.04800086,2.769986,-0.2968269,-0.02588584,2.756895,-0.446652,-0.1131863,2.737699,-0.4673238,-0.1311399,2.719057,0.2090742,0.07968347,2.810197,0.3829454,-0.03653001,2.808054,0.5073088,-0.156371,2.779242,0.5390577,-0.1753774,2.782085,-0.002681563,-0.267738,2.698852,0.01087201,-0.5849406,2.747564,0.002175459,-0.8592295,2.772374,-0.0228668,-0.9326132,2.727176,0.1451507,-0.2572295,2.719156,0.1126781,-0.5889843,2.756819,0.1246955,-0.8465371,2.780489,0.1251217,-0.9180281,2.758943,169,Do-two-jumping-jacks,
64723717.2719,0.06733432,-0.1927458,2.724967,0.06039304,-0.1432507,2.773745,0.05079479,0.1539348,2.783736,0.04959141,0.3043277,2.764955,-0.1140637,0.04543723,2.772186,-0.2955853,-0.0522284,2.757908,-0.4299893,-0.1600749,2.72561,-0.4488754,-0.1731363,2.713126,0.208093,0.07281746,2.81253,0.3640958,-0.06649176,2.801091,0.4711424,-0.2021856,2.773583,0.4924712,-0.2209629,2.767065,-0.002317241,-0.2694252,2.699755,0.01075698,-0.5853741,2.747918,0.00279833,-0.860275,2.772701,-0.02454421,-0.933218,2.728328,0.1439403,-0.260134,2.720698,0.1126897,-0.5890101,2.757056,0.124555,-0.8465403,2.780535,0.1301597,-0.9204702,2.756748,169,Do-two-jumping-jacks,
64723750.2738,0.06683464,-0.1998591,2.726482,0.05990335,-0.1486206,2.775067,0.05090068,0.1534469,2.783936,0.04661208,0.3054741,2.769408,-0.112105,0.04497306,2.77364,-0.2922141,-0.07778277,2.75702,-0.4158001,-0.1975306,2.722823,-0.4640872,-0.2480584,2.713422,0.2065373,0.06832468,2.813185,0.3538971,-0.08608773,2.796551,0.4254403,-0.2422855,2.760313,0.4432,-0.261217,2.750574,-0.001279818,-0.2729398,2.70119,0.01051897,-0.5855484,2.747894,0.003004401,-0.8603072,2.772731,-0.0264869,-0.9332703,2.726697,0.1405952,-0.2682323,2.723324,0.1125484,-0.5880225,2.756324,0.1239305,-0.8472102,2.781173,0.1304358,-0.9222137,2.75368,169,Do-two-jumping-jacks,
64723785.2758,0.06777627,-0.2041789,2.727572,0.06030352,-0.1525661,2.77607,0.05003484,0.151754,2.784261,0.04666495,0.3042815,2.770386,-0.1099439,0.04475376,2.775521,-0.2514134,-0.08479657,2.758942,-0.3907301,-0.1863215,2.727158,-0.4320724,-0.2415693,2.712602,0.2040519,0.06298453,2.813957,0.3218681,-0.09409098,2.7908,0.4074902,-0.244805,2.770218,0.4187217,-0.2753538,2.750702,0.001702167,-0.2770113,2.702251,0.01086079,-0.5861216,2.747895,0.003020845,-0.8604006,2.772733,-0.02600097,-0.9334245,2.727033,0.1406461,-0.2709045,2.725093,0.1129393,-0.5913303,2.758603,0.1239083,-0.8463552,2.780566,0.1329895,-0.9184321,2.756522,169,Do-two-jumping-jacks,
64723818.2777,0.06757122,-0.2046747,2.727405,0.06011247,-0.1531069,2.775984,0.05005952,0.1515085,2.784505,0.04660641,0.3041726,2.77036,-0.1083471,0.0449312,2.776904,-0.2478952,-0.08757608,2.759218,-0.3632495,-0.2152804,2.725062,-0.3855051,-0.2475533,2.711985,0.202397,0.06029829,2.814589,0.3125435,-0.1468104,2.780936,0.3851822,-0.3044576,2.769149,0.3897766,-0.3170375,2.75017,0.001699371,-0.2771347,2.702142,0.01086532,-0.586672,2.74762,0.003539875,-0.8592878,2.771979,-0.01926962,-0.9295179,2.732031,0.1401474,-0.2711,2.725018,0.1129473,-0.5916737,2.758499,0.1236493,-0.8446639,2.778851,0.133254,-0.9176491,2.756085,169,Do-two-jumping-jacks,
64723850.2795,0.06660208,-0.2073263,2.727889,0.05933769,-0.1553967,2.776485,0.04997222,0.1509304,2.784762,0.04718969,0.3037907,2.770548,-0.1074998,0.04440758,2.777313,-0.2466438,-0.0985463,2.759823,-0.3540716,-0.2328587,2.724916,-0.3799556,-0.2756419,2.710201,0.1989092,0.05832956,2.813921,0.284151,-0.1415752,2.773245,0.3659205,-0.2946768,2.760051,0.3604403,-0.3083641,2.742728,0.00170548,-0.2784485,2.702549,0.01012911,-0.5864486,2.747275,0.001226895,-0.8601979,2.772563,-0.02188702,-0.9305909,2.729892,0.1376873,-0.272927,2.726084,0.1132583,-0.5917119,2.758512,0.1235818,-0.8451591,2.778965,0.1340091,-0.9163097,2.757057,169,Do-two-jumping-jacks,
64723885.2815,0.06686885,-0.2099633,2.728488,0.05944571,-0.1573116,2.777115,0.04998871,0.151,2.785355,0.0473063,0.3036391,2.77063,-0.1055297,0.04368258,2.777932,-0.2407107,-0.1210784,2.751656,-0.3455223,-0.2562357,2.710562,-0.3705158,-0.3003035,2.69831,0.1967448,0.05744112,2.814556,0.279749,-0.1481065,2.773145,0.3558701,-0.3037393,2.750993,0.3407159,-0.3304633,2.734151,0.002902302,-0.2800038,2.703271,0.01022488,-0.5865616,2.747523,0.00409104,-0.860285,2.77243,-0.01960598,-0.9312335,2.728891,0.1370254,-0.2743036,2.726802,0.1126244,-0.5928605,2.759069,0.123848,-0.8478017,2.778678,0.1458221,-0.9289199,2.746377,169,Do-two-jumping-jacks,
64723917.2833,0.06681013,-0.2103256,2.728349,0.05944123,-0.1575994,2.77708,0.04980266,0.1518553,2.786273,0.0467382,0.3040925,2.769433,-0.1040436,0.04369314,2.778699,-0.2386429,-0.1258575,2.749473,-0.3388993,-0.2653348,2.712986,-0.3615467,-0.3104703,2.70008,0.194974,0.05492413,2.814166,0.2707628,-0.1561336,2.774315,0.3171228,-0.3198724,2.728616,0.3290806,-0.3357818,2.729828,0.003015595,-0.2800818,2.703062,0.00923707,-0.589542,2.749944,0.002569472,-0.8587185,2.772419,-0.02319641,-0.9319092,2.727981,0.1368057,-0.2744386,2.726824,0.1123353,-0.5926012,2.758787,0.123867,-0.8467946,2.778674,0.1461079,-0.9280028,2.747088,169,Do-two-jumping-jacks,
64723949.2852,0.06659354,-0.2129208,2.728052,0.05943242,-0.1601847,2.776796,0.0489881,0.1502367,2.785794,0.04819012,0.3025738,2.770145,-0.1033046,0.04336942,2.778956,-0.2361802,-0.1292385,2.748079,-0.3251064,-0.2750289,2.705477,-0.3491208,-0.3206229,2.697671,0.1885022,0.05077163,2.810335,0.2566881,-0.1600984,2.769462,0.3114047,-0.3229803,2.733348,0.3296436,-0.3772742,2.725137,0.003398421,-0.2811115,2.703151,0.009218806,-0.5906259,2.750577,0.002608741,-0.8587512,2.772471,-0.02379659,-0.9322965,2.727654,0.1362354,-0.2754455,2.726872,0.112127,-0.5927969,2.759291,0.1231987,-0.8469757,2.778441,0.1448312,-0.9259168,2.74753,169,Do-two-jumping-jacks,
