Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64740401.1397,-0.04174665,-0.2010291,2.942904,-0.04892993,-0.1513948,2.992991,-0.05371165,0.1517733,3.010784,-0.04603347,0.2985225,3.001347,-0.2124895,0.05091731,2.993013,-0.3962157,-0.03479389,2.962618,-0.5409561,-0.1262638,2.921691,-0.5714122,-0.136961,2.895051,0.09824515,0.07167226,3.035403,0.2653946,-0.0111966,3.036456,0.4121088,-0.101264,3.05755,0.4564477,-0.154907,3.045612,-0.1078515,-0.2717465,2.915738,-0.1175094,-0.5909665,2.96495,-0.1298478,-0.8646953,2.983017,-0.1349988,-0.9340999,2.921719,0.02959421,-0.2676871,2.938181,0.05511977,-0.5920709,2.955497,0.07762473,-0.8481525,2.978243,0.1038672,-0.9251218,2.946502,169,Push-an-imaginary-button-in-front-of-you,
64740437.1417,-0.04188827,-0.2025559,2.943349,-0.04891211,-0.1526377,2.993357,-0.05358647,0.1514438,3.010731,-0.0460788,0.2978543,3.001059,-0.2119627,0.05032739,2.993469,-0.3900065,-0.06387649,2.965475,-0.5267797,-0.1622572,2.911591,-0.5436254,-0.1703123,2.888396,0.09686752,0.06840257,3.03455,0.2602257,-0.02235967,3.032964,0.3991492,-0.1578519,3.041313,0.438587,-0.1902941,3.030541,-0.1077569,-0.2726854,2.916322,-0.1174086,-0.5913064,2.965001,-0.1304735,-0.8628997,2.982521,-0.1349925,-0.9327676,2.921697,0.02883145,-0.2693538,2.939018,0.05543174,-0.5923249,2.955985,0.07724802,-0.8470703,2.978165,0.1031501,-0.9242896,2.947324,169,Push-an-imaginary-button-in-front-of-you,
64740469.1435,-0.04171455,-0.2030169,2.943598,-0.04861001,-0.1530549,2.993558,-0.05302705,0.1509781,3.010427,-0.04592983,0.2977047,3.000884,-0.2093377,0.04999482,2.994324,-0.3866154,-0.07878924,2.964202,-0.5140855,-0.1936525,2.925491,-0.5317951,-0.2064085,2.900505,0.09690987,0.06851524,3.034686,0.2566296,-0.05547749,3.031579,0.3836583,-0.1737878,3.027115,0.4161445,-0.2080067,3.033719,-0.1071847,-0.2730019,2.916821,-0.1177757,-0.5920577,2.965853,-0.1304013,-0.8633542,2.981123,-0.1363023,-0.9316759,2.91868,0.0285129,-0.2697631,2.939526,0.05595659,-0.5929879,2.956386,0.07710686,-0.8462992,2.977889,0.1034973,-0.9242718,2.946818,169,Push-an-imaginary-button-in-front-of-you,
64740501.1454,-0.04172659,-0.2049789,2.943702,-0.04864902,-0.1545766,2.993644,-0.05287825,0.1508254,3.010419,-0.04442813,0.2977573,3.000314,-0.2053098,0.04805303,2.993886,-0.3789728,-0.09064561,2.959747,-0.5006758,-0.2132685,2.92994,-0.5167283,-0.2238026,2.910727,0.09604283,0.06865334,3.035001,0.2536011,-0.06016357,3.031075,0.3773803,-0.2131413,3.023304,0.4087198,-0.2512656,3.040282,-0.1066943,-0.2738564,2.917233,-0.1176511,-0.5922425,2.965908,-0.1302753,-0.8629163,2.980785,-0.1361468,-0.9313967,2.91851,0.02772531,-0.2706655,2.939756,0.05592584,-0.5927874,2.956379,0.07763111,-0.8474205,2.978248,0.1037924,-0.9244189,2.946919,169,Push-an-imaginary-button-in-front-of-you,
64740537.1474,-0.04145776,-0.2070224,2.944266,-0.04844256,-0.156261,2.994298,-0.0527222,0.1506006,3.011327,-0.04390237,0.2976367,3.000208,-0.2026173,0.04684772,2.993875,-0.3713852,-0.1000982,2.958212,-0.4844398,-0.2307582,2.928532,-0.5321815,-0.2770231,2.904731,0.09551985,0.06882899,3.035273,0.2507913,-0.08804549,3.022786,0.3640589,-0.2197467,3.014366,0.3892225,-0.2607219,3.013545,-0.105733,-0.274983,2.918363,-0.1179235,-0.593617,2.966481,-0.1305598,-0.8635315,2.982412,-0.136363,-0.9339715,2.922354,0.02729524,-0.2716547,2.939949,0.05643592,-0.5957464,2.95851,0.07710862,-0.8451532,2.977047,0.1028312,-0.9229364,2.945385,169,Push-an-imaginary-button-in-front-of-you,
64740569.1493,-0.04142645,-0.2085748,2.944401,-0.04821086,-0.1575832,2.994495,-0.05215746,0.1502999,3.011644,-0.04419921,0.29692,3.000555,-0.2003076,0.04690785,2.994276,-0.3606882,-0.1246371,2.961576,-0.4795246,-0.2499646,2.931213,-0.5183463,-0.3064744,2.914304,0.09479555,0.0670874,3.034398,0.2451901,-0.09385909,3.022017,0.3483965,-0.2335703,3.006734,0.3717978,-0.2764897,3.003915,-0.1054014,-0.2754172,2.918498,-0.1179613,-0.5939412,2.966917,-0.1310153,-0.8650907,2.981333,-0.1357579,-0.9341008,2.919543,0.02634674,-0.2731992,2.940412,0.05617774,-0.5960199,2.958585,0.07703143,-0.84475,2.975662,0.1026646,-0.9227497,2.945126,169,Push-an-imaginary-button-in-front-of-you,
64740601.1511,-0.04144669,-0.2090177,2.944654,-0.04844303,-0.1579787,2.994726,-0.05168333,0.1502952,3.012056,-0.04418053,0.2969449,3.000554,-0.1977831,0.04584716,2.99283,-0.35061,-0.1326367,2.963859,-0.4560291,-0.270683,2.948384,-0.5008908,-0.3227762,2.93225,0.09439564,0.06713404,3.034911,0.2244014,-0.09087376,3.023665,0.302834,-0.2454779,3.000696,0.3211378,-0.2786014,3.002848,-0.1051551,-0.2755334,2.918782,-0.1179866,-0.5939089,2.966956,-0.131168,-0.8651128,2.9831,-0.1358826,-0.933155,2.943913,0.02571206,-0.2735308,2.940925,0.05603399,-0.5965413,2.9587,0.0767668,-0.8457769,2.975378,0.10471,-0.9254227,2.944867,169,Push-an-imaginary-button-in-front-of-you,
64740637.1532,-0.0402091,-0.2106032,2.944762,-0.04743135,-0.1593943,2.994902,-0.05077731,0.1499935,3.012562,-0.04416995,0.2967777,3.000472,-0.1952828,0.04420869,2.991828,-0.3433675,-0.1368425,2.963989,-0.4489933,-0.2747671,2.949984,-0.4812259,-0.3367213,2.96045,0.09425357,0.06663412,3.035114,0.2206933,-0.09122735,3.023016,0.2952952,-0.2477079,2.999917,0.3124593,-0.2830903,2.999754,-0.1031021,-0.2766387,2.918858,-0.117602,-0.5955811,2.96704,-0.1311717,-0.8651127,2.983101,-0.1363249,-0.9345433,2.936111,0.02611232,-0.2743357,2.941206,0.05580401,-0.5965885,2.959215,0.07688951,-0.8459098,2.975379,0.1045989,-0.9253344,2.945088,169,Push-an-imaginary-button-in-front-of-you,
64740669.155,-0.03993193,-0.2117273,2.944946,-0.0470136,-0.1604115,2.995045,-0.04964778,0.1493745,3.012396,-0.04200952,0.2955894,3.001087,-0.1944508,0.04454221,2.991944,-0.3349851,-0.1407111,2.964863,-0.4339949,-0.2834061,2.958055,-0.4750147,-0.3402658,2.9665,0.09432058,0.06429938,3.034436,0.2151226,-0.0956161,3.023073,0.2810134,-0.2554628,2.994428,0.2963127,-0.288054,2.99616,-0.1027378,-0.2771347,2.918823,-0.1178561,-0.5958207,2.967349,-0.1311925,-0.8658394,2.982768,-0.1355007,-0.9368138,2.923207,0.02587034,-0.2760853,2.942225,0.05540852,-0.5987603,2.959797,0.07847586,-0.8492565,2.976343,0.1035258,-0.9257186,2.945154,169,Push-an-imaginary-button-in-front-of-you,
64740703.1569,-0.03968484,-0.212873,2.945187,-0.0469434,-0.1613456,2.995348,-0.0496875,0.149372,3.013146,-0.04201856,0.2954831,3.001128,-0.1938191,0.0442351,2.991631,-0.3341354,-0.1427362,2.965955,-0.430976,-0.2869805,2.956254,-0.4376404,-0.2972144,2.962541,0.09424503,0.06368461,3.03478,0.2155472,-0.1296168,3.022759,0.2934306,-0.283312,2.988912,0.2926099,-0.2905151,2.995352,-0.1022611,-0.2781893,2.919317,-0.1177521,-0.5959337,2.967475,-0.131085,-0.8662314,2.984513,-0.1365065,-0.9357765,2.923375,0.0259825,-0.2765231,2.942248,0.05543077,-0.5988913,2.959798,0.07863952,-0.8516587,2.977053,0.1035486,-0.9271342,2.946275,169,Push-an-imaginary-button-in-front-of-you,
