Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64826329.3033,0.01105197,-0.1986764,2.848603,0.002894263,-0.142761,2.888332,-0.004703182,0.1691772,2.890329,-0.0005001501,0.320922,2.895281,-0.1591992,0.07011046,2.864211,-0.3817859,0.04614045,2.807088,-0.5475656,-0.0003405027,2.772352,-0.6105253,-0.01966941,2.74729,0.1686566,0.09520309,2.924782,0.3837201,0.1087305,2.910154,0.5500032,0.05999961,2.911241,0.5988188,0.07720096,2.917066,-0.05981349,-0.2748861,2.826106,-0.0732314,-0.5928693,2.866408,-0.1053205,-0.8561985,2.864327,-0.1360773,-0.932533,2.819201,0.08680072,-0.2697164,2.848466,0.0952599,-0.5736361,2.862871,0.1082566,-0.8402172,2.881088,0.1295463,-0.9127763,2.850318,169,Swim,
64826361.3052,0.01029249,-0.1991117,2.847269,0.002119316,-0.1433283,2.88805,-0.004976246,0.1690846,2.890569,-0.000905966,0.3207737,2.894089,-0.1593078,0.06995068,2.864718,-0.3804761,0.04235898,2.808085,-0.5457902,-0.008575175,2.780437,-0.5682057,-0.01877111,2.759797,0.167606,0.09429377,2.924625,0.3846028,0.09981255,2.911196,0.5466713,0.04109869,2.921381,0.5734793,0.04044805,2.924513,-0.06045245,-0.275045,2.824605,-0.07429487,-0.5918047,2.863965,-0.1052007,-0.8562421,2.86434,-0.1354381,-0.9307933,2.819831,0.08598123,-0.2700715,2.846679,0.09537918,-0.5735729,2.862545,0.1081398,-0.840775,2.880545,0.1288177,-0.9140679,2.852298,169,Swim,
64826397.3072,0.009355866,-0.2000642,2.846001,0.001246397,-0.1444453,2.887744,-0.00488796,0.1682258,2.891191,-0.001318485,0.3194828,2.892546,-0.1590776,0.06867035,2.8649,-0.376829,0.03172956,2.805164,-0.5378621,-0.03247593,2.782247,-0.5817443,-0.05304203,2.763164,0.1665088,0.09096795,2.924571,0.3837236,0.08306515,2.907044,0.5444933,0.01794024,2.905349,0.570213,0.007098208,2.910368,-0.06156782,-0.2756851,2.822444,-0.07411826,-0.591713,2.863655,-0.105346,-0.8562011,2.86395,-0.1348711,-0.9287955,2.820076,0.08480825,-0.2710994,2.845431,0.09493483,-0.5747275,2.862227,0.1082789,-0.8413237,2.880373,0.1284692,-0.9140838,2.852816,169,Swim,
64826429.3091,0.008993692,-0.2003257,2.845057,0.0007069246,-0.1449873,2.887582,-0.005222223,0.1675614,2.891785,-0.00373059,0.3180098,2.891012,-0.159003,0.0666786,2.864841,-0.3742855,-0.005757417,2.804779,-0.5381435,-0.06350658,2.793109,-0.5913181,-0.1028661,2.768836,0.1648613,0.09039947,2.925194,0.3490705,0.05544794,2.909509,0.5096335,-0.01064174,2.891995,0.5754582,-0.0353649,2.896661,-0.06179033,-0.2758375,2.81975,-0.07528827,-0.5917498,2.863025,-0.1053418,-0.8562223,2.863963,-0.1326705,-0.928025,2.821427,0.08450765,-0.2711382,2.845031,0.09436363,-0.5747797,2.860761,0.1082203,-0.8412263,2.880527,0.1282936,-0.9142694,2.853076,169,Swim,
64826461.3109,0.009206373,-0.2015252,2.844324,0.0005598054,-0.1461695,2.887594,-0.005257079,0.1670847,2.892867,-0.002793924,0.316595,2.88965,-0.1587676,0.06499381,2.864385,-0.3420471,-0.02329466,2.810995,-0.4902871,-0.1135331,2.79136,-0.5307361,-0.1431794,2.774465,0.1642742,0.0888291,2.926048,0.3471973,0.03852596,2.909116,0.4976912,-0.04743962,2.885542,0.5527318,-0.09129571,2.881887,-0.06113762,-0.2773169,2.817832,-0.07636927,-0.5918067,2.862368,-0.1056012,-0.8569083,2.863357,-0.1327282,-0.9281586,2.821608,0.08465289,-0.2720984,2.844743,0.09423396,-0.5806022,2.861713,0.1081169,-0.8445845,2.879742,0.129395,-0.9192156,2.852032,169,Swim,
64826497.3129,0.00887591,-0.2030996,2.843129,-0.0001052846,-0.1476143,2.887153,-0.005461765,0.1668981,2.8934,-0.002580692,0.3159104,2.888217,-0.158462,0.0634914,2.863899,-0.3168758,-0.0354049,2.81374,-0.4460378,-0.1513889,2.795262,-0.4927178,-0.1824184,2.778791,0.1624655,0.08567135,2.927076,0.3362912,0.008705775,2.909429,0.4655775,-0.1057598,2.878786,0.5146124,-0.1561186,2.873687,-0.06111436,-0.2781676,2.816587,-0.07822444,-0.5909952,2.860349,-0.1060609,-0.8573344,2.863094,-0.1325825,-0.9304887,2.817113,0.08409813,-0.2733896,2.843687,0.09423034,-0.5810744,2.860969,0.1077728,-0.8453134,2.878377,0.130493,-0.921154,2.851094,169,Swim,
64826529.3148,0.008514039,-0.2056415,2.8417,-0.0009040823,-0.1500032,2.886518,-0.0058964,0.1662677,2.894606,-0.002515983,0.315958,2.887863,-0.156547,0.06028899,2.862899,-0.3150743,-0.05461999,2.813107,-0.4331036,-0.1820742,2.798819,-0.4727227,-0.2367002,2.778495,0.1606832,0.08229712,2.928151,0.3091221,-0.01836945,2.897295,0.430589,-0.1424341,2.879712,0.4695332,-0.1932414,2.875807,-0.06088643,-0.2797405,2.814801,-0.07917333,-0.5909606,2.859613,-0.1062524,-0.8576347,2.863003,-0.1353602,-0.9322646,2.813456,0.08337539,-0.2749973,2.842603,0.09349172,-0.5829403,2.860004,0.1078484,-0.8450335,2.878258,0.1294966,-0.9173443,2.850233,169,Swim,
64826562.3167,0.007330422,-0.2111027,2.839982,-0.002431556,-0.1548561,2.885284,-0.007090463,0.1653354,2.89459,-0.0007264354,0.3133321,2.885093,-0.1550563,0.05899019,2.862845,-0.3044324,-0.07806891,2.808547,-0.4091733,-0.2168754,2.802279,-0.4459293,-0.2677296,2.785106,0.1537199,0.07573358,2.926279,0.3085732,-0.05261244,2.895889,0.4139362,-0.1907424,2.882978,0.4397243,-0.2559724,2.876127,-0.0605496,-0.2822658,2.813669,-0.07976084,-0.5915387,2.858809,-0.1062712,-0.857085,2.862988,-0.1350009,-0.9316009,2.814622,0.08124585,-0.2781549,2.841636,0.09285545,-0.5836622,2.858917,0.1078623,-0.8451295,2.878147,0.1291831,-0.9164385,2.850306,169,Swim,
64826597.3187,0.00639929,-0.218957,2.836177,-0.003119629,-0.1620206,2.882675,-0.007881936,0.1635243,2.895194,-0.004452712,0.3125523,2.885018,-0.1524416,0.05556349,2.863688,-0.2974772,-0.08792995,2.814005,-0.3973804,-0.2299967,2.798091,-0.4230382,-0.2697831,2.791549,0.1455962,0.07058647,2.921949,0.2884037,-0.05823516,2.891036,0.3844233,-0.2030148,2.878066,0.4056831,-0.2425915,2.872234,-0.05996211,-0.2861198,2.811535,-0.080416,-0.591137,2.857903,-0.1063433,-0.8571448,2.863038,-0.1336541,-0.9312073,2.818654,0.07850374,-0.2831439,2.837055,0.09209061,-0.5870579,2.858753,0.107416,-0.8441937,2.877404,0.127089,-0.9125786,2.853643,169,Swim,
64826629.3205,0.004838767,-0.2228268,2.835415,-0.004007483,-0.1657113,2.882167,-0.008008256,0.1621232,2.894919,-0.005291421,0.3125162,2.884765,-0.1515878,0.05417378,2.864047,-0.2907125,-0.1044334,2.819664,-0.3884409,-0.2476936,2.79774,-0.4058125,-0.2868452,2.797951,0.1394787,0.06594547,2.91683,0.277958,-0.06356929,2.891118,0.3714049,-0.2136363,2.879485,0.3911353,-0.2617663,2.876717,-0.05998267,-0.2884775,2.811156,-0.08083947,-0.5916637,2.857686,-0.1062492,-0.8568898,2.862764,-0.1337637,-0.9291893,2.819598,0.07397756,-0.2867238,2.83603,0.09115281,-0.5886949,2.858701,0.1074446,-0.8435132,2.877118,0.1246018,-0.9113579,2.85499,169,Swim,
