Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64882625.6567,-0.1244866,-0.2156101,2.797412,-0.1359707,-0.1619033,2.84558,-0.1511706,0.156158,2.853962,-0.1377375,0.3007369,2.834331,-0.3023772,0.05978716,2.823622,-0.5219269,0.05624528,2.782399,-0.6813793,0.03899421,2.705203,-0.6971577,0.03576209,2.673265,0.005870915,0.0856701,2.881118,0.1983247,0.0794742,2.912071,0.3667239,0.06457204,2.862373,0.4345191,0.05297691,2.847015,-0.1865297,-0.2874578,2.772139,-0.2230703,-0.6557293,2.808064,-0.2555065,-0.8792171,2.801122,-0.2815864,-0.9372486,2.747916,-0.05245462,-0.2832431,2.797416,-0.03434796,-0.5769934,2.81441,-0.01475294,-0.8517423,2.827313,0.001361573,-0.9303479,2.776339,169,Throw-a-ball-as-far-as-you-can,
64882656.6585,-0.1242458,-0.2164887,2.797653,-0.1356866,-0.1624164,2.845764,-0.1509501,0.1561975,2.853925,-0.1358289,0.3002788,2.834331,-0.3020666,0.05907203,2.823832,-0.5197289,0.04579629,2.783807,-0.6757537,0.003961891,2.709497,-0.7020435,-0.002152167,2.676532,0.005052812,0.08441711,2.88056,0.1982349,0.06310213,2.908856,0.3681679,0.05271088,2.864882,0.4355708,0.04068826,2.848171,-0.1861451,-0.2883758,2.772681,-0.2230614,-0.6566302,2.808448,-0.255767,-0.8801288,2.800747,-0.2831031,-0.9393302,2.750208,-0.05245531,-0.2834546,2.797528,-0.03504413,-0.5779736,2.815847,-0.01459453,-0.8510444,2.826877,0.001203043,-0.9297912,2.776019,169,Throw-a-ball-as-far-as-you-can,
64882688.6603,-0.1248416,-0.2175985,2.798247,-0.1360317,-0.163087,2.846157,-0.1509639,0.1561158,2.853728,-0.1357838,0.300266,2.834212,-0.3017353,0.0584259,2.824786,-0.5126931,0.02653205,2.785921,-0.6688377,-0.01484107,2.711603,-0.6941321,-0.02832407,2.680625,0.004040689,0.08378158,2.880677,0.1917042,0.04991879,2.90599,0.362789,0.0372486,2.869802,0.4300789,0.02489739,2.852863,-0.1864067,-0.2891054,2.773385,-0.2233074,-0.6574365,2.808558,-0.2556594,-0.8810443,2.799938,-0.2818837,-0.9350274,2.751069,-0.05382778,-0.2844223,2.798614,-0.0347985,-0.5777504,2.815518,-0.0146631,-0.8514192,2.827063,0.00118336,-0.9300721,2.776072,169,Throw-a-ball-as-far-as-you-can,
64882724.6624,-0.1249769,-0.2177494,2.798172,-0.1360027,-0.1631735,2.846121,-0.1509814,0.156173,2.853617,-0.1358694,0.3003668,2.834278,-0.3020276,0.05864064,2.826441,-0.5061082,0.01033764,2.789437,-0.6542869,-0.05743817,2.718873,-0.679425,-0.07894449,2.69084,0.002398032,0.08248957,2.880812,0.179185,0.02541825,2.906229,0.3500757,0.01185182,2.86919,0.4087073,-0.01364506,2.839529,-0.1864805,-0.2890785,2.773431,-0.2233284,-0.6574112,2.808637,-0.2555661,-0.881083,2.799201,-0.2817936,-0.9366204,2.749954,-0.05408716,-0.2845349,2.798419,-0.03664246,-0.5792706,2.815833,-0.01476242,-0.851097,2.826836,0.0008204589,-0.9298244,2.775877,169,Throw-a-ball-as-far-as-you-can,
64882756.6642,-0.1261361,-0.2195482,2.798497,-0.1371604,-0.1645579,2.846235,-0.1511277,0.1555426,2.85291,-0.1362608,0.3001521,2.834423,-0.3005176,0.0569478,2.827341,-0.4958273,-0.009313451,2.79344,-0.6411358,-0.08360445,2.723585,-0.6687042,-0.1183564,2.69915,0.001127895,0.08111592,2.882963,0.1749047,0.009164453,2.908027,0.3422182,-0.01798881,2.860354,0.4057797,-0.0333094,2.834023,-0.1870873,-0.28989,2.774266,-0.2238999,-0.6581895,2.809757,-0.2555932,-0.881991,2.799372,-0.2810079,-0.9369186,2.749523,-0.05617879,-0.2859454,2.798738,-0.03748218,-0.580117,2.815951,-0.01478181,-0.8511008,2.827254,0.0008039577,-0.9297334,2.776148,169,Throw-a-ball-as-far-as-you-can,
64882788.666,-0.1271473,-0.222972,2.798645,-0.137887,-0.1671151,2.846189,-0.1501487,0.1547044,2.851892,-0.135625,0.3000452,2.834182,-0.2966444,0.05486336,2.82909,-0.4872595,-0.02914715,2.793988,-0.6236106,-0.1228304,2.730807,-0.6638002,-0.1459536,2.707049,-0.0008293507,0.07685748,2.88435,0.1698152,-0.008587815,2.905332,0.337194,-0.03050004,2.854543,0.3953767,-0.06109719,2.829107,-0.1873345,-0.2913074,2.774945,-0.2240603,-0.659687,2.809866,-0.2555591,-0.8835087,2.799586,-0.2819289,-0.9368294,2.751052,-0.05883205,-0.2883313,2.799099,-0.03852299,-0.5801463,2.816096,-0.01438866,-0.8514762,2.827219,0.0008408846,-0.9301726,2.776102,169,Throw-a-ball-as-far-as-you-can,
64882826.6682,-0.127491,-0.2254312,2.798693,-0.1386638,-0.1690347,2.846127,-0.1500719,0.1546056,2.851775,-0.1341978,0.3004566,2.833828,-0.2860541,0.05191551,2.828594,-0.4816693,-0.03389139,2.797022,-0.609316,-0.1366797,2.729131,-0.6278002,-0.1735579,2.714976,-0.001697147,0.07244099,2.885239,0.166512,-0.02590708,2.906163,0.3294592,-0.06028785,2.846648,0.3885178,-0.08676535,2.818728,-0.1873251,-0.2917339,2.774991,-0.224187,-0.6601193,2.809768,-0.2563134,-0.8838235,2.79996,-0.2794904,-0.9334539,2.755266,-0.05972309,-0.2895862,2.799695,-0.03986096,-0.5814924,2.817602,-0.01515206,-0.8497133,2.826735,-0.0001198566,-0.9290364,2.776535,169,Throw-a-ball-as-far-as-you-can,
64882856.6699,-0.1273445,-0.2280359,2.798956,-0.1388803,-0.1711451,2.846157,-0.1497197,0.1541293,2.851093,-0.1340766,0.300469,2.833743,-0.2835745,0.05172887,2.828108,-0.472873,-0.05231296,2.795995,-0.5939489,-0.162465,2.727518,-0.6171774,-0.1844256,2.717532,-0.002919898,0.07148764,2.886434,0.1560594,-0.04370302,2.901841,0.304057,-0.1125693,2.83209,0.3516002,-0.1425333,2.811163,-0.1864972,-0.2930848,2.775132,-0.2244548,-0.6605034,2.810227,-0.2566541,-0.8842045,2.800257,-0.2805746,-0.9341557,2.757008,-0.06073669,-0.2911923,2.800912,-0.04032972,-0.5843793,2.818391,-0.01523474,-0.8499733,2.826678,-5.785096E-05,-0.9292703,2.776479,169,Throw-a-ball-as-far-as-you-can,
64882888.6717,-0.1284101,-0.2348527,2.798921,-0.1400206,-0.1762665,2.845989,-0.1502501,0.1538831,2.850487,-0.133595,0.3009701,2.834839,-0.2822641,0.05133456,2.827353,-0.4721226,-0.06395549,2.79291,-0.5818427,-0.1871123,2.72818,-0.6148235,-0.224132,2.712176,-0.01069765,0.06469362,2.883033,0.1526841,-0.05123642,2.896733,0.285822,-0.1366982,2.814454,0.3443616,-0.1734086,2.800529,-0.1856922,-0.2966136,2.776173,-0.2246452,-0.6605912,2.810399,-0.2568577,-0.8843088,2.800068,-0.2806762,-0.9339442,2.756401,-0.06353012,-0.294801,2.80111,-0.04004455,-0.5836512,2.819153,-0.01535018,-0.85022,2.826664,-0.000118535,-0.9295332,2.776506,169,Throw-a-ball-as-far-as-you-can,
64882924.6738,-0.1287133,-0.2370308,2.799227,-0.1404486,-0.178174,2.846442,-0.1506633,0.1538565,2.850993,-0.1322113,0.3004089,2.834756,-0.2815006,0.05081767,2.826291,-0.4687436,-0.06702556,2.790982,-0.5773041,-0.1870723,2.717491,-0.6219442,-0.2402924,2.70552,-0.01138705,0.06267414,2.881711,0.1509159,-0.06456109,2.889864,0.284925,-0.1503212,2.809617,0.2841004,-0.1696738,2.807866,-0.1854632,-0.2988207,2.776569,-0.2245981,-0.6605751,2.810462,-0.2568302,-0.8842956,2.799988,-0.280064,-0.9338751,2.755943,-0.06435336,-0.2963551,2.80145,-0.04090025,-0.5876981,2.820711,-0.01561409,-0.8508347,2.827101,0.0007420965,-0.9297441,2.776659,169,Throw-a-ball-as-far-as-you-can,
