Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64918261.695,-0.1683902,-0.2011848,2.783422,-0.1688574,-0.1513054,2.834384,-0.179313,0.1577354,2.854727,-0.1854669,0.3067898,2.843268,-0.3509236,0.07189042,2.852351,-0.5829311,0.1067365,2.822183,-0.7545161,0.1221538,2.790116,-0.7547022,0.1354919,2.769128,-0.02081745,0.08802348,2.847685,0.1821478,0.1290721,2.839719,0.3550641,0.1346079,2.815139,0.4253341,0.1313442,2.814412,-0.2380231,-0.2766103,2.766346,-0.2563482,-0.6449082,2.803691,-0.2886387,-0.8673909,2.796093,-0.2902227,-0.8980977,2.718803,-0.09468177,-0.2709144,2.767848,-0.06581493,-0.5737268,2.791893,-0.04038848,-0.8562726,2.82479,-0.01187056,-0.9326593,2.774766,169,Climb-and-imaginary-ladder,
64918295.6969,-0.1692565,-0.1997253,2.784223,-0.1696853,-0.1499937,2.834914,-0.1807179,0.1576138,2.853877,-0.1864083,0.3066748,2.842937,-0.3538885,0.07165104,2.853568,-0.5822465,0.1000672,2.825429,-0.7522677,0.1146718,2.782585,-0.7535034,0.1222712,2.761865,-0.02104578,0.08791649,2.847874,0.182537,0.1244956,2.839957,0.3779559,0.1243305,2.809882,0.4299352,0.1250298,2.808743,-0.2391996,-0.2757693,2.76745,-0.2573012,-0.6440573,2.804973,-0.2885367,-0.8667512,2.796433,-0.312148,-0.9429088,2.761481,-0.09480347,-0.269931,2.768394,-0.06695049,-0.5742517,2.791926,-0.04121552,-0.8560308,2.825547,-0.01632266,-0.9300706,2.783282,169,Climb-and-imaginary-ladder,
64918328.6988,-0.1696205,-0.1997651,2.784724,-0.1699497,-0.1497937,2.83517,-0.1811354,0.1570207,2.852161,-0.1871122,0.3055423,2.842336,-0.3544727,0.07151497,2.853977,-0.582438,0.09188938,2.82752,-0.7531593,0.09181313,2.785078,-0.7539378,0.1057305,2.76007,-0.02183528,0.08813746,2.84812,0.1715075,0.1045291,2.842705,0.377669,0.1208297,2.808519,0.4283858,0.1115229,2.801832,-0.2395701,-0.2761093,2.768879,-0.2579221,-0.6444856,2.805649,-0.2890518,-0.867226,2.796582,-0.2908853,-0.8980286,2.719335,-0.09546017,-0.2698317,2.76915,-0.0671003,-0.5749321,2.791939,-0.04152736,-0.8562714,2.825802,-0.01377563,-0.9316235,2.781338,169,Climb-and-imaginary-ladder,
64918360.7006,-0.1706129,-0.2005338,2.785044,-0.1709135,-0.150257,2.835449,-0.1817239,0.1571633,2.852177,-0.1874741,0.3051042,2.842162,-0.3544567,0.07072544,2.854182,-0.5846407,0.08123203,2.82847,-0.753589,0.06719464,2.78005,-0.7510089,0.08046009,2.750379,-0.02306093,0.0868988,2.848232,0.1727183,0.08747396,2.855289,0.3432912,0.08832918,2.812047,0.4112595,0.1002341,2.798353,-0.2407722,-0.2766073,2.769782,-0.2585248,-0.6450803,2.806055,-0.2888991,-0.8679564,2.796444,-0.2907348,-0.8987736,2.719203,-0.09622264,-0.2703855,2.76912,-0.067414,-0.5756096,2.792194,-0.04144878,-0.8566159,2.825999,-0.01381616,-0.9316663,2.781265,169,Climb-and-imaginary-ladder,
64918396.7027,-0.1719997,-0.2021951,2.785224,-0.1719693,-0.1512689,2.835529,-0.1824008,0.1573897,2.851808,-0.1880998,0.3048845,2.840774,-0.3543136,0.06983162,2.854903,-0.5783383,0.06813024,2.829208,-0.7451171,0.04877558,2.773954,-0.7491018,0.05805425,2.748238,-0.02904571,0.08332665,2.84704,0.1693141,0.0822197,2.853521,0.3401438,0.08442494,2.811757,0.4084361,0.08259825,2.794965,-0.2417499,-0.2776376,2.770707,-0.2589158,-0.6461582,2.806845,-0.2886952,-0.8691657,2.79631,-0.2908727,-0.9000152,2.71909,-0.09778494,-0.270995,2.769044,-0.06751725,-0.5760498,2.791969,-0.04151228,-0.8559089,2.826563,-0.01390067,-0.9315139,2.780357,169,Climb-and-imaginary-ladder,
64918428.7045,-0.1728118,-0.2027321,2.785842,-0.1726365,-0.1515087,2.835881,-0.1825004,0.1572357,2.851002,-0.1897229,0.3048025,2.840471,-0.3543322,0.0696376,2.855455,-0.5754015,0.06302992,2.829071,-0.7411061,0.03282472,2.775932,-0.7491984,0.04124574,2.749721,-0.02977249,0.08312553,2.847824,0.1624323,0.0687713,2.858038,0.3318933,0.07205626,2.809442,0.4003154,0.06781925,2.793639,-0.2423406,-0.2781085,2.772117,-0.2590595,-0.6467651,2.807362,-0.2887312,-0.8698115,2.796344,-0.305101,-0.9418033,2.764855,-0.09984171,-0.2714652,2.769983,-0.06825048,-0.5781124,2.792985,-0.04195084,-0.85596,2.826722,-0.01400247,-0.9310176,2.780635,169,Climb-and-imaginary-ladder,
64918460.7063,-0.1731464,-0.2028088,2.785898,-0.1730228,-0.1515079,2.835929,-0.1828651,0.1575172,2.85083,-0.1900278,0.3046868,2.839481,-0.3542524,0.06937546,2.855602,-0.5612572,0.05658628,2.8296,-0.7278402,0.02502038,2.781255,-0.7440879,0.02623898,2.755003,-0.03010131,0.08293428,2.847959,0.1594951,0.06486391,2.857853,0.3290662,0.06688374,2.809674,0.3971217,0.06171731,2.792611,-0.2427427,-0.2781121,2.772346,-0.2593486,-0.6467643,2.807685,-0.2885125,-0.8698996,2.796215,-0.2906368,-0.9008047,2.719015,-0.1001208,-0.271383,2.76996,-0.0683829,-0.5778787,2.793041,-0.04183184,-0.856181,2.827527,-0.01283041,-0.9317794,2.77877,169,Climb-and-imaginary-ladder,
64918496.7084,-0.173158,-0.2028147,2.785899,-0.1731448,-0.1514375,2.835923,-0.1834525,0.1573853,2.849994,-0.1904483,0.3043164,2.839037,-0.3542065,0.06895923,2.855557,-0.5642327,0.050814,2.82793,-0.731011,0.01830091,2.781336,-0.7454215,0.02179692,2.754785,-0.03032814,0.08339819,2.848537,0.1626697,0.06281043,2.858122,0.3320037,0.05853718,2.80905,0.3993918,0.04960117,2.790925,-0.2427547,-0.2781283,2.772403,-0.2594986,-0.6467727,2.807776,-0.2888323,-0.8698605,2.796781,-0.3037241,-0.9398189,2.763959,-0.1001024,-0.2713497,2.769963,-0.06869057,-0.5785794,2.793067,-0.04164522,-0.8565598,2.827126,-0.01281011,-0.9322547,2.778059,169,Climb-and-imaginary-ladder,
64918528.7102,-0.1733828,-0.2027865,2.785765,-0.1734254,-0.1511971,2.8357,-0.1833069,0.1576185,2.848064,-0.1904611,0.3043443,2.838874,-0.3542083,0.06893266,2.855567,-0.5601826,0.04488148,2.827361,-0.728063,0.01488254,2.783927,-0.7465422,0.01701415,2.75273,-0.03040104,0.08301147,2.848672,0.1605087,0.05584268,2.861148,0.3294818,0.05255808,2.81039,0.3970837,0.04630618,2.791935,-0.24308,-0.2780974,2.772506,-0.2595851,-0.646783,2.807659,-0.2893001,-0.8698781,2.795472,-0.302817,-0.9402456,2.764967,-0.100361,-0.2712586,2.769772,-0.07061716,-0.579846,2.792342,-0.04181678,-0.8566533,2.826894,-0.01286156,-0.9321637,2.77801,169,Climb-and-imaginary-ladder,
64918560.7121,-0.1737221,-0.2031492,2.785569,-0.173759,-0.1514165,2.835494,-0.1831995,0.1577805,2.847723,-0.190759,0.3044682,2.837025,-0.3532613,0.06819749,2.85487,-0.5361962,0.03515263,2.821642,-0.705904,0.005501434,2.789579,-0.7415526,0.004047194,2.755041,-0.03126412,0.0820094,2.848507,0.154537,0.04481541,2.862766,0.3238228,0.04175873,2.813365,0.3911007,0.0348226,2.793988,-0.2431986,-0.2781073,2.772541,-0.2595126,-0.6468062,2.807676,-0.2892498,-0.86989,2.795646,-0.3029345,-0.9397147,2.762649,-0.1010312,-0.2714308,2.769472,-0.07062791,-0.5788854,2.792064,-0.0418946,-0.8566998,2.826999,-0.01294804,-0.9321433,2.777991,169,Climb-and-imaginary-ladder,
