Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64948294.2058,-0.1324327,-0.1868266,2.859537,-0.1360014,-0.134214,2.906097,-0.1507173,0.1651145,2.897718,-0.1567642,0.3132778,2.888531,-0.314045,0.07288013,2.9012,-0.5136081,0.04182778,2.906522,-0.6801146,0.01604889,2.853799,-0.7429617,0.002792163,2.825315,0.01265107,0.09341351,2.910022,0.2046508,0.0910425,2.931479,0.3949779,0.08503753,2.876226,0.4408531,0.06615365,2.860866,-0.2022954,-0.2633943,2.847749,-0.1920797,-0.5858073,2.859329,-0.2132527,-0.8497749,2.850229,-0.2253986,-0.9201698,2.811816,-0.05517114,-0.2561699,2.850927,-0.07483922,-0.5843999,2.874674,-0.05118999,-0.8558064,2.875645,-0.03991312,-0.9327953,2.831904,169,Signal-someone-to-stop,
64948328.2078,-0.1332828,-0.1883771,2.858245,-0.1368493,-0.1354205,2.904729,-0.1497525,0.1647255,2.895935,-0.156641,0.3131044,2.888325,-0.3116145,0.07152176,2.899715,-0.5092986,0.03094968,2.907049,-0.6747428,-0.006206688,2.859002,-0.7355725,-0.02183828,2.827494,0.01111644,0.09183419,2.910598,0.1999255,0.07327867,2.943543,0.364746,0.07541922,2.878023,0.4312784,0.06915881,2.856307,-0.2028571,-0.2638728,2.846982,-0.191922,-0.5858719,2.859554,-0.2136283,-0.8488393,2.850806,-0.2254446,-0.9201892,2.811802,-0.05681284,-0.2570104,2.849914,-0.07517326,-0.5839422,2.875095,-0.05120229,-0.8555867,2.876597,-0.03877057,-0.9326476,2.83178,169,Signal-someone-to-stop,
64948360.2096,-0.1339238,-0.1900936,2.856684,-0.1375434,-0.1367346,2.903015,-0.1483942,0.1643489,2.893283,-0.1564956,0.3131726,2.885614,-0.3098912,0.07054584,2.89869,-0.5006557,0.01438259,2.908291,-0.6634386,-0.03415947,2.861673,-0.7225663,-0.0537585,2.829154,0.01045352,0.09073204,2.911866,0.194231,0.06336115,2.945484,0.3549604,0.0601058,2.868836,0.3918615,0.03128932,2.842024,-0.2035892,-0.2649089,2.845311,-0.1919406,-0.5858895,2.859597,-0.213695,-0.8489098,2.850433,-0.2273228,-0.9213281,2.813415,-0.05794102,-0.2580793,2.84915,-0.07664303,-0.5847833,2.875089,-0.05172543,-0.8580598,2.874894,-0.05454006,-0.934669,2.8339,169,Signal-someone-to-stop,
64948394.2115,-0.1345387,-0.1924658,2.855894,-0.1382873,-0.1383795,2.901897,-0.1481583,0.1639299,2.890102,-0.1553646,0.3127635,2.884967,-0.3076565,0.07007106,2.897514,-0.499139,-0.001065186,2.910285,-0.6605505,-0.06048188,2.87635,-0.7159764,-0.09345762,2.848449,0.007759408,0.08668741,2.911824,0.1844191,0.04405712,2.945366,0.345381,0.04418513,2.869215,0.3687196,0.02148206,2.847086,-0.2037303,-0.2657941,2.844724,-0.1918566,-0.5862454,2.859536,-0.2140076,-0.8490647,2.850323,-0.2273085,-0.9213181,2.813329,-0.05930246,-0.2595745,2.849433,-0.07677998,-0.584895,2.875086,-0.05199222,-0.8585511,2.87517,-0.0404952,-0.9337165,2.834576,169,Signal-someone-to-stop,
64948428.2135,-0.135537,-0.1970475,2.85315,-0.1392552,-0.1420517,2.899318,-0.1479444,0.1637663,2.888947,-0.1524789,0.311021,2.880121,-0.3031433,0.0677328,2.895266,-0.4929746,-0.01215847,2.911396,-0.6404359,-0.1034896,2.900532,-0.6965716,-0.1457137,2.89855,0.004030304,0.081889,2.910735,0.1687422,0.02080974,2.953415,0.3208346,0.0194049,2.858519,0.3604119,-0.01434216,2.839962,-0.2036916,-0.2678319,2.842496,-0.1918974,-0.5864167,2.860328,-0.2142785,-0.8486984,2.850448,-0.2273674,-0.9213472,2.813119,-0.06190927,-0.2622769,2.847589,-0.07798067,-0.5844589,2.874896,-0.05198279,-0.8585795,2.87518,-0.05797733,-0.9321504,2.830672,169,Signal-someone-to-stop,
64948461.2154,-0.1359271,-0.1990829,2.851502,-0.1403815,-0.1439556,2.89735,-0.1479702,0.1627958,2.88623,-0.1513497,0.3113464,2.875134,-0.2991959,0.06764039,2.892008,-0.4744553,-0.02874259,2.910631,-0.6244114,-0.1159147,2.899925,-0.6758603,-0.1636875,2.902943,0.003003157,0.08079452,2.912348,0.1649468,0.009526299,2.955753,0.3128918,-0.02051311,2.85882,0.352969,-0.04004589,2.834076,-0.203419,-0.2688676,2.840256,-0.1930778,-0.5867663,2.860835,-0.2141851,-0.8491905,2.850797,-0.2274741,-0.9214456,2.813281,-0.06316404,-0.2637088,2.846902,-0.0781039,-0.5849349,2.874995,-0.05214091,-0.8602568,2.873971,-0.05839798,-0.932036,2.830251,169,Signal-someone-to-stop,
64948492.2171,-0.1357399,-0.1999467,2.851135,-0.1406833,-0.1446439,2.896856,-0.1484952,0.1626123,2.885143,-0.1511929,0.3111926,2.874825,-0.2987071,0.0676409,2.890502,-0.4691274,-0.03185611,2.905445,-0.5919785,-0.1538546,2.904431,-0.631041,-0.1835692,2.912042,0.002654108,0.08050076,2.913286,0.1667453,0.0006935801,2.950196,0.3142042,-0.03271431,2.853676,0.3487034,-0.05150534,2.830953,-0.2028497,-0.2700718,2.839241,-0.1930919,-0.5868121,2.860885,-0.2142696,-0.8493077,2.850911,-0.2175629,-0.9230689,2.816787,-0.06312322,-0.26419,2.846985,-0.07779269,-0.585817,2.875054,-0.05254605,-0.8587496,2.875237,-0.0557682,-0.9323278,2.831996,169,Signal-someone-to-stop,
64948529.2193,-0.1355257,-0.2012758,2.85036,-0.1409908,-0.145849,2.896017,-0.1488146,0.1622431,2.884441,-0.1511476,0.3108431,2.874371,-0.2973657,0.06600218,2.888489,-0.4671944,-0.03510696,2.90097,-0.5906877,-0.1558294,2.90563,-0.6187614,-0.1996546,2.916862,0.002182847,0.0806751,2.914142,0.162343,-0.008494915,2.944125,0.3107312,-0.06164055,2.860205,0.3588999,-0.1123282,2.853207,-0.2016405,-0.2718756,2.836383,-0.1926937,-0.5871219,2.860967,-0.2144242,-0.8489851,2.851134,-0.222586,-0.9225523,2.811814,-0.06335366,-0.2650777,2.847242,-0.07769918,-0.5863189,2.874901,-0.0525737,-0.85903,2.874777,-0.04609411,-0.9325888,2.831861,169,Signal-someone-to-stop,
64948560.221,-0.1361183,-0.2038016,2.849721,-0.1417172,-0.1480566,2.895266,-0.1497273,0.1613662,2.883441,-0.1513796,0.3105118,2.873279,-0.2967574,0.06497332,2.886987,-0.4680415,-0.05106673,2.896319,-0.5959629,-0.1662323,2.90623,-0.6153482,-0.2081102,2.915699,0.000258866,0.07955246,2.912682,0.1622542,-0.01562707,2.931672,0.3014374,-0.09786594,2.857302,0.3536751,-0.1448435,2.859093,-0.2015167,-0.2734825,2.834629,-0.1941393,-0.58798,2.860869,-0.2144383,-0.8494565,2.850837,-0.2228004,-0.9215647,2.812152,-0.06499762,-0.2680165,2.848428,-0.07860719,-0.5891278,2.874495,-0.05244058,-0.8592275,2.874606,-0.04144444,-0.9315974,2.833636,169,Signal-someone-to-stop,
64948593.2229,-0.1365935,-0.2050095,2.849422,-0.1417325,-0.1490183,2.894903,-0.1508982,0.1610663,2.882391,-0.1521735,0.310256,2.872524,-0.2964354,0.06420203,2.88622,-0.4665608,-0.0514242,2.895004,-0.591707,-0.1698906,2.903239,-0.6117164,-0.209938,2.909986,-0.002483238,0.08049858,2.907935,0.1580703,-0.01985643,2.920177,0.2939067,-0.1172382,2.862282,0.3478356,-0.1619866,2.867619,-0.2015646,-0.2740096,2.834457,-0.1942933,-0.5884452,2.860415,-0.2144678,-0.8499939,2.85031,-0.2233085,-0.9220666,2.812481,-0.06574187,-0.2687913,2.848425,-0.07899889,-0.5880644,2.873683,-0.05248109,-0.859106,2.874588,-0.04596926,-0.9318275,2.833406,169,Signal-someone-to-stop,
