Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
64958771.8051,-0.1449939,-0.1941506,2.837047,-0.1471885,-0.1450197,2.886331,-0.1614983,0.1538423,2.896466,-0.1619325,0.2926869,2.874375,-0.3316989,0.06574925,2.904187,-0.5320426,0.04607528,2.908958,-0.6917698,0.03592212,2.8311,-0.7197908,0.02796432,2.801373,-1.034682E-05,0.07690276,2.90183,0.1899408,0.04429962,2.915502,0.3504536,0.0530507,2.839362,0.4047171,0.05993783,2.818216,-0.215036,-0.2711957,2.823034,-0.2013918,-0.5923708,2.84847,-0.2153218,-0.8465977,2.848459,-0.2178004,-0.92188,2.809593,-0.06747422,-0.2630421,2.821385,-0.08702109,-0.591829,2.851305,-0.0533728,-0.8595523,2.867213,-0.04240103,-0.9295217,2.83275,169,Signal-someone-to-come-here,
64958803.8069,-0.1448197,-0.1948065,2.837055,-0.1476474,-0.1455543,2.886265,-0.161223,0.1529137,2.895697,-0.159912,0.292226,2.874373,-0.3293036,0.06465301,2.903071,-0.5158902,0.02137969,2.922183,-0.6706733,0.006362714,2.834292,-0.7112486,-0.003233253,2.797715,0.0003235709,0.0741696,2.905394,0.1779819,0.02001723,2.922529,0.3358987,0.04792716,2.845438,0.3907331,0.04692667,2.81653,-0.2147772,-0.2716033,2.822892,-0.2019689,-0.5931149,2.848795,-0.2156151,-0.8457275,2.849456,-0.2202778,-0.9209129,2.808707,-0.06752045,-0.2634877,2.821864,-0.08636041,-0.5901775,2.851574,-0.05356105,-0.8578256,2.866706,-0.04358851,-0.9289632,2.831115,169,Signal-someone-to-come-here,
64958839.809,-0.1451845,-0.1964572,2.836936,-0.1480499,-0.1463828,2.886042,-0.1612005,0.1532763,2.894614,-0.1599195,0.2927572,2.874402,-0.3260203,0.0624538,2.902217,-0.5006173,-0.004848022,2.93984,-0.6527798,-0.0195207,2.846792,-0.6947026,-0.03167456,2.798922,-0.0007702671,0.07389624,2.90624,0.1642792,0.002340816,2.924012,0.3200346,0.02934483,2.841591,0.3736285,0.02218094,2.811573,-0.214707,-0.2719893,2.822859,-0.2019746,-0.5930331,2.849077,-0.2152385,-0.8511527,2.848212,-0.2216716,-0.9212911,2.809664,-0.06883088,-0.2647312,2.822648,-0.08649419,-0.590295,2.852022,-0.05346734,-0.8577288,2.866696,-0.0462714,-0.9272041,2.830877,169,Signal-someone-to-come-here,
64958871.8108,-0.1451242,-0.199496,2.837172,-0.1483168,-0.1481094,2.885939,-0.1613106,0.1536123,2.892897,-0.1587015,0.2932794,2.874121,-0.3229432,0.06067121,2.901745,-0.4845341,-0.02448142,2.945654,-0.6392161,-0.05169335,2.861001,-0.6754107,-0.07985131,2.81828,-0.004407427,0.07058361,2.907503,0.1542488,-0.01759297,2.930465,0.3092712,-0.0082644,2.842157,0.3564999,-0.01581113,2.813258,-0.213881,-0.2730318,2.822887,-0.2022236,-0.5926905,2.84918,-0.2157232,-0.8510667,2.847594,-0.2224061,-0.9205727,2.809611,-0.07019563,-0.267055,2.82483,-0.08543487,-0.5906609,2.853285,-0.05366261,-0.8578668,2.866413,-0.03729558,-0.9311455,2.834158,169,Signal-someone-to-come-here,
64958903.8126,-0.1450856,-0.2035091,2.836777,-0.1486307,-0.1504721,2.885599,-0.1613383,0.1548163,2.892468,-0.158676,0.2939295,2.873905,-0.3125003,0.0586298,2.899812,-0.4804482,-0.03546017,2.946776,-0.6278817,-0.1021234,2.873329,-0.650713,-0.12534,2.845407,-0.006414978,0.06778246,2.907662,0.1430061,-0.03292995,2.931767,0.2996059,-0.04167318,2.846658,0.3281952,-0.05904986,2.819877,-0.2128275,-0.274116,2.822735,-0.202196,-0.5931013,2.849385,-0.2159388,-0.8486995,2.85052,-0.2237293,-0.9194118,2.809946,-0.07158817,-0.2689833,2.825322,-0.08540775,-0.590631,2.853355,-0.05353795,-0.857977,2.866414,-0.04829982,-0.9304285,2.830198,169,Signal-someone-to-come-here,
64958939.8147,-0.1452513,-0.2075739,2.837175,-0.148735,-0.1539247,2.88553,-0.1607329,0.1538614,2.890352,-0.1573354,0.2922343,2.871962,-0.3116533,0.0589035,2.899947,-0.4756036,-0.05193106,2.943651,-0.6082938,-0.1498317,2.878982,-0.6362492,-0.1731649,2.85568,-0.009750796,0.06282283,2.907388,0.1452861,-0.0654333,2.925653,0.2940142,-0.08719106,2.827985,0.2849894,-0.1071658,2.828042,-0.2114628,-0.2768329,2.823598,-0.2027725,-0.5933262,2.849863,-0.2161277,-0.849892,2.849773,-0.224443,-0.9198574,2.81114,-0.07380244,-0.2719914,2.826786,-0.08651879,-0.5931739,2.856231,-0.05348023,-0.858157,2.866585,-0.04326385,-0.9291013,2.82929,169,Signal-someone-to-come-here,
64958971.8165,-0.1456898,-0.2097025,2.83744,-0.1489577,-0.155784,2.885583,-0.1602995,0.1532999,2.889396,-0.1575898,0.2921802,2.871523,-0.3115166,0.05878604,2.900094,-0.469605,-0.0709744,2.925165,-0.6015517,-0.1807832,2.890209,-0.6111621,-0.2175446,2.880128,-0.01080066,0.06067558,2.906827,0.1419171,-0.07372661,2.925008,0.275937,-0.1526973,2.837214,0.3092422,-0.189298,2.830304,-0.2111112,-0.2784259,2.824567,-0.2027092,-0.5933242,2.84993,-0.2161195,-0.8495792,2.849812,-0.2239094,-0.9197576,2.81072,-0.0756366,-0.2743771,2.827063,-0.08633007,-0.5932523,2.856591,-0.05261279,-0.8617054,2.865839,-0.04138682,-0.9292888,2.828401,169,Signal-someone-to-come-here,
64959003.8184,-0.1455087,-0.2111746,2.837821,-0.1488506,-0.1569266,2.885962,-0.1601848,0.1534117,2.889557,-0.1579775,0.2922634,2.870752,-0.3102778,0.05793202,2.899351,-0.4640866,-0.07556657,2.917782,-0.5686283,-0.213618,2.900721,-0.5886088,-0.2595411,2.904748,-0.01167751,0.05989464,2.906514,0.1348594,-0.08517734,2.913956,0.2558644,-0.188518,2.833922,0.272544,-0.2244177,2.833868,-0.2104107,-0.2792406,2.824872,-0.2023784,-0.5941222,2.850932,-0.2161908,-0.8496488,2.850846,-0.2253259,-0.9207471,2.810919,-0.07600041,-0.2752368,2.827612,-0.08646148,-0.5933831,2.856722,-0.0525546,-0.8617343,2.866093,-0.03969625,-0.9291456,2.82924,169,Signal-someone-to-come-here,
64959039.8204,-0.1460375,-0.2144242,2.838391,-0.1494267,-0.1593118,2.886472,-0.1602479,0.1534967,2.889627,-0.1622809,0.2933176,2.87047,-0.3093362,0.05794583,2.897271,-0.4567284,-0.08295982,2.902489,-0.5623485,-0.2199587,2.900673,-0.575179,-0.2623689,2.90271,-0.01274465,0.05837724,2.90501,0.1306594,-0.08967924,2.906626,0.2387943,-0.2115823,2.836262,0.2579138,-0.2491328,2.837856,-0.2103605,-0.2811128,2.825096,-0.2020222,-0.5941591,2.851257,-0.2162193,-0.8496979,2.850791,-0.2254753,-0.9208409,2.810916,-0.07716194,-0.2784948,2.829046,-0.08690026,-0.5936877,2.856968,-0.05256973,-0.8617925,2.865996,-0.03927816,-0.929009,2.829266,169,Signal-someone-to-come-here,
64959071.8223,-0.145759,-0.2158513,2.838222,-0.148684,-0.1605175,2.886506,-0.1600582,0.1538102,2.890343,-0.1616716,0.2931347,2.869458,-0.3085611,0.05775383,2.896458,-0.4520052,-0.091813,2.899608,-0.5523447,-0.2320744,2.904755,-0.5638065,-0.2643698,2.903952,-0.01428625,0.05447469,2.899953,0.1333382,-0.1248039,2.894047,0.2363361,-0.2488754,2.819171,0.2656675,-0.2894062,2.80543,-0.2100756,-0.2823532,2.824853,-0.2019751,-0.5940933,2.851821,-0.2157486,-0.8483389,2.850348,-0.2253219,-0.9202148,2.810207,-0.07696119,-0.2791099,2.828918,-0.0876339,-0.5946786,2.857598,-0.05248432,-0.8620073,2.865808,-0.03888589,-0.9293589,2.829592,169,Signal-someone-to-come-here,
