Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
65076566.8699,-0.1311472,-0.1973834,2.84017,-0.1314905,-0.1444462,2.888239,-0.1338614,0.1607819,2.891704,-0.1358699,0.3029829,2.886306,-0.2945934,0.06656735,2.906077,-0.4498483,-0.03708735,2.924021,-0.5863033,-0.1413725,2.930696,-0.6292871,-0.1929716,2.949618,0.00977489,0.0736737,2.905644,0.1643775,-0.04029293,2.915556,0.2875004,-0.1601899,2.88703,0.2823416,-0.1972253,2.875373,-0.1988008,-0.2682534,2.828555,-0.1771673,-0.5935813,2.865247,-0.1932042,-0.8684668,2.857282,-0.2065331,-0.9318103,2.823308,-0.06213341,-0.2605282,2.826966,-0.08925438,-0.5992122,2.873929,-0.06384768,-0.8580846,2.880188,-0.05915035,-0.9345276,2.838138,169,Make-the-letter-M,
65076598.8718,-0.1317124,-0.2005278,2.840497,-0.1320195,-0.1469071,2.888565,-0.1352983,0.1607285,2.891937,-0.1365981,0.3036529,2.885521,-0.2926428,0.06534535,2.905647,-0.4463449,-0.03889331,2.920976,-0.5511723,-0.1727524,2.93979,-0.5770937,-0.2137714,2.922325,0.007835348,0.0730304,2.90393,0.1589811,-0.0539286,2.906707,0.2618508,-0.1921746,2.883791,0.2707983,-0.2083084,2.879824,-0.1987287,-0.2690737,2.828272,-0.1778452,-0.593343,2.865499,-0.1933246,-0.8683419,2.857733,-0.2100571,-0.9307314,2.823329,-0.06311251,-0.2641478,2.829281,-0.08894332,-0.5997103,2.874974,-0.06699714,-0.8576647,2.878906,-0.05838332,-0.933921,2.837002,169,Make-the-letter-M,
65076630.8736,-0.1294896,-0.2074814,2.841101,-0.129562,-0.1525174,2.889077,-0.1349054,0.1602381,2.891942,-0.1363341,0.3030218,2.885386,-0.2901863,0.06170041,2.905181,-0.4452416,-0.07338845,2.920924,-0.5639285,-0.1944192,2.942456,-0.6034908,-0.2347628,2.95346,0.006174855,0.07000803,2.899983,0.1546439,-0.06694975,2.903451,0.2504867,-0.2093119,2.872679,0.2573366,-0.2369235,2.872629,-0.1956442,-0.2744916,2.828992,-0.176723,-0.5951695,2.867221,-0.1933901,-0.8676276,2.857917,-0.2040893,-0.9323958,2.823094,-0.06196799,-0.2698106,2.830548,-0.08909112,-0.6009043,2.876315,-0.07371245,-0.8609442,2.878451,-0.05835388,-0.9339041,2.836997,169,Make-the-letter-M,
65076666.8757,-0.1294655,-0.2090125,2.841202,-0.129141,-0.1539107,2.889261,-0.1355507,0.1600629,2.892429,-0.1370004,0.3030378,2.885551,-0.28962,0.0585551,2.905838,-0.4422039,-0.07683109,2.91906,-0.5520554,-0.2077112,2.932637,-0.546901,-0.2196147,2.905771,0.004718237,0.06703492,2.897029,0.1476398,-0.07709479,2.895024,0.2333647,-0.2258294,2.864721,0.2653911,-0.26455,2.853126,-0.1951418,-0.2761996,2.828916,-0.1768126,-0.595796,2.868306,-0.1933315,-0.8675985,2.858863,-0.2033486,-0.9327134,2.823381,-0.06198891,-0.2709406,2.830823,-0.09017062,-0.6014034,2.876685,-0.07371692,-0.8609346,2.878464,-0.05714158,-0.9332926,2.836205,169,Make-the-letter-M,
65076698.8775,-0.1299489,-0.2097691,2.841061,-0.1295074,-0.1546268,2.889169,-0.1355705,0.1600213,2.89245,-0.1372035,0.3029759,2.884852,-0.2890829,0.05566067,2.905295,-0.438315,-0.08027508,2.918584,-0.5501301,-0.2097957,2.930485,-0.5825511,-0.271196,2.923651,0.004542353,0.06639116,2.896812,0.14588,-0.07897992,2.892421,0.2320131,-0.2276359,2.863405,0.2622227,-0.2676181,2.851232,-0.195666,-0.2767566,2.828635,-0.176405,-0.5961968,2.868673,-0.1932508,-0.8691299,2.859187,-0.2049851,-0.9328875,2.823213,-0.06258497,-0.2720253,2.8309,-0.09005946,-0.6023571,2.877475,-0.0639718,-0.866012,2.87515,-0.05687695,-0.9334056,2.836199,169,Make-the-letter-M,
65076730.8793,-0.1289138,-0.2137115,2.841289,-0.1283451,-0.1578713,2.889277,-0.1355355,0.1596693,2.892288,-0.136917,0.3016552,2.884412,-0.2881719,0.05428126,2.905295,-0.433259,-0.08069229,2.916129,-0.5331323,-0.2204626,2.922384,-0.5653842,-0.2603791,2.917309,0.003017406,0.06182007,2.894073,0.1481232,-0.08892716,2.889162,0.2356982,-0.2365841,2.85889,0.2568982,-0.2813106,2.844421,-0.1942341,-0.280387,2.828544,-0.1765444,-0.5968125,2.869079,-0.1932982,-0.8681049,2.859471,-0.2158188,-0.9372616,2.827935,-0.06169409,-0.2750886,2.83206,-0.09062248,-0.6023953,2.877577,-0.07516786,-0.8656009,2.871143,-0.05563983,-0.9328533,2.835268,169,Make-the-letter-M,
65076758.8809,-0.1293422,-0.2145307,2.841932,-0.128543,-0.1587838,2.89002,-0.1361851,0.1592964,2.893472,-0.1372738,0.3019094,2.884341,-0.2882735,0.05324941,2.905636,-0.4314082,-0.08150829,2.915962,-0.5336503,-0.2199526,2.9188,-0.5730572,-0.2773816,2.914727,0.002009234,0.06127505,2.892739,0.1542013,-0.1157655,2.879581,0.2450976,-0.261691,2.851699,0.2723567,-0.3041858,2.841194,-0.1942693,-0.2809275,2.829264,-0.1771997,-0.5980867,2.869419,-0.1934222,-0.8677933,2.860023,-0.211934,-0.9348969,2.82725,-0.06248021,-0.2760713,2.832579,-0.09070321,-0.6024173,2.877593,-0.07550276,-0.8653362,2.87156,-0.04686274,-0.9330617,2.83712,169,Make-the-letter-M,
65076790.081,-0.1296316,-0.214771,2.841748,-0.1285845,-0.1590549,2.889807,-0.1360337,0.1589018,2.893031,-0.1391783,0.3030113,2.885946,-0.2880751,0.05269842,2.905729,-0.431802,-0.08291577,2.915292,-0.5300986,-0.2248521,2.908,-0.5622267,-0.2651534,2.909642,0.001472261,0.06151344,2.891827,0.1535422,-0.1155225,2.880578,0.2444709,-0.2613491,2.851999,0.2450624,-0.2646591,2.847604,-0.1946154,-0.2810312,2.82909,-0.177335,-0.5983736,2.869427,-0.1933229,-0.8675835,2.859935,-0.2056455,-0.9340706,2.825439,-0.06281902,-0.2763422,2.832504,-0.09089026,-0.6018323,2.877106,-0.0752758,-0.8627213,2.87501,-0.04792861,-0.9323773,2.837745,169,Make-the-letter-M,
65076821.281,-0.1295862,-0.2151556,2.841847,-0.1282538,-0.1596043,2.88992,-0.1356578,0.1580619,2.893249,-0.1394626,0.3022833,2.885809,-0.2876056,0.05083833,2.906107,-0.4319808,-0.08375172,2.914931,-0.5329545,-0.2238467,2.905368,-0.562387,-0.2661721,2.906507,0.001507393,0.06065411,2.890831,0.154192,-0.1149798,2.880418,0.244878,-0.2604332,2.847834,0.2437761,-0.2642032,2.844157,-0.1945345,-0.2818268,2.829548,-0.1768801,-0.5985178,2.869215,-0.1934224,-0.8685416,2.85986,-0.2064923,-0.9341707,2.824811,-0.0628177,-0.2764791,2.832451,-0.09088088,-0.6018921,2.877078,-0.06242846,-0.8605115,2.879445,-0.04943206,-0.9311584,2.837183,169,Make-the-letter-M,
65076852.4811,-0.1298682,-0.2151581,2.842021,-0.1283695,-0.1596426,2.890073,-0.1356172,0.1579994,2.893393,-0.1394864,0.302276,2.885808,-0.2871387,0.05162521,2.906267,-0.4313758,-0.08388332,2.914645,-0.5365546,-0.2208259,2.906386,-0.541829,-0.2337951,2.904178,0.001826605,0.06073288,2.890386,0.1525476,-0.1174925,2.878537,0.245191,-0.2617502,2.846243,0.2705187,-0.3042813,2.8318,-0.1947605,-0.2817014,2.830007,-0.1790405,-0.5988513,2.870654,-0.1935205,-0.869698,2.860119,-0.2071252,-0.9348331,2.824256,-0.06353312,-0.2766496,2.832416,-0.09071319,-0.602385,2.877249,-0.06522159,-0.8620365,2.879111,-0.04933427,-0.9317687,2.837996,169,Make-the-letter-M,
