Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
65136330.6804,-0.1421284,-0.1902623,2.845975,-0.1415298,-0.1389481,2.894372,-0.1551619,0.1650918,2.89925,-0.1530808,0.3233232,2.916236,-0.3197387,0.06797591,2.909317,-0.5281802,0.04569932,2.87332,-0.6934072,0.01523544,2.821556,-0.760308,0.02280311,2.80248,0.01361245,0.07925303,2.889577,0.2199105,0.07256886,2.871252,0.3866752,0.02779163,2.829736,0.431623,0.01004768,2.811295,-0.2135025,-0.2665037,2.835167,-0.1780953,-0.5941875,2.865773,-0.1913177,-0.8659776,2.866041,-0.2091339,-0.9324084,2.826856,-0.0646127,-0.2620552,2.829836,-0.08861537,-0.594144,2.869004,-0.06998384,-0.8621338,2.871581,-0.03322284,-0.9349401,2.841032,169,Make-the-letter-P,
65136362.6823,-0.1423422,-0.1899059,2.84543,-0.1416221,-0.1386605,2.893822,-0.1549913,0.1648384,2.898621,-0.1540687,0.3229368,2.915956,-0.3202136,0.06801292,2.909165,-0.5270298,0.04486267,2.873966,-0.692276,0.01696595,2.820457,-0.7595108,0.0232303,2.802101,0.0133774,0.07848991,2.888809,0.2205686,0.07003868,2.870801,0.3869191,0.02706666,2.828237,0.4318474,0.008329429,2.810758,-0.2138176,-0.266382,2.835032,-0.1782794,-0.5940708,2.865992,-0.1918626,-0.8673498,2.86463,-0.2101207,-0.9317197,2.82725,-0.06495944,-0.2614705,2.828377,-0.08915913,-0.5942746,2.868672,-0.07185984,-0.8627027,2.871629,-0.04710887,-0.9328524,2.840699,169,Make-the-letter-P,
65136398.6843,-0.1428665,-0.190005,2.845294,-0.1420105,-0.1386621,2.893672,-0.1553513,0.1650113,2.898479,-0.1541525,0.3228605,2.915984,-0.3204311,0.06786349,2.909268,-0.5260936,0.04444652,2.874082,-0.6914184,0.01716692,2.820478,-0.7587223,0.02189832,2.801921,0.01264649,0.07778324,2.888016,0.2131911,0.06195797,2.873821,0.3863857,0.02509153,2.827038,0.4316494,0.005782781,2.811118,-0.2145805,-0.2664641,2.835226,-0.1791028,-0.5940406,2.866243,-0.1919098,-0.8675289,2.864914,-0.2072227,-0.9319323,2.82805,-0.06557307,-0.2615455,2.827983,-0.08876199,-0.5941754,2.86781,-0.07373828,-0.8621386,2.871978,-0.04364851,-0.9323717,2.839017,169,Make-the-letter-P,
65136430.6862,-0.1436687,-0.1896518,2.844989,-0.1427102,-0.1383163,2.893382,-0.1556005,0.1652028,2.898372,-0.1555884,0.3234026,2.916523,-0.3205864,0.06783567,2.909292,-0.5258898,0.0434332,2.874553,-0.6909982,0.01669942,2.819766,-0.7584057,0.02094401,2.801473,0.01244163,0.0779276,2.887957,0.2108568,0.05909183,2.87559,0.3844944,0.02234889,2.825933,0.4291037,0.002146214,2.809294,-0.2155536,-0.2661558,2.835025,-0.1796927,-0.5941321,2.866455,-0.1923539,-0.8679473,2.865013,-0.209511,-0.9327908,2.82879,-0.06662776,-0.2610024,2.827499,-0.08890084,-0.593954,2.86782,-0.0729495,-0.8617609,2.871961,-0.04239151,-0.9320812,2.83797,169,Make-the-letter-P,
65136463.6881,-0.144488,-0.1905183,2.844722,-0.1432746,-0.1390178,2.893103,-0.155457,0.1646536,2.898004,-0.1560185,0.3230321,2.916392,-0.3206433,0.0675002,2.908905,-0.5254034,0.04204572,2.874513,-0.6898289,0.0112262,2.819843,-0.7576942,0.0104654,2.802811,0.01234045,0.07744389,2.887393,0.2095232,0.05217821,2.877904,0.3834561,0.01740094,2.822958,0.4268661,-0.00728919,2.809508,-0.2165729,-0.2669332,2.83492,-0.1841505,-0.5940424,2.865216,-0.1927104,-0.8678576,2.864944,-0.2114112,-0.9332256,2.828409,-0.06795162,-0.2621515,2.827191,-0.08904478,-0.5940226,2.8676,-0.07409104,-0.8620687,2.872035,-0.04178663,-0.9318073,2.837737,169,Make-the-letter-P,
65136498.6901,-0.1449093,-0.1908367,2.844665,-0.1437487,-0.1392726,2.893033,-0.1560675,0.1645374,2.897886,-0.156663,0.3228367,2.916006,-0.320771,0.06744356,2.9085,-0.523909,0.03925399,2.876132,-0.68836,0.008660547,2.821399,-0.7561819,0.005502732,2.804472,0.0116183,0.0763505,2.886967,0.2049702,0.04333492,2.880541,0.3844007,0.006707263,2.821279,0.4253601,-0.02240884,2.809052,-0.216866,-0.2671252,2.834834,-0.183797,-0.5936227,2.864767,-0.193458,-0.8684262,2.864693,-0.2123937,-0.9331931,2.828726,-0.06834238,-0.2623481,2.827278,-0.08892087,-0.5938913,2.867119,-0.07541028,-0.8615716,2.871294,-0.04813714,-0.9324353,2.83659,169,Make-the-letter-P,
65136530.6919,-0.1454211,-0.1911965,2.844795,-0.1441824,-0.1394295,2.893138,-0.1560903,0.164846,2.897981,-0.1576777,0.3232475,2.916301,-0.3208492,0.06735162,2.908386,-0.5225052,0.0356546,2.878383,-0.687191,-0.0007890426,2.82947,-0.7538512,-0.01133767,2.810986,0.01073218,0.07618424,2.887539,0.2045797,0.03681634,2.884724,0.3671866,-0.01185194,2.840977,0.430245,-0.03279276,2.819031,-0.2171828,-0.2672141,2.834796,-0.1839801,-0.5929549,2.86494,-0.1934844,-0.8687407,2.86466,-0.2026146,-0.9347358,2.830061,-0.06953543,-0.2628074,2.827965,-0.08811428,-0.5929981,2.866644,-0.08013139,-0.8643321,2.869426,-0.04466118,-0.9332441,2.835556,169,Make-the-letter-P,
65136562.6937,-0.1459728,-0.1920043,2.844533,-0.144931,-0.1401583,2.892868,-0.1562578,0.164383,2.897634,-0.1570623,0.3224334,2.914329,-0.3210745,0.067151,2.907744,-0.520744,0.03156817,2.881558,-0.6855176,-0.01046079,2.839518,-0.7511224,-0.02780788,2.822439,0.009015696,0.07475708,2.88873,0.2010397,0.03034461,2.887458,0.3635182,-0.01988419,2.845228,0.409798,-0.03206156,2.825607,-0.2177678,-0.2675928,2.834385,-0.1849715,-0.5935743,2.865123,-0.1938263,-0.8680252,2.864695,-0.2005688,-0.9332509,2.82988,-0.07004571,-0.2634755,2.82807,-0.08814907,-0.5929797,2.866483,-0.08012965,-0.864329,2.869408,-0.05122779,-0.9328036,2.835362,169,Make-the-letter-P,
65136598.6958,-0.1469939,-0.1926132,2.844676,-0.1457756,-0.1405371,2.893044,-0.1563715,0.1646306,2.897948,-0.1573276,0.3224996,2.914467,-0.3213058,0.0665844,2.907198,-0.519104,0.02495554,2.883054,-0.6796756,-0.03127729,2.841486,-0.7465014,-0.046812,2.827714,0.007917885,0.07438967,2.888782,0.1970853,0.02173445,2.889949,0.3625176,-0.02234232,2.845483,0.4058973,-0.05688321,2.815425,-0.2185924,-0.2677368,2.834253,-0.1834525,-0.5925665,2.863928,-0.1940623,-0.8679703,2.865125,-0.1992323,-0.9340503,2.830002,-0.07187162,-0.2641717,2.828653,-0.08910207,-0.5931597,2.866233,-0.07909566,-0.8636121,2.870476,-0.04666962,-0.9317994,2.836463,169,Make-the-letter-P,
65136631.6977,-0.1469569,-0.1929103,2.844674,-0.1459442,-0.1407882,2.893006,-0.1566963,0.1642264,2.897493,-0.1577156,0.3220538,2.913038,-0.3212564,0.06642473,2.906841,-0.5167758,0.01551169,2.887357,-0.6756744,-0.0467754,2.849004,-0.7412261,-0.06437905,2.831974,0.006526352,0.07331441,2.889468,0.1971541,0.009401671,2.893631,0.3546547,-0.05124197,2.845183,0.4172081,-0.07060996,2.820508,-0.2184924,-0.2676753,2.834207,-0.1830725,-0.5922225,2.864024,-0.1948034,-0.8682585,2.862844,-0.2057318,-0.9314606,2.827661,-0.071818,-0.2647173,2.828999,-0.08832704,-0.5923247,2.866444,-0.07765231,-0.8635925,2.871271,-0.04999971,-0.9319645,2.837619,169,Make-the-letter-P,
65136662.6994,-0.1470069,-0.1938081,2.844287,-0.146136,-0.1415349,2.892593,-0.1565177,0.1639335,2.896896,-0.1569752,0.321199,2.912184,-0.3206945,0.06572326,2.905978,-0.5129879,0.0003906447,2.890262,-0.6626953,-0.08524256,2.889019,-0.7098162,-0.0823677,2.851294,0.005262103,0.07107823,2.889613,0.1967702,-0.001868554,2.89703,0.3549997,-0.05361946,2.839332,0.4148104,-0.08470932,2.820539,-0.2184788,-0.2679003,2.833845,-0.1853545,-0.5924996,2.864179,-0.1955923,-0.8700536,2.863412,-0.2078721,-0.9315267,2.828063,-0.07196577,-0.2652631,2.829028,-0.08960991,-0.5932018,2.866433,-0.06888089,-0.8638422,2.86992,-0.04807828,-0.9315275,2.837195,169,Make-the-letter-P,
65136698.7015,-0.147208,-0.1948004,2.843628,-0.1465776,-0.1422483,2.891845,-0.1562271,0.1637781,2.895107,-0.1550412,0.3205186,2.906378,-0.3184479,0.06458797,2.903968,-0.5073501,-0.01717277,2.897061,-0.6584035,-0.09973225,2.900311,-0.7130377,-0.1385548,2.880182,0.004505677,0.07084663,2.890078,0.1884665,-0.02315032,2.902703,0.3392065,-0.0984315,2.853,0.3949864,-0.1349253,2.831691,-0.2184095,-0.2682998,2.832373,-0.1843747,-0.5917016,2.863764,-0.1964281,-0.8688713,2.86408,-0.2060188,-0.9318566,2.827565,-0.07246083,-0.2656956,2.82942,-0.09003615,-0.5940989,2.867371,-0.06930149,-0.8638935,2.870206,-0.04752994,-0.931868,2.83688,169,Make-the-letter-P,
65136730.7033,-0.1463795,-0.1967027,2.842506,-0.146049,-0.1439,2.890674,-0.1555917,0.1630051,2.893722,-0.152892,0.3188852,2.904491,-0.3169952,0.06331941,2.903151,-0.4973629,-0.02966754,2.901849,-0.6362898,-0.1316089,2.902919,-0.6891763,-0.1545118,2.881525,0.002573954,0.0677364,2.890766,0.1790234,-0.03207436,2.906209,0.3287441,-0.1091079,2.855993,0.3710055,-0.1390535,2.835727,-0.2172082,-0.2694579,2.830588,-0.1840077,-0.5921416,2.864062,-0.1967884,-0.8683726,2.863337,-0.2076027,-0.9319037,2.827441,-0.07222155,-0.2662376,2.829454,-0.09103072,-0.5949851,2.867901,-0.06945685,-0.8639553,2.870123,-0.04694824,-0.9316587,2.838032,169,Make-the-letter-P,
65136762.7052,-0.1470447,-0.1982097,2.843293,-0.1467321,-0.1448812,2.891198,-0.1557569,0.1629761,2.893607,-0.1506673,0.3175541,2.901152,-0.3168863,0.06320268,2.903277,-0.4846757,-0.03608338,2.902707,-0.6174374,-0.1459592,2.903553,-0.6546397,-0.1878016,2.897735,0.0008241107,0.0664028,2.891623,0.1725792,-0.05159228,2.907159,0.3164452,-0.135096,2.848981,0.3566467,-0.1660481,2.841287,-0.2172695,-0.2702891,2.831385,-0.1835354,-0.5923002,2.864409,-0.1968003,-0.8680654,2.863636,-0.2069167,-0.9319254,2.827234,-0.07372329,-0.2675143,2.830932,-0.09081435,-0.5956097,2.86832,-0.07062727,-0.8636248,2.870296,-0.04475015,-0.9312439,2.83683,169,Make-the-letter-P,
65136798.7072,-0.1471464,-0.199672,2.843286,-0.1473945,-0.1458322,2.891098,-0.1558028,0.1631327,2.892972,-0.149232,0.3162984,2.899558,-0.3126683,0.06215435,2.900808,-0.4847035,-0.05894318,2.90881,-0.6076416,-0.1795149,2.91144,-0.6600128,-0.2257247,2.907055,0.0003499028,0.0653422,2.893502,0.1688228,-0.05618881,2.910658,0.3069249,-0.1588248,2.8556,0.3304065,-0.2049089,2.856179,-0.2169914,-0.2706906,2.831381,-0.1823007,-0.5918527,2.863846,-0.1968044,-0.8679999,2.863735,-0.208871,-0.9315857,2.827987,-0.074382,-0.2685076,2.831561,-0.09081706,-0.5955579,2.868246,-0.07126308,-0.8633448,2.871029,-0.04870497,-0.930214,2.837282,169,Make-the-letter-P,
65136830.709,-0.1462634,-0.2016683,2.843028,-0.1468973,-0.147423,2.890883,-0.1557014,0.1630724,2.8929,-0.1485929,0.3154733,2.898609,-0.3107167,0.06162943,2.900334,-0.4728791,-0.05490453,2.903455,-0.5933599,-0.1776962,2.908007,-0.6332474,-0.2349582,2.913265,-0.0009776771,0.06434421,2.894466,0.1607821,-0.06731838,2.910626,0.2847091,-0.1856708,2.877107,0.3319654,-0.2347126,2.861003,-0.2154855,-0.2718403,2.830818,-0.1821129,-0.5921255,2.864562,-0.1973436,-0.8684292,2.86375,-0.2107193,-0.9319584,2.827118,-0.07416601,-0.269124,2.83184,-0.09078202,-0.59561,2.86865,-0.07074243,-0.8609473,2.874036,-0.04639382,-0.9300082,2.836843,169,Make-the-letter-P,
65136862.7109,-0.1464385,-0.2027561,2.843433,-0.1471267,-0.1483737,2.891237,-0.1563776,0.162795,2.892939,-0.1482722,0.3162249,2.898703,-0.3097995,0.06112102,2.900223,-0.4697997,-0.06219982,2.905306,-0.582259,-0.1928539,2.90536,-0.622279,-0.2501604,2.908842,-0.002256927,0.06458102,2.89406,0.1571387,-0.07258265,2.908506,0.2782669,-0.194236,2.877547,0.3159817,-0.252592,2.869184,-0.2150265,-0.2723421,2.831239,-0.1816683,-0.5921452,2.864727,-0.1983585,-0.8652681,2.866205,-0.2038653,-0.9346321,2.828898,-0.07470921,-0.269682,2.832456,-0.09293995,-0.5971271,2.869232,-0.06396846,-0.8641178,2.870533,-0.04164112,-0.9305425,2.836676,169,Make-the-letter-P,
65136898.7129,-0.1464098,-0.2044377,2.843077,-0.1469853,-0.1497247,2.890803,-0.1552473,0.1624495,2.89181,-0.1477271,0.3160589,2.898678,-0.3072837,0.05963717,2.899501,-0.464991,-0.06795941,2.906736,-0.5761799,-0.1999744,2.902992,-0.5912544,-0.2315378,2.902859,-0.002464336,0.0642903,2.893988,0.1552453,-0.07610817,2.905602,0.2677388,-0.2061033,2.876872,0.3000713,-0.2679608,2.871763,-0.2147551,-0.2730765,2.831357,-0.1810882,-0.592025,2.864597,-0.1983322,-0.8635296,2.866467,-0.2027006,-0.9346938,2.828733,-0.07529382,-0.2708067,2.832205,-0.09317778,-0.5970584,2.869302,-0.0703564,-0.8642629,2.871658,-0.04790038,-0.9303443,2.839093,169,Make-the-letter-P,
65136930.7148,-0.1459587,-0.2061449,2.842703,-0.1465234,-0.1515411,2.890494,-0.156189,0.1607951,2.891872,-0.1472743,0.314109,2.894994,-0.3069851,0.05934727,2.899616,-0.4617549,-0.07436915,2.910162,-0.5727763,-0.206752,2.898521,-0.5872039,-0.233166,2.902436,-0.004784121,0.0641544,2.892426,0.151108,-0.07968209,2.905214,0.2596495,-0.2135708,2.881746,0.2758801,-0.2573542,2.884512,-0.2132711,-0.2747982,2.831104,-0.1808398,-0.5922477,2.865103,-0.1983613,-0.8637813,2.866355,-0.2050506,-0.9338994,2.82834,-0.07522727,-0.2712228,2.831994,-0.09306569,-0.5973605,2.869576,-0.06456956,-0.8641002,2.871077,-0.04327851,-0.9301585,2.838462,169,Make-the-letter-P,
65136962.7166,-0.1461123,-0.2081612,2.842623,-0.1463144,-0.1531537,2.890548,-0.1565569,0.1606621,2.892317,-0.1517911,0.3157268,2.898149,-0.3065089,0.05875144,2.900219,-0.4598724,-0.08091231,2.911297,-0.5695108,-0.2144368,2.90117,-0.5872203,-0.2424101,2.903028,-0.007865729,0.06491128,2.890277,0.1497201,-0.08393888,2.903943,0.2542374,-0.2208574,2.879015,0.2715719,-0.2617202,2.885163,-0.2125489,-0.2768908,2.831545,-0.1804433,-0.5922073,2.864802,-0.1979624,-0.8641179,2.866652,-0.2047316,-0.9341977,2.828423,-0.07572939,-0.2717392,2.831656,-0.09339502,-0.5977358,2.869303,-0.08285619,-0.8667213,2.86921,-0.05067778,-0.9293514,2.835667,169,Make-the-letter-P,
65136998.7187,-0.1459462,-0.2089354,2.842476,-0.1460171,-0.1538466,2.890442,-0.1566029,0.1605869,2.892365,-0.1540155,0.3167173,2.89883,-0.3056202,0.05647694,2.900898,-0.4594185,-0.08232009,2.91087,-0.5671688,-0.2173658,2.901369,-0.5856007,-0.2561622,2.899692,-0.008301951,0.06501567,2.890063,0.1469982,-0.08593355,2.904217,0.249745,-0.223981,2.877323,0.2686066,-0.2629934,2.883677,-0.2119471,-0.2776337,2.831629,-0.1804443,-0.5922073,2.864804,-0.1980227,-0.8639464,2.866433,-0.2101422,-0.9324347,2.824553,-0.07584681,-0.2720685,2.831394,-0.09337877,-0.597722,2.868966,-0.08171763,-0.8660327,2.869111,-0.04509545,-0.9284915,2.835765,169,Make-the-letter-P,
65137030.7205,-0.1463478,-0.209133,2.842089,-0.146345,-0.1540983,2.890162,-0.1567186,0.1605397,2.892436,-0.1549761,0.3169829,2.899212,-0.3054794,0.05632811,2.900983,-0.4581161,-0.08544771,2.909825,-0.5670739,-0.2195191,2.900506,-0.5850965,-0.2555278,2.898473,-0.008269695,0.06469114,2.890094,0.1462911,-0.08860441,2.90501,0.2501991,-0.225662,2.877093,0.2667869,-0.2622642,2.882365,-0.2124654,-0.2776015,2.830989,-0.1805051,-0.5922367,2.864796,-0.1974216,-0.8632414,2.867465,-0.2058743,-0.9318736,2.825974,-0.07638005,-0.2724473,2.830939,-0.09342367,-0.5980737,2.868951,-0.08162186,-0.8659384,2.868978,-0.04567274,-0.9318478,2.841202,169,Make-the-letter-P,
65137062.7223,-0.1460262,-0.2099401,2.841693,-0.1460166,-0.1546825,2.889919,-0.1566952,0.1607184,2.892615,-0.1548176,0.3171408,2.89891,-0.304195,0.05546341,2.900898,-0.4579869,-0.08579784,2.909812,-0.5672997,-0.2195762,2.900758,-0.585496,-0.2547663,2.89802,-0.008731506,0.06421273,2.889418,0.1453879,-0.09074917,2.904126,0.2480066,-0.22819,2.871872,0.2629515,-0.2609507,2.87194,-0.211758,-0.2781261,2.830765,-0.1801926,-0.5924147,2.864245,-0.1974187,-0.8637491,2.867174,-0.2069103,-0.9315945,2.826648,-0.07641087,-0.2727687,2.830467,-0.09150878,-0.597849,2.86849,-0.08033384,-0.8660324,2.869288,-0.04078831,-0.9323394,2.844632,169,Make-the-letter-P,
65137098.7244,-0.1460572,-0.2102313,2.8414,-0.1459299,-0.1550241,2.889662,-0.1566873,0.1606231,2.892635,-0.1553919,0.317423,2.898571,-0.3044211,0.05515885,2.901545,-0.4583532,-0.08635711,2.910118,-0.567891,-0.2199592,2.900658,-0.5899621,-0.2589347,2.899016,-0.009065188,0.06393183,2.889335,0.1423072,-0.09670687,2.898389,0.2502378,-0.2302768,2.867871,0.2629006,-0.2603527,2.870135,-0.2116506,-0.2784308,2.83063,-0.1800664,-0.5924459,2.864114,-0.1965236,-0.8649659,2.867175,-0.1996465,-0.9315281,2.828713,-0.07671173,-0.2730295,2.829702,-0.0916062,-0.5974371,2.868173,-0.07978819,-0.8657203,2.86935,-0.03950947,-0.9316521,2.843218,169,Make-the-letter-P,
65137130.7262,-0.146281,-0.2108313,2.84158,-0.1460108,-0.1556133,2.889882,-0.156795,0.1605152,2.893259,-0.1562819,0.3172727,2.898284,-0.3045584,0.05460682,2.902273,-0.4583166,-0.0865644,2.909965,-0.5685343,-0.2195707,2.894766,-0.6076099,-0.2776335,2.894763,-0.009196448,0.06402823,2.889376,0.1425546,-0.09675146,2.898158,0.2507772,-0.2299317,2.86659,0.2639863,-0.2617038,2.870188,-0.211556,-0.2796057,2.830966,-0.1797317,-0.5927997,2.864341,-0.196208,-0.8669044,2.867417,-0.2052799,-0.9334292,2.830185,-0.07724145,-0.2732833,2.82973,-0.08991654,-0.5978296,2.868562,-0.07976574,-0.8657128,2.869276,-0.03791031,-0.9311172,2.84032,169,Make-the-letter-P,
65137162.728,-0.1464814,-0.2115772,2.841564,-0.1460847,-0.1562567,2.889845,-0.1568741,0.1604529,2.893245,-0.1561677,0.3170593,2.8974,-0.3047285,0.05418367,2.902579,-0.4569345,-0.08648122,2.910011,-0.5689901,-0.2179283,2.894304,-0.6094496,-0.274999,2.892246,-0.009533292,0.06388834,2.88893,0.1426709,-0.09670272,2.897564,0.2514105,-0.2294643,2.86601,0.2653039,-0.2610942,2.869806,-0.2116124,-0.2805752,2.830881,-0.1794035,-0.592692,2.863899,-0.1963554,-0.8670201,2.867221,-0.20925,-0.9340336,2.828961,-0.07754618,-0.2737378,2.829832,-0.09028258,-0.5975553,2.868557,-0.07933867,-0.8630407,2.870923,-0.03696828,-0.9314204,2.840266,169,Make-the-letter-P,
65137198.7301,-0.1468816,-0.2120547,2.84109,-0.1463767,-0.1567207,2.889531,-0.1568578,0.1603875,2.893388,-0.1575444,0.3159771,2.896712,-0.3046636,0.05378386,2.902548,-0.457443,-0.08703161,2.909539,-0.5696464,-0.218231,2.890983,-0.6102076,-0.2751825,2.887881,-0.009388443,0.06360544,2.889038,0.1441615,-0.09773244,2.895562,0.2545579,-0.2281009,2.8582,0.2662964,-0.258359,2.859405,-0.2121901,-0.2812082,2.830145,-0.1794852,-0.5926107,2.863858,-0.1962346,-0.8671005,2.867239,-0.2140183,-0.9337407,2.827716,-0.07809295,-0.2742094,2.829195,-0.08988822,-0.597342,2.868668,-0.0791713,-0.8634212,2.870986,-0.03809934,-0.9318992,2.840413,169,Make-the-letter-P,
65137230.7319,-0.1469768,-0.2123823,2.841061,-0.1464209,-0.1569927,2.889471,-0.1567206,0.1603713,2.893266,-0.157768,0.3156524,2.896138,-0.3046383,0.05378052,2.902534,-0.4558361,-0.09045535,2.907975,-0.5707393,-0.2193109,2.889658,-0.5931433,-0.2546206,2.885525,-0.009333491,0.06345419,2.888983,0.1452149,-0.0985086,2.896176,0.2553357,-0.2289189,2.857862,0.2677777,-0.2590431,2.857817,-0.2122445,-0.2815535,2.830196,-0.1826159,-0.592864,2.863047,-0.1962886,-0.8671507,2.86726,-0.2055174,-0.9350641,2.829155,-0.07835308,-0.2745369,2.829184,-0.09166729,-0.5984194,2.868716,-0.06449393,-0.8672972,2.868005,-0.03773282,-0.9321885,2.841853,169,Make-the-letter-P,
65137262.7338,-0.1469711,-0.2127522,2.840734,-0.1462968,-0.1574824,2.889173,-0.1567916,0.1598172,2.893355,-0.1578523,0.3158273,2.896174,-0.3042711,0.05258712,2.902792,-0.4555317,-0.09325424,2.908836,-0.5715211,-0.2209521,2.887697,-0.5934482,-0.2559887,2.882335,-0.009457091,0.06327625,2.888507,0.1458948,-0.09966787,2.895864,0.2562811,-0.2299103,2.857822,0.2678637,-0.2589882,2.857867,-0.2121947,-0.2819167,2.830099,-0.1824918,-0.593308,2.862853,-0.1965694,-0.8671712,2.866864,-0.210535,-0.9342058,2.828243,-0.07837439,-0.274717,2.828354,-0.09183516,-0.5984229,2.86873,-0.06636051,-0.8664743,2.868343,-0.04741231,-0.9312142,2.83848,169,Make-the-letter-P,
65137298.7358,-0.1469207,-0.2130218,2.840513,-0.1462826,-0.1578193,2.889015,-0.1568114,0.1595318,2.893596,-0.1577338,0.3146487,2.89458,-0.3043134,0.05240267,2.902842,-0.4546569,-0.09563759,2.90753,-0.5699877,-0.2237859,2.884618,-0.5911103,-0.2586108,2.877631,-0.009336756,0.06280819,2.888658,0.1456272,-0.1001481,2.89546,0.2562934,-0.2298432,2.855939,0.2678839,-0.2594869,2.857654,-0.212059,-0.2823661,2.829723,-0.1831633,-0.5937587,2.863067,-0.1965643,-0.8670954,2.86684,-0.2137102,-0.9347224,2.826786,-0.07834593,-0.2749205,2.828079,-0.09189108,-0.5983469,2.868576,-0.06989326,-0.8663048,2.869254,-0.04764473,-0.9311339,2.838434,169,Make-the-letter-P,
65137330.7376,-0.1473383,-0.2134795,2.840379,-0.1466012,-0.1582112,2.888864,-0.1569291,0.1595157,2.893498,-0.1577478,0.314598,2.894332,-0.3040292,0.05245233,2.902738,-0.4488068,-0.09630916,2.906676,-0.5636237,-0.2246949,2.881471,-0.5815279,-0.2565631,2.871505,-0.009898606,0.06267446,2.88823,0.1448665,-0.1013976,2.895469,0.2550782,-0.2313499,2.85535,0.2675587,-0.2596886,2.856267,-0.2122238,-0.2825024,2.829696,-0.1823494,-0.5931692,2.862914,-0.1968245,-0.8670462,2.8672,-0.2150774,-0.9352013,2.828275,-0.07900025,-0.2751588,2.828036,-0.09257378,-0.5992333,2.869063,-0.06428526,-0.8656899,2.869364,-0.04464458,-0.9306724,2.837911,169,Make-the-letter-P,
65137362.7395,-0.1472917,-0.213572,2.839929,-0.1465979,-0.158353,2.888551,-0.1569838,0.1595081,2.893541,-0.1571566,0.3140746,2.893337,-0.303989,0.05243693,2.902741,-0.4468894,-0.10025,2.908831,-0.5568622,-0.2324364,2.880402,-0.591808,-0.2906178,2.863311,-0.009910522,0.06233487,2.888245,0.1447216,-0.1047039,2.894291,0.2535318,-0.2356723,2.853446,0.2635098,-0.26498,2.843735,-0.2121988,-0.2826085,2.829037,-0.1816577,-0.592442,2.862246,-0.1972239,-0.8670003,2.866962,-0.2159468,-0.9347479,2.828248,-0.07886536,-0.2751255,2.827513,-0.09288322,-0.599267,2.868738,-0.06066207,-0.8654736,2.87049,-0.04922079,-0.9303187,2.836194,169,Make-the-letter-P,
