Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
34761029.2715,0.06056624,-0.2671814,2.68145,0.06326125,-0.2165162,2.724718,0.06370321,0.0696893,2.719974,0.07033348,0.2146915,2.715938,-0.07569709,-0.02228715,2.736013,-0.1791099,-0.1928041,2.777262,-0.2664022,-0.3193721,2.821961,-0.2963822,-0.3794229,2.83305,0.1953153,-0.01394158,2.723448,0.3639487,-0.1379851,2.689175,0.4867246,-0.243271,2.655075,0.5234121,-0.2692512,2.643732,0.001371611,-0.3282828,2.67505,0.01725848,-0.6419635,2.681138,0.02758441,-0.8953382,2.669693,0.002522082,-0.9503495,2.651486,0.1191133,-0.3274294,2.670016,0.114761,-0.6489123,2.674053,0.1134687,-0.89798,2.669528,0.1161762,-0.9435653,2.636631,290,Raise-your-hand,
34761061.2733,0.0605688,-0.2673985,2.681592,0.06322668,-0.2167927,2.724911,0.06389626,0.06951638,2.720443,0.07080959,0.2152876,2.716242,-0.07566548,-0.02253886,2.736033,-0.1780594,-0.1935622,2.776988,-0.265653,-0.3207381,2.819823,-0.2973072,-0.3797081,2.832064,0.1952036,-0.01386431,2.723856,0.3536305,-0.1436939,2.686909,0.4752214,-0.2509569,2.655692,0.5282763,-0.2919686,2.644181,0.001360055,-0.3284935,2.675197,0.01692355,-0.642378,2.68122,0.02808507,-0.8955669,2.670097,0.0120922,-0.9450148,2.624734,0.1190707,-0.3275164,2.670082,0.1145451,-0.6494125,2.674399,0.1138729,-0.898156,2.669882,0.1147159,-0.9428049,2.634609,290,Raise-your-hand,
34761097.2754,0.0604618,-0.2680217,2.682762,0.06291991,-0.2176572,2.726351,0.06371026,0.0693117,2.723709,0.07129882,0.2133189,2.717933,-0.07592997,-0.0230937,2.736277,-0.1780384,-0.1940283,2.776229,-0.2652805,-0.3219711,2.817825,-0.29713,-0.3805069,2.831621,0.1955111,-0.01503631,2.725121,0.3479328,-0.1443121,2.687714,0.4679345,-0.2530444,2.654866,0.5209184,-0.2947295,2.64558,0.001330515,-0.3291999,2.676748,0.01639864,-0.6426657,2.681357,0.02796593,-0.8952152,2.669709,-0.007520481,-0.9464954,2.663084,0.1188542,-0.3282012,2.670615,0.1143964,-0.6500659,2.674561,0.1137368,-0.898084,2.669922,0.1148313,-0.9428739,2.634359,290,Raise-your-hand,
34761128.2771,0.06054694,-0.2684235,2.682877,0.06304514,-0.2180659,2.726539,0.06425661,0.06952644,2.724765,0.07138534,0.2131805,2.71812,-0.07571739,-0.02338502,2.736313,-0.1759785,-0.1940361,2.772537,-0.264704,-0.3232276,2.808262,-0.2964656,-0.3802634,2.827533,0.1955335,-0.01533167,2.725055,0.3443443,-0.1473734,2.68648,0.4622602,-0.257479,2.649531,0.5142602,-0.3008274,2.64245,0.001348475,-0.3294649,2.67678,0.01646966,-0.6427433,2.681473,0.02762669,-0.8947335,2.669694,-0.008011317,-0.9463236,2.6624,0.1188748,-0.3284362,2.670633,0.1144386,-0.6502082,2.674602,0.1136059,-0.8982712,2.670082,0.1152898,-0.9431241,2.634903,290,Raise-your-hand,
34761160.279,0.0604265,-0.2686153,2.683475,0.06284765,-0.2183412,2.7272,0.06476544,0.06908151,2.725584,0.07181921,0.2129807,2.718201,-0.07570228,-0.02353538,2.736229,-0.1763495,-0.1947538,2.771439,-0.2644732,-0.3240381,2.80807,-0.2972577,-0.3804306,2.827563,0.1963496,-0.01752121,2.725681,0.337261,-0.1543542,2.685011,0.4550204,-0.2645455,2.647673,0.5077749,-0.3071356,2.641513,0.001156303,-0.3296066,2.677067,0.01636395,-0.6430372,2.681556,0.02778328,-0.8948494,2.66948,0.004346245,-0.9477086,2.651261,0.1185787,-0.3288466,2.671569,0.1142779,-0.650148,2.674601,0.1115334,-0.8981928,2.669127,0.1122324,-0.9425575,2.632418,290,Raise-your-hand,
34761197.2811,0.06060979,-0.2697774,2.683966,0.06297681,-0.2194452,2.727798,0.06515577,0.06857588,2.72658,0.07210854,0.2127697,2.718558,-0.0750782,-0.02447071,2.736253,-0.1765855,-0.1955641,2.770859,-0.2643417,-0.3252276,2.80716,-0.2862026,-0.3630055,2.818754,0.196855,-0.01831968,2.726295,0.33585,-0.157402,2.684944,0.4513461,-0.2706097,2.650451,0.5012605,-0.3156951,2.639836,0.001223731,-0.3303474,2.677166,0.01629113,-0.6433336,2.681622,0.02768921,-0.8946092,2.669584,0.000669477,-0.9468195,2.649915,0.1187257,-0.3302028,2.672238,0.1140817,-0.6503542,2.674718,0.1092372,-0.8979861,2.668842,0.1124986,-0.9428477,2.632962,290,Raise-your-hand,
34761228.2828,0.06127296,-0.2707544,2.684228,0.06372715,-0.2203156,2.728175,0.06749557,0.06910102,2.72801,0.07374371,0.2115723,2.718645,-0.0738847,-0.02498694,2.735878,-0.1766187,-0.1958941,2.770367,-0.2632166,-0.3274532,2.803467,-0.2855982,-0.3634231,2.817034,0.1971174,-0.01887602,2.726219,0.3340287,-0.1604531,2.684464,0.4476354,-0.2760168,2.652254,0.4940139,-0.325774,2.648854,0.001600224,-0.3309566,2.677292,0.01753887,-0.644164,2.682027,0.02796171,-0.8946509,2.669549,0.000940645,-0.946564,2.650134,0.1191176,-0.3308304,2.672378,0.1141337,-0.6509178,2.675361,0.1101529,-0.8979232,2.669272,0.113825,-0.942177,2.633802,290,Raise-your-hand,
34761260.2847,0.0617424,-0.2716533,2.684576,0.06419465,-0.2210082,2.728616,0.06912795,0.0701832,2.729497,0.07536636,0.2116469,2.717794,-0.07265223,-0.02514797,2.735267,-0.1761349,-0.1966976,2.769449,-0.2632928,-0.3285777,2.800451,-0.2854185,-0.3643245,2.816015,0.1973353,-0.01930452,2.726163,0.3296431,-0.163925,2.684973,0.441543,-0.2803063,2.648573,0.4716685,-0.320237,2.648923,0.001857758,-0.331489,2.677368,0.01752886,-0.6445351,2.682069,0.02799102,-0.8951209,2.669836,0.01336545,-0.9458389,2.629014,0.1194238,-0.3314793,2.672771,0.1140685,-0.6508991,2.675405,0.1093843,-0.8980548,2.668839,0.110989,-0.9424942,2.632401,290,Raise-your-hand,
34761296.2867,0.06209249,-0.2723185,2.684816,0.06423769,-0.2214178,2.728818,0.06980003,0.07034621,2.729242,0.07718031,0.2122802,2.717656,-0.0683565,-0.02211367,2.733571,-0.1751619,-0.1970062,2.769561,-0.2620339,-0.3302295,2.79676,-0.278438,-0.3549263,2.800133,0.1980278,-0.0201506,2.726379,0.3284592,-0.1690136,2.685203,0.4313225,-0.2926967,2.645314,0.4659684,-0.3351342,2.646827,0.002192954,-0.3318868,2.677602,0.01759175,-0.6441712,2.682127,0.02792056,-0.8942975,2.669565,0.02021311,-0.9378327,2.628295,0.1195539,-0.331872,2.673124,0.113915,-0.6508622,2.675601,0.1096056,-0.8979527,2.668874,0.1112597,-0.9457653,2.639295,290,Raise-your-hand,
34761329.2886,0.0628105,-0.2735156,2.685378,0.06494703,-0.2223361,2.729425,0.07051689,0.07042396,2.729778,0.07850703,0.2118368,2.717579,-0.06805868,-0.02236503,2.733404,-0.173506,-0.196768,2.76891,-0.2568366,-0.3344832,2.786939,-0.2781353,-0.3649398,2.793319,0.1992954,-0.02248581,2.726144,0.3252119,-0.1747953,2.68609,0.4250135,-0.3013392,2.647819,0.4677857,-0.3542626,2.651044,0.002679129,-0.3330423,2.677978,0.01749849,-0.6452733,2.683013,0.02731109,-0.8942843,2.670087,0.01919943,-0.9393523,2.628712,0.1204197,-0.3331571,2.673867,0.1141939,-0.6516511,2.676189,0.1103496,-0.8972955,2.66989,0.1124889,-0.9398348,2.633165,290,Raise-your-hand,
