Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
34774176.0191,0.08043212,-0.2678452,2.671859,0.07389454,-0.2170099,2.714383,0.0743416,0.06810935,2.706547,0.09159483,0.2111993,2.682207,-0.05510782,-0.01552757,2.694171,-0.2034276,-0.1697754,2.679343,-0.3008714,-0.300496,2.688714,-0.3399112,-0.3563777,2.677783,0.2164161,-0.02168914,2.732364,0.3380224,-0.1784717,2.714408,0.4477306,-0.3006006,2.69779,0.4786626,-0.3317963,2.701817,0.02180828,-0.3284057,2.655124,0.0268487,-0.6425096,2.666127,0.0295816,-0.8947262,2.669996,0.01712107,-0.9382076,2.625077,0.1414117,-0.3296832,2.671861,0.1203063,-0.6497703,2.672108,0.115878,-0.8962227,2.66745,0.1107861,-0.9371056,2.630227,290,Raise-your-other-hand,
34774209.021,0.08005579,-0.26844,2.671734,0.0734785,-0.2176558,2.714285,0.07410763,0.06758356,2.706664,0.09158503,0.2111466,2.68255,-0.05497109,-0.01569399,2.694056,-0.1996186,-0.1763898,2.67965,-0.296519,-0.3080392,2.685318,-0.3352869,-0.3640547,2.674052,0.2160741,-0.02278826,2.73239,0.334419,-0.1820333,2.714498,0.436923,-0.3100324,2.693861,0.4715222,-0.3427335,2.698097,0.02152566,-0.3288352,2.654911,0.02855604,-0.6423072,2.66633,0.03008772,-0.8948677,2.669529,0.01972959,-0.9393886,2.619691,0.1409274,-0.3301637,2.671814,0.1195895,-0.6506183,2.672278,0.1158678,-0.8962777,2.667357,0.1114722,-0.9375185,2.630444,290,Raise-your-other-hand,
34774245.023,0.08006067,-0.2685294,2.67175,0.07325696,-0.2178621,2.714296,0.07484554,0.06710222,2.707357,0.09343043,0.2130423,2.683901,-0.05495458,-0.01605506,2.693815,-0.1919236,-0.1843506,2.678629,-0.2910854,-0.3144729,2.683006,-0.3195471,-0.3755407,2.667826,0.2175037,-0.02564038,2.733933,0.324806,-0.1914521,2.714695,0.4196193,-0.3251123,2.692245,0.4540004,-0.3626371,2.688426,0.02137802,-0.3290536,2.654792,0.02843979,-0.6424426,2.66626,0.03015972,-0.894963,2.66937,0.02236162,-0.9404107,2.615879,0.1409466,-0.3304534,2.671851,0.1191429,-0.6508217,2.672106,0.1159427,-0.8962718,2.667135,0.1112463,-0.9376077,2.630367,290,Raise-your-other-hand,
34774277.0249,0.08011805,-0.2685516,2.671731,0.07314312,-0.2178919,2.71424,0.07516397,0.06699678,2.707278,0.09446906,0.2139646,2.683972,-0.05562183,-0.01706672,2.693629,-0.1883841,-0.1906382,2.679524,-0.2581772,-0.3393678,2.670962,-0.2969005,-0.3957771,2.6615,0.2179964,-0.02712156,2.735331,0.3100547,-0.2065815,2.713998,0.3962619,-0.3458174,2.689955,0.4305628,-0.393222,2.68301,0.02134572,-0.3292518,2.654649,0.02797804,-0.6431788,2.666098,0.03008472,-0.8951589,2.669311,0.02237824,-0.9453533,2.625199,0.1411163,-0.33059,2.671883,0.1187432,-0.6508364,2.67195,0.1153249,-0.8974587,2.668062,0.1108332,-0.9398896,2.63175,290,Raise-your-other-hand,
34774309.0267,0.08003265,-0.2687607,2.671672,0.07308314,-0.2181345,2.714217,0.07517999,0.06677065,2.707448,0.09427001,0.213797,2.68373,-0.05607856,-0.01776634,2.693756,-0.1766521,-0.2020898,2.683692,-0.2407827,-0.3531703,2.665099,-0.2622452,-0.3845943,2.659144,0.2173623,-0.0281326,2.735342,0.2960707,-0.2148744,2.716019,0.3641507,-0.3620053,2.678519,0.3782648,-0.4094082,2.670798,0.02113156,-0.3295339,2.654346,0.02743451,-0.6431193,2.665767,0.03014979,-0.8950773,2.669173,0.02253713,-0.9430249,2.620921,0.1410177,-0.3308989,2.671899,0.11883,-0.6508748,2.671869,0.1156644,-0.8975287,2.668151,0.1109178,-0.9398249,2.631717,290,Raise-your-other-hand,
34774344.0287,0.08034669,-0.2691188,2.671696,0.07336671,-0.2185138,2.714282,0.07525954,0.06652107,2.70767,0.09449658,0.2134735,2.68395,-0.0554774,-0.01874365,2.693886,-0.1629166,-0.2106563,2.684394,-0.2239719,-0.3629168,2.663996,-0.2385194,-0.4295842,2.653218,0.2162574,-0.02871665,2.73518,0.2790808,-0.230419,2.71467,0.3372937,-0.3829525,2.685261,0.3490125,-0.4448518,2.681369,0.02174096,-0.3297723,2.654036,0.02728058,-0.6432164,2.665791,0.02876255,-0.894522,2.669513,0.01903937,-0.9412386,2.62033,0.1411517,-0.3310175,2.67211,0.118873,-0.6497296,2.671611,0.1157529,-0.8974428,2.668216,0.1095716,-0.9419686,2.635644,290,Raise-your-other-hand,
34774376.0305,0.08045471,-0.2693139,2.671758,0.07316379,-0.2187343,2.714323,0.07523972,0.06635761,2.70792,0.09487592,0.2133021,2.684132,-0.05542277,-0.01926145,2.694028,-0.1469159,-0.2214858,2.686273,-0.1909922,-0.3794497,2.664826,-0.2010359,-0.4476162,2.659686,0.215948,-0.03045923,2.737194,0.2636769,-0.2447895,2.71968,0.2986591,-0.4037529,2.686222,0.3118465,-0.4712884,2.679976,0.02194762,-0.3298786,2.653679,0.0266691,-0.6435667,2.665651,0.0313262,-0.8971059,2.669043,-0.006864077,-0.9486488,2.65768,0.1413409,-0.331801,2.672841,0.1186322,-0.6504959,2.671317,0.1158404,-0.8986592,2.668099,0.1099585,-0.9409547,2.632632,290,Raise-your-other-hand,
34774408.0324,0.08103676,-0.271062,2.672661,0.07347811,-0.2201882,2.715158,0.07473306,0.06582809,2.708524,0.09548549,0.2125474,2.684554,-0.05455706,-0.01994933,2.693927,-0.1337135,-0.2274152,2.685032,-0.1623601,-0.3888984,2.66335,-0.1660327,-0.4459549,2.66172,0.2126701,-0.03160408,2.736516,0.252252,-0.2503321,2.722289,0.2802126,-0.410305,2.686188,0.2806246,-0.4551271,2.682607,0.023108,-0.3308549,2.653653,0.02658062,-0.6450268,2.666065,0.03158734,-0.896913,2.66879,0.0202632,-0.9403308,2.611181,0.1415076,-0.3329835,2.675111,0.1187842,-0.6520526,2.671594,0.1165306,-0.8988979,2.668172,0.1086678,-0.940377,2.632131,290,Raise-your-other-hand,
34774445.0345,0.08153693,-0.2731887,2.674596,0.07406089,-0.2218903,2.716746,0.07538172,0.06493094,2.708685,0.09614055,0.2123941,2.684634,-0.05385014,-0.02006386,2.693832,-0.1188818,-0.2326047,2.679556,-0.1347292,-0.3983236,2.664896,-0.1479114,-0.4479478,2.663196,0.211226,-0.03211976,2.735972,0.2469577,-0.2514594,2.722797,0.2626668,-0.4138874,2.692476,0.2691434,-0.4619972,2.693338,0.02402567,-0.3322486,2.654767,0.02593401,-0.647162,2.665629,0.03098963,-0.8965639,2.668894,0.02006784,-0.9414463,2.612981,0.1410388,-0.3347563,2.679045,0.118691,-0.6530795,2.671722,0.1170889,-0.899074,2.6682,0.1076954,-0.9401453,2.631729,290,Raise-your-other-hand,
34774477.0363,0.08171325,-0.273964,2.675778,0.07413417,-0.2223766,2.717508,0.07563333,0.0642897,2.708067,0.09573646,0.2108192,2.684147,-0.052798,-0.01991114,2.693847,-0.1100004,-0.2347176,2.678108,-0.1269348,-0.3981686,2.664614,-0.130657,-0.4490784,2.666106,0.2105315,-0.03264081,2.736363,0.2444624,-0.2522079,2.724329,0.2585185,-0.4152995,2.698981,0.2648502,-0.4600514,2.702941,0.02458737,-0.3327177,2.65625,0.02568187,-0.6486202,2.666023,0.0321008,-0.8989761,2.670213,0.02272656,-0.9419587,2.613636,0.1408061,-0.3352222,2.681027,0.1182862,-0.6535226,2.67162,0.1183617,-0.9013671,2.669579,0.1038309,-0.943211,2.628976,290,Raise-your-other-hand,
