Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
34811515.9522,0.1217945,-0.264409,2.673611,0.1113469,-0.2154696,2.717616,0.1033019,0.06948677,2.718818,0.1167069,0.2175548,2.700104,-0.02804458,-0.02557907,2.695062,-0.1670111,-0.1794633,2.669231,-0.2594355,-0.3136087,2.662478,-0.2700342,-0.3365959,2.660821,0.2450962,-0.01436015,2.748973,0.3879684,-0.1565218,2.759077,0.502134,-0.2657563,2.788143,0.528249,-0.2919962,2.802855,0.06387472,-0.3269922,2.649639,0.07503586,-0.6407005,2.654036,0.09382197,-0.8891413,2.664522,0.0816164,-0.9326779,2.610792,0.1867339,-0.3250343,2.676739,0.1652589,-0.6434364,2.670016,0.1757042,-0.8923893,2.670765,0.1952107,-0.9374544,2.647584,290,Wave-your-other-hand,
34811547.954,0.1220601,-0.2655857,2.673001,0.1114213,-0.2164358,2.716945,0.1029965,0.06919326,2.717841,0.1159157,0.2149409,2.699012,-0.02720025,-0.02586094,2.694478,-0.1665674,-0.1810466,2.669929,-0.2606511,-0.3140096,2.664086,-0.2976632,-0.3719651,2.668263,0.2444589,-0.01461035,2.748709,0.3875765,-0.1565268,2.758881,0.5013337,-0.2654554,2.789925,0.5282385,-0.2921827,2.803303,0.06451242,-0.32766,2.649143,0.07813406,-0.6413494,2.65381,0.09201276,-0.8889486,2.66446,0.08314645,-0.9326051,2.610929,0.1866881,-0.3258565,2.676493,0.1652921,-0.6444051,2.66996,0.1756732,-0.8925039,2.670785,0.1975372,-0.9364559,2.647575,290,Wave-your-other-hand,
34811584.9562,0.1224783,-0.2658441,2.672688,0.1117777,-0.2166286,2.716631,0.1032713,0.06935696,2.717543,0.1168701,0.2157201,2.698638,-0.02704025,-0.02608002,2.694216,-0.1666107,-0.1810519,2.670254,-0.2635128,-0.3118182,2.667678,-0.3057434,-0.3661804,2.670723,0.2444457,-0.01458618,2.748681,0.387912,-0.1570579,2.759708,0.5032251,-0.2639264,2.791814,0.5303955,-0.2906168,2.803921,0.06518523,-0.3280909,2.648732,0.08008873,-0.6407132,2.653125,0.09557652,-0.8889694,2.664736,0.08299321,-0.9320045,2.61106,0.186939,-0.326039,2.676284,0.1649967,-0.6439989,2.669398,0.1770364,-0.8936788,2.671887,0.2015324,-0.9366784,2.649542,290,Wave-your-other-hand,
34811615.9579,0.1227311,-0.2659371,2.672366,0.1118304,-0.2166772,2.716288,0.1026594,0.06945305,2.716799,0.1163503,0.2154658,2.69796,-0.02691695,-0.02624343,2.69393,-0.1670234,-0.1809578,2.670779,-0.2656138,-0.3103742,2.669501,-0.3090313,-0.363883,2.670722,0.2442107,-0.01514907,2.74886,0.3882925,-0.1568455,2.760455,0.505876,-0.2611276,2.792785,0.534896,-0.2889317,2.803109,0.06596902,-0.3283526,2.647913,0.07881144,-0.6418024,2.652444,0.09480578,-0.888995,2.6638,0.08228792,-0.9324592,2.610834,0.1871148,-0.3260919,2.676226,0.1647074,-0.6441386,2.669233,0.176905,-0.8937862,2.67174,0.2021763,-0.9373174,2.651378,290,Wave-your-other-hand,
34811647.9598,0.1228488,-0.266262,2.672097,0.1119374,-0.2169529,2.716025,0.1025683,0.0694395,2.71657,0.115693,0.2141135,2.696932,-0.02687697,-0.02614833,2.693883,-0.1670534,-0.1804555,2.671159,-0.2695993,-0.3066502,2.671327,-0.3168477,-0.3568321,2.672005,0.2438135,-0.0175362,2.748056,0.3879751,-0.1563624,2.760829,0.5091653,-0.255831,2.794543,0.5369538,-0.2720404,2.801223,0.06626429,-0.3288366,2.647277,0.08158955,-0.6425011,2.652112,0.09734879,-0.8885125,2.663141,0.08348291,-0.9316173,2.61186,0.1871875,-0.3264287,2.676204,0.1649715,-0.6443111,2.669103,0.1769825,-0.8937273,2.671595,0.2030714,-0.9382761,2.654779,290,Wave-your-other-hand,
34811685.9619,0.1230372,-0.2663299,2.671914,0.1121147,-0.2170196,2.715801,0.1025788,0.06925512,2.716074,0.1150531,0.2142066,2.695686,-0.02720528,-0.02630837,2.693951,-0.1675841,-0.1801879,2.671064,-0.2741896,-0.3030079,2.670907,-0.3234395,-0.3510584,2.666692,0.2440698,-0.01862062,2.747997,0.3890563,-0.1560847,2.762245,0.5133952,-0.2523016,2.794414,0.5386438,-0.2691991,2.799306,0.06641223,-0.3290533,2.647059,0.08530761,-0.6418915,2.651967,0.09753405,-0.8884468,2.663082,0.08497014,-0.9322188,2.614156,0.1876085,-0.3266884,2.676049,0.1651736,-0.6445599,2.669019,0.1770625,-0.8933253,2.671024,0.2031914,-0.9371138,2.652378,290,Wave-your-other-hand,
34811716.9637,0.1231856,-0.2663913,2.671781,0.1122213,-0.2171026,2.715642,0.1026635,0.06912403,2.715889,0.1147362,0.2133373,2.695631,-0.02684452,-0.02658945,2.693695,-0.1679023,-0.1797979,2.671114,-0.27582,-0.301556,2.669962,-0.325022,-0.3498046,2.667834,0.2443834,-0.01909161,2.747962,0.3889993,-0.1556103,2.76223,0.5169817,-0.2473557,2.79349,0.5405875,-0.2632266,2.7981,0.0666189,-0.3290691,2.646854,0.08380141,-0.6432108,2.651855,0.09804083,-0.8885357,2.662925,0.08552349,-0.9323269,2.61395,0.1877327,-0.3268504,2.675994,0.1651904,-0.6445091,2.668975,0.176668,-0.8924838,2.670006,0.2050382,-0.9364896,2.655643,290,Wave-your-other-hand,
34811748.9655,0.1232508,-0.2665238,2.671562,0.1123077,-0.2172473,2.715389,0.1027563,0.06891581,2.715517,0.1150132,0.2134433,2.695107,-0.02654036,-0.02665866,2.693458,-0.1681816,-0.1794585,2.671126,-0.2768966,-0.3004736,2.670444,-0.3265459,-0.3481903,2.666932,0.2444709,-0.01971584,2.747479,0.3896236,-0.1548907,2.762838,0.5186687,-0.2454782,2.793373,0.5435905,-0.2614023,2.797968,0.06665969,-0.3290676,2.646825,0.08389411,-0.6432672,2.651763,0.09717841,-0.8896081,2.662667,0.08697879,-0.9329242,2.612659,0.1877287,-0.3270705,2.675627,0.1654951,-0.6458218,2.668795,0.1763373,-0.8922126,2.669333,0.1832132,-0.9350916,2.63262,290,Wave-your-other-hand,
34811785.9677,0.1234497,-0.2664723,2.671447,0.1125272,-0.2171626,2.715245,0.1030049,0.06905761,2.715152,0.1148371,0.2139776,2.694373,-0.02664043,-0.02686077,2.693466,-0.1682321,-0.1777305,2.671236,-0.2807503,-0.2955744,2.664876,-0.3297961,-0.3432742,2.656286,0.2443403,-0.01906522,2.74752,0.3907514,-0.1526795,2.762623,0.5193328,-0.2440501,2.792897,0.5438996,-0.2606187,2.797905,0.0667936,-0.3290937,2.646824,0.08265313,-0.6435019,2.651539,0.09721334,-0.8898277,2.66249,0.0879682,-0.9356686,2.624437,0.1879634,-0.3269515,2.675469,0.1657142,-0.6457843,2.668981,0.1762719,-0.8920664,2.669348,0.1934938,-0.9353416,2.641456,290,Wave-your-other-hand,
34811816.9694,0.1235235,-0.2665048,2.671336,0.1125878,-0.217158,2.715095,0.1030282,0.06911445,2.714723,0.1146714,0.2134814,2.692726,-0.02653747,-0.02673156,2.693383,-0.1681694,-0.1776665,2.671154,-0.2803256,-0.2958746,2.664427,-0.3301969,-0.3424076,2.654301,0.2444682,-0.0194274,2.747421,0.3921712,-0.1521666,2.763171,0.5204835,-0.2441253,2.79299,0.5465936,-0.2609602,2.798309,0.06689371,-0.3291097,2.646693,0.08072099,-0.6451653,2.650844,0.09774353,-0.890197,2.662836,0.08324101,-0.9363886,2.622901,0.1880134,-0.3270255,2.675448,0.1659762,-0.6456249,2.668891,0.1761605,-0.8918368,2.669115,0.2039033,-0.9379619,2.662047,290,Wave-your-other-hand,
