Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
35032155.4417,0.09292234,-0.267552,2.723911,0.1011794,-0.2174364,2.762407,0.1215911,0.06046126,2.752813,0.1271985,0.1966911,2.724725,-0.02607859,-0.009941833,2.773746,-0.1853965,-0.0888136,2.847197,-0.3048882,-0.1612028,2.92919,-0.3586237,-0.1870849,2.957766,0.253299,-0.02601738,2.744605,0.410844,-0.1369582,2.717851,0.5328065,-0.2385523,2.68439,0.5552855,-0.2471671,2.686464,0.02625921,-0.3243497,2.716472,0.01144642,-0.6408886,2.716028,0.02193726,-0.8850399,2.732625,0.01537098,-0.9296833,2.699738,0.1486627,-0.3346841,2.716266,0.1499857,-0.6378276,2.711289,0.1520358,-0.874474,2.698453,0.1470732,-0.8986603,2.641655,290,Fly-like-an-airplane,
35032187.4435,0.09178531,-0.2669747,2.722519,0.1000975,-0.2171948,2.761563,0.1205632,0.06028421,2.752366,0.1229187,0.1957148,2.723686,-0.02755894,-0.009907473,2.773644,-0.186742,-0.08994274,2.848197,-0.3047734,-0.1610302,2.929068,-0.3593795,-0.1879644,2.958288,0.2523457,-0.02583153,2.744506,0.4108356,-0.1369639,2.717852,0.5330337,-0.2382769,2.684395,0.5910656,-0.2727785,2.682659,0.0249433,-0.3239443,2.715113,0.01045661,-0.6408279,2.715631,0.02190448,-0.8848734,2.732595,0.01530197,-0.9294636,2.699622,0.1476279,-0.3341035,2.71426,0.1501001,-0.6377578,2.710281,0.1518008,-0.8752309,2.697595,0.1468552,-0.8993682,2.640773,290,Fly-like-an-airplane,
35032223.4456,0.09090157,-0.2665424,2.721708,0.09885306,-0.2166341,2.760817,0.1160713,0.06022976,2.750088,0.1198976,0.1959277,2.720652,-0.02949042,-0.009590942,2.773749,-0.1895546,-0.09213232,2.847926,-0.3049755,-0.1608767,2.928938,-0.3595134,-0.1883534,2.957781,0.2508325,-0.02574679,2.744501,0.4094149,-0.136242,2.717235,0.5339351,-0.2351807,2.686032,0.5933694,-0.2672018,2.684169,0.02459326,-0.323859,2.714737,0.009677311,-0.6406072,2.715232,0.02245027,-0.8854184,2.731873,0.01555596,-0.9294568,2.699276,0.146927,-0.3336146,2.713354,0.1505551,-0.6372001,2.709049,0.1515947,-0.8754596,2.697337,0.1466242,-0.8996802,2.640552,290,Fly-like-an-airplane,
35032255.4474,0.09014381,-0.2657845,2.720846,0.09799787,-0.2161137,2.760175,0.1141712,0.05976189,2.749216,0.1147612,0.1953241,2.719177,-0.03245044,-0.00952545,2.774306,-0.1901429,-0.0924701,2.847407,-0.3055102,-0.1604686,2.928578,-0.3594754,-0.1889608,2.957517,0.2497824,-0.0250496,2.744582,0.4094892,-0.1355303,2.717805,0.5366738,-0.2315281,2.689138,0.595903,-0.2638303,2.685978,0.02403173,-0.3236984,2.714189,0.009497316,-0.6406263,2.713077,0.02182024,-0.8857325,2.731786,0.01546243,-0.9295774,2.697624,0.1464747,-0.3327917,2.712186,0.1503837,-0.6369287,2.708139,0.1510955,-0.87565,2.697066,0.1460528,-0.8998691,2.640285,290,Fly-like-an-airplane,
35032287.4492,0.08961481,-0.2651891,2.720299,0.09751054,-0.2156963,2.7599,0.1132124,0.0598963,2.749057,0.1129226,0.1955612,2.719913,-0.03594179,-0.009361324,2.775246,-0.191629,-0.09343056,2.846823,-0.3062395,-0.1597986,2.926408,-0.3604789,-0.1890344,2.95407,0.2470282,-0.02349911,2.744706,0.4099586,-0.1340577,2.717493,0.5420917,-0.2238941,2.693229,0.5994933,-0.2591121,2.688071,0.0237227,-0.3235543,2.713966,0.009571638,-0.6406765,2.712971,0.02205903,-0.8858108,2.731944,0.01564728,-0.9293059,2.696967,0.1460084,-0.3319046,2.711031,0.1504405,-0.6370957,2.707981,0.1518498,-0.8758145,2.696802,0.1466311,-0.9000137,2.640027,290,Fly-like-an-airplane,
35032323.4513,0.08872497,-0.264767,2.719671,0.0958823,-0.2152671,2.759245,0.1039651,0.05788423,2.747518,0.1082501,0.196239,2.718164,-0.03863431,-0.01015595,2.775362,-0.1927726,-0.09380832,2.845874,-0.308486,-0.1607548,2.923609,-0.3645644,-0.1917191,2.945025,0.2455897,-0.02276118,2.744823,0.4046894,-0.1195393,2.71974,0.5358443,-0.2112484,2.698994,0.592322,-0.2479095,2.69366,0.02322298,-0.3236053,2.713249,0.009568412,-0.6404349,2.712459,0.0220873,-0.8858253,2.731974,0.01558503,-0.9293405,2.697384,0.1458403,-0.3315941,2.710703,0.1501536,-0.635456,2.70686,0.15125,-0.8761434,2.696818,0.1460066,-0.9004138,2.640074,290,Fly-like-an-airplane,
35032355.4531,0.08825778,-0.2642837,2.718933,0.09542724,-0.215052,2.758744,0.103902,0.0578251,2.747339,0.1038006,0.1944875,2.717929,-0.04032831,-0.01015462,2.776041,-0.1990021,-0.0967105,2.844801,-0.3139667,-0.1628451,2.924109,-0.3695087,-0.1945111,2.945901,0.2442279,-0.02204587,2.745304,0.4050792,-0.1185464,2.720346,0.5370503,-0.2090974,2.699776,0.594366,-0.2445374,2.695143,0.02279132,-0.3234917,2.712601,0.01063692,-0.639664,2.71116,0.0220021,-0.8858322,2.731715,0.01577134,-0.9294225,2.697512,0.1455581,-0.3309286,2.709714,0.1500315,-0.6351739,2.706307,0.1514068,-0.8758866,2.696507,0.146119,-0.9001247,2.639752,290,Fly-like-an-airplane,
35032387.455,0.08762945,-0.2630264,2.718217,0.09445233,-0.2141704,2.758175,0.1033143,0.05762574,2.746476,0.09908903,0.1960154,2.718639,-0.04228303,-0.01007954,2.775473,-0.2002279,-0.09785009,2.84383,-0.315744,-0.1639055,2.92249,-0.3708424,-0.1956702,2.945251,0.242312,-0.02066915,2.746967,0.4054801,-0.1166385,2.721774,0.5370878,-0.207601,2.700167,0.5940216,-0.2436046,2.695152,0.02234216,-0.3227468,2.711885,0.01079336,-0.6391175,2.7109,0.02245072,-0.8865497,2.731645,0.01603993,-0.929746,2.697789,0.1452198,-0.3297569,2.709237,0.1504084,-0.6350508,2.70612,0.1512777,-0.8759019,2.696581,0.1463917,-0.9001377,2.639788,290,Fly-like-an-airplane,
35032423.457,0.08735617,-0.2629763,2.718093,0.09412124,-0.2143034,2.758354,0.1029247,0.05751491,2.747454,0.09847479,0.1959345,2.718605,-0.04393782,-0.01049291,2.7754,-0.2012736,-0.09894367,2.84322,-0.3232799,-0.1686457,2.909665,-0.3760858,-0.1989802,2.938898,0.2410179,-0.02032913,2.747129,0.4048866,-0.1156584,2.722652,0.5368779,-0.205992,2.700451,0.593825,-0.2419856,2.69548,0.0219945,-0.3229653,2.711462,0.01076122,-0.6391437,2.710924,0.02214607,-0.88695,2.732177,0.01596995,-0.9298196,2.697807,0.1449656,-0.3294988,2.708967,0.1504593,-0.6350592,2.705893,0.1512963,-0.8763261,2.696412,0.1464509,-0.900508,2.639591,290,Fly-like-an-airplane,
35032455.4589,0.08708211,-0.2631578,2.717947,0.09349725,-0.2146025,2.758502,0.1015086,0.05780925,2.748498,0.0958931,0.1980986,2.717737,-0.04538838,-0.01169037,2.77408,-0.2029625,-0.1006578,2.838384,-0.3232095,-0.1708649,2.907099,-0.3770804,-0.2017012,2.933756,0.2392272,-0.02073316,2.747415,0.4058341,-0.1198299,2.72366,0.5394463,-0.2078036,2.701882,0.5969989,-0.2427505,2.696406,0.02175517,-0.3234645,2.710921,0.010991,-0.639061,2.710692,0.02285958,-0.8863268,2.730702,0.01600329,-0.9298629,2.69769,0.1449153,-0.329476,2.708892,0.1504094,-0.6342792,2.705536,0.1513816,-0.876736,2.695636,0.146828,-0.9008684,2.638769,290,Fly-like-an-airplane,
