Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
35067659.4724,-0.04135396,-0.2703494,2.813455,-0.04464644,-0.2230349,2.857471,-0.05747164,0.05628962,2.86305,-0.06185038,0.1913351,2.841403,-0.1945517,-0.0368349,2.859261,-0.3384329,-0.1743899,2.885843,-0.4385985,-0.2992848,2.865649,-0.4291641,-0.3243775,2.868006,0.08482745,-0.01615389,2.866575,0.2272532,-0.173454,2.844451,0.3137619,-0.3026613,2.794392,0.3607578,-0.3438698,2.7906,-0.09928845,-0.3361332,2.799635,-0.07968828,-0.6452935,2.800489,-0.07671117,-0.8991258,2.795368,-0.07436769,-0.942322,2.753418,0.0229764,-0.3284342,2.804364,0.009046146,-0.6370577,2.811439,0.01301453,-0.8979459,2.819921,0.04976153,-0.9425328,2.803473,290,Kick-a-ball,
35067694.4744,-0.03811551,-0.2736916,2.816124,-0.04119164,-0.2254952,2.8599,-0.05139522,0.05584686,2.863542,-0.05832385,0.1931054,2.840246,-0.1903627,-0.03787864,2.858239,-0.3302577,-0.1820792,2.883376,-0.4148954,-0.3182017,2.867266,-0.3992821,-0.3471403,2.862091,0.08696377,-0.019659,2.86578,0.213546,-0.1958756,2.842159,0.2853464,-0.3353041,2.797818,0.3213824,-0.3906304,2.782113,-0.09659775,-0.338437,2.80218,-0.07891387,-0.6476437,2.801881,-0.07568255,-0.9002433,2.794968,-0.07493104,-0.9435183,2.747672,0.02546609,-0.3318775,2.808129,0.009610839,-0.639748,2.813483,0.01466548,-0.8980346,2.819058,0.04713231,-0.9412187,2.801623,290,Kick-a-ball,
35067726.4762,-0.03507281,-0.2748532,2.818093,-0.03749287,-0.2264587,2.862051,-0.04302702,0.05636101,2.865391,-0.05378044,0.1908378,2.839757,-0.1854551,-0.03754137,2.858784,-0.3198132,-0.1922307,2.885048,-0.3942075,-0.3341252,2.866951,-0.37909,-0.3702943,2.866139,0.09036469,-0.02338411,2.866432,0.2038213,-0.202226,2.846155,0.2769266,-0.3407685,2.800962,0.2907257,-0.3799528,2.784099,-0.09406248,-0.3389378,2.803684,-0.08158691,-0.6453974,2.804139,-0.07404416,-0.8988537,2.795284,-0.07584821,-0.9366891,2.75797,0.02767638,-0.3331836,2.81085,0.01038178,-0.6350987,2.814987,0.01571322,-0.8981203,2.819418,0.04734947,-0.941067,2.800714,290,Kick-a-ball,
35067758.4781,-0.0336541,-0.2756074,2.819383,-0.03641173,-0.2271578,2.863155,-0.04161892,0.05470393,2.864931,-0.04668868,0.192057,2.839121,-0.1809262,-0.03667856,2.859741,-0.3048949,-0.1997242,2.885475,-0.3852469,-0.3384638,2.870501,-0.3849046,-0.403897,2.88853,0.09280042,-0.02518214,2.869372,0.1957488,-0.2078787,2.849912,0.2656458,-0.3484733,2.806406,0.281608,-0.3893464,2.792729,-0.09232466,-0.3392293,2.805303,-0.0800006,-0.6467176,2.804565,-0.07201719,-0.9017164,2.797746,-0.07487374,-0.9405174,2.75365,0.0288386,-0.3340283,2.812766,0.013844,-0.6412707,2.818029,0.02367191,-0.8980625,2.822505,0.05312225,-0.944918,2.808379,290,Kick-a-ball,
35067794.4801,-0.03115583,-0.2765563,2.821088,-0.03403473,-0.2281457,2.864721,-0.03863944,0.05250357,2.864951,-0.04407629,0.1907842,2.840875,-0.178448,-0.03709527,2.860339,-0.2975512,-0.2062734,2.885327,-0.3750677,-0.3466462,2.877702,-0.3823343,-0.4125513,2.892213,0.09633697,-0.02580532,2.871889,0.192313,-0.2094861,2.848823,0.2591854,-0.3519028,2.806905,0.2738696,-0.3935554,2.794197,-0.09029797,-0.3400605,2.806723,-0.07810139,-0.6495526,2.806613,-0.07198803,-0.9017146,2.797797,-0.07577613,-0.9424129,2.750922,0.03162805,-0.3353554,2.81543,0.04113067,-0.6808103,2.826962,0.02349323,-0.8984505,2.822375,0.05168356,-0.942856,2.805174,290,Kick-a-ball,
35067826.482,-0.02917464,-0.2781109,2.823093,-0.03209954,-0.2295778,2.866809,-0.03724274,0.05160607,2.866714,-0.04298265,0.1908865,2.841404,-0.1765976,-0.03873123,2.861507,-0.293191,-0.2085984,2.884492,-0.3687616,-0.3500652,2.874151,-0.3680364,-0.3938229,2.890383,0.0973597,-0.02745039,2.873251,0.1891432,-0.2112849,2.84907,0.2571847,-0.3539469,2.811042,0.2732516,-0.3970748,2.795973,-0.08831593,-0.3412489,2.808807,-0.07542077,-0.6474245,2.808236,-0.0754644,-0.897229,2.798503,-0.07680701,-0.9361075,2.756954,0.03339064,-0.3368193,2.817237,0.03644681,-0.6472597,2.827066,0.02318602,-0.898466,2.822521,0.05033399,-0.9419169,2.803609,290,Kick-a-ball,
35067858.4838,-0.02775404,-0.278226,2.824637,-0.0305297,-0.2296232,2.868318,-0.03597644,0.05145864,2.867497,-0.04195617,0.1911469,2.841596,-0.1752749,-0.03937121,2.862993,-0.2839934,-0.2032633,2.883556,-0.3647397,-0.3418385,2.873945,-0.3665608,-0.3856533,2.884148,0.09803164,-0.02757257,2.873873,0.1881672,-0.2115577,2.84914,0.2557983,-0.3544132,2.811095,0.2732671,-0.3975219,2.796746,-0.08687,-0.3413785,2.810159,-0.07398697,-0.6479393,2.809381,-0.07542657,-0.8975577,2.798409,-0.07495543,-0.9395193,2.747375,0.03473534,-0.3369092,2.819341,0.0351252,-0.646333,2.82666,0.02441668,-0.9002184,2.823367,0.05575135,-0.9452538,2.807129,290,Kick-a-ball,
35067894.4859,-0.02644145,-0.2787806,2.826029,-0.02937558,-0.2300098,2.869774,-0.03468596,0.0519095,2.868966,-0.04068233,0.1932021,2.84172,-0.1721773,-0.03919988,2.863101,-0.2816413,-0.2031008,2.884381,-0.3630914,-0.3412694,2.874071,-0.3664076,-0.3856463,2.883893,0.09966604,-0.02836411,2.87495,0.1882288,-0.2122701,2.849782,0.2558357,-0.3551984,2.812052,0.2737025,-0.3976756,2.798311,-0.08520252,-0.3417272,2.811735,-0.07273471,-0.6479845,2.810825,-0.07717776,-0.8979867,2.79652,-0.0761271,-0.9412435,2.744433,0.03562907,-0.3372446,2.820599,0.0341246,-0.6459493,2.827024,0.02418906,-0.8997619,2.822963,0.05098733,-0.9415069,2.805434,290,Kick-a-ball,
35067926.4877,-0.02498968,-0.2790048,2.827316,-0.02803088,-0.2301096,2.871065,-0.03414991,0.05207714,2.869844,-0.0402443,0.1928619,2.841789,-0.1712907,-0.03934374,2.863869,-0.2794047,-0.2027979,2.884991,-0.3611933,-0.3407688,2.874314,-0.366055,-0.3893837,2.885443,0.1000636,-0.02874403,2.875291,0.1892754,-0.2125129,2.851376,0.2565543,-0.3553769,2.812501,0.2771386,-0.3970823,2.797467,-0.08350995,-0.3417921,2.813107,-0.07064172,-0.6473837,2.811864,-0.07568154,-0.8979465,2.796945,-0.07602061,-0.9418125,2.746096,0.03718509,-0.3373811,2.82203,0.03358544,-0.645732,2.827434,0.0228605,-0.9003341,2.823106,0.05412449,-0.9435979,2.805517,290,Kick-a-ball,
35067958.4895,-0.0237694,-0.2787017,2.828557,-0.02716094,-0.2298336,2.872092,-0.0334002,0.05179831,2.869891,-0.03830103,0.194906,2.843874,-0.1704344,-0.0393678,2.8649,-0.2797501,-0.2043225,2.885549,-0.3617627,-0.3421433,2.872477,-0.3739051,-0.3910806,2.86846,0.102557,-0.02795296,2.878256,0.1912072,-0.2125423,2.851941,0.2589916,-0.3550776,2.812606,0.2830277,-0.3886676,2.801825,-0.08236218,-0.3416663,2.814454,-0.07032084,-0.6473774,2.812254,-0.07514769,-0.8993619,2.798204,-0.07479385,-0.942046,2.746168,0.03862901,-0.3372266,2.823674,0.03471211,-0.6463905,2.82748,0.02242006,-0.9004022,2.822927,0.03717305,-0.9439222,2.797307,290,Kick-a-ball,
35067994.4916,-0.02307872,-0.2790466,2.829891,-0.02676589,-0.230269,2.873671,-0.03297422,0.05223525,2.872875,-0.03629316,0.193717,2.845243,-0.1684445,-0.03930613,2.865618,-0.2783058,-0.202938,2.885274,-0.3610337,-0.3403338,2.872303,-0.3759007,-0.3884445,2.867076,0.1037897,-0.02737975,2.881142,0.1934382,-0.2095515,2.852906,0.2603368,-0.3527018,2.814569,0.2870451,-0.3880791,2.803331,-0.08134007,-0.3419579,2.816132,-0.07009584,-0.6480074,2.813015,-0.0746274,-0.89998,2.797817,-0.07560571,-0.9426035,2.744303,0.03903321,-0.3372561,2.824388,0.03607512,-0.6466517,2.827921,0.02400861,-0.8993989,2.823268,0.02724127,-0.9401486,2.790147,290,Kick-a-ball,
