Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
35501059.183,-0.1671451,-0.3059411,3.075297,-0.1689598,-0.247091,3.095491,-0.1951053,0.05167397,3.086495,-0.2353469,0.1876905,3.104341,-0.3239599,-0.03656121,3.112399,-0.4676856,-0.1608328,3.15857,-0.6134357,-0.1619941,3.112175,-0.6776754,-0.168688,3.094461,-0.06229392,-0.02163861,3.080693,0.1178323,-0.1056933,3.10199,0.2435954,-0.1145768,3.010234,0.2567635,-0.09487309,2.987445,-0.2162361,-0.369047,3.076897,-0.1939836,-0.6901988,3.068552,-0.1547832,-0.8866172,3.052785,-0.1310962,-0.9324638,3.011534,-0.1083973,-0.360222,3.065995,-0.1015016,-0.6793284,3.068244,-0.09215069,-0.8902515,3.059168,-0.1272193,-0.9334453,3.026003,290,Make-the-letter-C,
35501095.185,-0.1690351,-0.3080173,3.076216,-0.1714104,-0.2495619,3.096723,-0.1989044,0.04826945,3.088182,-0.2367203,0.1878032,3.10321,-0.3246489,-0.03774867,3.114119,-0.4662638,-0.1678125,3.160089,-0.6118307,-0.1782668,3.114396,-0.6743039,-0.1848737,3.091171,-0.06693153,-0.02990371,3.084563,0.1015173,-0.1254006,3.097546,0.2185433,-0.1723671,3.0058,0.2283931,-0.1524711,2.997947,-0.2174089,-0.3703641,3.07776,-0.1930885,-0.6891041,3.068748,-0.1548462,-0.8866692,3.052719,-0.1264233,-0.9361993,3.003886,-0.1106469,-0.362146,3.06689,-0.1054274,-0.6809523,3.068598,-0.09153275,-0.8905873,3.05891,-0.1205266,-0.9338591,3.018883,290,Make-the-letter-C,
35501127.1869,-0.1693053,-0.3140815,3.079095,-0.1717414,-0.2539939,3.099532,-0.2001404,0.04845691,3.090839,-0.2371479,0.1874399,3.102995,-0.3279546,-0.03976342,3.117293,-0.4598973,-0.180815,3.160755,-0.6034171,-0.2111997,3.118254,-0.6650984,-0.2074364,3.092383,-0.07163221,-0.03416646,3.085255,0.09989341,-0.1373281,3.100757,0.2081312,-0.2036641,3.010305,0.2132061,-0.2090551,3.005606,-0.2173994,-0.3767305,3.080534,-0.1928911,-0.6875405,3.069087,-0.155368,-0.886674,3.053173,-0.1292158,-0.9357296,3.006311,-0.1109801,-0.3667619,3.069619,-0.1058296,-0.6810379,3.068572,-0.08932358,-0.8899832,3.058622,-0.1222859,-0.9335034,3.019264,290,Make-the-letter-C,
35501159.1887,-0.1703947,-0.3154967,3.079869,-0.1730484,-0.2555354,3.100598,-0.2026214,0.04771404,3.092193,-0.2408631,0.1861097,3.10305,-0.3282582,-0.03987222,3.117568,-0.4514752,-0.1894833,3.159048,-0.5875131,-0.2491239,3.126244,-0.6371019,-0.2625559,3.106327,-0.07330263,-0.03601383,3.085299,0.08856274,-0.1583287,3.078354,0.196334,-0.2551198,3.028302,0.222862,-0.2796907,3.009024,-0.2180036,-0.3774956,3.081428,-0.192209,-0.6886454,3.069208,-0.1554199,-0.8864532,3.053508,-0.1283521,-0.9357782,3.004767,-0.1123871,-0.3684891,3.070283,-0.1102893,-0.6883758,3.068816,-0.08892421,-0.8902621,3.058209,-0.124282,-0.9357436,3.02049,290,Make-the-letter-C,
35501195.1907,-0.1706695,-0.3158879,3.080568,-0.1732746,-0.2559362,3.101523,-0.2034969,0.04784,3.093225,-0.2416669,0.184218,3.100504,-0.3297678,-0.04120525,3.119144,-0.4346909,-0.2071169,3.152284,-0.560167,-0.2880382,3.125006,-0.6213918,-0.3077193,3.106179,-0.07349049,-0.03882023,3.085107,0.08338057,-0.1680499,3.071211,0.1625725,-0.293226,3.035667,0.179457,-0.3324297,3.036621,-0.2183457,-0.3780815,3.082846,-0.1879855,-0.6895179,3.070496,-0.1558372,-0.8869734,3.054259,-0.1321831,-0.9327245,3.01396,-0.1125627,-0.3692517,3.070722,-0.09174827,-0.6842374,3.070139,-0.08799371,-0.890589,3.058308,-0.1211786,-0.9339163,3.023583,290,Make-the-letter-C,
35501227.1926,-0.1710652,-0.3168516,3.081574,-0.1732147,-0.2567377,3.102629,-0.2031519,0.04787749,3.094196,-0.243025,0.1833571,3.099504,-0.3301826,-0.04050685,3.120363,-0.4264481,-0.2120447,3.151962,-0.5429958,-0.3057867,3.127228,-0.6010159,-0.3362934,3.113342,-0.07497613,-0.04365572,3.082494,0.07624906,-0.1793756,3.069783,0.1332268,-0.3273932,3.073194,0.1396721,-0.3717468,3.094267,-0.218814,-0.3791455,3.085069,-0.188349,-0.6918018,3.07079,-0.1561399,-0.8898669,3.057053,-0.1329111,-0.9316713,3.01688,-0.1132783,-0.3705074,3.071073,-0.08961672,-0.6844717,3.070381,-0.08802253,-0.8912572,3.05889,-0.1262456,-0.937086,3.034674,290,Make-the-letter-C,
35501263.7938,-0.170919,-0.3176674,3.081968,-0.17189,-0.2576268,3.103093,-0.2048698,0.04610068,3.095329,-0.2434461,0.1832132,3.098985,-0.3386165,-0.07618333,3.137733,-0.4233639,-0.2558571,3.161135,-0.5291191,-0.3622584,3.142231,-0.559977,-0.3746732,3.138845,-0.07343746,-0.04631497,3.082376,0.05812223,-0.1996253,3.085416,0.1090224,-0.3407296,3.084319,0.1155916,-0.3856756,3.104043,-0.2197704,-0.3829251,3.087731,-0.1859771,-0.690851,3.070975,-0.15634,-0.8908265,3.057969,-0.1398503,-0.933605,3.024852,-0.1108672,-0.3727294,3.069928,-0.08858555,-0.6848859,3.070694,-0.08791427,-0.8921078,3.058801,-0.1275766,-0.9376613,3.034189,290,Make-the-letter-C,
35501294.9939,-0.1724623,-0.3234059,3.085723,-0.1734271,-0.2624918,3.106609,-0.2056746,0.04486434,3.097215,-0.24388,0.1830696,3.098666,-0.3383791,-0.07610521,3.137818,-0.4162909,-0.2596256,3.157741,-0.5115352,-0.3733151,3.123464,-0.5357172,-0.403908,3.115756,-0.07458299,-0.05656328,3.082766,0.04162744,-0.2208536,3.091828,0.07970527,-0.3661261,3.086859,0.08468369,-0.408663,3.11172,-0.2213008,-0.389445,3.094819,-0.185365,-0.6911671,3.071282,-0.1563414,-0.8901157,3.059382,-0.141416,-0.9330051,3.025676,-0.1126532,-0.3784404,3.071013,-0.08845664,-0.6849582,3.070614,-0.08847824,-0.8932823,3.059201,-0.1278349,-0.9343492,3.030722,290,Make-the-letter-C,
35501327.194,-0.1715313,-0.3258105,3.087061,-0.1723429,-0.2648859,3.108755,-0.2066222,0.04404968,3.102953,-0.2439177,0.1808767,3.097537,-0.3375703,-0.07785263,3.139531,-0.3991125,-0.2687713,3.152784,-0.4603541,-0.4019923,3.10976,-0.5011864,-0.450129,3.087292,-0.08135546,-0.05794422,3.081823,0.03031499,-0.224342,3.096247,0.07596384,-0.3672693,3.09445,0.08166014,-0.4123562,3.114128,-0.2191027,-0.3915105,3.096455,-0.18235,-0.6934683,3.073422,-0.1555564,-0.8910295,3.062939,-0.1475664,-0.9342524,3.027358,-0.1126237,-0.3787834,3.071067,-0.08776123,-0.6854947,3.070486,-0.09023129,-0.893365,3.05916,-0.1282585,-0.9327285,3.029763,290,Make-the-letter-C,
35501366.1962,-0.1685371,-0.3285106,3.086084,-0.1702101,-0.2675264,3.108526,-0.2076168,0.04120195,3.102712,-0.243596,0.1754308,3.093195,-0.3316191,-0.08518521,3.138743,-0.3820772,-0.2786657,3.155613,-0.4433906,-0.4250779,3.109225,-0.4739707,-0.456855,3.086713,-0.08317444,-0.0595088,3.083364,0.01991253,-0.230514,3.101714,0.05598316,-0.4061857,3.105973,0.05923687,-0.4542108,3.117581,-0.2154872,-0.3917512,3.095086,-0.1821187,-0.6951443,3.075423,-0.155587,-0.8908609,3.062186,-0.1471386,-0.9341461,3.026793,-0.1095743,-0.3808393,3.070064,-0.08691613,-0.6862365,3.070684,-0.08968062,-0.8929927,3.059013,-0.124074,-0.9339639,3.026811,290,Make-the-letter-C,
