Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
35686698.9819,-0.08328027,-0.2490315,3.096395,-0.07960293,-0.2034194,3.129619,-0.07777563,0.04816611,3.124682,-0.08898611,0.1794594,3.098154,-0.2189997,-0.01622703,3.160169,-0.4006886,-0.0939225,3.188582,-0.5347058,-0.1592962,3.197625,-0.5936496,-0.1887235,3.196157,0.06724413,-0.009180835,3.133395,0.25071,-0.08295648,3.066943,0.4026159,-0.1178575,2.988744,0.4418231,-0.1362086,2.971962,-0.1475802,-0.3137916,3.089283,-0.1608108,-0.6272696,3.070272,-0.1536773,-0.8795445,3.082058,-0.1936232,-0.9379029,3.063662,-0.02132482,-0.3134878,3.087147,-0.02001576,-0.6288418,3.068326,-0.01528445,-0.8830199,3.040912,-0.02031862,-0.9080321,2.982717,290,Do-a-forward-lunge,
35686729.9837,-0.08222829,-0.2503642,3.093685,-0.0785083,-0.2046435,3.127612,-0.07511412,0.04817852,3.122214,-0.08276095,0.1823485,3.094056,-0.2167861,-0.01810127,3.153975,-0.3858299,-0.1223372,3.178144,-0.5195177,-0.1837468,3.199022,-0.5706153,-0.2253594,3.198772,0.06979366,-0.01404815,3.129601,0.2364014,-0.1001176,3.063187,0.3591853,-0.1637173,2.985013,0.4266535,-0.1900041,2.955029,-0.1469932,-0.3144594,3.086602,-0.1577061,-0.626315,3.069026,-0.1487178,-0.8800551,3.064325,-0.1774536,-0.9238834,3.030551,-0.02042898,-0.3151994,3.084367,-0.01992247,-0.6284204,3.067716,-0.01650899,-0.8826436,3.040899,-0.02098218,-0.9076383,2.982651,290,Do-a-forward-lunge,
35686762.9856,-0.08119966,-0.2513898,3.091379,-0.07813238,-0.2059149,3.125896,-0.07596823,0.04566488,3.119604,-0.08245013,0.1815125,3.093886,-0.215219,-0.02046869,3.148542,-0.3688155,-0.1422535,3.183095,-0.4935263,-0.2255138,3.183845,-0.5420023,-0.2690267,3.193819,0.07063589,-0.01638236,3.128326,0.2143143,-0.1248062,3.066234,0.3349327,-0.2037887,2.993437,0.3905397,-0.2355652,2.977916,-0.1453125,-0.3152558,3.08269,-0.1557172,-0.6263499,3.068236,-0.1466746,-0.8802582,3.060475,-0.1711459,-0.9279715,3.028937,-0.01912254,-0.3161757,3.082914,-0.02099567,-0.6286102,3.066889,-0.02059209,-0.8828987,3.041487,-0.02424735,-0.9078981,2.983186,290,Do-a-forward-lunge,
35686793.9874,-0.07975037,-0.2545728,3.088591,-0.0765706,-0.2088564,3.123928,-0.07418154,0.04482732,3.118573,-0.0807523,0.1810832,3.092774,-0.2136086,-0.02476459,3.143004,-0.3620616,-0.152685,3.177776,-0.4714208,-0.2538387,3.188007,-0.5173795,-0.2977298,3.205451,0.06943846,-0.02026905,3.123452,0.2122521,-0.139323,3.067027,0.3160749,-0.2472093,2.993196,0.3613454,-0.2922671,2.97697,-0.1441451,-0.3174319,3.080134,-0.1538853,-0.6275262,3.067724,-0.1448759,-0.8814868,3.058998,-0.1727685,-0.93155,3.031191,-0.01814219,-0.3183881,3.080463,-0.0211523,-0.6285098,3.066776,-0.02111182,-0.8828135,3.041721,-0.0246877,-0.9077362,2.983383,290,Do-a-forward-lunge,
35686830.9895,-0.07959807,-0.2579271,3.08568,-0.07613786,-0.2116354,3.121799,-0.07371278,0.0448416,3.117471,-0.08051744,0.1808627,3.090739,-0.2123884,-0.02938648,3.136094,-0.3469034,-0.1680096,3.180117,-0.4501915,-0.2768795,3.179205,-0.4877735,-0.3298611,3.190324,0.06976169,-0.02609999,3.115253,0.2068621,-0.1733221,3.06602,0.2921329,-0.2783265,2.990329,0.3321476,-0.3302178,2.983315,-0.1439088,-0.3202497,3.077816,-0.1524391,-0.6287186,3.067514,-0.1449781,-0.8827707,3.057974,-0.1765456,-0.9358859,3.038344,-0.01824358,-0.3217054,3.076838,-0.02130303,-0.6288202,3.066661,-0.02181062,-0.8831326,3.041696,-0.02562952,-0.9079898,2.983347,290,Do-a-forward-lunge,
35686862.9913,-0.07953195,-0.2763671,3.082886,-0.07565808,-0.2252868,3.118832,-0.07430341,0.04401622,3.113611,-0.08034529,0.1802506,3.089428,-0.2124925,-0.03548914,3.132945,-0.3390747,-0.1808558,3.178203,-0.4206137,-0.3070863,3.163281,-0.4448109,-0.3490874,3.168068,0.06617133,-0.03473291,3.106993,0.1954538,-0.1902027,3.064998,0.264249,-0.3250248,3.001359,0.2962893,-0.3711606,2.987797,-0.1414267,-0.335755,3.077162,-0.1468526,-0.6455493,3.066987,-0.1448091,-0.887724,3.058082,-0.1753909,-0.9342028,3.035894,-0.0198358,-0.3398125,3.074712,-0.02374658,-0.6389225,3.064886,-0.02280799,-0.8912989,3.04127,-0.02765569,-0.9163369,2.983076,290,Do-a-forward-lunge,
35686893.9931,-0.08036967,-0.2789841,3.081141,-0.07643162,-0.2281208,3.117199,-0.07558265,0.04352578,3.110729,-0.08016943,0.1787305,3.085738,-0.21326,-0.0371867,3.131602,-0.3294482,-0.1923269,3.173623,-0.4149588,-0.3159627,3.166788,-0.4336001,-0.3601014,3.175556,0.06560186,-0.03886487,3.104171,0.1833569,-0.2038636,3.067325,0.2541784,-0.3358548,3.005644,0.2758152,-0.3980113,3.002277,-0.1417383,-0.33952,3.075375,-0.1462615,-0.6484536,3.066933,-0.1453994,-0.8871575,3.058905,-0.1826459,-0.93197,3.033982,-0.02107094,-0.3425379,3.072719,-0.02587223,-0.6452982,3.063528,-0.02304892,-0.8909388,3.04098,-0.02813248,-0.9160503,2.982838,290,Do-a-forward-lunge,
35686930.9952,-0.08036892,-0.281055,3.080276,-0.07664065,-0.2340501,3.116343,-0.07725848,0.008069127,3.109113,-0.07999703,0.1784935,3.085174,-0.2150501,-0.04209179,3.129179,-0.3273074,-0.1996507,3.172364,-0.4053619,-0.3279672,3.169554,-0.4165248,-0.3743946,3.181508,0.06518921,-0.0394682,3.103592,0.1767264,-0.2088543,3.067892,0.2359463,-0.3387319,3.010558,0.2527037,-0.4022936,3.005841,-0.1412976,-0.3424676,3.073636,-0.1398964,-0.6527,3.067621,-0.1441008,-0.8851638,3.058583,-0.1738402,-0.9322998,3.032652,-0.02124793,-0.3446221,3.071535,-0.02687175,-0.6473632,3.062451,-0.02547687,-0.8903111,3.040629,-0.03027185,-0.9152449,2.982388,290,Do-a-forward-lunge,
35686962.997,-0.08097887,-0.2819335,3.079072,-0.07684948,-0.2335423,3.115505,-0.07864838,0.03112741,3.103747,-0.08121289,0.1780982,3.083646,-0.2153343,-0.04220698,3.129227,-0.324852,-0.2015581,3.172752,-0.4008212,-0.3310699,3.170896,-0.4101131,-0.3829107,3.174784,0.06418893,-0.0413457,3.101252,0.173098,-0.2126879,3.068441,0.2306189,-0.3438181,3.012468,0.2483069,-0.4062817,3.001119,-0.141626,-0.3431907,3.072802,-0.1408468,-0.6533945,3.066964,-0.1449292,-0.8841146,3.058687,-0.1747946,-0.93224,3.034569,-0.02214117,-0.3456467,3.07016,-0.02766588,-0.648412,3.060955,-0.02511158,-0.8897538,3.040149,-0.030355,-0.9150757,2.982115,290,Do-a-forward-lunge,
35686993.9988,-0.08198515,-0.2826447,3.078248,-0.0775843,-0.2340302,3.114994,-0.07945795,0.03217078,3.104065,-0.08140763,0.1779504,3.083326,-0.2160635,-0.0421723,3.129714,-0.3229951,-0.2034564,3.172788,-0.3987041,-0.3330655,3.17186,-0.4077329,-0.3835579,3.173965,0.06289024,-0.04201967,3.100232,0.1716512,-0.2136014,3.069348,0.229455,-0.3443077,3.01251,0.2378719,-0.3930433,3.004617,-0.1421532,-0.3436555,3.072377,-0.1415908,-0.6537594,3.066261,-0.1456942,-0.8833486,3.058243,-0.1783996,-0.932157,3.037941,-0.02364201,-0.3465027,3.068663,-0.02845675,-0.6493763,3.060227,-0.02523283,-0.8893704,3.040181,-0.03077789,-0.9146445,2.982156,290,Do-a-forward-lunge,
