Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
35800317.8598,-0.191043,-0.2745369,3.029441,-0.1865599,-0.2276963,3.069876,-0.1932545,0.04053528,3.069443,-0.2044585,0.1766439,3.033099,-0.3467983,-0.03009122,3.102164,-0.5208535,-0.1063954,3.160757,-0.6628644,-0.160212,3.144753,-0.7220289,-0.1866694,3.13555,-0.05030646,-0.03118804,3.063091,0.1170321,-0.09720996,3.037627,0.2439469,-0.1728514,2.991868,0.2947349,-0.20622,2.967532,-0.2543028,-0.3419495,3.023883,-0.2600503,-0.6439004,3.001758,-0.2706503,-0.8861449,3.000824,-0.2776358,-0.9108168,2.942645,-0.1274558,-0.3400633,3.014302,-0.1035247,-0.6414467,2.992559,-0.09607267,-0.8969575,2.998768,-0.09202218,-0.9403519,2.963135,290,Jump-as-high-as-you-can,
35800352.8618,-0.1923578,-0.2778793,3.030858,-0.1877375,-0.2308186,3.071406,-0.1956373,0.03841211,3.071209,-0.2045563,0.1766637,3.032869,-0.3477961,-0.03292396,3.102961,-0.5117277,-0.1358752,3.152399,-0.6489626,-0.1999293,3.129524,-0.6889455,-0.2171358,3.122647,-0.05614409,-0.03433444,3.061691,0.1074746,-0.1314567,3.038388,0.2219258,-0.224598,2.991859,0.252777,-0.2526972,2.957474,-0.2545759,-0.3449169,3.025368,-0.2602215,-0.6439791,3.00211,-0.2698419,-0.8848427,3.00008,-0.2773646,-0.9095263,2.941972,-0.1287201,-0.3413936,3.015242,-0.1036877,-0.6414462,2.992708,-0.09567359,-0.8949048,2.998335,-0.09249148,-0.9388505,2.963799,290,Jump-as-high-as-you-can,
35800384.8636,-0.1931366,-0.2808542,3.032466,-0.1888894,-0.233289,3.073038,-0.197549,0.03742143,3.072426,-0.2050551,0.1763123,3.033115,-0.3491651,-0.03554664,3.103071,-0.4963854,-0.1633731,3.148508,-0.6147515,-0.2546687,3.110904,-0.6478834,-0.280885,3.098238,-0.05884029,-0.03624733,3.063444,0.08792356,-0.1651236,3.030112,0.1775753,-0.2846796,2.992249,0.2053447,-0.3143624,2.983704,-0.2548342,-0.3470322,3.026397,-0.2604113,-0.6452435,3.004302,-0.2708094,-0.8824204,3.001922,-0.2780724,-0.9071331,2.943795,-0.129441,-0.3442265,3.017682,-0.10455,-0.6422014,2.994785,-0.09569018,-0.8949021,2.998308,-0.09576688,-0.9409337,2.968791,290,Jump-as-high-as-you-can,
35800417.8655,-0.1935019,-0.2860106,3.033567,-0.1892486,-0.2373393,3.074033,-0.1980017,0.03661493,3.072566,-0.2048746,0.1756707,3.03295,-0.3508927,-0.0405765,3.101491,-0.4889479,-0.1796904,3.143797,-0.5784314,-0.3015921,3.118428,-0.6048565,-0.3411676,3.109684,-0.06225528,-0.04570504,3.060718,0.07734531,-0.1961964,3.02873,0.1446841,-0.3309994,2.998769,0.1691296,-0.3679158,2.984284,-0.2550238,-0.3519863,3.026975,-0.2612465,-0.6548581,3.006041,-0.271773,-0.8840995,3.003046,-0.2791752,-0.9088838,2.944968,-0.1297924,-0.3491156,3.020036,-0.1052743,-0.6441759,2.994879,-0.09606531,-0.8943542,2.997553,-0.09387271,-0.9410238,2.967705,290,Jump-as-high-as-you-can,
35800453.8676,-0.1942997,-0.2920393,3.03394,-0.1899267,-0.2428235,3.074268,-0.1993805,0.03345519,3.071799,-0.2043249,0.1761513,3.032968,-0.3513225,-0.04215096,3.100696,-0.4700426,-0.2025573,3.130356,-0.535747,-0.3395365,3.115923,-0.5566626,-0.3830447,3.112699,-0.06877123,-0.04927886,3.058549,0.07163499,-0.1988784,3.024959,0.1362517,-0.3352333,2.99663,0.1475597,-0.3752459,2.986368,-0.2548361,-0.3566426,3.02796,-0.2616121,-0.6551388,3.006522,-0.2717253,-0.8844227,3.003725,-0.2795152,-0.9092863,2.945732,-0.1310755,-0.3527378,3.020642,-0.1055063,-0.6442236,2.995184,-0.09675545,-0.8941918,2.998122,-0.09457362,-0.9400816,2.967486,290,Jump-as-high-as-you-can,
35800484.8694,-0.194529,-0.2930053,3.03454,-0.1901249,-0.2435521,3.074852,-0.1994569,0.03340456,3.071895,-0.2042579,0.1758018,3.032822,-0.3513776,-0.04244804,3.100192,-0.4620614,-0.2104779,3.122691,-0.5361421,-0.3431669,3.11488,-0.558879,-0.3858683,3.114301,-0.06969582,-0.0495748,3.058237,0.06206521,-0.2014869,3.020592,0.1227651,-0.3391528,2.988925,0.1429149,-0.3747448,2.988473,-0.2548142,-0.3573342,3.028942,-0.2651685,-0.6521133,3.007759,-0.2723486,-0.8844959,3.004511,-0.2801282,-0.9093855,2.946529,-0.1317529,-0.353886,3.021267,-0.1073669,-0.6443095,2.995654,-0.0982915,-0.8936073,2.999954,-0.09413055,-0.9381274,2.968756,290,Jump-as-high-as-you-can,
35800517.8712,-0.194843,-0.293949,3.03525,-0.1907108,-0.2443095,3.075688,-0.199523,0.03370542,3.072921,-0.2041957,0.1756958,3.033077,-0.3512099,-0.04324637,3.098345,-0.4618825,-0.2114101,3.12036,-0.5362682,-0.3438925,3.114204,-0.5596751,-0.3862068,3.112712,-0.06977471,-0.05027463,3.059158,0.06015106,-0.2066717,3.019847,0.1211192,-0.3434259,2.983595,0.1385577,-0.3760099,2.984774,-0.25508,-0.357941,3.029506,-0.2673824,-0.6499469,3.008039,-0.2723499,-0.8842523,3.004505,-0.2795865,-0.9091214,2.946446,-0.1323616,-0.3552603,3.022211,-0.1096987,-0.645247,2.995744,-0.09885032,-0.8935425,3.000186,-0.09234972,-0.9397889,2.967352,290,Jump-as-high-as-you-can,
35800552.8732,-0.1957897,-0.2952278,3.036061,-0.1921562,-0.2453952,3.076641,-0.2010042,0.03380335,3.073924,-0.2045946,0.1763718,3.03223,-0.3510877,-0.04453264,3.094731,-0.4620503,-0.2118814,3.111696,-0.5396808,-0.342553,3.101713,-0.5620518,-0.3854472,3.101934,-0.07024534,-0.05009814,3.059331,0.06018175,-0.207113,3.01945,0.1167437,-0.3431582,2.971973,0.1373912,-0.3854904,2.960924,-0.255679,-0.3586507,3.029747,-0.2683463,-0.6493244,3.008886,-0.2713291,-0.8853222,3.005083,-0.2778639,-0.9101782,2.946936,-0.1335172,-0.3566376,3.023924,-0.1120246,-0.6453029,2.995918,-0.09911049,-0.8935648,3.000223,-0.09205411,-0.9407247,2.965904,290,Jump-as-high-as-you-can,
35800584.8751,-0.1962219,-0.2959872,3.036481,-0.1929824,-0.2461733,3.077251,-0.2034257,0.0341233,3.075623,-0.2049522,0.1765772,3.03206,-0.351517,-0.04441289,3.09285,-0.4638975,-0.2109255,3.109829,-0.5414912,-0.3415982,3.097157,-0.5680689,-0.3817531,3.092514,-0.07207711,-0.05019399,3.059189,0.05910647,-0.2072416,3.018913,0.1162071,-0.3421556,2.968272,0.1302089,-0.3664014,2.959127,-0.2557383,-0.3588931,3.029809,-0.2730984,-0.6465151,3.010638,-0.27156,-0.8839616,3.004551,-0.2777677,-0.9087716,2.94635,-0.1340135,-0.3572638,3.024624,-0.113708,-0.645501,2.996511,-0.1001457,-0.894138,3.002514,-0.09181447,-0.940994,2.965921,290,Jump-as-high-as-you-can,
35800617.877,-0.1967531,-0.2964297,3.036881,-0.1939549,-0.2464889,3.077693,-0.2066592,0.03417198,3.075259,-0.2060128,0.1783258,3.0323,-0.3517615,-0.04332487,3.09136,-0.4708087,-0.2074468,3.100273,-0.5443834,-0.340429,3.087696,-0.572076,-0.3786556,3.077107,-0.07512502,-0.05052461,3.059138,0.05707983,-0.2066507,3.018347,0.1155977,-0.3404472,2.966044,0.1301477,-0.3661143,2.955379,-0.2557948,-0.3589387,3.029894,-0.2731094,-0.6463915,3.010931,-0.2691789,-0.8869895,3.004749,-0.2751219,-0.9118418,2.94654,-0.1347311,-0.3575272,3.025805,-0.1155395,-0.6470315,2.996842,-0.1002039,-0.8941999,3.002593,-0.09120213,-0.9411613,2.965166,290,Jump-as-high-as-you-can,
