Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
45391294.5053,-0.1946001,-0.2816616,3.425408,-0.1984182,-0.2359706,3.464428,-0.1981873,0.02173701,3.459521,-0.1954061,0.1669151,3.445242,-0.3270898,-0.05183115,3.455213,-0.5157293,-0.05847751,3.455084,-0.664023,-0.0892069,3.451604,-0.7248128,-0.09315825,3.467353,-0.07440944,-0.05329745,3.47835,0.1122205,-0.07333442,3.503717,0.2673839,-0.08831364,3.482051,0.3180354,-0.0785121,3.476123,-0.2489088,-0.3386384,3.41577,-0.2403452,-0.6479344,3.429484,-0.2798485,-0.896136,3.405056,-0.285841,-0.9471081,3.370703,-0.1394528,-0.3372158,3.418212,-0.1415116,-0.6423389,3.462629,-0.1090934,-0.8647748,3.487945,-0.1407831,-0.9259287,3.453237,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391329.5073,-0.1955855,-0.2818573,3.424017,-0.1994086,-0.2362381,3.462947,-0.1994988,0.02099614,3.457325,-0.1954321,0.1670608,3.445273,-0.3284001,-0.05336323,3.455115,-0.5144681,-0.06174091,3.456213,-0.6627879,-0.1004093,3.456964,-0.7221227,-0.1162646,3.470652,-0.07437994,-0.05350392,3.477906,0.111593,-0.07673857,3.500452,0.2606435,-0.09877889,3.478141,0.3074063,-0.1251726,3.456213,-0.2500559,-0.3393745,3.414574,-0.2409509,-0.6467497,3.428726,-0.2796437,-0.8949946,3.404638,-0.2839718,-0.9455289,3.364756,-0.1401656,-0.3374654,3.416759,-0.1418891,-0.6422958,3.462153,-0.1089608,-0.8664058,3.486878,-0.103298,-0.8923627,3.425296,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391361.5091,-0.1965153,-0.281646,3.422429,-0.2000265,-0.2361865,3.461513,-0.1997115,0.02097183,3.456295,-0.1975604,0.1687469,3.442226,-0.3288842,-0.05371824,3.455209,-0.5127665,-0.0646219,3.456632,-0.6601675,-0.10605,3.458148,-0.7205758,-0.1179613,3.471128,-0.07508286,-0.05178959,3.476941,0.1096383,-0.07970475,3.500726,0.2646269,-0.1048153,3.47596,0.3090857,-0.1248961,3.456818,-0.2509303,-0.3393757,3.413352,-0.2417302,-0.6470126,3.427394,-0.2789587,-0.8949247,3.40502,-0.2840291,-0.9455932,3.365104,-0.1413462,-0.3370916,3.414672,-0.1418163,-0.6419991,3.461382,-0.1102784,-0.8657637,3.484589,-0.1257462,-0.9403372,3.472397,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391393.5109,-0.1968138,-0.2821112,3.421542,-0.2006677,-0.2365324,3.46055,-0.2009321,0.02097553,3.454432,-0.2003044,0.1647516,3.436876,-0.3285487,-0.05617876,3.453588,-0.5137361,-0.07731344,3.454121,-0.6633919,-0.1217133,3.460724,-0.7237641,-0.1264059,3.469904,-0.07523039,-0.05181511,3.477154,0.1103478,-0.08342706,3.500468,0.2659305,-0.1064454,3.474538,0.3097707,-0.123775,3.455297,-0.2509572,-0.3396711,3.412678,-0.2427472,-0.6477928,3.427647,-0.2772158,-0.9021814,3.405473,-0.2860127,-0.946727,3.366892,-0.1415997,-0.3374006,3.41409,-0.1434527,-0.6434934,3.460313,-0.1101595,-0.8662543,3.483044,-0.1286981,-0.9402183,3.471429,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391426.5128,-0.1970945,-0.2821776,3.42135,-0.2004735,-0.2366439,3.460491,-0.2010682,0.02088191,3.454391,-0.2013783,0.1656148,3.438649,-0.3306794,-0.05677005,3.453655,-0.5134014,-0.08901083,3.456611,-0.6566485,-0.1343196,3.46358,-0.7191299,-0.1312685,3.470399,-0.07462478,-0.05235885,3.474109,0.1109456,-0.08435422,3.499858,0.2669752,-0.1077043,3.4733,0.3112792,-0.1230154,3.452832,-0.251687,-0.3401777,3.412305,-0.2430664,-0.6474964,3.427864,-0.2764744,-0.9048308,3.408181,-0.2862857,-0.9472526,3.367568,-0.1417292,-0.337734,3.413805,-0.1454801,-0.6442022,3.459705,-0.110205,-0.8671966,3.482418,-0.1293068,-0.9408709,3.469903,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391462.5149,-0.1986661,-0.2837846,3.419585,-0.2008449,-0.2376811,3.459057,-0.2018545,0.02198532,3.453233,-0.2032028,0.1663405,3.435169,-0.3311008,-0.05720834,3.453599,-0.5133672,-0.09239216,3.457783,-0.6574996,-0.1371531,3.463615,-0.7199523,-0.1353435,3.47112,-0.07856487,-0.0551401,3.466601,0.110057,-0.08438635,3.497772,0.2609928,-0.1074314,3.472328,0.3115732,-0.123595,3.45137,-0.2527958,-0.3410662,3.411637,-0.2433071,-0.6479599,3.42761,-0.2794366,-0.9049233,3.406163,-0.2858096,-0.9477463,3.367493,-0.1437211,-0.3396032,3.410983,-0.1483772,-0.6433609,3.45597,-0.1101791,-0.867038,3.482661,-0.1107926,-0.9294565,3.468327,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391494.5167,-0.1999623,-0.2838635,3.417869,-0.2019036,-0.2379856,3.457572,-0.2021805,0.02183962,3.452792,-0.2047722,0.1649774,3.43495,-0.3322504,-0.05743219,3.453965,-0.512969,-0.09569201,3.458769,-0.6572881,-0.1412811,3.463753,-0.7193085,-0.1451601,3.469915,-0.07887062,-0.055506,3.466326,0.1101203,-0.08385325,3.497209,0.2695128,-0.1145789,3.481145,0.3117944,-0.122386,3.46212,-0.2543967,-0.3413471,3.410439,-0.2438184,-0.6478556,3.426055,-0.2826087,-0.895228,3.406528,-0.2857001,-0.9477218,3.367358,-0.1451228,-0.339805,3.407851,-0.1481261,-0.6402158,3.45547,-0.1110496,-0.8563967,3.48215,-0.10793,-0.8823079,3.420365,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391526.5185,-0.2002366,-0.2837968,3.417086,-0.202212,-0.2380091,3.456727,-0.2026129,0.02094753,3.451338,-0.2052814,0.1641817,3.434841,-0.3335799,-0.05740431,3.454175,-0.5129976,-0.09622981,3.459815,-0.6556526,-0.1445702,3.463054,-0.7167778,-0.1507228,3.464364,-0.07894353,-0.05515372,3.466543,0.1092471,-0.08239856,3.498279,0.2672141,-0.1078345,3.482991,0.3100424,-0.08999841,3.479681,-0.2547111,-0.3414895,3.410031,-0.2455869,-0.6487638,3.42538,-0.2820553,-0.9013956,3.405533,-0.2859024,-0.948006,3.36795,-0.145226,-0.3398874,3.40673,-0.1481407,-0.640278,3.455238,-0.1106205,-0.8603852,3.480282,-0.1309377,-0.9322124,3.46085,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391562.5206,-0.2001738,-0.2839622,3.417035,-0.2023154,-0.2380911,3.456668,-0.2043492,0.02053367,3.450146,-0.205797,0.1642733,3.434811,-0.3336995,-0.05810008,3.453974,-0.514411,-0.1000764,3.463894,-0.6583145,-0.1454633,3.463625,-0.7205766,-0.1526105,3.469301,-0.07921822,-0.05348764,3.46706,0.1094025,-0.08233976,3.498615,0.2656655,-0.1028422,3.487223,0.3095548,-0.08843144,3.481801,-0.2541803,-0.341885,3.409881,-0.2453022,-0.6492384,3.423813,-0.2839293,-0.9058391,3.407315,-0.2853658,-0.9484445,3.368122,-0.1451353,-0.3400127,3.406891,-0.1479803,-0.6408526,3.453744,-0.1111883,-0.860177,3.479918,-0.1304566,-0.9320684,3.459668,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
45391595.5225,-0.2003377,-0.2847657,3.416508,-0.2025065,-0.2388787,3.456103,-0.2054289,0.01998588,3.449323,-0.2111818,0.1646122,3.437842,-0.3343163,-0.05850351,3.453717,-0.5146772,-0.1008892,3.465111,-0.6587298,-0.1459819,3.464009,-0.7181503,-0.1523749,3.469265,-0.08011231,-0.05518254,3.465501,0.1092317,-0.08242294,3.498719,0.2603735,-0.08644988,3.487355,0.3085651,-0.08836122,3.481571,-0.254104,-0.342649,3.409436,-0.2445602,-0.6495934,3.423137,-0.2825834,-0.9049288,3.408255,-0.2852738,-0.9483213,3.36777,-0.1451973,-0.3407153,3.406584,-0.1483487,-0.6429076,3.452447,-0.1091824,-0.863043,3.483242,-0.1302502,-0.9333291,3.459452,337,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
