Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
45541534.2472,-0.1269337,-0.320888,3.447009,-0.1374486,-0.2707694,3.480092,-0.1562965,-0.004016153,3.465326,-0.1501475,0.1482535,3.461484,-0.2726692,-0.09664915,3.458799,-0.2995912,-0.299628,3.451055,-0.3211546,-0.4492285,3.452721,-0.3336131,-0.4923805,3.439224,-0.03553482,-0.0941865,3.501701,0.02454567,-0.2901138,3.474119,0.08538161,-0.4267384,3.439454,0.08586273,-0.4446984,3.428597,-0.1746617,-0.3755168,3.428207,-0.1776342,-0.6748974,3.452605,-0.1802861,-0.8888549,3.430268,-0.1787477,-0.9460709,3.384201,-0.07030591,-0.3773355,3.456135,-0.0483819,-0.682245,3.463051,-0.01866263,-0.8841574,3.4791,0.006902605,-0.9524649,3.446326,337,Throw-a-ball-with-your-other-arm,
45541557.2486,-0.1271826,-0.3206376,3.446804,-0.1372739,-0.2705608,3.479609,-0.1562842,-0.003724433,3.465426,-0.1518406,0.1477877,3.464132,-0.2747279,-0.09914389,3.459804,-0.3090779,-0.300834,3.454678,-0.3325821,-0.4504427,3.451488,-0.341061,-0.4964507,3.448189,-0.03571971,-0.09326983,3.501175,0.026585,-0.2854903,3.474828,0.09682336,-0.4183462,3.444996,0.1243872,-0.4697672,3.420052,-0.1750429,-0.3753293,3.42808,-0.1770429,-0.6742433,3.449654,-0.1795024,-0.8856056,3.429707,-0.1802978,-0.9476686,3.388233,-0.07042298,-0.3770248,3.455612,-0.04835157,-0.6816089,3.462109,-0.01915479,-0.8827766,3.47977,0.001770027,-0.9535404,3.448974,337,Throw-a-ball-with-your-other-arm,
45541588.2503,-0.1274989,-0.3209166,3.445992,-0.1369508,-0.2706835,3.478095,-0.1569466,-0.003920337,3.462911,-0.1551584,0.1498226,3.46752,-0.2782101,-0.1022617,3.460957,-0.3224343,-0.3008584,3.467307,-0.350577,-0.4497538,3.453145,-0.351144,-0.4960761,3.445838,-0.03599821,-0.0952794,3.497789,0.03601345,-0.2819544,3.476128,0.1192738,-0.4077922,3.451632,0.158635,-0.4566064,3.461322,-0.1754774,-0.3759067,3.427913,-0.1762488,-0.6723772,3.448698,-0.1829561,-0.8893958,3.42975,-0.1734735,-0.9171369,3.3667,-0.07032328,-0.3772863,3.453938,-0.04804398,-0.6807276,3.461912,-0.02087975,-0.8820111,3.478086,-0.01172492,-0.9432319,3.427468,337,Throw-a-ball-with-your-other-arm,
45541621.2522,-0.1286886,-0.3192011,3.444522,-0.1377266,-0.269436,3.476252,-0.1573085,-0.003866804,3.461704,-0.1575509,0.1505081,3.46648,-0.2796425,-0.1014502,3.46162,-0.3267663,-0.2995592,3.4658,-0.3623919,-0.4469069,3.455319,-0.3501643,-0.4503921,3.446922,-0.03443598,-0.09444888,3.497589,0.05326832,-0.2793385,3.491862,0.1357465,-0.4038007,3.455722,0.1605791,-0.4404248,3.469439,-0.1771422,-0.3751777,3.427485,-0.1754405,-0.6717855,3.447699,-0.1832761,-0.890478,3.428868,-0.1839161,-0.9501249,3.38761,-0.07059855,-0.3758224,3.451438,-0.04952929,-0.6775686,3.458156,-0.0209436,-0.882992,3.482322,-0.01178647,-0.910723,3.419219,337,Throw-a-ball-with-your-other-arm,
45541657.2543,-0.1294038,-0.3194434,3.443299,-0.1385038,-0.2697015,3.47476,-0.1574795,-0.003816016,3.461259,-0.1580756,0.1487333,3.470598,-0.2791874,-0.1010995,3.462372,-0.3303129,-0.2896941,3.461984,-0.3735101,-0.435003,3.451081,-0.401579,-0.4428225,3.445633,-0.03370646,-0.09515546,3.499789,0.0642406,-0.2752562,3.48638,0.1607307,-0.3918821,3.46811,0.2105091,-0.4227101,3.443658,-0.1782967,-0.3752111,3.426168,-0.1752678,-0.6720926,3.4453,-0.1778224,-0.884873,3.428871,-0.1836267,-0.9494458,3.386302,-0.07105216,-0.3761353,3.450131,-0.04825816,-0.6808438,3.456556,-0.0209341,-0.8844774,3.484246,0.0003055406,-0.9545282,3.452417,337,Throw-a-ball-with-your-other-arm,
45541689.2561,-0.1294512,-0.3197596,3.442367,-0.138749,-0.2699696,3.473895,-0.1579328,-0.003439795,3.461374,-0.1584082,0.1487587,3.467564,-0.2773207,-0.1001462,3.462075,-0.3314825,-0.2830468,3.463162,-0.3811503,-0.4262488,3.4503,-0.411534,-0.4790749,3.467977,-0.03323688,-0.09465186,3.500472,0.07391927,-0.2692484,3.491081,0.1851166,-0.3722808,3.479805,0.2255501,-0.3944539,3.471256,-0.178152,-0.375268,3.425052,-0.1734071,-0.6711496,3.442691,-0.1793441,-0.8832931,3.428163,-0.1842654,-0.9505758,3.393872,-0.07109188,-0.3762778,3.448955,-0.04104472,-0.6892729,3.455985,-0.01802463,-0.8831885,3.486455,0.0003105383,-0.9539701,3.454077,337,Throw-a-ball-with-your-other-arm,
45541726.2582,-0.1290418,-0.3197779,3.442249,-0.1390435,-0.2701961,3.473796,-0.1593427,-0.003287985,3.462906,-0.1576599,0.1476363,3.466171,-0.2771471,-0.09991036,3.461603,-0.3374113,-0.2797745,3.463878,-0.4016435,-0.4161328,3.437713,-0.4206413,-0.4707589,3.463817,-0.03373756,-0.09523255,3.50332,0.08373396,-0.2630107,3.49482,0.2135208,-0.3405489,3.49614,0.2545743,-0.3530028,3.491025,-0.176679,-0.3750893,3.423758,-0.1734561,-0.6709135,3.441526,-0.1797286,-0.8810438,3.426427,-0.1837377,-0.949724,3.393155,-0.0704133,-0.3763227,3.449131,-0.04088688,-0.6906663,3.455255,-0.01801938,-0.8820497,3.48379,0.004396491,-0.9523219,3.452902,337,Throw-a-ball-with-your-other-arm,
45541758.26,-0.1276919,-0.3193393,3.441411,-0.1408709,-0.2703506,3.47286,-0.1591493,-0.00341519,3.463539,-0.1504892,0.1497149,3.464536,-0.2710205,-0.09916274,3.457003,-0.3383488,-0.2787974,3.463683,-0.4034247,-0.4151913,3.441701,-0.4117766,-0.4504566,3.468439,-0.02572683,-0.09961267,3.521969,0.09421339,-0.2443562,3.500632,0.2370819,-0.2946851,3.484449,0.2728968,-0.3037673,3.486081,-0.1741723,-0.3742639,3.42022,-0.1707543,-0.671599,3.440622,-0.1830267,-0.8881915,3.426143,-0.1815105,-0.9488277,3.391939,-0.06897766,-0.3760959,3.449074,-0.0426461,-0.6883503,3.456797,-0.01520289,-0.9009326,3.489334,0.003119017,-0.9583278,3.445747,337,Throw-a-ball-with-your-other-arm,
45541822.6603,-0.1274309,-0.3192535,3.440632,-0.1405633,-0.2703319,3.472469,-0.1590437,-0.003207146,3.463545,-0.1498709,0.1499044,3.462591,-0.2705285,-0.09759343,3.456598,-0.3402538,-0.2776312,3.474548,-0.4034645,-0.4129065,3.438379,-0.4102587,-0.4403047,3.451935,-0.03164386,-0.09363654,3.519408,0.1007515,-0.2115657,3.515826,0.2448047,-0.250979,3.531965,0.3045393,-0.2625144,3.549996,-0.1735824,-0.3736714,3.418413,-0.170902,-0.6716475,3.438856,-0.1705847,-0.9084215,3.427396,-0.1820933,-0.9516087,3.388718,-0.06900223,-0.3759127,3.448901,-0.04610588,-0.6725411,3.454544,-0.01301966,-0.8972133,3.488724,0.006626663,-0.9592094,3.448612,337,Throw-a-ball-with-your-other-arm,
45541838.2603,-0.1272069,-0.3180245,3.440441,-0.1408201,-0.2700834,3.473072,-0.1608764,-0.002651433,3.468647,-0.1483282,0.1485728,3.461819,-0.2702431,-0.09738076,3.456372,-0.3400507,-0.2759914,3.474092,-0.397815,-0.414414,3.442111,-0.4159982,-0.4576137,3.440427,-0.03303202,-0.0821958,3.522013,0.1089029,-0.1778801,3.530901,0.2557282,-0.2047575,3.547513,0.3185942,-0.1977333,3.552506,-0.1728552,-0.3718809,3.418749,-0.1691879,-0.6724426,3.438837,-0.1746314,-0.9099683,3.430756,-0.1811507,-0.9513801,3.389091,-0.06899631,-0.3726696,3.44697,-0.04770074,-0.6750036,3.453628,-0.01288002,-0.9008073,3.488391,0.00697122,-0.9612432,3.442656,337,Throw-a-ball-with-your-other-arm,
