Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
45962711.2291,-0.1731141,-0.255174,2.72985,-0.1719671,-0.2131325,2.773071,-0.1907048,0.04039389,2.784778,-0.2080393,0.1862552,2.770444,-0.3274527,-0.03746153,2.798469,-0.4858388,-0.1019062,2.795747,-0.6264509,-0.149356,2.774991,-0.6861898,-0.1467058,2.793696,-0.07125332,-0.02121054,2.772489,0.1120993,-0.03883494,2.749655,0.2583881,-0.04369825,2.712902,0.3191961,-0.02872383,2.714848,-0.2262532,-0.3156883,2.714118,-0.2075938,-0.6314211,2.759962,-0.2206281,-0.8779501,2.754072,-0.2350361,-0.9291698,2.697054,-0.1131161,-0.3073826,2.720425,-0.106828,-0.6276749,2.736396,-0.07107463,-0.8697178,2.767942,-0.05182013,-0.9207423,2.74427,337,Draw-a-triangle,
45962746.2311,-0.1720085,-0.2559214,2.729829,-0.1711056,-0.2138362,2.773047,-0.1908059,0.04003781,2.784817,-0.207946,0.1864864,2.77063,-0.3275644,-0.03766381,2.798527,-0.4863221,-0.1018258,2.796493,-0.6274779,-0.1477326,2.776145,-0.6873552,-0.1454023,2.794451,-0.07153396,-0.02171253,2.772116,0.1129554,-0.03850131,2.750669,0.2593847,-0.04003901,2.71428,0.3198595,-0.02365948,2.713701,-0.2245766,-0.3167632,2.714327,-0.207772,-0.6315433,2.759998,-0.2174642,-0.8791116,2.752655,-0.2351228,-0.9293258,2.696864,-0.1117451,-0.3079213,2.720261,-0.106506,-0.6274083,2.736176,-0.07115922,-0.8697212,2.767911,-0.05186436,-0.9207788,2.744347,337,Draw-a-triangle,
45962778.2329,-0.1718338,-0.2559435,2.729818,-0.1710313,-0.214139,2.773111,-0.1906527,0.03987113,2.786845,-0.2078043,0.1866472,2.77068,-0.3276997,-0.03803048,2.798607,-0.4867021,-0.1019188,2.797348,-0.6284445,-0.1460942,2.777472,-0.6881286,-0.1420854,2.79612,-0.07106598,-0.02239021,2.772825,0.1125941,-0.03789461,2.751408,0.2591481,-0.0378425,2.715666,0.3195727,-0.02127032,2.715167,-0.2243885,-0.316921,2.714104,-0.2077815,-0.6315353,2.759959,-0.2192734,-0.8800787,2.751941,-0.2348665,-0.9293412,2.697221,-0.1114088,-0.3079046,2.720132,-0.1063735,-0.6272656,2.736061,-0.07100236,-0.8697434,2.767792,-0.0533893,-0.9218965,2.745341,337,Draw-a-triangle,
45962811.2348,-0.1716001,-0.2559885,2.729891,-0.1708611,-0.2142532,2.773208,-0.1906339,0.03960745,2.786929,-0.2075875,0.1868519,2.771168,-0.3279178,-0.03870232,2.798584,-0.4866219,-0.1021235,2.798067,-0.6287985,-0.145448,2.781066,-0.6888143,-0.1415308,2.798644,-0.07088337,-0.02168835,2.77331,0.1131141,-0.03756456,2.752456,0.2596431,-0.03702342,2.716568,0.3197394,-0.01934556,2.718036,-0.224102,-0.3171021,2.714253,-0.2082242,-0.6318133,2.759629,-0.2201419,-0.880339,2.7516,-0.2352376,-0.9293806,2.697037,-0.111089,-0.3079501,2.720093,-0.1063058,-0.6271957,2.735904,-0.07054011,-0.8701371,2.768006,-0.05324373,-0.9223285,2.745404,337,Draw-a-triangle,
45962846.2368,-0.1712695,-0.2562953,2.729843,-0.1705805,-0.2146405,2.77318,-0.1904847,0.03917536,2.786861,-0.2077672,0.1854694,2.771152,-0.3274344,-0.03922275,2.798567,-0.4861073,-0.1031345,2.798534,-0.6283753,-0.1463521,2.782811,-0.6882991,-0.1429443,2.80081,-0.07037567,-0.02201104,2.773715,0.1143014,-0.03764452,2.753816,0.2609203,-0.03575062,2.718498,0.3210903,-0.01826099,2.718837,-0.2237396,-0.3174061,2.714174,-0.2082798,-0.6318494,2.759783,-0.2182263,-0.879783,2.751949,-0.2352115,-0.9293398,2.697011,-0.1107815,-0.3082603,2.720052,-0.1054363,-0.6265708,2.734963,-0.07064459,-0.8702319,2.768014,-0.05254456,-0.9223229,2.745818,337,Draw-a-triangle,
45962878.2386,-0.1711825,-0.2563351,2.729886,-0.1705684,-0.2147329,2.773252,-0.1905158,0.03896745,2.786953,-0.2074482,0.1846826,2.771017,-0.3274274,-0.03944962,2.798735,-0.4854925,-0.1065204,2.799015,-0.6268671,-0.1528512,2.786219,-0.6874952,-0.1480125,2.801301,-0.06966078,-0.02224632,2.7743,0.1156161,-0.03789302,2.755087,0.2622662,-0.03680337,2.71989,0.3228404,-0.02237166,2.726899,-0.2236849,-0.317512,2.714162,-0.2082184,-0.6322728,2.759746,-0.2158177,-0.8809685,2.751724,-0.2351819,-0.9293345,2.696953,-0.1105492,-0.3083834,2.720131,-0.1049826,-0.6267123,2.735333,-0.07053743,-0.8702283,2.767851,-0.05203272,-0.9215659,2.744281,337,Draw-a-triangle,
45962910.2405,-0.1709804,-0.2570973,2.730157,-0.1703508,-0.2153963,2.773538,-0.1905127,0.03879393,2.787134,-0.2069206,0.1839406,2.769254,-0.3271215,-0.03984625,2.798921,-0.4841937,-0.1153866,2.798614,-0.6239846,-0.1660865,2.783131,-0.6837349,-0.1669515,2.801999,-0.07018094,-0.02248273,2.774293,0.114606,-0.03962855,2.756503,0.2692162,-0.04180708,2.723396,0.3292544,-0.0247998,2.729141,-0.2232362,-0.3182209,2.714525,-0.2061307,-0.6353914,2.760942,-0.2197579,-0.8829341,2.749832,-0.235112,-0.9289948,2.696473,-0.1106001,-0.3086368,2.720299,-0.1048125,-0.6267418,2.735465,-0.07586094,-0.8727247,2.767715,-0.05110299,-0.9219517,2.745422,337,Draw-a-triangle,
45962946.2425,-0.1707907,-0.2577186,2.730497,-0.1702109,-0.2159881,2.773887,-0.1907383,0.03842688,2.787427,-0.2068209,0.18316,2.769141,-0.3269702,-0.04034562,2.79926,-0.4829972,-0.1269921,2.797723,-0.6208795,-0.1826804,2.782207,-0.6818262,-0.1819964,2.796769,-0.07061134,-0.02285216,2.774596,0.1127616,-0.04900438,2.760427,0.260855,-0.05839718,2.72471,0.3222199,-0.04590699,2.722386,-0.2228724,-0.3187405,2.714898,-0.2066089,-0.6347656,2.761619,-0.2215282,-0.882285,2.750134,-0.2349028,-0.929413,2.696658,-0.1105312,-0.309038,2.720612,-0.104451,-0.6269869,2.736186,-0.07530244,-0.8725119,2.767807,-0.05113946,-0.9221459,2.745772,337,Draw-a-triangle,
45962978.2443,-0.1705149,-0.2583745,2.731333,-0.1700195,-0.2168577,2.774906,-0.19068,0.03798424,2.789937,-0.2067016,0.1830745,2.768923,-0.3267591,-0.04209023,2.799215,-0.4793428,-0.1383245,2.795103,-0.6131661,-0.2029438,2.77735,-0.6753467,-0.1981825,2.783621,-0.07083663,-0.02369995,2.775425,0.1111115,-0.05784446,2.759748,0.2608702,-0.07618313,2.721773,0.3233798,-0.07210444,2.719692,-0.2226098,-0.3192973,2.715283,-0.2068889,-0.6355008,2.761939,-0.2218735,-0.8828154,2.750041,-0.234962,-0.9291406,2.696104,-0.1103203,-0.3095394,2.72159,-0.1042487,-0.6268644,2.736815,-0.07475056,-0.8721927,2.769473,-0.05063887,-0.9229838,2.750198,337,Draw-a-triangle,
45963010.2462,-0.170477,-0.2596332,2.731896,-0.170034,-0.2180801,2.775547,-0.1906019,0.03727856,2.790759,-0.2067075,0.1832347,2.76897,-0.3268054,-0.04300869,2.799457,-0.4732575,-0.1490451,2.793902,-0.5987864,-0.2267905,2.765334,-0.66083,-0.2319972,2.758118,-0.07152919,-0.02510415,2.776149,0.1113575,-0.07601343,2.759719,0.252002,-0.1140682,2.714511,0.3144192,-0.1100565,2.710436,-0.2225213,-0.320153,2.71555,-0.2077585,-0.6370119,2.7637,-0.2162645,-0.8821267,2.750674,-0.2349669,-0.9291643,2.69614,-0.1104854,-0.3108844,2.722351,-0.1036539,-0.6272969,2.737371,-0.07375115,-0.8717845,2.769217,-0.07507785,-0.9234849,2.739928,337,Draw-a-triangle,
