Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
46016170.6574,-0.1751053,-0.2316303,2.752032,-0.1805063,-0.1926173,2.792464,-0.1969308,0.03921341,2.78699,-0.1996373,0.1815585,2.777391,-0.3308665,-0.002470731,2.801394,-0.5159138,0.05958344,2.78652,-0.6611345,0.09910513,2.751934,-0.7211949,0.119075,2.751855,-0.07067372,0.01419296,2.816981,0.1098728,0.1055659,2.808374,0.244596,0.170835,2.784161,0.2846053,0.1991381,2.789567,-0.228729,-0.2927222,2.735295,-0.2113167,-0.6205673,2.759778,-0.2087862,-0.8862571,2.754647,-0.232791,-0.9327284,2.702129,-0.1116704,-0.2868389,2.748693,-0.1005438,-0.62783,2.754781,-0.06891565,-0.8710247,2.76774,-0.04032222,-0.9190626,2.750632,337,Draw-the-letter-M,
46016201.6591,-0.1745446,-0.2322752,2.751711,-0.180187,-0.1933687,2.792274,-0.1972535,0.03835281,2.787715,-0.1996413,0.1814454,2.777378,-0.3307392,-0.003576711,2.800902,-0.5179695,0.0540539,2.785101,-0.6682708,0.08823723,2.750858,-0.7205852,0.1038322,2.752865,-0.07090698,0.01312377,2.816926,0.1130752,0.09208323,2.809324,0.2472607,0.1569136,2.779186,0.2844688,0.1826204,2.783877,-0.2278045,-0.2936036,2.733478,-0.2110611,-0.6210112,2.76002,-0.2064672,-0.8865717,2.75429,-0.2333138,-0.9327548,2.702188,-0.1106875,-0.2876138,2.748954,-0.1003791,-0.6276096,2.754662,-0.06888362,-0.8709551,2.767567,-0.03609177,-0.924575,2.759216,337,Draw-the-letter-M,
46016238.6613,-0.1742773,-0.2337867,2.751005,-0.1797938,-0.1945489,2.791816,-0.1964841,0.03842094,2.788116,-0.1990906,0.1832179,2.776991,-0.3303653,-0.004444592,2.800078,-0.514958,0.03741429,2.782895,-0.6615444,0.06297945,2.751109,-0.7202471,0.08639995,2.754547,-0.07024599,0.01126183,2.815636,0.1177604,0.07825847,2.807291,0.2520503,0.1420074,2.77453,0.2848846,0.1650825,2.775208,-0.2275681,-0.2948196,2.732321,-0.210951,-0.6211099,2.759871,-0.2131329,-0.8849294,2.752647,-0.2243396,-0.9329608,2.708592,-0.1109578,-0.2896515,2.748437,-0.1004913,-0.6285423,2.754243,-0.06859565,-0.8710466,2.767803,-0.03616296,-0.9245766,2.759265,337,Draw-the-letter-M,
46016270.6631,-0.1730078,-0.2346327,2.749449,-0.1785471,-0.1954871,2.790632,-0.1959562,0.03828244,2.788297,-0.1990997,0.1832643,2.777153,-0.3296686,-0.005293329,2.799438,-0.5096692,0.02930804,2.784632,-0.6562453,0.04832017,2.746868,-0.7187501,0.05765029,2.750475,-0.07011779,0.009840431,2.813989,0.1173845,0.06900405,2.802663,0.257341,0.1213666,2.775719,0.3105098,0.1399756,2.773204,-0.226312,-0.2955393,2.730712,-0.2102904,-0.6217658,2.759449,-0.2070181,-0.8853246,2.751639,-0.2201699,-0.9328747,2.708018,-0.1097019,-0.2899542,2.746435,-0.1005291,-0.6274338,2.753419,-0.06887334,-0.8717014,2.768004,-0.03999674,-0.9225395,2.756883,337,Draw-the-letter-M,
46016302.6649,-0.1723868,-0.2366697,2.748038,-0.1774892,-0.1970172,2.789534,-0.1945208,0.03885224,2.78829,-0.1989766,0.182576,2.776767,-0.3284785,-0.006457392,2.799008,-0.5075603,0.02195162,2.782952,-0.6679615,0.02000384,2.745546,-0.7271114,0.04129921,2.752952,-0.07023365,0.006163273,2.810769,0.11998,0.06162484,2.802214,0.2633753,0.1029664,2.7736,0.3261001,0.1092854,2.767879,-0.2260624,-0.2967705,2.729633,-0.2095861,-0.6231652,2.758095,-0.2146506,-0.8866913,2.754626,-0.2283175,-0.9332594,2.707205,-0.109496,-0.2914438,2.745136,-0.1005744,-0.6273381,2.752817,-0.0688521,-0.8719039,2.767731,-0.0430164,-0.920186,2.747265,337,Draw-the-letter-M,
46016338.667,-0.1719037,-0.2379243,2.747057,-0.1769862,-0.1982249,2.788798,-0.1940762,0.0387194,2.78869,-0.1965986,0.1823057,2.776346,-0.3277608,-0.007601274,2.798675,-0.5070064,0.01310566,2.780383,-0.6663151,0.01323777,2.747174,-0.7277645,0.02684773,2.753959,-0.06991162,0.003805159,2.810155,0.1164418,0.05275036,2.800378,0.2606129,0.09092376,2.770985,0.2942651,0.1012876,2.735743,-0.2255083,-0.2980086,2.72793,-0.2075608,-0.6265168,2.756708,-0.2023558,-0.8873599,2.75259,-0.2314197,-0.9338709,2.707234,-0.1091854,-0.2925629,2.744245,-0.1007616,-0.6300225,2.752735,-0.06827477,-0.8725673,2.767665,-0.04158331,-0.9215147,2.750084,337,Draw-the-letter-M,
46016369.6688,-0.1707231,-0.2472105,2.746578,-0.1760011,-0.2060648,2.788548,-0.1934507,0.03717249,2.789587,-0.1933447,0.1794676,2.778775,-0.3260437,-0.01093602,2.797338,-0.5117191,0.005158155,2.777626,-0.6659572,0.006589724,2.744925,-0.7279972,0.01805816,2.750154,-0.06842935,-0.001681482,2.809548,0.1124451,0.04210634,2.801529,0.2568868,0.07805201,2.769991,0.29405,0.1008186,2.724074,-0.2229368,-0.3061881,2.728144,-0.2083716,-0.6347599,2.75675,-0.2133745,-0.8783556,2.752955,-0.2312454,-0.9323988,2.70392,-0.1098007,-0.3023127,2.742808,-0.1019339,-0.6344183,2.751895,-0.06834508,-0.8726518,2.767755,-0.04287913,-0.921752,2.748835,337,Draw-the-letter-M,
46016401.6706,-0.1696694,-0.2497668,2.745837,-0.1750686,-0.2085783,2.787835,-0.1930304,0.03644217,2.789628,-0.191932,0.1790666,2.778395,-0.3241268,-0.01368179,2.796277,-0.5122036,0.003087026,2.776496,-0.6662254,0.005796638,2.745158,-0.728323,0.01678775,2.750718,-0.0667278,-0.003809309,2.809008,0.1164304,0.04205043,2.801673,0.2612078,0.07718512,2.771049,0.3221857,0.09419211,2.770518,-0.221205,-0.3089834,2.727239,-0.2081729,-0.6366701,2.756763,-0.2045758,-0.8755124,2.753344,-0.231299,-0.9315737,2.704373,-0.1091071,-0.3049532,2.742133,-0.09961198,-0.6403024,2.752641,-0.06831814,-0.8723302,2.76754,-0.04318425,-0.9215781,2.748561,337,Draw-the-letter-M,
46016438.6727,-0.168106,-0.2546715,2.745012,-0.1746631,-0.2131436,2.787094,-0.1926924,0.03497522,2.78998,-0.1912769,0.1783756,2.776611,-0.315346,-0.02669981,2.787856,-0.5164381,0.002671506,2.778583,-0.66503,0.004894406,2.745399,-0.7273272,0.01547834,2.749254,-0.06321548,-0.007143554,2.808697,0.1168043,0.04150246,2.802841,0.2619082,0.07632352,2.774019,0.322766,0.09361758,2.77177,-0.219005,-0.3138092,2.726023,-0.207823,-0.6384094,2.756835,-0.2028807,-0.875119,2.753795,-0.2313267,-0.9308658,2.70544,-0.1078274,-0.3094892,2.741609,-0.1001075,-0.6411268,2.752475,-0.06797671,-0.8704128,2.768056,-0.04536847,-0.9200709,2.747075,337,Draw-the-letter-M,
46016470.6745,-0.1679421,-0.2547425,2.74499,-0.1744266,-0.2133021,2.787052,-0.1913618,0.03468434,2.790204,-0.1909757,0.1782337,2.776582,-0.3163024,-0.02479778,2.788104,-0.5175424,0.003590632,2.77886,-0.6661289,0.00651181,2.745679,-0.728444,0.01698285,2.749551,-0.06290837,-0.007470585,2.808983,0.1169497,0.04166388,2.803468,0.2619336,0.07669857,2.774076,0.3226525,0.09460594,2.773483,-0.2188511,-0.3139627,2.726,-0.20786,-0.6392577,2.756717,-0.2132234,-0.8743215,2.75694,-0.231845,-0.93065,2.704638,-0.1077602,-0.3095628,2.74158,-0.1001041,-0.6411915,2.752432,-0.06851881,-0.8700918,2.768575,-0.04622321,-0.919458,2.746594,337,Draw-the-letter-M,
46016501.6763,-0.1656067,-0.2567527,2.744489,-0.172835,-0.2151258,2.786635,-0.1904018,0.03441678,2.790581,-0.1890948,0.1777223,2.77597,-0.3128051,-0.02685802,2.784882,-0.5132852,0.005128358,2.779365,-0.6622492,0.01332788,2.745746,-0.7225429,0.02542526,2.750128,-0.06263539,-0.007943732,2.809416,0.1182395,0.0425562,2.805585,0.2631891,0.08025663,2.781662,0.3234829,0.09912667,2.777613,-0.2156887,-0.3156026,2.725336,-0.207856,-0.6395189,2.756496,-0.2095073,-0.8749012,2.755432,-0.232041,-0.9309409,2.704374,-0.1064221,-0.3105124,2.741354,-0.1000701,-0.6411638,2.752413,-0.06799109,-0.8695658,2.768177,-0.04617479,-0.9191572,2.746222,337,Draw-the-letter-M,
46016538.6784,-0.1638545,-0.2583466,2.744206,-0.1713679,-0.2166483,2.786241,-0.1895812,0.03370945,2.790199,-0.188093,0.1778836,2.774816,-0.3106751,-0.02825042,2.783543,-0.5105952,0.006347522,2.779814,-0.6588802,0.02021065,2.748676,-0.7216541,0.02841153,2.748621,-0.06213485,-0.008358979,2.809315,0.1180254,0.0424952,2.80748,0.2626082,0.0809681,2.781891,0.3222056,0.1022382,2.780007,-0.2133334,-0.3169651,2.725338,-0.2074182,-0.6401983,2.756311,-0.2045924,-0.8744074,2.754209,-0.2236194,-0.9324495,2.706186,-0.1051178,-0.3115903,2.741207,-0.1004768,-0.6420591,2.752839,-0.06743895,-0.8678542,2.766687,-0.04615741,-0.9177994,2.745011,337,Draw-the-letter-M,
