Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
50671608.7949,0.3284763,-0.2927424,3.172882,0.3413732,-0.2502529,3.214783,0.3561543,0.0102829,3.235529,0.3292053,0.1565369,3.225637,0.2319471,-0.08623855,3.23266,0.1449903,-0.2360708,3.141787,0.07995233,-0.3558603,3.052402,0.05410045,-0.4017708,3.031165,0.4531549,-0.08065936,3.178836,0.5439933,-0.1924889,3.043624,0.5820009,-0.3005112,2.935028,0.5918444,-0.3284176,2.874964,0.2743647,-0.3444396,3.173681,0.2875218,-0.646382,3.169403,0.2881751,-0.8803932,3.152475,0.2803989,-0.9153009,3.115583,0.3731269,-0.3407332,3.148056,0.3840484,-0.643739,3.14562,0.3992481,-0.8727142,3.148471,0.4082158,-0.912552,3.103181,342,Bend-your-other-knee-while-raising-your-leg,
50671640.7968,0.3286036,-0.2936884,3.17261,0.3413644,-0.2513038,3.21452,0.3563019,0.009698157,3.235175,0.3298491,0.1563135,3.223873,0.232079,-0.08739292,3.231164,0.1509595,-0.2404401,3.142427,0.08759156,-0.3585158,3.060526,0.05626816,-0.4074653,3.030125,0.4529964,-0.08116037,3.178742,0.5321397,-0.2083778,3.046874,0.5773237,-0.3138159,2.938503,0.5869098,-0.3478384,2.891127,0.2745605,-0.345069,3.173309,0.2876695,-0.6464552,3.169614,0.28786,-0.8802562,3.153815,0.2825398,-0.9145464,3.115923,0.3732158,-0.3416059,3.148097,0.3838441,-0.6440959,3.145635,0.3966435,-0.8736863,3.149756,0.4078734,-0.9117451,3.105477,342,Bend-your-other-knee-while-raising-your-leg,
50671672.7986,0.328726,-0.2943833,3.172347,0.3415404,-0.2515246,3.214229,0.3575718,0.01134543,3.232946,0.3301513,0.1569403,3.224019,0.2325403,-0.08869691,3.229952,0.1542203,-0.2418466,3.143725,0.08918478,-0.3597569,3.060112,0.06919868,-0.402257,3.037704,0.4528761,-0.08202135,3.177951,0.5274456,-0.2136445,3.050016,0.5662842,-0.3232059,2.943447,0.5744786,-0.3637655,2.882028,0.2746322,-0.3456876,3.173027,0.2879266,-0.6460161,3.170045,0.2885406,-0.8801169,3.154212,0.281341,-0.9141566,3.115113,0.3733082,-0.3420121,3.148266,0.3833977,-0.6448079,3.146198,0.3954175,-0.8733487,3.149151,0.4090863,-0.9128431,3.106304,342,Bend-your-other-knee-while-raising-your-leg,
50671707.8006,0.3290321,-0.2946802,3.172026,0.3423546,-0.2520076,3.213694,0.3587183,0.01012602,3.232041,0.3298385,0.1547105,3.218846,0.2335522,-0.0887569,3.228426,0.1576523,-0.2444953,3.147125,0.09416896,-0.3634897,3.061733,0.06993589,-0.4153984,3.039594,0.4560106,-0.08705343,3.172152,0.5244998,-0.2255577,3.052464,0.5583018,-0.3474209,2.959665,0.561382,-0.3761953,2.887289,0.2746864,-0.3459232,3.172873,0.2878239,-0.6465992,3.170345,0.2874013,-0.8831581,3.154628,0.2782832,-0.9167523,3.111451,0.373884,-0.3425894,3.147766,0.3830062,-0.6451945,3.146996,0.3952059,-0.8740058,3.15083,0.4099344,-0.9136399,3.104828,342,Bend-your-other-knee-while-raising-your-leg,
50671740.8025,0.3290957,-0.295161,3.171695,0.34236,-0.2524686,3.213226,0.3587352,0.009341029,3.230363,0.3302178,0.1558834,3.218889,0.2340703,-0.08874683,3.227579,0.1671162,-0.2631238,3.146368,0.1053942,-0.382634,3.067315,0.07818934,-0.4243804,3.040166,0.4563117,-0.08756362,3.171836,0.5161469,-0.2283698,3.053989,0.5439333,-0.35566,2.96731,0.5442565,-0.4040533,2.923034,0.2747862,-0.3464237,3.172794,0.2879202,-0.6467128,3.170618,0.2867389,-0.8848635,3.162683,0.2807529,-0.9171686,3.116183,0.3738901,-0.3432906,3.147382,0.3832907,-0.6458314,3.146984,0.3952135,-0.8749492,3.15241,0.410301,-0.9140898,3.103672,342,Bend-your-other-knee-while-raising-your-leg,
50671773.8044,0.3296183,-0.2959387,3.171224,0.343048,-0.2531542,3.212612,0.3594404,0.009062042,3.229236,0.3307351,0.1556806,3.219014,0.2349171,-0.08879727,3.226671,0.1790845,-0.2654309,3.152848,0.1371355,-0.4049462,3.102108,0.1101147,-0.4519537,3.065196,0.4560961,-0.08985677,3.169905,0.5053086,-0.2596666,3.074595,0.5150061,-0.377507,2.970458,0.5210481,-0.4256696,2.926342,0.275277,-0.3468561,3.17269,0.2877738,-0.6466522,3.170498,0.2852345,-0.8852018,3.162293,0.2806354,-0.9172057,3.116363,0.3743009,-0.3441983,3.146927,0.3829909,-0.6461746,3.147231,0.3955163,-0.8753057,3.153193,0.410698,-0.9147973,3.103359,342,Bend-your-other-knee-while-raising-your-leg,
50671807.8063,0.3305724,-0.295954,3.170427,0.3437577,-0.2531058,3.211816,0.3602471,0.009367214,3.228195,0.3304627,0.155138,3.216001,0.235808,-0.0880311,3.225861,0.1894493,-0.2769627,3.155682,0.1417162,-0.4112217,3.09495,0.1395846,-0.4704881,3.066903,0.4577906,-0.09062923,3.170304,0.4979796,-0.2686776,3.079541,0.5005484,-0.3927822,2.983278,0.4964867,-0.455402,2.964148,0.2761725,-0.3467745,3.171575,0.2875113,-0.6469805,3.170267,0.2851198,-0.8820681,3.160233,0.2795721,-0.9173537,3.114793,0.3754022,-0.3445475,3.146543,0.3828418,-0.6459194,3.14717,0.3931503,-0.8741733,3.148396,0.4111723,-0.9160463,3.105531,342,Bend-your-other-knee-while-raising-your-leg,
50671840.8082,0.3331127,-0.2984585,3.166914,0.3459707,-0.2552549,3.20858,0.3610035,0.00917202,3.226511,0.3308155,0.1554509,3.216255,0.2380454,-0.08644218,3.225259,0.2008661,-0.2820814,3.158476,0.1824455,-0.4283617,3.11448,0.177035,-0.4926469,3.102534,0.4571211,-0.09083712,3.169866,0.4875041,-0.2778025,3.083699,0.4785357,-0.4220296,3.028947,0.4773041,-0.4724908,2.987034,0.2801636,-0.3490962,3.167644,0.2874962,-0.6479139,3.171093,0.2843885,-0.8848308,3.165703,0.2798101,-0.917654,3.116027,0.3769175,-0.345324,3.144426,0.3829558,-0.6461018,3.147046,0.3935238,-0.8762374,3.151981,0.4112091,-0.9160312,3.105473,342,Bend-your-other-knee-while-raising-your-leg,
50671872.81,0.3351091,-0.2992879,3.164866,0.3484082,-0.2562998,3.206769,0.365106,0.008953159,3.226653,0.3319069,0.1545478,3.215103,0.2392911,-0.08581404,3.224658,0.2072936,-0.2827728,3.159588,0.1856116,-0.4281574,3.113757,0.1912072,-0.4918112,3.098845,0.4564349,-0.09080602,3.168177,0.4834882,-0.2840979,3.087202,0.4704972,-0.4346768,3.034962,0.4553705,-0.494731,3.013279,0.2820263,-0.3497952,3.16634,0.2870735,-0.647419,3.171037,0.2848803,-0.8843815,3.165236,0.2802981,-0.9160175,3.115701,0.3788249,-0.3456879,3.140628,0.3835878,-0.6464262,3.146908,0.3949902,-0.8772141,3.153805,0.411248,-0.9159696,3.105344,342,Bend-your-other-knee-while-raising-your-leg,
50671907.812,0.3359814,-0.2992385,3.163431,0.3496868,-0.2564712,3.205193,0.3660371,0.007980824,3.225088,0.3357689,0.1512513,3.208692,0.240377,-0.0850144,3.224201,0.2113591,-0.2823825,3.158929,0.1964727,-0.4283698,3.112118,0.2007886,-0.4755982,3.097217,0.4563948,-0.09115309,3.165239,0.4822809,-0.2858214,3.088203,0.4608457,-0.4418301,3.043463,0.4507394,-0.4906304,3.025802,0.2827526,-0.3495045,3.165548,0.2870654,-0.646862,3.171325,0.2922692,-0.8857592,3.168042,0.2802719,-0.9160686,3.115679,0.3798516,-0.3459567,3.138262,0.3840457,-0.6458653,3.146585,0.3950737,-0.8773479,3.153948,0.4117747,-0.9163481,3.102803,342,Bend-your-other-knee-while-raising-your-leg,
