Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
51011079.9528,0.2951596,-0.2658541,3.242911,0.2999127,-0.2263462,3.283776,0.311491,0.01655209,3.296216,0.311137,0.1671676,3.291654,0.2000916,-0.03847161,3.295517,0.06038095,0.01613886,3.237535,-0.07326721,0.05351456,3.151216,-0.1312147,0.05029513,3.126888,0.4406162,-0.04493502,3.277358,0.5957276,0.0005076134,3.180256,0.7683417,0.04425402,3.126969,0.8093167,0.05309394,3.101886,0.2382745,-0.3155269,3.234289,0.2857125,-0.6235312,3.216018,0.2607241,-0.8895969,3.207265,0.3061279,-0.9286325,3.216607,0.3471024,-0.3206741,3.227828,0.3463814,-0.644798,3.233622,0.2979036,-0.8906829,3.218175,0.2737878,-0.9340485,3.24164,342,Make-the-letter-A,
51011105.9543,0.2974426,-0.2659515,3.24467,0.3013996,-0.2263889,3.285436,0.3160332,0.01634622,3.297822,0.3123356,0.165403,3.290906,0.2060123,-0.03854953,3.287773,0.06286872,0.01716606,3.235506,-0.07053114,0.05346692,3.150527,-0.141963,0.05824326,3.110553,0.4416258,-0.04534096,3.278067,0.5996665,9.960408E-06,3.179963,0.7707532,0.04278729,3.127186,0.8168784,0.05105394,3.103931,0.240083,-0.3151915,3.235512,0.2874381,-0.6213855,3.216333,0.2629918,-0.8900361,3.207588,0.3097958,-0.9298953,3.216515,0.3490705,-0.3207794,3.230587,0.3477476,-0.6436005,3.235568,0.2988659,-0.8908533,3.217889,0.2750067,-0.9341477,3.241752,342,Make-the-letter-A,
51011140.9563,0.2981475,-0.2656425,3.245544,0.3023249,-0.2262148,3.286334,0.3183891,0.01643986,3.299642,0.3070937,0.1655166,3.296378,0.2062335,-0.0383991,3.288185,0.05635475,0.02106798,3.233741,-0.07082789,0.05347962,3.148601,-0.1489377,0.06048054,3.111642,0.4423583,-0.04398499,3.278842,0.6078612,-0.01933757,3.199707,0.778161,0.01798841,3.122092,0.827718,0.02078447,3.097984,0.2407475,-0.3146374,3.236804,0.28729,-0.6212678,3.216459,0.2648639,-0.8902782,3.207677,0.3022679,-0.9281133,3.217088,0.3492877,-0.3206962,3.230907,0.3477452,-0.6440983,3.236271,0.2996393,-0.8904744,3.217783,0.2760175,-0.9336358,3.241981,342,Make-the-letter-A,
51011172.9581,0.2986205,-0.265744,3.246378,0.303084,-0.2262318,3.286944,0.3201782,0.01609187,3.299387,0.3149849,0.1649489,3.294524,0.2072631,-0.03739206,3.289525,0.04340653,0.001284379,3.221459,-0.07922054,0.02434329,3.135109,-0.1442183,0.04199376,3.091727,0.4433398,-0.04568049,3.278617,0.6089315,-0.03355326,3.198843,0.7722602,-0.04376381,3.121521,0.8223081,-0.0488054,3.11676,0.2411073,-0.3145354,3.238034,0.2874682,-0.6211585,3.216403,0.2655744,-0.8900937,3.207233,0.3033929,-0.9280281,3.218388,0.3494546,-0.3210272,3.231932,0.3484557,-0.6442465,3.237428,0.2997445,-0.8907745,3.217922,0.2762052,-0.9339736,3.242361,342,Make-the-letter-A,
51011204.9599,0.300009,-0.2672401,3.248618,0.3037049,-0.2274965,3.289174,0.3214869,0.01553203,3.30177,0.3205931,0.1601849,3.289226,0.2091341,-0.03784811,3.291126,0.06574357,-0.04335479,3.219737,-0.05403762,-0.01961968,3.13483,-0.1026673,-0.005476793,3.09747,0.4465628,-0.05058183,3.285209,0.5938228,-0.0639402,3.201435,0.7723465,-0.1023999,3.127438,0.8172212,-0.113185,3.114508,0.2423212,-0.3155659,3.240159,0.2887003,-0.6201041,3.216406,0.2657963,-0.8901644,3.206913,0.3037181,-0.9282249,3.218992,0.3506691,-0.3228162,3.234113,0.3531949,-0.646001,3.240934,0.3003671,-0.8911092,3.217207,0.2998743,-0.9149266,3.159222,342,Make-the-letter-A,
51011240.962,0.3005416,-0.2676727,3.249122,0.3040642,-0.2284594,3.289977,0.3264667,0.01531818,3.306999,0.3212719,0.1613549,3.292758,0.2104777,-0.03881267,3.292941,0.07198629,-0.06001845,3.211652,-0.07339874,-0.09051962,3.112104,-0.116151,-0.08165172,3.085533,0.4482709,-0.05451686,3.29068,0.5904586,-0.1025367,3.205906,0.7636587,-0.1679111,3.137521,0.8124429,-0.1865974,3.111957,0.2425792,-0.3158242,3.240627,0.2885955,-0.6199889,3.216575,0.2674494,-0.8886405,3.206059,0.3053395,-0.9269073,3.219804,0.3508115,-0.3230922,3.234136,0.3525127,-0.6461393,3.241079,0.3009931,-0.8905973,3.21733,0.3016025,-0.9143236,3.159309,342,Make-the-letter-A,
51011272.9638,0.3019282,-0.2690718,3.249935,0.3050546,-0.2297478,3.291073,0.3289565,0.01565048,3.309965,0.3221411,0.1627663,3.298082,0.2134079,-0.04219082,3.292901,0.07434793,-0.116857,3.215886,-0.04083338,-0.15332,3.128927,-0.05821013,-0.1532995,3.120991,0.4497282,-0.05700457,3.295474,0.595615,-0.1557187,3.197752,0.7213341,-0.2267206,3.138084,0.7748682,-0.2582977,3.128193,0.2435916,-0.316522,3.241261,0.2889537,-0.6198859,3.216949,0.2683539,-0.8879967,3.205166,0.3060526,-0.9264808,3.219904,0.3517571,-0.3243748,3.234465,0.3513992,-0.6479043,3.242121,0.3013894,-0.8902866,3.216555,0.3031377,-0.9139868,3.158547,342,Make-the-letter-A,
51011305.9657,0.302963,-0.2789347,3.25042,0.3059429,-0.2374336,3.292011,0.3295249,0.01403536,3.311385,0.3247627,0.1612714,3.294584,0.2244388,-0.06074015,3.287757,0.0921649,-0.1544166,3.217641,-0.02362058,-0.213751,3.147498,-0.03811124,-0.2452527,3.135192,0.4501324,-0.06371889,3.294728,0.5733224,-0.1917774,3.212183,0.6709365,-0.2863494,3.139504,0.7180118,-0.3267403,3.12886,0.2452143,-0.3233588,3.243109,0.2826286,-0.621587,3.217331,0.2684011,-0.8883252,3.205203,0.3061828,-0.9270915,3.220684,0.3517655,-0.3328439,3.23331,0.3525767,-0.6553059,3.244407,0.3017616,-0.8902016,3.216188,0.303967,-0.913919,3.158203,342,Make-the-letter-A,
51011340.9677,0.3073401,-0.2825694,3.250645,0.3095593,-0.2406272,3.292582,0.3319375,0.01378002,3.313387,0.3281597,0.1632872,3.296031,0.2224544,-0.0665386,3.287588,0.1031437,-0.2119201,3.220433,0.02038232,-0.299475,3.13295,-0.0005180106,-0.3257387,3.118335,0.4567721,-0.07532527,3.296873,0.5439939,-0.2312512,3.229073,0.6145425,-0.342328,3.162202,0.6463975,-0.3777797,3.150124,0.2494209,-0.3293594,3.242343,0.2879513,-0.623937,3.21936,0.2693571,-0.8880764,3.20441,0.3069961,-0.9268911,3.220599,0.3584134,-0.3387308,3.23352,0.3515531,-0.656661,3.244579,0.3024166,-0.8898324,3.215573,0.3054552,-0.9135348,3.15762,342,Make-the-letter-A,
51011372.9695,0.3079992,-0.2853458,3.250579,0.3102712,-0.2435539,3.292812,0.3325616,0.01197903,3.315531,0.3308665,0.1636552,3.294737,0.2239082,-0.07234012,3.286953,0.144092,-0.2471245,3.239596,0.070528,-0.4071511,3.161693,0.05548593,-0.4489751,3.131052,0.4586643,-0.0792208,3.296684,0.5138853,-0.2582573,3.226852,0.5527158,-0.3964729,3.21271,0.5624573,-0.4345765,3.216804,0.2497585,-0.3321509,3.241098,0.2886758,-0.6235901,3.219975,0.2708316,-0.8922287,3.212599,0.3088966,-0.9316627,3.231838,0.3590534,-0.3414937,3.234046,0.3160762,-0.6259634,3.232816,0.302796,-0.8903096,3.216449,0.3058412,-0.9139835,3.158485,342,Make-the-letter-A,
51011405.9714,0.3213337,-0.3064712,3.251083,0.3203895,-0.2599358,3.29367,0.3344973,0.01027052,3.316601,0.3420757,0.1579714,3.29237,0.2320769,-0.08370499,3.280285,0.1763825,-0.2689817,3.243608,0.1460335,-0.4348403,3.212961,0.1347795,-0.4865882,3.197998,0.4582115,-0.08265415,3.297174,0.4789467,-0.2751369,3.261907,0.4788868,-0.4125914,3.208404,0.4748044,-0.4748129,3.199877,0.2690698,-0.354474,3.237931,0.2756362,-0.6297241,3.218003,0.2711117,-0.892504,3.212756,0.3091658,-0.9318715,3.232041,0.3682747,-0.3552345,3.238891,0.316799,-0.6271101,3.232663,0.3022563,-0.8900011,3.21553,0.3067167,-0.9137269,3.15768,342,Make-the-letter-A,
51011440.9734,0.3233782,-0.3114845,3.250072,0.3222454,-0.2646052,3.292382,0.3347853,0.009766163,3.315481,0.3427083,0.158437,3.29207,0.2357746,-0.08577412,3.276297,0.1796215,-0.2715096,3.247134,0.1494508,-0.4273649,3.217512,0.1381968,-0.4791128,3.202549,0.4543603,-0.0854051,3.29342,0.4760536,-0.2777552,3.257854,0.4757961,-0.4142632,3.203866,0.4717136,-0.4764856,3.195339,0.2718325,-0.3585385,3.240749,0.2741722,-0.628364,3.217174,0.2711345,-0.8927392,3.213309,0.3091886,-0.9320523,3.232684,0.3706073,-0.359361,3.235983,0.3186762,-0.6276659,3.230019,0.3031142,-0.8904108,3.21583,0.3078198,-0.9141542,3.158007,342,Make-the-letter-A,
51011473.9753,0.325155,-0.3127604,3.251385,0.3226325,-0.2657503,3.293211,0.3348977,0.009067778,3.31493,0.3460793,0.1596255,3.291252,0.2398572,-0.08584589,3.270447,0.1808981,-0.2709998,3.248665,0.1501341,-0.4173087,3.226663,0.1442769,-0.4588802,3.206627,0.4543238,-0.08763388,3.293997,0.4762506,-0.2799067,3.257889,0.4758162,-0.4162601,3.203435,0.4717337,-0.4784822,3.194909,0.2742458,-0.3589982,3.239964,0.273013,-0.6271538,3.217151,0.2740226,-0.8920139,3.210237,0.3120312,-0.9311854,3.229782,0.3743029,-0.3628405,3.244917,0.3209373,-0.6278449,3.227723,0.3031732,-0.8904603,3.215199,0.3097792,-0.9142407,3.157577,342,Make-the-letter-A,
51011505.9771,0.3306233,-0.3141123,3.251559,0.3273734,-0.2669441,3.292659,0.338118,0.00667292,3.3095,0.3475413,0.1601805,3.289884,0.2402764,-0.0874932,3.266708,0.1787649,-0.2718421,3.250203,0.1631136,-0.4367046,3.226675,0.1274309,-0.4653927,3.234905,0.4554963,-0.09015448,3.292358,0.4788391,-0.2827633,3.262869,0.4952478,-0.4243749,3.271264,0.4934908,-0.4872271,3.268507,0.2803633,-0.3605105,3.237293,0.273793,-0.6270584,3.217115,0.2738422,-0.8921233,3.209876,0.3118667,-0.931254,3.229469,0.3811597,-0.3652812,3.248288,0.3224854,-0.630954,3.225724,0.302285,-0.8908471,3.213475,0.2762898,-0.935954,3.224813,342,Make-the-letter-A,
51011540.9791,0.3310834,-0.3108097,3.24959,0.3273801,-0.2644365,3.290522,0.3397271,0.006217851,3.304988,0.3493603,0.1578202,3.284158,0.2396224,-0.08743909,3.266422,0.1707844,-0.2691897,3.24924,0.1008917,-0.393659,3.223908,0.0852746,-0.454477,3.228232,0.4583935,-0.08810543,3.297354,0.4792755,-0.2813298,3.278058,0.5011463,-0.4264053,3.273206,0.5085895,-0.4889019,3.272759,0.2796236,-0.357476,3.233167,0.282788,-0.6276101,3.214773,0.2743572,-0.8924527,3.210397,0.3123859,-0.9315405,3.23002,0.3814764,-0.3635772,3.247548,0.3188426,-0.6280648,3.222967,0.3023805,-0.8910086,3.213308,0.276773,-0.9365739,3.223649,342,Make-the-letter-A,
51011572.981,0.3301526,-0.3071053,3.246412,0.3268808,-0.2623475,3.288013,0.3408243,0.005830961,3.304494,0.3493721,0.1589562,3.285098,0.2375877,-0.08653814,3.26519,0.1587089,-0.2627598,3.246823,0.08584393,-0.3853693,3.220412,0.07145653,-0.4116223,3.165464,0.4588881,-0.08902893,3.297964,0.4834404,-0.2817128,3.286442,0.5105357,-0.4264973,3.278176,0.5247071,-0.4878114,3.276968,0.2760364,-0.3523749,3.226495,0.2801672,-0.6280542,3.213799,0.2747803,-0.8923544,3.210343,0.3128169,-0.931412,3.229982,0.3807402,-0.3613713,3.244735,0.3151435,-0.6265792,3.222057,0.3029434,-0.891334,3.21355,0.2777167,-0.9371881,3.223541,342,Make-the-letter-A,
51011605.9829,0.3302335,-0.3053658,3.243099,0.3268276,-0.2610237,3.284496,0.3416517,0.004834916,3.301522,0.3499569,0.1585374,3.284192,0.2358074,-0.08561716,3.263241,0.1569048,-0.2581964,3.248156,0.07003894,-0.3720725,3.25002,0.04406473,-0.416989,3.214386,0.4598122,-0.08970046,3.298057,0.4853439,-0.2822831,3.285831,0.5167403,-0.4287167,3.276615,0.5335701,-0.4893469,3.27825,0.2751131,-0.3512523,3.223053,0.281124,-0.6284801,3.214082,0.2751888,-0.8923732,3.209567,0.3132172,-0.9313951,3.229245,0.3815331,-0.3603393,3.24092,0.3142973,-0.6268186,3.221768,0.3042943,-0.8914241,3.212437,0.2777792,-0.9362774,3.223566,342,Make-the-letter-A,
51011640.9849,0.3295009,-0.3045361,3.242085,0.3261291,-0.2601734,3.283357,0.3419917,0.005236302,3.300375,0.3502958,0.1589109,3.283998,0.2354896,-0.08481068,3.262398,0.1559986,-0.2589657,3.248065,0.08337986,-0.3815387,3.220357,0.06285997,-0.4189665,3.201851,0.4600076,-0.08972585,3.298207,0.4865554,-0.2822391,3.283279,0.527689,-0.4396666,3.280472,0.5368162,-0.4970742,3.278887,0.2744299,-0.350868,3.222362,0.2775586,-0.6275282,3.2129,0.275112,-0.8924007,3.209867,0.3131395,-0.9314041,3.229563,0.3803034,-0.3590793,3.239511,0.3137061,-0.6274389,3.222602,0.3035487,-0.8930005,3.215352,0.2750443,-0.9356889,3.22963,342,Make-the-letter-A,
51011672.9867,0.3297501,-0.3046914,3.241952,0.3263165,-0.2602002,3.283201,0.3412018,0.005328917,3.299501,0.3524253,0.1575316,3.282551,0.2352556,-0.08486281,3.261994,0.1556566,-0.2620541,3.248145,0.08724319,-0.3876133,3.224988,0.06888631,-0.4282452,3.211705,0.4598091,-0.09060249,3.297158,0.4867896,-0.2830393,3.283239,0.5232844,-0.4383555,3.276823,0.5357074,-0.4993965,3.275747,0.274986,-0.3514417,3.221965,0.2798989,-0.6306794,3.213204,0.2754122,-0.8919727,3.209475,0.3134462,-0.9309441,3.229179,0.3808067,-0.3591185,3.239641,0.3133131,-0.6281776,3.222153,0.3035831,-0.8927346,3.214987,0.3129777,-0.9166102,3.157796,342,Make-the-letter-A,
51011704.9885,0.3295312,-0.3052337,3.241628,0.3258102,-0.2605651,3.282727,0.3405232,0.005153414,3.298433,0.3524724,0.157257,3.281579,0.2361461,-0.08502865,3.259858,0.1607635,-0.2641491,3.245257,0.1250995,-0.4026701,3.222601,0.1060138,-0.4315493,3.19152,0.4601522,-0.09093495,3.296508,0.4831177,-0.2839283,3.275962,0.5167899,-0.4404213,3.267008,0.5278111,-0.501949,3.259623,0.2749596,-0.3521316,3.221411,0.2760486,-0.6293592,3.211943,0.2753852,-0.8920595,3.209482,0.3134217,-0.9310167,3.22919,0.3805338,-0.3594997,3.2397,0.3127713,-0.6289357,3.222064,0.3034141,-0.8928124,3.214829,0.3131975,-0.9167103,3.157713,342,Make-the-letter-A,
51011740.9906,0.3304827,-0.3068545,3.241803,0.3257415,-0.261634,3.282662,0.3401847,0.004906161,3.298332,0.3524824,0.1574145,3.281087,0.2383128,-0.08480504,3.257105,0.1688257,-0.2662972,3.242562,0.1378042,-0.4060486,3.221156,0.1435512,-0.4612224,3.219033,0.4615679,-0.09198793,3.297635,0.4807563,-0.2853936,3.276791,0.5077328,-0.4484224,3.25938,0.5222644,-0.5078796,3.263326,0.2767651,-0.3538591,3.221031,0.2745184,-0.631552,3.21098,0.276967,-0.8918741,3.209267,0.3150073,-0.9308,3.228992,0.3815778,-0.3616204,3.240867,0.3157396,-0.6317118,3.22277,0.3034061,-0.8927901,3.214811,0.3142285,-0.9167049,3.157888,342,Make-the-letter-A,
51011772.9924,0.3323207,-0.3092118,3.24258,0.3272016,-0.2635461,3.283262,0.3404627,0.004359609,3.298552,0.3523027,0.1572555,3.280972,0.2387744,-0.08517396,3.256444,0.1764508,-0.2692891,3.237847,0.1610136,-0.4339263,3.200536,0.1531947,-0.4807701,3.204022,0.4616551,-0.09215501,3.297365,0.4589098,-0.2856767,3.261169,0.4859909,-0.4574259,3.239921,0.4924619,-0.5129557,3.268841,0.280024,-0.3573596,3.22163,0.2738471,-0.6390389,3.209045,0.277889,-0.892821,3.212796,0.315933,-0.9317111,3.232555,0.3826477,-0.3628213,3.241971,0.3155186,-0.6306614,3.22204,0.3034469,-0.8928051,3.21491,0.3143666,-0.9167382,3.158013,342,Make-the-letter-A,
51011804.9942,0.3331217,-0.3105634,3.242193,0.3278617,-0.2644062,3.282685,0.3396373,0.004178835,3.295898,0.3510036,0.1573829,3.277717,0.2397327,-0.08582608,3.255221,0.1779402,-0.2701236,3.237595,0.1602186,-0.4388242,3.20755,0.1531008,-0.4878359,3.209542,0.4617306,-0.09172633,3.295419,0.4651184,-0.2856409,3.264207,0.4859076,-0.4579675,3.241788,0.4893828,-0.5177026,3.248347,0.2815084,-0.3589995,3.221476,0.2738499,-0.6390388,3.209024,0.2785549,-0.8915604,3.209672,0.3165984,-0.9304234,3.229446,0.3830928,-0.3633546,3.242046,0.3104453,-0.6321101,3.219326,0.3034446,-0.8923932,3.213996,0.3141591,-0.9163874,3.157085,342,Make-the-letter-A,
51011840.9963,0.33318,-0.3134242,3.241485,0.3279222,-0.2663151,3.281821,0.33741,0.004546037,3.293263,0.3498052,0.1580821,3.276805,0.2397958,-0.08603876,3.25415,0.1790864,-0.2706908,3.23789,0.1553252,-0.4331681,3.213178,0.1518372,-0.4909768,3.214815,0.4574797,-0.09253573,3.291506,0.47376,-0.2860936,3.280811,0.4851452,-0.4571784,3.242343,0.4880875,-0.5166351,3.246311,0.2822115,-0.3607485,3.221374,0.2813538,-0.6389729,3.210191,0.2790449,-0.8921298,3.210185,0.3170861,-0.93098,3.229961,0.3829489,-0.3647248,3.241943,0.3045256,-0.6323431,3.217584,0.3037357,-0.8925134,3.213997,0.3139537,-0.9165692,3.15702,342,Make-the-letter-A,
51011872.9981,0.3332096,-0.3133987,3.241351,0.3278218,-0.2659807,3.281432,0.3371128,0.00491712,3.290098,0.3491123,0.157516,3.276632,0.2395515,-0.08611082,3.253449,0.1801063,-0.2711766,3.237329,0.1533011,-0.4301369,3.214171,0.1497967,-0.4900016,3.215742,0.4573341,-0.09241976,3.291749,0.4783867,-0.2850451,3.289049,0.4848287,-0.4571181,3.242222,0.4877013,-0.5125396,3.243284,0.282273,-0.3607155,3.221368,0.2844523,-0.6360623,3.210673,0.2790155,-0.8920105,3.209088,0.3170571,-0.9308513,3.228873,0.3829469,-0.3647256,3.241921,0.30591,-0.631965,3.217912,0.3034539,-0.8921334,3.212952,0.3138709,-0.916289,3.156052,342,Make-the-letter-A,
51011909.0002,0.333407,-0.3136497,3.241302,0.3283083,-0.2662336,3.281378,0.3368127,0.004782679,3.289886,0.3495184,0.1581528,3.275977,0.2395104,-0.08611947,3.253404,0.1793702,-0.2709602,3.237235,0.1434595,-0.4100547,3.230558,0.1287905,-0.4414378,3.221831,0.4561481,-0.09232461,3.289028,0.4787054,-0.2847117,3.287138,0.4859017,-0.4564244,3.249075,0.4862647,-0.511385,3.230531,0.2827736,-0.3609037,3.221723,0.2812511,-0.6347108,3.209576,0.2791521,-0.8921841,3.208952,0.3171919,-0.9310186,3.22874,0.3831096,-0.3648718,3.241789,0.3182296,-0.6316173,3.219345,0.3034514,-0.8921158,3.212906,0.3132418,-0.9162709,3.155896,342,Make-the-letter-A,
51011941.002,0.3319182,-0.3112304,3.239956,0.3267688,-0.2646272,3.280012,0.336614,0.004788414,3.289412,0.3539679,0.1579325,3.273299,0.2401075,-0.08523127,3.252163,0.1767651,-0.2689133,3.240077,0.1325199,-0.4053802,3.222847,0.1250989,-0.4431103,3.218765,0.4557708,-0.09345441,3.289809,0.4792904,-0.2857979,3.287099,0.4807816,-0.4178859,3.221314,0.4861404,-0.4804686,3.225409,0.2806427,-0.3574026,3.219506,0.2774052,-0.6315077,3.207786,0.2790572,-0.8922815,3.208971,0.3170985,-0.9311121,3.22876,0.3816057,-0.3625045,3.241153,0.3180795,-0.6314149,3.219289,0.3035567,-0.892212,3.212917,0.2769994,-0.9381191,3.218034,342,Make-the-letter-A,
