Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
51091995.7952,0.3705266,-0.3151026,3.325793,0.375035,-0.2668898,3.363652,0.3789914,0.004023902,3.363755,0.3803664,0.1614306,3.358399,0.2642546,-0.09329572,3.343982,0.1227036,-0.2265798,3.32386,0.01331977,-0.3130053,3.279646,-0.02981889,-0.3365428,3.300469,0.4974899,-0.09451926,3.321944,0.6106427,-0.2073601,3.273282,0.7079723,-0.3055567,3.207072,0.7507713,-0.3515637,3.200454,0.3182728,-0.3644201,3.325336,0.3460405,-0.6559917,3.295635,0.3449579,-0.8929254,3.307353,0.4027817,-0.9271131,3.28116,0.4201308,-0.3705026,3.311914,0.4236211,-0.6978778,3.299252,0.4183729,-0.9074382,3.304811,0.4076086,-0.9506668,3.275563,342,Make-the-letter-T,
51092028.797,0.3703977,-0.3154134,3.32621,0.3744894,-0.2673718,3.364311,0.3781075,0.003610743,3.365315,0.3803012,0.1621163,3.358115,0.2632432,-0.09462147,3.344297,0.1455556,-0.2488794,3.338682,0.06114466,-0.363272,3.30834,0.02065413,-0.3599954,3.288364,0.4993238,-0.0940645,3.324573,0.6146908,-0.234578,3.283037,0.6878939,-0.3431705,3.214555,0.7193398,-0.3774136,3.218974,0.3177719,-0.3657238,3.325878,0.3458189,-0.656232,3.295728,0.3449933,-0.8942564,3.307734,0.4020593,-0.9273609,3.278646,0.4202492,-0.3708775,3.312056,0.4251254,-0.7017256,3.300556,0.4255186,-0.9109175,3.309656,0.4175889,-0.9583622,3.286719,342,Make-the-letter-T,
51092060.7989,0.3701777,-0.3163143,3.326918,0.3744912,-0.2678557,3.364839,0.3786686,0.003846673,3.365211,0.3815859,0.1635561,3.359296,0.2643703,-0.09722619,3.345603,0.1638168,-0.2622105,3.349166,0.0931842,-0.3873072,3.335841,0.0484658,-0.4185045,3.326838,0.5013425,-0.0969191,3.325482,0.6059985,-0.2577,3.290435,0.6584929,-0.3853814,3.241185,0.6830395,-0.4061918,3.22809,0.3169823,-0.3673244,3.327047,0.3460243,-0.6566572,3.296046,0.3431971,-0.8934611,3.306939,0.3988667,-0.9254913,3.274176,0.4201096,-0.3717508,3.312636,0.4251629,-0.7014261,3.300367,0.4176076,-0.9113823,3.301359,0.407544,-0.9475717,3.263556,342,Make-the-letter-T,
51092092.8007,0.3706734,-0.3183566,3.327558,0.3750639,-0.269845,3.365582,0.3788432,0.002572773,3.36576,0.3817097,0.1622813,3.356766,0.2643134,-0.09858062,3.34622,0.2047602,-0.2819228,3.353371,0.1308911,-0.4046007,3.331924,0.1081599,-0.4397064,3.311144,0.5011116,-0.09925703,3.325081,0.5823287,-0.2745717,3.328619,0.6156591,-0.4095162,3.282809,0.6337178,-0.4390155,3.274816,0.3178523,-0.3710836,3.328216,0.3457927,-0.6565467,3.296387,0.3442451,-0.8931283,3.305735,0.3993092,-0.9253666,3.272163,0.4204734,-0.3726998,3.312677,0.4251639,-0.701479,3.300357,0.4176713,-0.9114465,3.301233,0.4075932,-0.9474956,3.2633,342,Make-the-letter-T,
51092128.8028,0.3706553,-0.3188788,3.328527,0.3751723,-0.2702716,3.366667,0.3791723,0.003185047,3.367301,0.3813713,0.1645291,3.357382,0.2649057,-0.09922835,3.347229,0.2082196,-0.2836217,3.3533,0.1717361,-0.4217331,3.35975,0.1517134,-0.4768155,3.336147,0.5006968,-0.09945641,3.325676,0.5464256,-0.2884251,3.305067,0.5965747,-0.4231051,3.296224,0.5882559,-0.4679998,3.306031,0.317921,-0.3714948,3.328892,0.346183,-0.6569123,3.296393,0.3451165,-0.8962842,3.307323,0.3992997,-0.9267384,3.270783,0.4203518,-0.3726999,3.313497,0.4252602,-0.7011666,3.300496,0.4176617,-0.9112089,3.300471,0.4074139,-0.9458797,3.261318,342,Make-the-letter-T,
51092160.8046,0.370927,-0.322645,3.329469,0.3758138,-0.2729145,3.367149,0.3790622,0.002624095,3.366271,0.3814487,0.1643926,3.357701,0.2685846,-0.1005438,3.349193,0.2321445,-0.2908275,3.347371,0.2191869,-0.4658732,3.327648,0.1851484,-0.5122533,3.353771,0.4977471,-0.1017679,3.324889,0.5337366,-0.2928429,3.307553,0.5435848,-0.4394958,3.294961,0.5429732,-0.495848,3.2744,0.3194312,-0.3734201,3.330472,0.3468253,-0.6585051,3.296574,0.3177034,-0.9033915,3.319743,0.3290499,-0.9376581,3.280537,0.4196537,-0.3747216,3.314307,0.4299067,-0.7054209,3.300268,0.3975872,-0.9125602,3.305595,0.3928677,-0.9539768,3.272393,342,Make-the-letter-T,
51092192.8064,0.3713086,-0.3242641,3.331095,0.3762561,-0.2741714,3.368694,0.3791606,0.002525638,3.366677,0.3815111,0.1642971,3.357851,0.2704292,-0.100634,3.349914,0.2350077,-0.2913573,3.344909,0.220101,-0.4653158,3.327195,0.1860623,-0.5116964,3.353318,0.4975529,-0.1013906,3.325264,0.5223054,-0.2942238,3.309889,0.5344918,-0.4373488,3.29607,0.5329302,-0.4825434,3.275862,0.3205063,-0.3743283,3.331853,0.3467568,-0.6616959,3.29675,0.3170792,-0.903496,3.319688,0.3281001,-0.9396282,3.281256,0.4193584,-0.3760518,3.316465,0.4310878,-0.7066729,3.300699,0.3932639,-0.9129497,3.305381,0.391232,-0.954361,3.271898,342,Make-the-letter-T,
51092228.8085,0.3700473,-0.3258001,3.332747,0.3754809,-0.2750413,3.369903,0.378904,0.002816801,3.366577,0.381507,0.1647524,3.358339,0.2700375,-0.1009482,3.350381,0.2369708,-0.2920723,3.345675,0.2211634,-0.4679152,3.329449,0.1871245,-0.5142959,3.355572,0.4925817,-0.1039755,3.32455,0.5048881,-0.2980044,3.303704,0.5205666,-0.4425822,3.289916,0.5312672,-0.4925427,3.269522,0.3197001,-0.3764098,3.334112,0.3466696,-0.6638844,3.298256,0.3164746,-0.90431,3.3207,0.3789964,-0.9272298,3.293051,0.4173675,-0.3763813,3.318606,0.4321666,-0.7068624,3.302007,0.3898053,-0.9125693,3.303663,0.3859461,-0.9565395,3.273798,342,Make-the-letter-T,
51092261.8104,0.3704743,-0.3253637,3.332853,0.3754595,-0.2748552,3.370022,0.3789154,0.00254834,3.366485,0.3813453,0.1646151,3.358146,0.2699418,-0.1000236,3.35063,0.2374604,-0.2911904,3.346708,0.2224986,-0.4665822,3.328271,0.1884596,-0.5129632,3.354394,0.4920512,-0.101562,3.326834,0.5107013,-0.2950444,3.303901,0.5325114,-0.4674292,3.276833,0.5386353,-0.5133941,3.271288,0.3204019,-0.3759511,3.334001,0.3468553,-0.6642995,3.298588,0.3160611,-0.9044273,3.32099,0.3786092,-0.927223,3.293296,0.4179294,-0.375472,3.319037,0.4298667,-0.7044404,3.3036,0.3889641,-0.9105814,3.303747,0.3840298,-0.9561225,3.27651,342,Make-the-letter-T,
51092292.8121,0.3694129,-0.3237291,3.334139,0.3744873,-0.2735478,3.370926,0.3788249,0.002857823,3.366071,0.3809996,0.1650142,3.358258,0.2699781,-0.09967686,3.350635,0.2339568,-0.2900023,3.349216,0.2179525,-0.4589703,3.334007,0.200707,-0.5002768,3.347324,0.4916376,-0.0994381,3.328527,0.5153357,-0.2923431,3.304724,0.5548811,-0.4304025,3.300812,0.5685245,-0.4748398,3.29632,0.3192812,-0.3736206,3.335713,0.3471152,-0.6643156,3.29881,0.3158215,-0.903361,3.321355,0.3761988,-0.924694,3.288212,0.4163349,-0.3737751,3.32088,0.4293732,-0.7020876,3.304388,0.4017593,-0.9106064,3.302339,0.3960742,-0.9515991,3.26876,342,Make-the-letter-T,
