Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
51286377.3869,0.1777627,-0.2946624,3.477598,0.1792981,-0.2513193,3.518661,0.187962,0.005887889,3.530903,0.195061,0.1625471,3.523715,0.06889647,-0.08305215,3.508751,-0.0779379,-0.1757901,3.447433,-0.1758325,-0.2662658,3.381462,-0.2165332,-0.3146614,3.385725,0.3060338,-0.08079721,3.508007,0.4590348,-0.1549124,3.416547,0.5797283,-0.2205346,3.324181,0.6440868,-0.2546711,3.297038,0.1237029,-0.3474522,3.467809,0.1402897,-0.5908422,3.440666,0.1425875,-0.8682874,3.459314,0.1656097,-0.9162912,3.410765,0.2287967,-0.3468405,3.465657,0.2050044,-0.6378582,3.460468,0.2132467,-0.8774257,3.442917,0.1660239,-0.9181716,3.406846,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286404.3884,0.1788583,-0.2947924,3.477914,0.180483,-0.2517651,3.519292,0.1900264,0.007028404,3.534801,0.1958123,0.1627567,3.523532,0.06879721,-0.08336246,3.508779,-0.07765224,-0.1809361,3.445029,-0.1713315,-0.2734617,3.375351,-0.212707,-0.3264675,3.350754,0.3068662,-0.08080887,3.508834,0.4578224,-0.1577701,3.40928,0.5790909,-0.2283426,3.328778,0.6375842,-0.2616036,3.300205,0.1242394,-0.3477077,3.467712,0.1402667,-0.5911487,3.440769,0.141306,-0.8684457,3.460567,0.1663951,-0.9153844,3.412,0.2305025,-0.3470362,3.465857,0.2048726,-0.6379248,3.461488,0.2124195,-0.8761014,3.442249,0.1668281,-0.9185025,3.405986,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286439.3904,0.1789973,-0.2946017,3.478491,0.180628,-0.2515764,3.519846,0.1900882,0.007055844,3.534872,0.1961505,0.1624546,3.523929,0.06878995,-0.08365887,3.509113,-0.07698605,-0.1832837,3.445489,-0.169082,-0.2769739,3.375171,-0.195337,-0.3152601,3.35498,0.3071012,-0.08122596,3.509316,0.4501696,-0.1668108,3.423096,0.5696694,-0.2346456,3.326129,0.6284578,-0.2758451,3.299188,0.1242691,-0.3473122,3.468163,0.138914,-0.5910043,3.443701,0.1412696,-0.8687311,3.460196,0.1665562,-0.9154086,3.411479,0.230662,-0.3471358,3.466697,0.2045625,-0.6375752,3.462028,0.2056648,-0.8650674,3.44117,0.1680881,-0.9157958,3.40644,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286472.3923,0.1797059,-0.2953233,3.478953,0.1809524,-0.251884,3.52013,0.1899782,0.007384218,3.534271,0.196465,0.1618378,3.524122,0.068673,-0.08486008,3.508218,-0.07361156,-0.1913817,3.443213,-0.1561522,-0.2929655,3.371856,-0.1927836,-0.3215238,3.357064,0.3067713,-0.08140098,3.509745,0.4511153,-0.1694168,3.421122,0.5591927,-0.2490406,3.333373,0.621321,-0.2840454,3.301334,0.125385,-0.3483874,3.468917,0.1371617,-0.5922742,3.445131,0.1394999,-0.8699036,3.462396,0.1644063,-0.9142541,3.411364,0.2313614,-0.3475845,3.467406,0.2063424,-0.6381789,3.461428,0.2070956,-0.8645175,3.441473,0.1679095,-0.9143152,3.407177,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286503.3941,0.1796501,-0.2956662,3.479557,0.1809506,-0.2524153,3.520854,0.1902793,0.006421638,3.535043,0.1965817,0.1618823,3.52424,0.06829058,-0.0852364,3.508455,-0.06289117,-0.1974526,3.440206,-0.1460774,-0.3048827,3.380725,-0.1923437,-0.3455952,3.365913,0.3059512,-0.08199871,3.5102,0.4376314,-0.1819589,3.400426,0.5529253,-0.2679007,3.330017,0.6146575,-0.3001889,3.301094,0.1252188,-0.3487918,3.469504,0.1360946,-0.5926881,3.445195,0.1380971,-0.8707112,3.459296,0.1642205,-0.9158338,3.410194,0.2312363,-0.3476773,3.467855,0.2062746,-0.6379495,3.461598,0.2077081,-0.8686133,3.441591,0.16666,-0.9161153,3.406232,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286539.3961,0.1800707,-0.2961302,3.480331,0.1816238,-0.2528321,3.521604,0.1904339,0.00622724,3.535207,0.1974717,0.1619423,3.52397,0.06929877,-0.08718871,3.509936,-0.05892664,-0.2027907,3.44076,-0.1373493,-0.3145574,3.383118,-0.1619383,-0.3387904,3.373883,0.3058965,-0.08239633,3.510393,0.4422954,-0.1890623,3.400213,0.5474137,-0.2716558,3.327596,0.597828,-0.3093257,3.320046,0.1257542,-0.3492795,3.470717,0.135582,-0.5931562,3.445408,0.1381445,-0.8712931,3.458495,0.1636735,-0.9170387,3.410908,0.2314865,-0.3478084,3.468348,0.2063627,-0.6383601,3.461806,0.2070668,-0.8727764,3.442363,0.1701983,-0.9182801,3.409273,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286571.398,0.1809693,-0.2991811,3.481768,0.1824085,-0.2554385,3.523044,0.1912608,0.005287451,3.536006,0.1974691,0.1614776,3.523246,0.07039861,-0.09084445,3.508949,-0.05514493,-0.2034884,3.441987,-0.1225965,-0.3235232,3.387743,-0.1650876,-0.3643271,3.364348,0.305833,-0.08342507,3.511338,0.4396011,-0.1941953,3.402152,0.5496995,-0.2872447,3.317849,0.6031631,-0.3210939,3.314151,0.1265494,-0.3519892,3.472165,0.1370056,-0.5957847,3.446048,0.1382983,-0.8739991,3.458535,0.17589,-0.9179758,3.415586,0.2321068,-0.350152,3.46967,0.2061846,-0.6380653,3.463044,0.2095062,-0.8732592,3.443938,0.1746635,-0.917245,3.410007,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286604.3999,0.180942,-0.2993531,3.482058,0.1821911,-0.2555689,3.523322,0.1910843,0.005265103,3.536125,0.1965112,0.160263,3.522768,0.07029475,-0.09216335,3.509068,-0.0504274,-0.205574,3.444241,-0.1199025,-0.324255,3.389483,-0.1586456,-0.3703187,3.369606,0.3070353,-0.08503207,3.512579,0.4404003,-0.1953819,3.40229,0.5477856,-0.2900275,3.315649,0.6051898,-0.3343139,3.30933,0.1263859,-0.3522808,3.472467,0.1375337,-0.5960417,3.44631,0.138368,-0.8742816,3.458592,0.1696078,-0.9188005,3.411327,0.2322908,-0.3506081,3.470133,0.2051248,-0.6375851,3.463924,0.2100303,-0.8733677,3.443122,0.1717968,-0.9182289,3.408268,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286639.4019,0.1814034,-0.3000883,3.483042,0.1825713,-0.2561193,3.524143,0.1913039,0.005036863,3.536162,0.1949422,0.1600821,3.523013,0.07085207,-0.09321698,3.508492,-0.05014725,-0.2084099,3.445607,-0.1203449,-0.3248994,3.386482,-0.1526202,-0.3560131,3.373044,0.3069076,-0.08517648,3.512625,0.4324384,-0.1944216,3.398803,0.5242923,-0.2827945,3.320657,0.591423,-0.3342409,3.310148,0.126956,-0.3529668,3.473779,0.141269,-0.5965448,3.447383,0.1385912,-0.8749044,3.458466,0.1667206,-0.9191636,3.410431,0.23267,-0.351158,3.471255,0.2051152,-0.6375858,3.463942,0.2100857,-0.8730224,3.442538,0.1720997,-0.9183527,3.407316,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
51286671.4037,0.1816866,-0.3006139,3.483756,0.1827586,-0.2565104,3.524794,0.1913514,0.004950121,3.536299,0.1953147,0.1594941,3.522804,0.07108951,-0.09388553,3.50889,-0.04893596,-0.2093424,3.448341,-0.122354,-0.3244021,3.390556,-0.1521586,-0.3563701,3.373883,0.3068941,-0.08541493,3.513558,0.428946,-0.1953932,3.398436,0.5270287,-0.2830635,3.319634,0.5902851,-0.3336898,3.309041,0.1273299,-0.3535592,3.474553,0.1422439,-0.5970337,3.447233,0.138067,-0.8754717,3.457402,0.1696194,-0.9175752,3.411159,0.2329298,-0.3516058,3.472112,0.2054419,-0.6370125,3.464967,0.2105266,-0.8707773,3.442944,0.1662798,-0.919201,3.414252,342,Throw-a-ball-as-far-as-you-can-with-the-other-arm,
