Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
51295346.8999,0.1662543,-0.3139531,3.486815,0.1664491,-0.270313,3.528842,0.1593067,-0.008878667,3.545738,0.1363419,0.1449797,3.535407,0.04548402,-0.1133565,3.513411,-0.006300241,-0.2999255,3.525232,0.001920601,-0.4392391,3.47689,-0.01904452,-0.4802789,3.433324,0.2784333,-0.09838054,3.503794,0.32345,-0.2864485,3.517115,0.2472198,-0.4411975,3.4146,0.244566,-0.4878122,3.418743,0.1177932,-0.3698273,3.47635,0.1495677,-0.6473135,3.495786,0.1417313,-0.8666918,3.482818,0.1518373,-0.9114946,3.427199,0.2176204,-0.3632274,3.475939,0.2123651,-0.6524034,3.490132,0.2122305,-0.8623525,3.470467,0.207025,-0.9089119,3.415622,342,Punch,
51295378.9017,0.1676181,-0.3159622,3.487472,0.1658903,-0.2715265,3.529195,0.1554201,-0.009669751,3.543614,0.1369641,0.1462878,3.536043,0.04652625,-0.1118514,3.50985,0.01292552,-0.3046624,3.501721,0.02805448,-0.4208684,3.407078,0.02071202,-0.4575431,3.355864,0.2774192,-0.09912881,3.507764,0.3251094,-0.2847695,3.530128,0.3567179,-0.4477566,3.525436,0.3540641,-0.4943714,3.529579,0.1202087,-0.3709634,3.47593,0.1503786,-0.649316,3.494972,0.1414851,-0.8662709,3.482486,0.1473236,-0.9104128,3.425737,0.2197748,-0.365641,3.478985,0.2167457,-0.6567684,3.490109,0.212161,-0.863494,3.470638,0.2078207,-0.9097562,3.415465,342,Punch,
51295414.9038,0.1665201,-0.3162359,3.486099,0.1625455,-0.2710731,3.527281,0.151036,-0.007583677,3.535378,0.1390955,0.1497774,3.535998,0.04607,-0.1101696,3.508435,0.01569421,-0.3032309,3.494163,0.02850873,-0.4219318,3.402639,0.02116628,-0.4586064,3.351426,0.2738801,-0.0957572,3.519639,0.3371412,-0.2709285,3.562093,0.3720448,-0.4325902,3.531227,0.3644049,-0.4787314,3.528104,0.1191457,-0.370308,3.473827,0.1517705,-0.6508541,3.493343,0.1412152,-0.8649778,3.481504,0.1463615,-0.9096155,3.425075,0.2188906,-0.3659141,3.47864,0.2171072,-0.6577325,3.489869,0.2120204,-0.8644434,3.470055,0.207527,-0.9099873,3.414298,342,Punch,
51295446.9056,0.1657424,-0.3157058,3.483757,0.1604074,-0.2710822,3.525081,0.1505966,-0.00787947,3.534867,0.1385784,0.1492301,3.53567,0.04520382,-0.1099975,3.506496,0.02586792,-0.3021715,3.454574,0.02299825,-0.4266708,3.371083,0.01565576,-0.4633456,3.31987,0.2746174,-0.09752876,3.5271,0.3409349,-0.2725002,3.566832,0.4203751,-0.3964684,3.565769,0.4449786,-0.4446044,3.543658,0.1170781,-0.3687047,3.465172,0.151951,-0.6514697,3.493108,0.1407341,-0.8638709,3.480853,0.1486444,-0.9082409,3.424531,0.2187692,-0.3659583,3.478398,0.2144016,-0.6589812,3.488666,0.2110014,-0.8656949,3.466301,0.2047983,-0.9124351,3.411709,342,Punch,
51295478.9074,0.1642991,-0.3139875,3.481186,0.1548356,-0.2699379,3.52217,0.1466658,-0.006947563,3.534084,0.1398519,0.1500376,3.535574,0.040731,-0.1049118,3.498886,0.0255289,-0.2985296,3.45391,0.02335108,-0.4264845,3.376543,0.02006218,-0.4641858,3.348886,0.2730105,-0.09654072,3.545809,0.3611334,-0.253063,3.605633,0.4613673,-0.3549159,3.566687,0.4966652,-0.3830444,3.543485,0.1154032,-0.3657675,3.458269,0.1517716,-0.6511061,3.492425,0.1390962,-0.8597493,3.478675,0.1475566,-0.9083769,3.42607,0.2185517,-0.3658663,3.478242,0.2099753,-0.6624207,3.487313,0.2082247,-0.8691192,3.463373,0.206922,-0.921379,3.434134,342,Punch,
51295514.9095,0.163603,-0.3144656,3.479942,0.1517705,-0.2703914,3.520515,0.1418542,-0.005261931,3.533814,0.1392527,0.1511622,3.532104,0.04175836,-0.1014556,3.486609,0.01062214,-0.2938253,3.447062,0.02617574,-0.4254303,3.379068,0.02308568,-0.463815,3.352345,0.2714189,-0.09845351,3.546521,0.3614807,-0.2511905,3.611438,0.4915791,-0.3074939,3.57212,0.5351871,-0.3246693,3.572782,0.1153301,-0.3663094,3.454226,0.15086,-0.6506075,3.49066,0.1371502,-0.8572056,3.476187,0.1425453,-0.9125451,3.430231,0.2180935,-0.3663957,3.478612,0.2071661,-0.6628917,3.486756,0.2081702,-0.8696167,3.463794,0.210176,-0.9178509,3.423193,342,Punch,
51295546.9113,0.1633639,-0.3148551,3.478942,0.1498432,-0.2707275,3.519088,0.139862,-0.004825414,3.53292,0.1393739,0.1507657,3.532304,0.04326954,-0.1037158,3.47616,0.008482493,-0.2955549,3.437522,0.02869358,-0.4291011,3.375674,0.02446952,-0.4682344,3.350223,0.2705615,-0.09994803,3.546291,0.3642023,-0.2196963,3.637877,0.5011737,-0.2442015,3.588098,0.5476035,-0.240672,3.582727,0.1160145,-0.3670095,3.44875,0.1517732,-0.65486,3.486435,0.1374008,-0.8610661,3.473057,0.1432528,-0.9149125,3.425413,0.2178186,-0.3679995,3.480151,0.2057478,-0.6635201,3.486573,0.20882,-0.8702245,3.463657,0.2107984,-0.9183307,3.42392,342,Punch,
51295578.9132,0.1632821,-0.3151032,3.478344,0.1483464,-0.2707065,3.517786,0.1374899,-0.004407485,3.529186,0.1400145,0.1502744,3.532577,0.04526955,-0.1047521,3.465958,0.007042471,-0.2960783,3.428745,0.03951001,-0.432491,3.369047,0.01439342,-0.445411,3.331641,0.2694614,-0.1016956,3.543652,0.3685476,-0.2072069,3.656069,0.5057628,-0.1653595,3.626428,0.5479296,-0.1499351,3.612974,0.1169666,-0.3679273,3.444941,0.152391,-0.6561262,3.48621,0.148663,-0.8638785,3.470911,0.1432613,-0.9173119,3.422751,0.2175536,-0.3701209,3.483518,0.2050423,-0.6640939,3.486588,0.2083438,-0.8707795,3.463051,0.2110276,-0.9179564,3.42514,342,Punch,
51295614.9152,0.165282,-0.3175321,3.476992,0.1469645,-0.2724135,3.51565,0.1325368,-0.004716028,3.526049,0.1391105,0.1463258,3.526758,0.04817117,-0.1119573,3.448162,0.01649997,-0.3038412,3.40526,0.04666035,-0.4427741,3.36797,0.05671381,-0.489085,3.358699,0.2656259,-0.1038935,3.541126,0.3700403,-0.181145,3.669303,0.5074974,-0.07902442,3.650369,0.5506204,-0.07002044,3.666378,0.1243895,-0.3752902,3.435684,0.1526401,-0.6560473,3.485377,0.1527361,-0.8659799,3.467044,0.1432122,-0.9176738,3.420706,0.2218866,-0.3743513,3.49002,0.2025222,-0.6641272,3.486435,0.207686,-0.8707511,3.462037,0.2122148,-0.9164804,3.420369,342,Punch,
51295646.9171,0.1657988,-0.3171349,3.476527,0.1464611,-0.2722714,3.514841,0.1319274,-0.004896531,3.525607,0.1384524,0.1475004,3.527848,0.04977541,-0.1121044,3.4427,0.01981879,-0.3019876,3.393673,0.05620804,-0.4404756,3.362236,0.06833778,-0.4866382,3.354915,0.2651089,-0.1046949,3.540703,0.3633592,-0.1429929,3.687311,0.466247,-0.04273807,3.696505,0.4884354,-0.009371363,3.720821,0.125507,-0.3739459,3.434296,0.1540938,-0.6560662,3.482211,0.1535485,-0.8687507,3.465936,0.1463472,-0.9166886,3.419224,0.2222153,-0.3740559,3.490867,0.1997463,-0.6616867,3.48478,0.2084239,-0.868629,3.462075,0.2124501,-0.9172781,3.419986,342,Punch,
