Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
43779484.0093,0.01181589,-0.2839822,2.948612,0.007977258,-0.2454066,2.972826,-0.003998238,-0.04043749,2.962132,-0.006542273,0.08449082,2.973872,-0.1310804,-0.1206455,2.993509,-0.2838928,-0.06005945,3.016324,-0.4265207,-0.0608409,3.05156,-0.4868021,-0.05867851,3.062145,0.1364068,-0.1022136,3.010302,0.2923488,-0.06011914,2.976741,0.4411834,-0.0526549,2.960672,0.5011386,-0.05159185,2.94823,-0.0403749,-0.3495436,2.935972,0.02916799,-0.6611728,2.959347,0.03660689,-0.9352919,2.951066,0.07334039,-0.9632143,2.932579,0.07238927,-0.3393514,2.950549,0.04674985,-0.6741476,2.957662,0.05662763,-0.9318706,2.953662,0.03146277,-0.9697078,2.933517,474,Bend-your-knee-while-raising-your-leg,
43779516.0112,0.01206707,-0.2839249,2.948609,0.008195853,-0.2454217,2.97263,-0.00318263,-0.04122107,2.962052,-0.006532143,0.08450986,2.973806,-0.1302747,-0.1200798,2.994822,-0.2835275,-0.06028779,3.016353,-0.4261363,-0.06176856,3.051626,-0.4859571,-0.06169319,3.064759,0.1373779,-0.1026598,3.012273,0.293354,-0.05945964,2.977754,0.4421049,-0.05391716,2.958906,0.5024373,-0.05238089,2.948483,-0.04023147,-0.3493619,2.935944,0.02878652,-0.6608933,2.959406,0.03670385,-0.9352818,2.951192,0.07293943,-0.9629867,2.931433,0.07265998,-0.3394362,2.950552,0.04758126,-0.6742942,2.957595,0.05663377,-0.9318428,2.953629,0.03140908,-0.969646,2.933488,474,Bend-your-knee-while-raising-your-leg,
43779553.0133,0.0124319,-0.2840393,2.948483,0.008537858,-0.2453579,2.972199,-0.002994966,-0.04054391,2.96104,-0.005211694,0.08493404,2.973195,-0.1302115,-0.1203333,2.995345,-0.2830591,-0.06054957,3.017162,-0.4264177,-0.06322163,3.049852,-0.4863961,-0.06336226,3.062261,0.1374532,-0.10262,3.012395,0.2933102,-0.05954511,2.977727,0.4420643,-0.05445435,2.958721,0.5023861,-0.05317489,2.948184,-0.03982228,-0.3495442,2.93593,0.03098693,-0.6608527,2.959934,0.03681049,-0.9359618,2.952305,0.07344168,-0.9625879,2.9318,0.07306127,-0.339552,2.950527,0.04798761,-0.6744251,2.957568,0.05581404,-0.9316468,2.955652,0.05033377,-0.9758343,2.933545,474,Bend-your-knee-while-raising-your-leg,
43779584.0151,0.01276784,-0.2842127,2.948406,0.008728969,-0.2452496,2.971711,-0.002412218,-0.03885768,2.9598,-0.004262298,0.084824,2.973616,-0.1300668,-0.1203578,2.995334,-0.2830361,-0.0606294,3.017168,-0.4264813,-0.0650221,3.049399,-0.4869788,-0.06533349,3.058972,0.1390772,-0.1047458,3.013652,0.2933766,-0.06413357,2.977831,0.4423304,-0.06094623,2.961232,0.5033133,-0.06230097,2.95567,-0.03949787,-0.3498032,2.935987,0.03065687,-0.6607185,2.95994,0.0369407,-0.9357904,2.952282,0.07393008,-0.9629098,2.933103,0.07341181,-0.3398303,2.950558,0.04972365,-0.674819,2.957553,0.05591651,-0.9317797,2.955588,0.04202138,-0.9741508,2.933608,474,Bend-your-knee-while-raising-your-leg,
43779616.0169,0.01277414,-0.2842048,2.948375,0.00880272,-0.2452638,2.971348,-0.002675551,-0.04028056,2.959676,-0.003319966,0.08398755,2.974051,-0.1297195,-0.1207656,2.995043,-0.2724739,-0.1137666,3.021,-0.4146649,-0.07833549,3.043344,-0.4749566,-0.07705483,3.049476,0.1389328,-0.1048491,3.012724,0.2936238,-0.06421992,2.977949,0.4522346,-0.06487986,2.95328,0.5134072,-0.06444702,2.956395,-0.03950935,-0.3497778,2.936042,0.03040969,-0.6606554,2.960044,0.03846285,-0.9359181,2.955101,0.07386714,-0.9634693,2.933671,0.07350225,-0.3396536,2.950192,0.0502542,-0.6746339,2.95832,0.05629015,-0.9321244,2.957093,0.03485431,-0.9737971,2.94049,474,Bend-your-knee-while-raising-your-leg,
43779654.0191,0.01372308,-0.2843414,2.948442,0.009786869,-0.2453958,2.971071,-0.001432491,-0.04040965,2.959623,-0.0004987088,0.085416,2.975102,-0.1283069,-0.1216797,2.994456,-0.2706852,-0.1136451,3.02145,-0.4168577,-0.09906344,3.038931,-0.4695141,-0.1021128,3.048242,0.139438,-0.1049996,3.012589,0.2940595,-0.082606,2.984816,0.449901,-0.07373207,2.944562,0.5061264,-0.07054474,2.94344,-0.03790868,-0.3499542,2.937021,0.03159023,-0.6604094,2.959795,0.03841528,-0.9362783,2.954883,0.07455347,-0.962846,2.933431,0.07391096,-0.3396227,2.949901,0.05135559,-0.6746635,2.958018,0.05608838,-0.9322782,2.957088,0.05279755,-0.977853,2.93749,474,Bend-your-knee-while-raising-your-leg,
43779684.0208,0.01385996,-0.2849298,2.948366,0.01000167,-0.2477191,2.97102,-0.005081124,-0.05979071,2.96215,0.0001914632,0.0853546,2.974633,-0.1280477,-0.1223513,2.994635,-0.2709395,-0.120408,3.034951,-0.4194115,-0.1157934,3.040216,-0.4689571,-0.1262437,3.057782,0.1399927,-0.1056437,3.010752,0.296093,-0.08692819,2.984199,0.4488049,-0.08804055,2.943302,0.5017009,-0.09099603,2.940204,-0.03760251,-0.3507605,2.937048,0.03128675,-0.6597651,2.959599,0.03809192,-0.9362983,2.954937,0.06762371,-0.9642044,2.926278,0.07445966,-0.3401494,2.949166,0.05146217,-0.6751433,2.95789,0.05854536,-0.9274572,2.958086,0.047076,-0.9723711,2.940104,474,Bend-your-knee-while-raising-your-leg,
43779716.0226,0.01443574,-0.2859271,2.947736,0.01086182,-0.2476602,2.970284,0.0003195025,-0.046175,2.958902,0.0005866831,0.08518498,2.974492,-0.1277162,-0.1229887,2.995042,-0.2691697,-0.1348879,3.032628,-0.4246312,-0.1642597,3.06647,-0.4857196,-0.1639286,3.071002,0.1390109,-0.1095922,3.006667,0.2889231,-0.1096962,2.985509,0.4457193,-0.1134035,2.954393,0.5002431,-0.1138818,2.952085,-0.0374326,-0.3511523,2.93692,0.03236251,-0.6603603,2.959453,0.03824341,-0.9363055,2.954806,0.07040755,-0.9623902,2.927284,0.07476392,-0.3409348,2.948361,0.05153703,-0.6758928,2.957732,0.05858545,-0.9281176,2.958148,0.03929143,-0.9695964,2.938663,474,Bend-your-knee-while-raising-your-leg,
43779753.0247,0.01566812,-0.2869676,2.947832,0.01250526,-0.2483367,2.969948,0.003639556,-0.04503216,2.958363,0.001332423,0.08579913,2.973309,-0.1279957,-0.1295902,2.995411,-0.267073,-0.1421724,3.032864,-0.4099192,-0.1757647,3.051112,-0.4699395,-0.1849896,3.05919,0.1401629,-0.1122176,3.00572,0.2892075,-0.117149,2.98503,0.4442595,-0.1345367,2.95787,0.4986903,-0.1304659,2.95195,-0.03689005,-0.3526905,2.937533,0.03390364,-0.6589431,2.95965,0.03856416,-0.935635,2.953196,0.07067636,-0.9635493,2.927462,0.07591324,-0.34197,2.948279,0.05211211,-0.6769017,2.957634,0.05834968,-0.9282822,2.957527,0.03842679,-0.9688558,2.936803,474,Bend-your-knee-while-raising-your-leg,
43779784.0265,0.01618317,-0.2868602,2.947722,0.01346105,-0.2481545,2.969555,0.005700222,-0.04441439,2.95847,0.001950831,0.08578634,2.973287,-0.1272554,-0.134608,2.996973,-0.2665223,-0.1590869,3.027626,-0.405427,-0.1999607,3.0549,-0.4616195,-0.2241802,3.057912,0.1417044,-0.1134899,3.005825,0.2896637,-0.1304467,2.980524,0.4446677,-0.1643131,2.956198,0.5001897,-0.1693109,2.94866,-0.03688972,-0.3526827,2.937533,0.03406368,-0.658726,2.959516,0.03862322,-0.9356368,2.953118,0.07132021,-0.9639579,2.928589,0.07667934,-0.3421463,2.947902,0.05293292,-0.6770633,2.957908,0.0583218,-0.9283589,2.957501,0.03808493,-0.9693451,2.937919,474,Bend-your-knee-while-raising-your-leg,
