Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
43816570.1305,0.06936251,-0.3033706,2.933391,0.06947428,-0.2642882,2.963152,0.07330924,-0.04955712,2.955842,0.05855544,0.08458575,2.973063,-0.07291038,-0.1350313,2.971497,-0.2370531,-0.1431204,2.975817,-0.3846573,-0.1637181,2.975065,-0.429458,-0.1718272,2.980734,0.2026457,-0.1297567,2.977501,0.3828291,-0.1515515,2.962491,0.5252014,-0.1847433,2.923898,0.5849032,-0.1952815,2.912888,0.008365768,-0.3666688,2.924204,0.0421551,-0.6570449,2.957463,0.03495153,-0.9181809,2.952726,0.03510328,-0.9444324,2.899808,0.1277501,-0.3629541,2.927811,0.09412111,-0.6962144,2.955268,0.0957157,-0.9061667,2.956058,0.09704751,-0.9340951,2.904023,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816592.1318,0.06911309,-0.3018259,2.933171,0.06917837,-0.2633477,2.963436,0.07159674,-0.04946548,2.956368,0.05826928,0.08457994,2.973282,-0.07451465,-0.1370442,2.973444,-0.227579,-0.1631901,2.975597,-0.3807626,-0.1739421,2.976083,-0.4269964,-0.1805815,2.978323,0.2022825,-0.1298896,2.978559,0.3757182,-0.1687454,2.962277,0.506974,-0.2118365,2.897245,0.568215,-0.2153839,2.903038,0.008104613,-0.3661042,2.923898,0.04207223,-0.6564236,2.957243,0.03497222,-0.9189113,2.953046,0.03490542,-0.9452048,2.900148,0.1286736,-0.3603876,2.927125,0.09318852,-0.6934021,2.95519,0.09508791,-0.9034137,2.955199,0.06788932,-0.9597692,2.981641,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816624.1336,0.06908344,-0.3013622,2.933231,0.06920429,-0.2632166,2.96385,0.07165406,-0.04997836,2.956879,0.05816067,0.08409894,2.973174,-0.07516591,-0.1379307,2.974305,-0.2160126,-0.1858352,2.969251,-0.3699028,-0.2197322,2.963624,-0.4132718,-0.2085991,2.971947,0.2022038,-0.1301521,2.979047,0.3738407,-0.2012706,2.977348,0.5009695,-0.2149873,2.891819,0.5197887,-0.2194027,2.918739,0.007820066,-0.3655818,2.923835,0.04262996,-0.6556827,2.956891,0.03402471,-0.9195239,2.953073,0.03367481,-0.9458461,2.90019,0.1287974,-0.3601862,2.927054,0.07988289,-0.6830326,2.956562,0.09155548,-0.9214042,2.957853,0.09398484,-0.9488567,2.905603,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816656.1355,0.06863649,-0.3025274,2.933487,0.06888293,-0.2642913,2.964392,0.07173075,-0.0507467,2.956986,0.05827737,0.08407761,2.973362,-0.07642636,-0.1409575,2.974247,-0.2135738,-0.1982815,2.970658,-0.3581403,-0.2352816,2.960505,-0.4053462,-0.2328437,2.975626,0.2024676,-0.1391101,2.977942,0.3764487,-0.2163717,2.977022,0.4895188,-0.2729591,2.889173,0.4869561,-0.2554149,2.902664,0.006733064,-0.3669359,2.924236,0.04260265,-0.6556038,2.957,0.0340945,-0.919834,2.952918,0.03370136,-0.9461144,2.900013,0.1285191,-0.3625002,2.927251,0.08009457,-0.6825358,2.957212,0.09027858,-0.9198508,2.955358,0.09240972,-0.9467363,2.902799,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816692.1375,0.06810734,-0.3035317,2.933439,0.06835754,-0.2649436,2.964671,0.07085285,-0.05017378,2.957216,0.05835579,0.08409305,2.973371,-0.07647752,-0.1417405,2.973783,-0.2010014,-0.2229909,2.969665,-0.3472407,-0.2786035,2.954188,-0.3864226,-0.2598533,2.967863,0.2021939,-0.14207,2.977364,0.3357496,-0.2347147,2.976218,0.4656288,-0.2789796,2.908976,0.4811931,-0.2793314,2.905811,0.006311584,-0.3676125,2.924338,0.04257598,-0.6555222,2.956957,0.03413543,-0.9194508,2.952894,0.03378118,-0.9457355,2.899991,0.1281947,-0.363781,2.926917,0.08562075,-0.6957541,2.95699,0.08912764,-0.9201558,2.955634,0.0903742,-0.9473565,2.903209,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816724.1394,0.06754423,-0.3047855,2.933505,0.06757232,-0.2664032,2.964769,0.06999546,-0.05380581,2.955842,0.05899787,0.0836418,2.973746,-0.07601765,-0.1445784,2.974623,-0.1969753,-0.2315131,2.966722,-0.3163354,-0.320846,2.964551,-0.3777555,-0.3195778,2.969304,0.2005118,-0.147466,2.979151,0.3313173,-0.2378365,2.975064,0.4417257,-0.3227813,2.912983,0.4726708,-0.3154517,2.904062,0.005789993,-0.3686301,2.925068,0.04347354,-0.6555149,2.956901,0.03417615,-0.9194382,2.952894,0.07456096,-0.9694282,2.974937,0.1276942,-0.3646984,2.926727,0.08547449,-0.6967151,2.956869,0.08890919,-0.920254,2.955442,0.0903977,-0.9474802,2.903032,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816756.1412,0.06753802,-0.3050547,2.933312,0.06775802,-0.266782,2.964892,0.07106244,-0.05420257,2.956586,0.05926555,0.08349565,2.974149,-0.07543541,-0.1462605,2.975498,-0.1929152,-0.2380513,2.966798,-0.3178357,-0.3322952,2.964805,-0.3593092,-0.3474809,2.953696,0.1999466,-0.148169,2.978945,0.3266425,-0.2543879,2.972195,0.4356589,-0.3390465,2.906913,0.4652715,-0.3403024,2.883976,0.005451582,-0.3687065,2.924825,0.04350289,-0.6556051,2.957118,0.03557885,-0.9195879,2.951852,0.03531793,-0.9456813,2.898848,0.1277838,-0.3648954,2.926216,0.07893045,-0.6867571,2.958228,0.08699751,-0.9194679,2.952981,0.08887967,-0.9457788,2.900117,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816792.1432,0.06668426,-0.3077646,2.933728,0.06686921,-0.2690305,2.96564,0.06918783,-0.05438302,2.9579,0.05880233,0.08289675,2.974521,-0.07505558,-0.1468702,2.975224,-0.1908424,-0.243861,2.967288,-0.3022131,-0.3431106,2.962206,-0.3609282,-0.3615373,2.959063,0.1983466,-0.1485566,2.977785,0.3227199,-0.259446,2.969788,0.4289899,-0.353518,2.915132,0.4545709,-0.3528433,2.878634,0.005420883,-0.3701419,2.925392,0.0437413,-0.6553751,2.956995,0.03743095,-0.9208996,2.953266,0.03719233,-0.9472184,2.900371,0.1269252,-0.3666297,2.926112,0.08243155,-0.6982227,2.957442,0.08601137,-0.9206665,2.952624,0.08710642,-0.9471816,2.899838,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816824.1451,0.06669372,-0.3083159,2.933914,0.06708471,-0.2695898,2.966067,0.06932567,-0.05446776,2.95844,0.06051723,0.08359003,2.977158,-0.07457483,-0.1469374,2.975118,-0.1893775,-0.2441677,2.966048,-0.3011134,-0.3429495,2.962209,-0.3592151,-0.3633249,2.959677,0.196588,-0.1488862,2.975858,0.3216926,-0.2621825,2.96867,0.4264725,-0.358217,2.914664,0.4467816,-0.3589862,2.879547,0.005508621,-0.3703443,2.925504,0.04368586,-0.6550696,2.956913,0.0373704,-0.9210137,2.953235,0.03677673,-0.9473215,2.900336,0.1268111,-0.3667862,2.926214,0.08326124,-0.6984932,2.957691,0.08594336,-0.9205332,2.952616,0.08654916,-0.9470002,2.899797,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816856.1469,0.06656968,-0.3090394,2.933847,0.06694883,-0.270238,2.966167,0.06922384,-0.05455468,2.958394,0.06055171,0.08367543,2.97717,-0.0746232,-0.1472843,2.975007,-0.1897734,-0.245876,2.966465,-0.302453,-0.3435937,2.962236,-0.3598981,-0.3658351,2.960432,0.196284,-0.1491645,2.975706,0.3219723,-0.263395,2.963542,0.4264169,-0.3622864,2.915264,0.4460681,-0.3651288,2.887222,0.005553051,-0.3708347,2.925395,0.04369503,-0.6551009,2.956892,0.03739293,-0.9210832,2.953256,0.03679123,-0.9473998,2.900361,0.1265064,-0.3676648,2.926331,0.07859038,-0.6952257,2.958581,0.0860843,-0.9209747,2.952938,0.08738282,-0.9472688,2.900044,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816892.149,0.06648627,-0.3092365,2.933986,0.06673522,-0.2705569,2.966495,0.06925954,-0.05501312,2.958764,0.06071885,0.08360238,2.977646,-0.0742824,-0.1481631,2.97421,-0.1895863,-0.2458012,2.967286,-0.3031528,-0.3424262,2.964128,-0.3604818,-0.3643658,2.958616,0.1966043,-0.1494081,2.976197,0.3173378,-0.2587546,2.958588,0.4226946,-0.3593781,2.917793,0.446221,-0.36557,2.887589,0.005445096,-0.3710481,2.925508,0.04400805,-0.6549389,2.9565,0.03402379,-0.9253218,2.958436,0.033189,-0.9525259,2.905994,0.1263629,-0.3679295,2.926476,0.07823329,-0.6908124,2.957609,0.08605462,-0.920785,2.953132,0.08763168,-0.9472501,2.90033,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
43816924.1508,0.06658857,-0.3093812,2.933614,0.06712896,-0.2709518,2.966485,0.07050458,-0.05478706,2.960933,0.06068975,0.08325462,2.978181,-0.07338778,-0.1492599,2.972651,-0.18968,-0.2458167,2.967344,-0.3042075,-0.3411981,2.965684,-0.3611926,-0.3638412,2.959459,0.1957768,-0.1507541,2.972022,0.3174325,-0.2589735,2.958863,0.4224219,-0.3596661,2.917117,0.446586,-0.3669595,2.888819,0.005076469,-0.3710639,2.924736,0.04404666,-0.6548904,2.956517,0.03811643,-0.9255632,2.95479,0.03728129,-0.952081,2.901997,0.1268556,-0.3678069,2.925193,0.07978091,-0.6988758,2.958105,0.0863703,-0.9204404,2.952255,0.08729433,-0.9466664,2.899318,474,Put-your-hands-on-your-hips-and-lean-to-the-side,
