Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
44152386.2596,0.2720443,-0.2848694,3.074444,0.279789,-0.2477439,3.108516,0.2788503,-0.03137771,3.1047,0.2748783,0.09964833,3.12698,0.1529987,-0.1000814,3.157764,-0.005479298,-0.05437841,3.175124,-0.1479966,-0.01996708,3.170458,-0.2060278,-0.0007826667,3.183146,0.4169811,-0.09357075,3.106126,0.5738279,-0.01397639,3.056081,0.7057759,0.02060498,2.993399,0.7383325,0.03710049,2.965172,0.2156251,-0.3453517,3.074144,0.2307901,-0.6629843,3.109537,0.2219192,-0.9074469,3.103581,0.197453,-0.9591578,3.091919,0.3245183,-0.3411204,3.055474,0.3092058,-0.6637811,3.097922,0.3066014,-0.9139146,3.109852,0.2946108,-0.9450289,3.056569,474,Kick-a-ball-as-far-as-you-can,
44152421.2616,0.2719118,-0.2858911,3.074104,0.2784894,-0.2489961,3.108471,0.2774714,-0.03396953,3.10505,0.2749918,0.09985165,3.126986,0.1522617,-0.1128906,3.149449,0.002982694,-0.06920278,3.172145,-0.1416984,-0.04513275,3.163074,-0.1847497,-0.03895779,3.170619,0.4148672,-0.09884657,3.107858,0.5724992,-0.03844951,3.049383,0.7004297,-0.005023677,2.977137,0.7061492,-0.003231012,2.968642,0.2153848,-0.3465925,3.073119,0.2308246,-0.6630192,3.109569,0.2220977,-0.9075442,3.103734,0.2112286,-0.9348247,3.04816,0.3248461,-0.3418868,3.055542,0.3091502,-0.6640562,3.097968,0.3061785,-0.9143867,3.110013,0.2959508,-0.9455721,3.056405,474,Kick-a-ball-as-far-as-you-can,
44152453.2635,0.2709943,-0.2881267,3.073794,0.2777465,-0.2511124,3.108213,0.2770694,-0.03541626,3.104923,0.273355,0.09986796,3.127047,0.1512416,-0.114085,3.149696,0.01726049,-0.07637334,3.178719,-0.1301903,-0.09409586,3.165044,-0.183324,-0.06157775,3.169067,0.4127906,-0.1007175,3.106638,0.5762054,-0.04810563,3.047526,0.7062012,-0.04003308,2.971314,0.7686039,-0.0388356,2.970183,0.2132245,-0.3496575,3.072896,0.2308144,-0.6628392,3.109535,0.2192272,-0.9061518,3.103784,0.1847177,-0.9665548,3.108091,0.3248015,-0.3435589,3.055353,0.3087552,-0.6639273,3.097866,0.3019778,-0.9168053,3.110887,0.2908099,-0.9479523,3.057445,474,Kick-a-ball-as-far-as-you-can,
44152486.2654,0.2698867,-0.2884816,3.073602,0.2764302,-0.2520667,3.108097,0.2731787,-0.04041948,3.105918,0.2731776,0.09957315,3.126631,0.1506647,-0.115833,3.150429,0.002597546,-0.1280627,3.155216,-0.1427633,-0.1167419,3.162376,-0.2013097,-0.1335177,3.176077,0.4100592,-0.103726,3.105942,0.5906841,-0.08110868,3.036139,0.7232966,-0.08143812,2.96471,0.7646371,-0.1019278,2.96455,0.212729,-0.349708,3.07275,0.2307832,-0.6628383,3.109539,0.2192712,-0.9065088,3.10386,0.1843663,-0.9666711,3.108073,0.3238063,-0.3437756,3.054976,0.3069593,-0.6632044,3.097266,0.3032882,-0.9166649,3.111809,0.2719664,-0.969796,3.109652,474,Kick-a-ball-as-far-as-you-can,
44152521.2674,0.2692039,-0.2892696,3.073344,0.2761445,-0.2521637,3.1079,0.2731639,-0.03705587,3.104477,0.2737607,0.1005584,3.126924,0.1485069,-0.1181407,3.150628,-0.003723796,-0.1332154,3.159241,-0.1475161,-0.1605044,3.160002,-0.2091272,-0.17051,3.160892,0.4078333,-0.1076978,3.104221,0.5925474,-0.1004676,3.027983,0.7270001,-0.106428,2.960909,0.7515616,-0.1081438,2.967532,0.211668,-0.3507485,3.073316,0.2304741,-0.6636664,3.109854,0.2191913,-0.9066754,3.103836,0.2069278,-0.9337775,3.048465,0.3231438,-0.3450896,3.054251,0.3061692,-0.6660963,3.098238,0.3035047,-0.9173049,3.112801,0.2922574,-0.948998,3.059698,474,Kick-a-ball-as-far-as-you-can,
44152554.2693,0.26853,-0.2902136,3.073126,0.2753689,-0.2534059,3.10783,0.2731815,-0.03902022,3.105166,0.2734732,0.1003315,3.126881,0.1461895,-0.1211414,3.150484,-0.01365337,-0.1604896,3.161572,-0.1552206,-0.1988378,3.153081,-0.1881191,-0.2155568,3.161569,0.4064749,-0.1121959,3.104682,0.5852463,-0.1154608,3.034253,0.7163389,-0.1493435,2.9691,0.7434872,-0.1410267,2.964682,0.2105946,-0.3516384,3.073061,0.2297477,-0.6636146,3.110107,0.2191488,-0.9065032,3.103665,0.2071844,-0.933531,3.048193,0.3226215,-0.3465959,3.053607,0.3063617,-0.6659024,3.098231,0.3068548,-0.9143779,3.11146,0.2963372,-0.9460208,3.058179,474,Kick-a-ball-as-far-as-you-can,
44152587.2711,0.2669632,-0.2950964,3.073943,0.2738742,-0.2573065,3.108487,0.273113,-0.03988164,3.10506,0.273195,0.09948725,3.127676,0.1424892,-0.1350837,3.146648,-0.00774661,-0.1692476,3.16249,-0.1467305,-0.2161013,3.154046,-0.1862991,-0.2347441,3.162438,0.4058443,-0.1163703,3.103302,0.5794331,-0.1362044,3.033259,0.7113016,-0.1614082,2.965431,0.7714869,-0.1758813,2.957352,0.2090342,-0.3568807,3.074679,0.2295166,-0.6639601,3.110245,0.2206216,-0.9081182,3.103789,0.2092417,-0.935258,3.048248,0.3206328,-0.3529442,3.054525,0.3063958,-0.6658719,3.098099,0.3058967,-0.9149727,3.111472,0.2955417,-0.9465758,3.058135,474,Kick-a-ball-as-far-as-you-can,
44152621.2731,0.2660093,-0.296308,3.073762,0.2728867,-0.2588087,3.108424,0.272624,-0.04177837,3.105467,0.2719634,0.09894616,3.12689,0.137485,-0.1405059,3.146525,-0.004249177,-0.1776376,3.15839,-0.1380792,-0.2363108,3.162215,-0.1939864,-0.2632699,3.168903,0.4050724,-0.1198531,3.102871,0.5748087,-0.1445154,3.026973,0.7035061,-0.182843,2.959209,0.7633677,-0.2002185,2.962647,0.205615,-0.3598772,3.073788,0.2292829,-0.6641604,3.110452,0.2203808,-0.9079317,3.104267,0.2089973,-0.9351077,3.048745,0.3206664,-0.3539711,3.054331,0.3062821,-0.665922,3.098177,0.3059233,-0.9152427,3.111218,0.285526,-0.9646908,3.102653,474,Kick-a-ball-as-far-as-you-can,
44152653.2749,0.2652711,-0.2978013,3.074286,0.2723071,-0.2599277,3.109,0.272555,-0.04172285,3.106009,0.2681312,0.09800728,3.128016,0.1345985,-0.1430604,3.147466,-0.004011564,-0.1849165,3.161312,-0.1351498,-0.2495893,3.164018,-0.1908408,-0.2760354,3.173838,0.4057847,-0.1236434,3.102708,0.5745634,-0.1492081,3.026279,0.7011104,-0.1940338,2.958445,0.7593402,-0.2153663,2.951266,0.2046527,-0.3623903,3.074062,0.226341,-0.6661254,3.112164,0.2181453,-0.9081663,3.103714,0.2068427,-0.9349338,3.047978,0.3200713,-0.3560899,3.055049,0.3059331,-0.6656063,3.098088,0.306297,-0.9163746,3.109581,0.2837201,-0.9657112,3.104234,474,Kick-a-ball-as-far-as-you-can,
44152685.2767,0.2641627,-0.3000125,3.07523,0.2709577,-0.2622596,3.110147,0.2702978,-0.04336873,3.108053,0.2657826,0.0962198,3.127903,0.1330673,-0.1447288,3.147985,-0.004354164,-0.1863401,3.160683,-0.1359335,-0.2499001,3.164496,-0.1590407,-0.2780492,3.164069,0.4060051,-0.1260821,3.102677,0.5742657,-0.1552621,3.02704,0.703483,-0.2019998,2.966983,0.7616659,-0.2203895,2.953794,0.2037696,-0.3645217,3.074764,0.2260371,-0.6661602,3.112328,0.2181488,-0.9079334,3.10388,0.2068465,-0.9346923,3.048141,0.3196882,-0.3592283,3.055835,0.3063503,-0.6650337,3.09769,0.3042168,-0.9163841,3.109149,0.280266,-0.9657815,3.104324,474,Kick-a-ball-as-far-as-you-can,
