Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
44190129.1985,0.2063251,-0.2967279,2.868956,0.2078997,-0.2604409,2.90523,0.2016818,-0.04897367,2.903814,0.2035612,0.09148903,2.902676,0.07419123,-0.1385121,2.923572,-0.06509137,-0.1496907,2.95378,-0.2066031,-0.1105061,2.941333,-0.2684635,-0.1134072,2.948605,0.3403572,-0.1086137,2.910014,0.5318879,-0.1162391,2.877586,0.6749222,-0.1282725,2.837651,0.7055437,-0.1378873,2.844321,0.1514316,-0.3586482,2.862173,0.2219047,-0.6661614,2.902592,0.2062388,-0.9199103,2.906293,0.2331794,-0.9613603,2.853452,0.2635192,-0.3547495,2.853731,0.2173365,-0.6723967,2.900005,0.2372673,-0.9181884,2.899788,0.2387752,-0.9596374,2.864325,474,Throw-a-ball-,
44190161.2004,0.2057206,-0.2972373,2.868962,0.2075875,-0.2609886,2.905275,0.2019669,-0.04916037,2.904412,0.2019481,0.09188095,2.906806,0.07524557,-0.1351342,2.924499,-0.07449386,-0.1371386,2.948802,-0.2211632,-0.1301796,2.943788,-0.2818642,-0.1437998,2.948042,0.3401576,-0.1090928,2.909537,0.5310307,-0.1183355,2.877604,0.6724506,-0.1454416,2.839842,0.731864,-0.1643619,2.840371,0.1508469,-0.3588044,2.86226,0.2215886,-0.6664171,2.902415,0.2060824,-0.9192961,2.90557,0.2341068,-0.9607428,2.853142,0.2622217,-0.3551549,2.853532,0.2182781,-0.6726672,2.90014,0.2371266,-0.916756,2.899672,0.2389621,-0.9593506,2.863907,474,Throw-a-ball-,
44190193.2022,0.205317,-0.2983393,2.869305,0.2070991,-0.2620565,2.905671,0.2024732,-0.04939922,2.905413,0.2015327,0.09045705,2.907996,0.07535107,-0.1342578,2.924294,-0.07818261,-0.1339792,2.945176,-0.2236042,-0.1462148,2.953052,-0.2528861,-0.1660789,2.954645,0.341592,-0.1130573,2.910367,0.5249789,-0.1229321,2.877169,0.6670405,-0.1516038,2.844499,0.7266943,-0.1696301,2.842317,0.1498871,-0.3596055,2.862793,0.2217701,-0.6668881,2.902141,0.2065254,-0.9185064,2.904061,0.2344094,-0.9608781,2.85286,0.2618437,-0.3569143,2.8536,0.192636,-0.6792127,2.900229,0.2464298,-0.8799254,2.892601,0.2402556,-0.9472119,2.866403,474,Throw-a-ball-,
44190229.2042,0.2048182,-0.2991036,2.869033,0.2070767,-0.2627048,2.905451,0.2028894,-0.04941939,2.905529,0.201113,0.09002646,2.908691,0.07497454,-0.133389,2.92583,-0.07837731,-0.1335665,2.944305,-0.2218605,-0.1621037,2.948665,-0.2542886,-0.1730961,2.955788,0.3409741,-0.113908,2.909436,0.5192336,-0.1276806,2.880803,0.6612476,-0.1531132,2.844466,0.7208843,-0.1713143,2.843705,0.1489342,-0.3602477,2.863065,0.2217708,-0.667999,2.901768,0.2064154,-0.9182126,2.904087,0.234871,-0.960678,2.852736,0.2610052,-0.3579032,2.852519,0.1924583,-0.6798582,2.901919,0.2468039,-0.8804874,2.89279,0.2402715,-0.947547,2.866102,474,Throw-a-ball-,
44190261.2061,0.2044105,-0.3003771,2.868972,0.2068508,-0.2638772,2.90544,0.2034415,-0.04971866,2.905896,0.2035221,0.0927592,2.914553,0.07533832,-0.1331677,2.925964,-0.07826575,-0.136756,2.943208,-0.2200862,-0.1731717,2.946056,-0.2786653,-0.1912044,2.957539,0.3404855,-0.115067,2.909378,0.5151021,-0.1299958,2.881811,0.6569245,-0.1564829,2.845482,0.7167127,-0.1741783,2.844586,0.1486283,-0.3607359,2.863086,0.2218679,-0.6681742,2.901694,0.2060092,-0.9179645,2.904081,0.2347607,-0.9605494,2.852975,0.2602606,-0.3588721,2.85245,0.191771,-0.6806568,2.902866,0.2465625,-0.8812007,2.892769,0.2401239,-0.9479845,2.865376,474,Throw-a-ball-,
44190293.2079,0.2034731,-0.3025947,2.868771,0.2063563,-0.265486,2.905306,0.2037925,-0.04958234,2.906051,0.2035327,0.09210143,2.916282,0.07527688,-0.1343647,2.92622,-0.07872647,-0.1389973,2.942452,-0.2201887,-0.1767298,2.94546,-0.2763296,-0.2007178,2.95817,0.339394,-0.1163792,2.909008,0.5148352,-0.1323587,2.884165,0.6558415,-0.1619675,2.846845,0.7164897,-0.1762383,2.844215,0.1476153,-0.3622802,2.863034,0.2218461,-0.6681783,2.901689,0.2072223,-0.9183203,2.903695,0.2459616,-0.9659843,2.865232,0.2588201,-0.3608615,2.852345,0.1919172,-0.6826993,2.904284,0.2465899,-0.8833197,2.892781,0.2520598,-0.9093544,2.835654,474,Throw-a-ball-,
44190329.21,0.2032399,-0.3036905,2.868612,0.2061369,-0.2663979,2.905163,0.2042642,-0.04950124,2.906048,0.2038164,0.09201135,2.918175,0.075826,-0.1337299,2.926122,-0.07858466,-0.140548,2.942111,-0.2198368,-0.1791843,2.944698,-0.2754988,-0.2034218,2.958958,0.338718,-0.116997,2.90964,0.5151995,-0.1347187,2.884475,0.6562514,-0.1651799,2.848303,0.7165657,-0.1809532,2.846741,0.1474266,-0.3629773,2.863013,0.2218285,-0.6682912,2.90188,0.2059293,-0.9189335,2.907704,0.1889441,-0.967159,2.882545,0.2583525,-0.3613913,2.852316,0.2174281,-0.6755173,2.902604,0.235524,-0.9179832,2.901247,0.2229071,-0.9629629,2.858012,474,Throw-a-ball-,
44190361.2118,0.2030914,-0.3044577,2.868576,0.2060945,-0.2670704,2.905149,0.2053227,-0.04932514,2.906369,0.2056073,0.09332024,2.921326,0.07594334,-0.1334841,2.926584,-0.0795279,-0.1435204,2.943387,-0.2210268,-0.1815677,2.944831,-0.2761138,-0.2058252,2.96115,0.3386748,-0.119101,2.909893,0.5142951,-0.1383725,2.884292,0.6560716,-0.1685588,2.851805,0.7162135,-0.1850198,2.850661,0.1471262,-0.3636671,2.863129,0.2220149,-0.668947,2.901934,0.2060177,-0.9187971,2.907379,0.235741,-0.958739,2.854719,0.2578754,-0.3622526,2.852134,0.2174079,-0.6754816,2.902566,0.2356228,-0.9175978,2.90121,0.2310151,-0.9611166,2.861583,474,Throw-a-ball-,
44190393.2136,0.2026559,-0.3058673,2.868757,0.2058427,-0.2682433,2.905354,0.2057357,-0.04930722,2.906775,0.2051599,0.09309828,2.923355,0.07592984,-0.1353064,2.926667,-0.07995315,-0.1471432,2.945448,-0.22078,-0.1868013,2.949669,-0.2775652,-0.2088821,2.96299,0.3383577,-0.120996,2.909807,0.514201,-0.1395305,2.884392,0.6556461,-0.1733343,2.855013,0.716113,-0.188547,2.853629,0.146311,-0.3649438,2.863316,0.2213233,-0.6688564,2.90218,0.206012,-0.9187382,2.907272,0.2340537,-0.9575233,2.852854,0.2573493,-0.36369,2.852344,0.2174995,-0.6754127,2.902586,0.2355919,-0.9174461,2.900908,0.2366372,-0.9603751,2.862564,474,Throw-a-ball-,
44190429.2157,0.2025452,-0.3065222,2.868849,0.2060308,-0.2687222,2.905396,0.2060817,-0.04906589,2.906805,0.2049731,0.0931519,2.923581,0.07536506,-0.1363817,2.927999,-0.08049811,-0.1487208,2.946213,-0.2212931,-0.1887084,2.94975,-0.2784245,-0.210414,2.962186,0.3367287,-0.1206053,2.909533,0.5115424,-0.14022,2.88523,0.653077,-0.1744916,2.85729,0.7133176,-0.1905282,2.855369,0.1461452,-0.3662337,2.864168,0.2215536,-0.6691505,2.902387,0.2058464,-0.9187208,2.90766,0.2283415,-0.9620954,2.85495,0.2571287,-0.3638971,2.852215,0.1897652,-0.6857485,2.903601,0.2423674,-0.8868123,2.895128,0.2387686,-0.9537811,2.867665,474,Throw-a-ball-,
44190461.2175,0.2024054,-0.3072863,2.869299,0.206258,-0.26923,2.90572,0.2064672,-0.0486804,2.907003,0.2049714,0.09284009,2.924405,0.07508421,-0.137234,2.930105,-0.08072545,-0.150602,2.947599,-0.2221783,-0.1887932,2.949132,-0.2795519,-0.2102618,2.960853,0.3366897,-0.1223625,2.909023,0.5121494,-0.1424448,2.885566,0.6538851,-0.1770586,2.859859,0.7134405,-0.1952596,2.856411,0.1457803,-0.3676672,2.865234,0.2228445,-0.6701158,2.902498,0.2060922,-0.9177346,2.905701,0.1972073,-0.9645993,2.854778,0.2569201,-0.3643536,2.852487,0.2187641,-0.6777656,2.902898,0.2342548,-0.9196721,2.900028,0.2078514,-0.9667121,2.857133,474,Throw-a-ball-,
