Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
36450454.9159,-0.08392307,-0.1902883,3.369999,-0.0915563,-0.1303237,3.420634,-0.09551582,0.2104535,3.422614,-0.09803101,0.3857694,3.415077,-0.2178619,0.09741738,3.399343,-0.3046552,-0.1162396,3.407081,-0.3501828,-0.2818464,3.373613,-0.3444715,-0.3193751,3.359974,0.04665799,0.102517,3.434491,0.1210905,-0.118149,3.43444,0.1787793,-0.2881716,3.38975,0.2021534,-0.3606229,3.391262,-0.1433985,-0.2501301,3.34973,-0.1605384,-0.5878537,3.39022,-0.1675307,-0.860239,3.364319,-0.1768824,-0.9396712,3.319759,-0.02150408,-0.2520678,3.36994,-0.01323093,-0.6026154,3.399631,0.002326277,-0.8699849,3.37682,-0.004609815,-0.9435968,3.305983,644,Make-the-letter-Y,
36450486.9178,-0.08469675,-0.1927886,3.37178,-0.09167167,-0.1317509,3.42194,-0.09584851,0.2108949,3.422324,-0.09738333,0.386496,3.419244,-0.2171259,0.0984099,3.399004,-0.2927223,-0.1202108,3.410958,-0.3163155,-0.285336,3.352578,-0.3072803,-0.3362415,3.345996,0.04247373,0.1023133,3.430057,0.1013846,-0.1239357,3.418341,0.1491635,-0.2995761,3.40169,0.1835815,-0.365992,3.387464,-0.142917,-0.2513237,3.353048,-0.1616924,-0.5898422,3.388672,-0.1692617,-0.8626912,3.362895,-0.1729807,-0.9357221,3.31738,-0.02335508,-0.2533217,3.371645,-0.01324828,-0.6027738,3.399693,0.002383046,-0.8697087,3.376811,-0.001486596,-0.9435572,3.305985,644,Make-the-letter-Y,
36450522.9198,-0.08477548,-0.1933398,3.372619,-0.09191515,-0.1323321,3.422684,-0.09647514,0.2103305,3.422096,-0.09856651,0.3855186,3.418886,-0.2161678,0.09907742,3.399281,-0.2803242,-0.1238968,3.406409,-0.2990287,-0.2885083,3.344121,-0.2951563,-0.3430198,3.330669,0.04260726,0.1031053,3.430506,0.09786904,-0.124048,3.418994,0.133533,-0.3106461,3.393066,0.1333151,-0.3736768,3.377719,-0.1424557,-0.2516709,3.354394,-0.1624183,-0.5913056,3.388379,-0.1690513,-0.8633599,3.364911,-0.1729589,-0.9404534,3.320333,-0.02374957,-0.2535452,3.372741,-0.01265143,-0.6030245,3.399499,0.002664841,-0.8698048,3.375628,-0.0002310055,-0.9435295,3.304624,644,Make-the-letter-Y,
36450554.9217,-0.08424229,-0.1945252,3.373277,-0.09137343,-0.133206,3.423263,-0.09660155,0.2103826,3.422077,-0.09857454,0.3855806,3.418872,-0.2145619,0.09965744,3.399824,-0.2775589,-0.1241929,3.402745,-0.28831,-0.2884985,3.337219,-0.2792318,-0.3406459,3.318099,0.03919447,0.1037064,3.42916,0.09083316,-0.1245453,3.411751,0.1229611,-0.293122,3.377223,0.1268449,-0.3327619,3.36772,-0.1405739,-0.2519769,3.355647,-0.1616154,-0.5917438,3.388431,-0.1693144,-0.8643095,3.363287,-0.1729197,-0.9397997,3.319937,-0.02389946,-0.2536674,3.373264,-0.01277671,-0.6033216,3.399745,0.003317296,-0.8705006,3.376334,0.001095218,-0.9435898,3.30465,644,Make-the-letter-Y,
36450586.9235,-0.08423799,-0.1947261,3.373587,-0.09151169,-0.1335278,3.423606,-0.09713818,0.2098922,3.422169,-0.09893563,0.3844381,3.419343,-0.2144562,0.1003625,3.40054,-0.2742455,-0.1243271,3.403754,-0.2758116,-0.2869041,3.332205,-0.2694936,-0.3395735,3.313411,0.03936678,0.1039133,3.430207,0.08962319,-0.1246698,3.411839,0.1185886,-0.293976,3.378564,0.1237445,-0.3374502,3.368858,-0.1404477,-0.2522178,3.356094,-0.1616241,-0.5922533,3.388862,-0.16915,-0.8647177,3.363226,-0.1723861,-0.9400113,3.317544,-0.02392849,-0.2536785,3.373577,-0.01325755,-0.6038273,3.399405,0.003704871,-0.8695966,3.376313,-0.005222213,-0.9440845,3.306615,644,Make-the-letter-Y,
36450622.9256,-0.08411859,-0.195263,3.373731,-0.09177202,-0.1343473,3.42382,-0.09785969,0.2088014,3.422784,-0.09882408,0.3836949,3.41912,-0.2123928,0.1007113,3.399794,-0.2726317,-0.1237345,3.403977,-0.2623897,-0.2763608,3.310782,-0.2555121,-0.3284809,3.290701,0.03918333,0.1042691,3.430855,0.08734055,-0.1247801,3.411724,0.1192525,-0.2929487,3.374053,0.1224156,-0.3252453,3.366889,-0.1399334,-0.2523946,3.356056,-0.1616052,-0.5926564,3.38854,-0.1691215,-0.8639881,3.363885,-0.1739438,-0.941505,3.32021,-0.02408102,-0.2538258,3.373861,-0.01295341,-0.6037452,3.399508,0.003942967,-0.869496,3.376309,-0.004055187,-0.945029,3.307629,644,Make-the-letter-Y,
36450654.9274,-0.08377017,-0.1962507,3.37433,-0.09144914,-0.1352922,3.424361,-0.09785662,0.2083389,3.422723,-0.09791185,0.3844474,3.419571,-0.2124307,0.1007806,3.400177,-0.2715653,-0.123921,3.404629,-0.265448,-0.2902436,3.319833,-0.2590223,-0.3426079,3.300247,0.03853698,0.1038788,3.430829,0.08652237,-0.125177,3.412773,0.1157527,-0.2941964,3.377673,0.1203983,-0.3316316,3.369486,-0.1391258,-0.2531277,3.356816,-0.1609379,-0.5936092,3.389972,-0.1693303,-0.8638886,3.363688,-0.1739409,-0.9414349,3.32023,-0.02412033,-0.2543147,3.37449,-0.01234941,-0.6057729,3.400656,0.003945512,-0.8695292,3.376323,-0.001772783,-0.9431257,3.305348,644,Make-the-letter-Y,
36450686.9292,-0.08367746,-0.1962005,3.374901,-0.08973561,-0.1353013,3.425191,-0.09727781,0.2083361,3.423639,-0.09838815,0.3834111,3.420745,-0.2168988,0.1079257,3.408278,-0.2715989,-0.118757,3.404798,-0.2675973,-0.2864051,3.320272,-0.2606148,-0.3380208,3.298967,0.03731542,0.1039024,3.429293,0.08616304,-0.1248983,3.413439,0.1142519,-0.2940499,3.377907,0.1198637,-0.3360358,3.36919,-0.1390468,-0.2530661,3.357133,-0.1603931,-0.5935177,3.390065,-0.1701138,-0.8646899,3.36364,-0.1723555,-0.9408054,3.32249,-0.02417441,-0.2542765,3.37535,-0.01245785,-0.6055254,3.401009,0.003837329,-0.8685455,3.376429,-0.001616692,-0.9452794,3.308834,644,Make-the-letter-Y,
36450722.9313,-0.08347711,-0.1967313,3.37499,-0.08992844,-0.1355959,3.425165,-0.09735475,0.2084763,3.422826,-0.09633309,0.3845401,3.422676,-0.2129862,0.107478,3.406392,-0.2793263,-0.1150533,3.411932,-0.2701313,-0.2820626,3.321834,-0.2613851,-0.3334652,3.300668,0.03653488,0.1047779,3.42902,0.08606527,-0.1238488,3.413795,0.1123829,-0.292487,3.373056,0.122442,-0.3461967,3.35961,-0.1383885,-0.2531455,3.357175,-0.1612597,-0.5929759,3.389231,-0.169282,-0.8637247,3.364036,-0.1716746,-0.9398108,3.32119,-0.02437221,-0.2544625,3.375821,-0.01288297,-0.6050427,3.401888,0.004018516,-0.869141,3.376424,0.001043813,-0.943982,3.306588,644,Make-the-letter-Y,
36450754.9331,-0.08380931,-0.1962195,3.375019,-0.08895735,-0.1352554,3.425258,-0.09720173,0.2085182,3.422632,-0.0964734,0.3859388,3.424306,-0.2192701,0.111401,3.412329,-0.2793997,-0.1140535,3.407048,-0.2684434,-0.2796972,3.320064,-0.2594273,-0.3308203,3.298343,0.03469754,0.1040576,3.428131,0.08780068,-0.1237042,3.414285,0.1292386,-0.286979,3.36244,0.1241531,-0.3065771,3.355168,-0.138906,-0.2527607,3.357229,-0.1600998,-0.593269,3.391019,-0.1684887,-0.8676878,3.363631,-0.1705574,-0.9380915,3.319932,-0.02473345,-0.2539189,3.375889,-0.01299595,-0.6014664,3.401517,0.002835133,-0.8640348,3.378243,0.004144525,-0.9312068,3.334567,644,Make-the-letter-Y,
36450786.9349,-0.08506948,-0.193875,3.374623,-0.08987405,-0.13327,3.425101,-0.09702854,0.2105251,3.42337,-0.09626085,0.3856811,3.425157,-0.2206017,0.1128517,3.413929,-0.279026,-0.1136338,3.39933,-0.2880095,-0.23905,3.26816,-0.2839227,-0.2607395,3.271863,0.03558844,0.1057236,3.429645,0.09048322,-0.1217182,3.413054,0.1522062,-0.2600682,3.317153,0.1727805,-0.3061849,3.289289,-0.1405756,-0.250977,3.356466,-0.160027,-0.592832,3.390942,-0.169451,-0.8679562,3.365922,-0.1711301,-0.9375437,3.319592,-0.02576083,-0.252468,3.375449,-0.01298481,-0.6019889,3.401525,0.003959767,-0.8665189,3.378868,0.005660858,-0.9450395,3.313151,644,Make-the-letter-Y,
36450822.937,-0.08513066,-0.1931623,3.374518,-0.09037916,-0.1324851,3.42492,-0.09651537,0.2116098,3.422729,-0.09562958,0.3892058,3.426627,-0.2210571,0.1130236,3.414319,-0.2931854,-0.06631788,3.434456,-0.3001166,-0.1705824,3.284236,-0.2954318,-0.2071648,3.241734,0.03510347,0.1070866,3.433081,0.09729935,-0.1165348,3.439363,0.1734953,-0.1923502,3.291464,0.1931292,-0.2285644,3.227437,-0.1406216,-0.2501998,3.356148,-0.1602007,-0.5929911,3.390799,-0.169433,-0.8643136,3.368016,-0.1711169,-0.9375274,3.319579,-0.02595785,-0.252066,3.375565,-0.01238635,-0.6017771,3.401983,0.004376865,-0.8655599,3.377709,0.006129435,-0.9435838,3.311403,644,Make-the-letter-Y,
36450854.9388,-0.08520366,-0.1922702,3.374796,-0.09028235,-0.1316398,3.425137,-0.0957405,0.2123096,3.422595,-0.09503807,0.3909596,3.432479,-0.221626,0.1140826,3.415056,-0.296799,-0.05973566,3.432984,-0.3202215,-0.1282342,3.240224,-0.3220371,-0.1379977,3.211813,0.03544304,0.1074663,3.433489,0.09856334,-0.1158077,3.440425,0.1765358,-0.1387939,3.275371,0.2049705,-0.1358262,3.226902,-0.140839,-0.2496003,3.35603,-0.1600368,-0.5930573,3.390996,-0.1707459,-0.8666235,3.366443,-0.1704817,-0.9375266,3.317164,-0.02611754,-0.2515565,3.37627,-0.01135446,-0.6017759,3.402863,0.005506835,-0.8660985,3.375832,0.006013365,-0.94417,3.309559,644,Make-the-letter-Y,
36450886.9407,-0.08546814,-0.1920143,3.374814,-0.09057458,-0.1314801,3.425258,-0.09596744,0.2132188,3.424087,-0.09514692,0.3901015,3.432423,-0.2215063,0.1147942,3.415073,-0.3072374,-0.04704606,3.42011,-0.3372984,-0.06197984,3.238058,-0.3328068,-0.05985177,3.239156,0.03545511,0.107525,3.433545,0.1005566,-0.1112914,3.440425,0.2058474,-0.04000859,3.310763,0.1685458,-0.06211155,3.327181,-0.1412301,-0.2490849,3.355298,-0.1597272,-0.5923508,3.391465,-0.1706702,-0.8767048,3.371102,-0.177402,-0.9420633,3.32142,-0.02660213,-0.2514008,3.376645,-0.01146471,-0.6012552,3.403924,0.005794078,-0.8671304,3.374714,0.003718175,-0.9465083,3.310042,644,Make-the-letter-Y,
