Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
36665990.8084,-0.05066317,-0.1328672,3.023498,-0.06084729,-0.07991565,3.070102,-0.06063081,0.2243728,3.065102,-0.04980551,0.4023104,3.069525,-0.2138332,0.12755,3.047578,-0.414722,0.03908517,3.023122,-0.5593072,-0.03148726,2.990455,-0.6121776,-0.05981654,2.98279,0.1074715,0.1417248,3.116106,0.3081464,0.08743963,3.100662,0.4695367,0.04676441,3.058131,0.5394121,0.02707542,3.049486,-0.1179838,-0.2054821,2.994293,-0.1524587,-0.5696171,3.030458,-0.1753112,-0.8507024,3.002029,-0.1906842,-0.9216585,2.951238,0.02009419,-0.2082203,3.030498,0.02671476,-0.5691972,3.056339,0.06629534,-0.8564928,3.031312,0.08113854,-0.8866782,2.96013,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666022.8103,-0.05116747,-0.1345337,3.023658,-0.06125379,-0.08110292,3.070253,-0.06077537,0.2242884,3.06514,-0.05258615,0.4020981,3.068883,-0.2132148,0.1263789,3.047213,-0.4087788,0.02659491,3.024203,-0.5484762,-0.05910752,2.995165,-0.6010363,-0.1096442,2.989459,0.1052219,0.1421063,3.114943,0.3043667,0.07362205,3.101309,0.4668573,0.02388534,3.056292,0.5334647,-0.00467824,3.046461,-0.117916,-0.2066792,2.995168,-0.1525605,-0.5691631,3.030567,-0.1755958,-0.8517197,3.001936,-0.1916746,-0.9252412,2.95256,0.01935272,-0.2087154,3.030273,0.02685176,-0.5695017,3.056721,0.06627332,-0.8562285,3.031106,0.08102458,-0.8864352,2.959914,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666052.812,-0.05221899,-0.1367166,3.023376,-0.06227173,-0.08304332,3.070013,-0.06257076,0.2234051,3.064853,-0.05292386,0.4022799,3.069355,-0.2131814,0.1249646,3.047004,-0.3978683,0.006167151,3.023088,-0.5458594,-0.0803073,2.996242,-0.6006229,-0.1287562,2.99377,0.1000307,0.1415672,3.112364,0.2944528,0.05818312,3.101185,0.4500726,-0.009033574,3.058108,0.5168665,-0.03837354,3.052613,-0.1181732,-0.2081304,2.995733,-0.152316,-0.5700146,3.030699,-0.1755989,-0.8516068,3.002803,-0.1918147,-0.9248337,2.952592,0.01822607,-0.2093214,3.029593,0.02683144,-0.569404,3.056786,0.06628883,-0.8540924,3.031938,0.08073296,-0.8843018,2.960687,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666090.8141,-0.05284239,-0.1400156,3.023401,-0.0625999,-0.08539691,3.069932,-0.06403109,0.2231658,3.063797,-0.05557545,0.4027725,3.069207,-0.2129566,0.1245219,3.047047,-0.3900989,-0.005330652,3.023592,-0.5152861,-0.107894,2.999063,-0.5737677,-0.1502134,2.987076,0.09449342,0.1411087,3.107723,0.2813217,0.04574978,3.10242,0.4331961,-0.0273045,3.062741,0.4990198,-0.05759095,3.052508,-0.1175929,-0.2103197,2.997043,-0.1518943,-0.5701306,3.030381,-0.1755973,-0.8515049,3.003119,-0.190002,-0.9187776,2.958336,0.01704419,-0.2107058,3.029319,0.0266857,-0.5699877,3.056868,0.06679148,-0.8543011,3.03162,0.08046915,-0.8845789,2.960252,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666122.816,-0.05415352,-0.1434597,3.023405,-0.06333226,-0.08820789,3.070169,-0.0667646,0.2230341,3.064268,-0.06101067,0.4025415,3.06991,-0.212902,0.1242766,3.046683,-0.3861216,-0.01083808,3.024216,-0.5043055,-0.1252629,3.000938,-0.5577998,-0.1620417,2.990793,0.08792452,0.13885,3.099962,0.2706587,0.03573878,3.099226,0.4192908,-0.05549868,3.065037,0.4790759,-0.0911573,3.042447,-0.1176143,-0.2125616,2.99821,-0.1516326,-0.5693864,3.030676,-0.1749382,-0.850266,3.004364,-0.1874591,-0.9182638,2.956608,0.01512494,-0.2122815,3.028444,0.02868795,-0.5702654,3.057332,0.06648116,-0.8526893,3.031004,0.07883668,-0.882961,2.959397,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666153.8178,-0.05497186,-0.1449133,3.023234,-0.06372737,-0.08947798,3.070186,-0.06706491,0.2229102,3.064563,-0.06336213,0.4036329,3.070768,-0.2130306,0.1233466,3.046708,-0.3709145,-0.02935964,3.029993,-0.4898013,-0.1389885,3.003195,-0.5439959,-0.1875892,2.995395,0.08673454,0.1379279,3.097248,0.2640001,0.02288314,3.096098,0.4150907,-0.07682749,3.069833,0.4677886,-0.1253649,3.054768,-0.1182996,-0.2136863,2.998781,-0.1518091,-0.5698949,3.031194,-0.1750458,-0.8502494,3.004244,-0.1888355,-0.9202386,2.95482,0.01378242,-0.2133677,3.02734,0.02912103,-0.5735433,3.057706,0.06743813,-0.8670231,3.030284,0.07920887,-0.8972916,2.95857,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666204.8207,-0.0563116,-0.1467318,3.022783,-0.06488235,-0.09113637,3.069814,-0.06819579,0.2225537,3.064412,-0.06498259,0.4038879,3.070901,-0.2130931,0.1228504,3.046644,-0.3660647,-0.03491633,3.028276,-0.4789577,-0.1514287,3.007954,-0.528739,-0.2047853,3.001801,0.08473078,0.1374757,3.095379,0.257983,0.007057569,3.095909,0.4063928,-0.09729747,3.074003,0.4566437,-0.1484888,3.059263,-0.1190576,-0.2149665,2.998667,-0.1513661,-0.5699384,3.031364,-0.1755104,-0.8535932,3.002993,-0.189417,-0.9216934,2.955328,0.0119052,-0.2145017,3.026819,0.03063502,-0.5753795,3.058199,0.06755806,-0.8671603,3.029973,0.07898341,-0.8974298,2.9582,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666222.4208,-0.05606838,-0.1491381,3.022954,-0.06481239,-0.09305175,3.070079,-0.06812096,0.2224318,3.064906,-0.07006522,0.4034733,3.07274,-0.2122337,0.1211491,3.045775,-0.3625532,-0.03924771,3.026498,-0.4696963,-0.1613143,3.009532,-0.5017582,-0.2099417,3.005046,0.08288807,0.1365561,3.095109,0.2554653,0.002359122,3.095432,0.4041528,-0.110843,3.075065,0.4491437,-0.1638024,3.055189,-0.1182215,-0.2168952,2.999061,-0.1513544,-0.5699192,3.031326,-0.1750795,-0.8532614,3.004347,-0.1898313,-0.9221948,2.955613,0.01147436,-0.2153554,3.026832,0.03192183,-0.57558,3.057666,0.06790741,-0.8615041,3.029292,0.07954258,-0.8917702,2.957557,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666253.6209,-0.0563907,-0.1495964,3.022586,-0.06513637,-0.09365287,3.06974,-0.06925032,0.2218781,3.064842,-0.07197778,0.4048032,3.072925,-0.2123893,0.1210023,3.046111,-0.3576376,-0.04405321,3.027768,-0.4609815,-0.1694279,3.011312,-0.4975381,-0.2210709,3.002422,0.08166751,0.1361226,3.094398,0.2496732,-0.00192675,3.094405,0.3995974,-0.1273871,3.074571,0.4388667,-0.1670728,3.05684,-0.1182877,-0.2170611,2.999001,-0.150464,-0.570282,3.031692,-0.1755803,-0.8531506,3.003179,-0.1897668,-0.923038,2.951835,0.010894,-0.2156908,3.026087,0.03293697,-0.575408,3.057585,0.06710178,-0.8574672,3.029384,0.07853927,-0.8877124,2.95761,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
36666290.623,-0.05664116,-0.1506413,3.022563,-0.06561025,-0.09469367,3.069757,-0.07011627,0.2214827,3.065238,-0.07325641,0.4047762,3.073301,-0.2123948,0.1202473,3.045968,-0.3545802,-0.04755598,3.026264,-0.4489938,-0.1799157,3.0154,-0.4879723,-0.2283198,3.005638,0.08109199,0.1358044,3.095073,0.2457856,-0.00674835,3.092561,0.3858628,-0.1356327,3.074706,0.4303311,-0.1708765,3.058973,-0.1182422,-0.218012,2.999233,-0.1505162,-0.5704911,3.031156,-0.1755303,-0.8531222,3.00315,-0.1908414,-0.9232641,2.953248,0.01049399,-0.2163693,3.025859,0.03383586,-0.5766095,3.058136,0.0673939,-0.8563507,3.028603,0.07902525,-0.8865734,2.956854,644,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
