Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
36941119.656,-0.07127291,-0.1632909,3.235735,-0.08410529,-0.1088051,3.285774,-0.1006841,0.2141777,3.292588,-0.09440333,0.3894196,3.277174,-0.2328575,0.115325,3.264705,-0.4283967,-0.004045356,3.228587,-0.5809922,-0.0850123,3.175085,-0.6350996,-0.1269309,3.142687,0.078825,0.1281614,3.326087,0.2807136,0.05286267,3.323321,0.4475088,0.009367894,3.268296,0.5074481,-0.01269903,3.25009,-0.1342351,-0.2331042,3.206226,-0.1584992,-0.5832475,3.238103,-0.1779725,-0.8700608,3.193503,-0.1810341,-0.9324551,3.14875,0.002199356,-0.2348335,3.239503,0.01571677,-0.5873687,3.274999,0.04684899,-0.847872,3.243398,0.06119518,-0.87878,3.168412,644,Kick-a-ball-with-the-other-leg,
36941151.6579,-0.07132953,-0.164354,3.235936,-0.08420854,-0.1097107,3.285951,-0.1002306,0.2137273,3.292722,-0.09418191,0.3889584,3.277367,-0.2299017,0.1159495,3.263963,-0.4227865,-0.01232122,3.226287,-0.5620215,-0.1131719,3.169483,-0.5914899,-0.124008,3.148788,0.07848015,0.127167,3.325291,0.280889,0.044278,3.321058,0.4457171,-0.008024927,3.268312,0.497682,-0.02892536,3.245428,-0.1341322,-0.2334917,3.206139,-0.1588428,-0.5849431,3.23848,-0.177721,-0.8708014,3.193292,-0.1848742,-0.9373561,3.143051,0.001637398,-0.2358202,3.240278,0.01530418,-0.5869873,3.275354,0.04745764,-0.8486748,3.243846,0.05881487,-0.9264112,3.190929,644,Kick-a-ball-with-the-other-leg,
36941182.6596,-0.0715211,-0.1648468,3.236073,-0.08439302,-0.1100902,3.286019,-0.1002773,0.2134954,3.292422,-0.09223264,0.3873055,3.274437,-0.2296876,0.1160354,3.263569,-0.4208603,-0.01855752,3.226498,-0.5565915,-0.1269915,3.177299,-0.5783371,-0.140917,3.156613,0.07752757,0.1268258,3.324617,0.2796096,0.02925363,3.317944,0.4476766,-0.01506458,3.269148,0.5099431,-0.04658471,3.239753,-0.1341241,-0.2337124,3.206242,-0.1587578,-0.5847268,3.238545,-0.176736,-0.8713036,3.194412,-0.1847012,-0.9372956,3.143327,0.001148897,-0.2362318,3.240698,0.01421708,-0.5865514,3.276385,0.04744424,-0.8484286,3.243851,0.0549385,-0.921877,3.184508,644,Kick-a-ball-with-the-other-leg,
36941219.6618,-0.07151943,-0.1652345,3.236181,-0.08459979,-0.1102992,3.285994,-0.1000794,0.2131513,3.291341,-0.09164584,0.3879011,3.274512,-0.2290501,0.1154185,3.261856,-0.4168301,-0.02804608,3.22853,-0.5447088,-0.1441612,3.174931,-0.5672786,-0.1489079,3.157285,0.0766276,0.1263359,3.324118,0.2743026,0.02353887,3.317641,0.4355307,-0.03901875,3.264921,0.5001938,-0.06062609,3.231956,-0.1340441,-0.2340446,3.20629,-0.1583863,-0.5849673,3.23877,-0.1766854,-0.8726655,3.194337,-0.1843848,-0.9371399,3.143894,0.001028667,-0.2364857,3.241304,0.01340821,-0.5818266,3.27485,0.04602135,-0.8468941,3.245589,0.05960153,-0.9239134,3.195642,644,Kick-a-ball-with-the-other-leg,
36941250.6635,-0.07161611,-0.1656243,3.236617,-0.08467612,-0.1104965,3.286295,-0.09959899,0.2132717,3.291361,-0.09095471,0.3885205,3.275499,-0.2286942,0.1154823,3.261598,-0.4128062,-0.03236218,3.229485,-0.5374188,-0.1533862,3.180184,-0.5764263,-0.1832949,3.153407,0.0767636,0.1262094,3.324246,0.2681623,0.01917478,3.316164,0.4286608,-0.04767241,3.267584,0.4906415,-0.06877063,3.229528,-0.134162,-0.2343287,3.206623,-0.1601384,-0.5864747,3.238988,-0.177046,-0.8746939,3.194526,-0.1843865,-0.9377277,3.14462,0.0006887639,-0.2371052,3.242241,0.01307725,-0.5836733,3.276128,0.04685552,-0.8485941,3.244153,0.0578812,-0.9249086,3.189132,644,Kick-a-ball-with-the-other-leg,
36941282.6654,-0.07216351,-0.1678972,3.237123,-0.08529076,-0.1121336,3.286588,-0.09905786,0.2130134,3.291213,-0.09050355,0.3882463,3.275133,-0.2263626,0.1154438,3.258943,-0.4027787,-0.04771647,3.229791,-0.5224898,-0.1739178,3.1816,-0.5647747,-0.2035013,3.159922,0.07574712,0.1249954,3.323151,0.2623831,0.01245103,3.31723,0.422542,-0.05397225,3.26644,0.4855556,-0.07381786,3.22942,-0.1343431,-0.2355963,3.2071,-0.160375,-0.5869698,3.239272,-0.177106,-0.8745357,3.19471,-0.1843926,-0.9377204,3.144605,-0.0007022521,-0.2386833,3.243133,0.01285769,-0.5855502,3.277187,0.04717147,-0.8606563,3.241983,0.05721112,-0.9270799,3.180666,644,Kick-a-ball-with-the-other-leg,
36941351.4667,-0.07234939,-0.1690327,3.237201,-0.08576369,-0.1131109,3.286552,-0.09857056,0.2126519,3.291027,-0.09050947,0.3885289,3.274743,-0.2238308,0.113644,3.256628,-0.3972816,-0.05269809,3.228415,-0.5146147,-0.1814223,3.181328,-0.5492734,-0.2208462,3.161886,0.07529994,0.1246313,3.323339,0.2553599,0.00618493,3.313446,0.4107709,-0.06774024,3.257268,0.4612551,-0.116763,3.210576,-0.1344131,-0.2361337,3.207189,-0.1613362,-0.5884094,3.239988,-0.1764078,-0.8674707,3.198085,-0.1838923,-0.9368637,3.144552,-0.001162787,-0.239267,3.243387,0.01276972,-0.5843725,3.27729,0.03827453,-0.8475654,3.247368,0.05453423,-0.8786201,3.172828,644,Kick-a-ball-with-the-other-leg,
36941367.0667,-0.07226811,-0.1697615,3.237477,-0.08579255,-0.1135738,3.286732,-0.09773432,0.2129047,3.290982,-0.09029025,0.387567,3.274003,-0.222116,0.1136451,3.255443,-0.3901539,-0.0581516,3.226645,-0.5018285,-0.1953135,3.197854,-0.5124308,-0.1972641,3.180302,0.07555552,0.1238191,3.322928,0.2508115,0.001970193,3.314953,0.4022972,-0.07874031,3.257038,0.4571597,-0.1167102,3.221199,-0.1343668,-0.2365548,3.207306,-0.1610967,-0.5885121,3.240081,-0.1766624,-0.8693526,3.197537,-0.183651,-0.9370621,3.144935,-0.001335343,-0.2400744,3.244118,0.01329613,-0.5833159,3.277386,0.03875231,-0.8455689,3.24684,0.05530471,-0.876647,3.172373,644,Kick-a-ball-with-the-other-leg,
36941382.6668,-0.07218498,-0.1704866,3.237466,-0.08608378,-0.1139812,3.286697,-0.09788871,0.2136412,3.291241,-0.0896614,0.3873586,3.273321,-0.2201226,0.1129101,3.253056,-0.383868,-0.06298546,3.23372,-0.4952992,-0.1993064,3.197888,-0.5331954,-0.2361149,3.179373,0.07465569,0.1238681,3.322284,0.2464382,-0.001198543,3.313843,0.3885025,-0.09179623,3.245432,0.4492762,-0.1294133,3.220377,-0.1340383,-0.2369021,3.207209,-0.1611167,-0.5885466,3.240071,-0.1768785,-0.8722425,3.198714,-0.1835295,-0.9374335,3.145797,-0.001460518,-0.2402938,3.244252,0.01219776,-0.5867137,3.27879,0.03949386,-0.8451195,3.245751,0.05329033,-0.9155967,3.183975,644,Kick-a-ball-with-the-other-leg,
36941413.8668,-0.07209909,-0.171124,3.237651,-0.08607055,-0.1144057,3.286846,-0.09686857,0.2141451,3.29148,-0.08940312,0.3874756,3.273105,-0.2199219,0.1121146,3.252037,-0.3822685,-0.06454492,3.232782,-0.489398,-0.2044598,3.198067,-0.5251205,-0.2447034,3.182632,0.07420794,0.1236618,3.322275,0.242873,-0.005119036,3.310189,0.3834034,-0.09812355,3.241845,0.4448492,-0.1366656,3.220043,-0.1339559,-0.2373969,3.207235,-0.1612981,-0.5905864,3.240427,-0.1769914,-0.8737348,3.199487,-0.1831586,-0.9360501,3.147084,-0.001632869,-0.2407939,3.244716,0.01186561,-0.5897436,3.279109,0.03986911,-0.8451217,3.2454,0.05443122,-0.9185772,3.187382,644,Kick-a-ball-with-the-other-leg,
36941445.0669,-0.07183768,-0.1730775,3.238071,-0.08547897,-0.1161001,3.287174,-0.09281198,0.2125743,3.290779,-0.08934658,0.3859792,3.271366,-0.2190527,0.1113316,3.250542,-0.3776471,-0.06918271,3.233478,-0.4821246,-0.2109937,3.198157,-0.5159503,-0.2526767,3.182274,0.07169419,0.1209883,3.320066,0.2410865,-0.008695535,3.308517,0.3780048,-0.1116278,3.249282,0.4406159,-0.1460323,3.224129,-0.1336929,-0.2385615,3.207708,-0.1634265,-0.5890685,3.238649,-0.1770981,-0.8737715,3.199412,-0.1828212,-0.9356089,3.146605,-0.002231625,-0.2419457,3.245404,0.01187174,-0.5897412,3.279107,0.04053597,-0.845575,3.243675,0.05510709,-0.9195822,3.186362,644,Kick-a-ball-with-the-other-leg,
36941476.2669,-0.07190271,-0.1744536,3.238196,-0.08549966,-0.1172129,3.287271,-0.09280623,0.2125231,3.290755,-0.08832363,0.3825214,3.268896,-0.2184845,0.1104879,3.250278,-0.3752522,-0.07033706,3.2335,-0.4786055,-0.2133237,3.20045,-0.5129641,-0.2545285,3.184463,0.07106123,0.1204957,3.319555,0.2348908,-0.01308279,3.303771,0.3704975,-0.1204745,3.251144,0.4342189,-0.1513965,3.224313,-0.1335898,-0.2396185,3.208245,-0.1611156,-0.5855281,3.241297,-0.1800351,-0.8573838,3.198274,-0.185027,-0.9237877,3.158595,-0.002507905,-0.2425165,3.245418,0.01166315,-0.5901566,3.279472,0.04065972,-0.8455275,3.243793,0.05674855,-0.9212406,3.189175,644,Kick-a-ball-with-the-other-leg,
36941507.467,-0.07181023,-0.1749307,3.238027,-0.08517454,-0.1178423,3.287076,-0.09052758,0.2107719,3.290186,-0.08739436,0.3838838,3.267006,-0.2181919,0.1104788,3.250522,-0.3718809,-0.0694728,3.235383,-0.4748418,-0.2126654,3.201799,-0.5102792,-0.2539235,3.188535,0.07105318,0.1199302,3.319481,0.2338068,-0.0138536,3.303831,0.3684444,-0.1227041,3.249324,0.4275804,-0.1575754,3.217332,-0.1335987,-0.2398233,3.208204,-0.1614526,-0.5861332,3.241551,-0.1777711,-0.868838,3.197489,-0.1843522,-0.9264027,3.155114,-0.002665353,-0.2430073,3.245222,0.01192572,-0.5876426,3.27941,0.04263805,-0.8459382,3.244012,0.05539286,-0.9214925,3.193977,644,Kick-a-ball-with-the-other-leg,
