Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
36950595.2579,-0.09882167,-0.1517809,3.176537,-0.1073606,-0.09690406,3.223444,-0.1184443,0.2157256,3.214542,-0.1178225,0.3953953,3.219278,-0.2671313,0.1230396,3.208332,-0.4704334,0.04609922,3.176314,-0.6302369,-0.002661493,3.103821,-0.6626186,-0.02228599,3.088053,0.05882198,0.1340881,3.250735,0.2657574,0.1028864,3.237971,0.4351053,0.09966951,3.172266,0.4892589,0.0999578,3.158281,-0.1635848,-0.2253857,3.155165,-0.2112684,-0.5844983,3.204517,-0.2519295,-0.8758307,3.179496,-0.2749879,-0.9455145,3.128536,-0.0264712,-0.2252537,3.177305,-0.006885069,-0.5791733,3.194575,0.03786073,-0.8703858,3.149692,0.04940137,-0.9286488,3.101727,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950627.2597,-0.09921126,-0.1518331,3.176422,-0.1079183,-0.09688649,3.223397,-0.1204573,0.2163257,3.214289,-0.1187153,0.3950784,3.219181,-0.2676713,0.1228843,3.208495,-0.4687392,0.04118619,3.175878,-0.6282225,-0.01130756,3.105709,-0.6804028,-0.03533256,3.076876,0.05776903,0.1333674,3.250451,0.2649347,0.09747087,3.236879,0.4316028,0.08698548,3.164164,0.4852249,0.09105805,3.148792,-0.1638732,-0.2254243,3.154936,-0.2112852,-0.5853635,3.204384,-0.2519844,-0.8755746,3.179798,-0.274317,-0.9459307,3.129822,-0.02665001,-0.2252839,3.177359,-0.006887157,-0.5791634,3.194547,0.03798271,-0.8703433,3.149699,0.04923059,-0.9271158,3.099866,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950663.2618,-0.09941818,-0.1520612,3.176377,-0.1079912,-0.09706438,3.223495,-0.1204058,0.2164459,3.214772,-0.1191322,0.3946911,3.219357,-0.2680677,0.1225172,3.209099,-0.4668238,0.02883854,3.178524,-0.6242234,-0.03242729,3.111334,-0.6842884,-0.05075606,3.069116,0.05683453,0.1324445,3.250347,0.26473,0.09287669,3.235342,0.4320752,0.07194418,3.167382,0.4852079,0.07290737,3.149939,-0.1640801,-0.225579,3.154916,-0.2113736,-0.5857964,3.204437,-0.2520389,-0.8754947,3.179651,-0.2739849,-0.9457171,3.129348,-0.02691418,-0.2254285,3.177204,-0.007539225,-0.5781781,3.194178,0.03669012,-0.8697808,3.150295,0.04911775,-0.9271529,3.10012,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950695.2636,-0.09984455,-0.1527266,3.176624,-0.1083848,-0.09747837,3.223792,-0.1204415,0.2165129,3.214959,-0.1193902,0.394583,3.219062,-0.2679653,0.1222581,3.209147,-0.4641083,0.01653072,3.182926,-0.6192536,-0.0510301,3.116707,-0.6657718,-0.07893931,3.1031,0.05609296,0.1298746,3.250341,0.2609654,0.08132242,3.233865,0.4297968,0.06184436,3.169994,0.4816202,0.06098127,3.14898,-0.1644071,-0.2260595,3.155083,-0.2114061,-0.586306,3.204833,-0.2520966,-0.8754572,3.179672,-0.2739839,-0.9457166,3.12935,-0.02750793,-0.2259542,3.177612,-0.007583056,-0.5782318,3.194135,0.0372541,-0.8713802,3.150386,0.04955034,-0.9278805,3.10061,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950727.2654,-0.1007333,-0.1532353,3.17699,-0.1092555,-0.09782023,3.224166,-0.1206707,0.2165124,3.21503,-0.119467,0.3945642,3.219027,-0.2680496,0.1223699,3.209438,-0.4598576,0.003033509,3.18383,-0.6077623,-0.07958458,3.118229,-0.6439136,-0.08626579,3.086977,0.05513099,0.1289308,3.250853,0.2555139,0.06796509,3.233565,0.4275295,0.03282926,3.165872,0.4683184,0.03188388,3.136267,-0.1650875,-0.2263768,3.155704,-0.212537,-0.5861671,3.20547,-0.2524579,-0.8751384,3.179991,-0.2742833,-0.9460112,3.130115,-0.02888736,-0.2263008,3.177984,-0.007999594,-0.5787565,3.195494,0.03843996,-0.8708565,3.151297,0.04932032,-0.9273919,3.101143,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950763.2675,-0.1010084,-0.1536562,3.177091,-0.109286,-0.09812357,3.224267,-0.1207051,0.2160379,3.214419,-0.1197158,0.3935391,3.219405,-0.2681023,0.1221841,3.21041,-0.4565824,-0.002384484,3.180682,-0.6005645,-0.09247614,3.116459,-0.6584029,-0.1285121,3.083561,0.05313387,0.1277478,3.249768,0.2397158,0.04678386,3.217864,0.4232813,0.02401058,3.165249,0.4751419,0.008539097,3.125101,-0.1651765,-0.226485,3.155978,-0.2119645,-0.5860379,3.20575,-0.2527369,-0.8710634,3.179917,-0.27352,-0.9446057,3.131609,-0.02950292,-0.2266372,3.178205,-0.007132181,-0.5773432,3.195023,0.03832759,-0.8705344,3.151682,0.04817454,-0.9263628,3.103074,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950795.2693,-0.1013177,-0.154569,3.177008,-0.1094902,-0.09882067,3.224191,-0.1204649,0.2157558,3.21405,-0.120214,0.3936005,3.219404,-0.2666308,0.1210011,3.21074,-0.4431006,-0.01665115,3.181731,-0.5874237,-0.1066045,3.118214,-0.622525,-0.1432572,3.09591,0.05203865,0.1274219,3.249803,0.2417213,0.04010608,3.220148,0.4201768,-0.01043842,3.169702,0.4695503,-0.02716472,3.134359,-0.1651901,-0.2266618,3.155951,-0.2129092,-0.5881139,3.206723,-0.2521197,-0.8698299,3.179614,-0.2727859,-0.9418356,3.129982,-0.03035532,-0.2271558,3.178488,-0.007137895,-0.5772732,3.194991,0.03888259,-0.8702874,3.151478,0.04809978,-0.9267065,3.104236,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950827.2712,-0.1018736,-0.1553379,3.177685,-0.1099029,-0.09940702,3.22484,-0.1204526,0.2155877,3.214243,-0.1204523,0.3935819,3.219359,-0.2666157,0.1207877,3.211465,-0.4396415,-0.02587865,3.182976,-0.5686808,-0.1388078,3.124388,-0.6189132,-0.1600842,3.104507,0.0494878,0.1272346,3.249851,0.2357941,0.03487065,3.224238,0.3972408,-0.02623862,3.170112,0.460117,-0.04477,3.132303,-0.1653902,-0.227093,3.156646,-0.2136378,-0.5903082,3.207118,-0.2525209,-0.8714908,3.179662,-0.2739753,-0.9453294,3.13973,-0.03163775,-0.2273804,3.179466,-0.007109784,-0.577309,3.195009,0.03898989,-0.8703027,3.151933,0.04787658,-0.925611,3.104674,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950864.2733,-0.102434,-0.156987,3.177803,-0.110536,-0.1007165,3.225035,-0.1206535,0.2154096,3.214445,-0.1178922,0.3919095,3.217105,-0.2648104,0.1194763,3.210688,-0.4326979,-0.03442802,3.187243,-0.5557055,-0.1505947,3.120925,-0.5967574,-0.1681247,3.111313,0.04855964,0.1260364,3.249464,0.2338153,0.02237655,3.225137,0.3935772,-0.04541928,3.175007,0.4583149,-0.06693278,3.142256,-0.1654116,-0.2277954,3.156364,-0.2135357,-0.5889667,3.206993,-0.2525221,-0.8714998,3.179653,-0.2739893,-0.9451913,3.139779,-0.03280371,-0.2286623,3.180315,-0.008282255,-0.5786825,3.195673,0.03901351,-0.8703144,3.151845,0.04920981,-0.9277673,3.101729,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
36950895.2751,-0.1028838,-0.1590095,3.177719,-0.1106882,-0.1021037,3.224958,-0.1205746,0.2154391,3.214262,-0.1188656,0.3916329,3.216522,-0.2650488,0.1192109,3.210814,-0.4297152,-0.0380932,3.186607,-0.5459677,-0.1637864,3.127043,-0.5723866,-0.1780981,3.123248,0.04620292,0.1250187,3.248,0.2315362,0.01558372,3.226134,0.3854301,-0.06558689,3.178047,0.4465621,-0.09854068,3.147989,-0.1658446,-0.2297589,3.156466,-0.2136028,-0.5894251,3.207305,-0.2527156,-0.8714293,3.179923,-0.2739497,-0.9438111,3.137815,-0.03334514,-0.2296889,3.180437,-0.008436698,-0.5797097,3.196354,0.03886253,-0.8700514,3.151868,0.0492298,-0.9277141,3.102113,644,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
