Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38470138.1004,-0.04391932,-0.1375882,3.17963,-0.04495161,-0.0941247,3.229908,-0.03734042,0.1824154,3.241564,-0.03765801,0.3390539,3.235254,-0.2088591,0.120237,3.232275,-0.4428754,0.1689332,3.230854,-0.6216187,0.1958128,3.217746,-0.6951898,0.2020888,3.232644,0.1304567,0.1282752,3.250101,0.335621,0.2017946,3.193513,0.5042373,0.2382897,3.127784,0.5024139,0.2654498,3.138388,-0.114761,-0.2105233,3.158909,-0.103804,-0.5969043,3.173443,-0.105954,-0.9085071,3.161509,-0.1079052,-0.9549621,3.12554,0.02434082,-0.2137516,3.165989,0.01242997,-0.6052086,3.170826,0.01589537,-0.8978977,3.158862,0.03349001,-0.9468285,3.113406,723,Raise-your-arm-to-the-other-side,
38470173.1024,-0.04383759,-0.138056,3.179969,-0.0448064,-0.09446081,3.230259,-0.03730259,0.1824496,3.241972,-0.03735476,0.3388312,3.236596,-0.2094889,0.1184829,3.23266,-0.4441389,0.1654897,3.231094,-0.6231229,0.1907384,3.217496,-0.6424592,0.190852,3.223069,0.1304429,0.1273469,3.250197,0.3381343,0.1981611,3.192873,0.5083537,0.2280733,3.128113,0.5650935,0.238044,3.110453,-0.1147849,-0.2112078,3.159482,-0.10387,-0.5972424,3.173878,-0.1059064,-0.9083174,3.161415,-0.1078944,-0.9549424,3.125317,0.02448389,-0.2142377,3.166155,0.01230921,-0.6051999,3.171002,0.01640018,-0.8981924,3.158601,0.0345236,-0.9473903,3.114375,723,Raise-your-arm-to-the-other-side,
38470205.1042,-0.04347033,-0.1391995,3.180374,-0.04439815,-0.09533826,3.230695,-0.03698263,0.1822796,3.242407,-0.03607549,0.3407329,3.236906,-0.2086134,0.1171278,3.23279,-0.4422666,0.1586076,3.230043,-0.621736,0.1801331,3.215845,-0.6969509,0.1798754,3.21997,0.1306942,0.1264407,3.250096,0.3398136,0.1918655,3.192552,0.510846,0.2137362,3.126474,0.5850651,0.2192907,3.114853,-0.1145084,-0.2125641,3.159948,-0.1044813,-0.598169,3.173763,-0.1057474,-0.908218,3.161508,-0.1077807,-0.9543067,3.123831,0.02476786,-0.2148467,3.166458,0.01343099,-0.6045052,3.171028,0.01159774,-0.8983132,3.159011,0.03421564,-0.947675,3.11429,723,Raise-your-arm-to-the-other-side,
38470237.106,-0.04307745,-0.140324,3.180955,-0.0441664,-0.09636275,3.231355,-0.03751197,0.1819177,3.243797,-0.03428189,0.3398816,3.237327,-0.2079283,0.1145381,3.233098,-0.4440897,0.1465393,3.229194,-0.6238417,0.1654527,3.220921,-0.69871,0.1665845,3.229185,0.1318143,0.1233873,3.250479,0.3410881,0.1836475,3.189987,0.513862,0.2040368,3.129068,0.5878668,0.2114556,3.117107,-0.114072,-0.2137587,3.160343,-0.1044406,-0.5981489,3.173826,-0.1055849,-0.9082319,3.161318,-0.1078406,-0.9543506,3.123846,0.0255575,-0.2160614,3.167033,0.01416178,-0.6044289,3.170902,0.01163956,-0.8982862,3.158888,0.03515432,-0.9477923,3.1136,723,Raise-your-arm-to-the-other-side,
38470274.1081,-0.04280489,-0.1417618,3.181619,-0.04385044,-0.09736852,3.232029,-0.03743958,0.1819938,3.244395,-0.03386459,0.3389975,3.2375,-0.2075459,0.1132093,3.233429,-0.44087,0.12759,3.231076,-0.6211518,0.1397274,3.213479,-0.6453617,0.1306921,3.217261,0.1313621,0.1223084,3.250166,0.3395725,0.1628509,3.18557,0.5138257,0.1815537,3.129417,0.5862653,0.1855995,3.109134,-0.1137044,-0.2151853,3.160895,-0.1044452,-0.5982484,3.173973,-0.1055644,-0.9081233,3.161178,-0.107716,-0.9545149,3.124297,0.02574983,-0.2169765,3.167794,0.01438075,-0.6047144,3.171166,0.01160404,-0.8991525,3.158969,0.03521671,-0.9481879,3.113736,723,Raise-your-arm-to-the-other-side,
38470306.11,-0.04297043,-0.1423124,3.182198,-0.0441668,-0.09782454,3.232543,-0.03778832,0.181705,3.244495,-0.03389481,0.3388583,3.237599,-0.2079943,0.1130347,3.234566,-0.4374953,0.1129975,3.227628,-0.6175655,0.1283122,3.210913,-0.6925679,0.1213479,3.212525,0.1325294,0.1199869,3.251845,0.3425378,0.1424343,3.186019,0.5133757,0.1435192,3.112905,0.5861394,0.1598019,3.102098,-0.1140902,-0.2158086,3.16127,-0.1034473,-0.5977459,3.174215,-0.1037279,-0.9053087,3.161475,-0.1105715,-0.9531436,3.132727,0.02603868,-0.2186958,3.169377,0.01507019,-0.6054633,3.171347,0.01171565,-0.899238,3.159009,0.03531209,-0.948375,3.113707,723,Raise-your-arm-to-the-other-side,
38470338.1118,-0.0429729,-0.1434968,3.183218,-0.04428637,-0.09859408,3.233382,-0.0381262,0.1816591,3.244603,-0.03313728,0.3390777,3.237343,-0.2073548,0.1125166,3.235229,-0.436772,0.1029784,3.227064,-0.6148171,0.07217013,3.221312,-0.6514784,0.06965306,3.226742,0.1335526,0.1179823,3.252391,0.342553,0.1255649,3.186054,0.5160698,0.1324359,3.108892,0.5896611,0.1210805,3.097378,-0.1141749,-0.216916,3.162158,-0.1033253,-0.5979218,3.174303,-0.1035427,-0.9057873,3.161407,-0.1093776,-0.9530939,3.131585,0.02650289,-0.2204167,3.171265,0.0151525,-0.6055306,3.171192,0.01218416,-0.8993688,3.158934,0.03436343,-0.9484359,3.113235,723,Raise-your-arm-to-the-other-side,
38470373.1138,-0.04289064,-0.1453179,3.184147,-0.04451998,-0.09996153,3.23426,-0.03870641,0.1815084,3.245083,-0.03219362,0.3401434,3.240125,-0.2066038,0.1103738,3.234632,-0.4309287,0.08584747,3.227645,-0.6055682,0.03948127,3.209702,-0.6802879,0.03200663,3.215933,0.1337475,0.1159938,3.253197,0.3430341,0.1099925,3.1829,0.5119463,0.08566544,3.111421,0.5846318,0.07883383,3.09277,-0.1140846,-0.2184813,3.162964,-0.1030069,-0.5982783,3.17455,-0.1031051,-0.9051118,3.161558,-0.108365,-0.9519297,3.128959,0.02695292,-0.2221989,3.172393,0.01525037,-0.6056426,3.171268,0.01184629,-0.899562,3.159299,0.03443163,-0.9481782,3.113671,723,Raise-your-arm-to-the-other-side,
38470406.1157,-0.04306798,-0.1474784,3.185334,-0.04515593,-0.1015664,3.235331,-0.03882598,0.1813485,3.245352,-0.03124239,0.3389118,3.240452,-0.2054782,0.1094411,3.234595,-0.4308493,0.05908041,3.22583,-0.6080804,0.02481228,3.203923,-0.680175,0.003116757,3.200518,0.1343968,0.1124422,3.256398,0.3359808,0.09742603,3.186885,0.50798,0.04496722,3.103122,0.5825431,0.03565912,3.108919,-0.1142133,-0.2197712,3.163542,-0.1028596,-0.5986176,3.175062,-0.1028212,-0.9051518,3.161285,-0.1086199,-0.9526165,3.12767,0.02666621,-0.2250708,3.174794,0.01569034,-0.6062593,3.171531,0.01193101,-0.899612,3.159164,0.0353601,-0.9474067,3.113695,723,Raise-your-arm-to-the-other-side,
38470438.1175,-0.04316017,-0.1487489,3.186228,-0.04532344,-0.1024159,3.236113,-0.03914533,0.1814681,3.245586,-0.03186443,0.3380447,3.239766,-0.2052973,0.1065721,3.235781,-0.4289498,0.04607211,3.223907,-0.5975095,-0.01932756,3.211667,-0.6235484,-0.02634861,3.217959,0.1342246,0.110477,3.257975,0.3423365,0.06256198,3.184702,0.5059195,0.01426891,3.112935,0.5752928,-0.006975677,3.092515,-0.114365,-0.2213775,3.164671,-0.10286,-0.5993339,3.175408,-0.1030363,-0.9051976,3.161143,-0.1084693,-0.9530031,3.127992,0.02676519,-0.226131,3.175831,0.01619312,-0.6067562,3.171681,0.01185496,-0.8999779,3.15898,0.03530218,-0.9476907,3.113911,723,Raise-your-arm-to-the-other-side,
