Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38516442.7488,-0.05385937,-0.1462792,3.181213,-0.0585964,-0.1003466,3.230829,-0.05027819,0.1814718,3.237169,-0.04371087,0.3435602,3.241228,-0.2210266,0.1131471,3.220769,-0.4587496,0.1091192,3.201887,-0.631691,0.09055552,3.136869,-0.6667278,0.09473266,3.130512,0.1216624,0.1088013,3.261708,0.3416302,0.1128512,3.209378,0.5168152,0.1090892,3.148779,0.5910485,0.1048698,3.136413,-0.1255058,-0.2211965,3.156695,-0.1214717,-0.5987403,3.170813,-0.1193386,-0.9010627,3.157362,-0.08283629,-0.9440586,3.153489,0.01682099,-0.2236785,3.174161,0.01026304,-0.6020854,3.170992,0.009567417,-0.8898105,3.144332,0.004584953,-0.9405116,3.095213,723,Point-at-the-camera,
38516459.7498,-0.05388236,-0.1489923,3.181473,-0.05853948,-0.1025243,3.230961,-0.0506661,0.1807088,3.236887,-0.04378585,0.3432968,3.241125,-0.2213475,0.1099845,3.222508,-0.4429393,0.0772981,3.197594,-0.6178182,0.06164037,3.138274,-0.6365414,0.05625537,3.145255,0.123078,0.1040483,3.262117,0.3378384,0.08903854,3.208688,0.5049933,0.06894901,3.128025,0.5797709,0.05949509,3.127133,-0.1261526,-0.2248671,3.157353,-0.1206,-0.6008462,3.171298,-0.118863,-0.9007981,3.157198,-0.1161861,-0.9507704,3.128834,0.01753039,-0.2268999,3.174532,0.010481,-0.6024559,3.170918,0.009420813,-0.8906835,3.144147,0.005941562,-0.9412368,3.096046,723,Point-at-the-camera,
38516489.7515,-0.05421668,-0.1524667,3.181236,-0.05919282,-0.1053776,3.230832,-0.05201427,0.1799584,3.237285,-0.04340509,0.3435729,3.241319,-0.2215823,0.1043104,3.222557,-0.4399445,0.06115963,3.195617,-0.6104606,0.02444613,3.132216,-0.6350313,0.01142514,3.130117,0.1233532,0.09868601,3.263389,0.3271476,0.0622196,3.207152,0.4978468,0.03680911,3.135426,0.5703881,0.02767728,3.134447,-0.1266629,-0.2284006,3.156798,-0.1204708,-0.6018788,3.170987,-0.1187828,-0.9007239,3.157265,-0.1184122,-0.9508084,3.127948,0.01795783,-0.2303397,3.174373,0.010406,-0.6032996,3.171181,0.009462891,-0.8907489,3.144141,0.005785971,-0.9416448,3.096279,723,Point-at-the-camera,
38516521.7534,-0.05364258,-0.1552328,3.182044,-0.05894329,-0.107703,3.231483,-0.05201283,0.1792904,3.237417,-0.04346564,0.3431541,3.241317,-0.2205928,0.09997858,3.223139,-0.4392273,0.01215806,3.189131,-0.6055855,-0.04463259,3.130569,-0.676618,-0.06987561,3.129989,0.1217987,0.09455123,3.26563,0.3195727,0.04775237,3.208401,0.4800588,-0.01360177,3.127702,0.5485166,-0.03081556,3.117455,-0.125919,-0.2312088,3.156946,-0.1209312,-0.6029298,3.171413,-0.1187584,-0.9007325,3.157313,-0.1205941,-0.9515696,3.129397,0.01842815,-0.2323288,3.176266,0.01097565,-0.6037447,3.171288,0.009526757,-0.8904639,3.144157,0.006066982,-0.9419581,3.096327,723,Point-at-the-camera,
38516557.7554,-0.0538864,-0.1580568,3.182275,-0.05920434,-0.1101429,3.231944,-0.05287582,0.1788107,3.239188,-0.04343581,0.3421362,3.239095,-0.2192839,0.09378469,3.222318,-0.4260799,-0.01694852,3.183055,-0.5844449,-0.09385444,3.125493,-0.5894197,-0.08946117,3.126605,0.121573,0.09263221,3.265119,0.3110207,-0.00533201,3.20929,0.465542,-0.06585817,3.123002,0.5285191,-0.08959302,3.104756,-0.1261296,-0.2335292,3.157144,-0.1194468,-0.6038218,3.171775,-0.1186904,-0.9001438,3.157116,-0.1199906,-0.9509556,3.132372,0.01839873,-0.234135,3.176128,0.01082449,-0.6041801,3.170896,0.009352209,-0.8902657,3.143744,0.006330555,-0.9416624,3.095698,723,Point-at-the-camera,
38516589.7572,-0.0538048,-0.1625014,3.183081,-0.05928567,-0.114195,3.232704,-0.05314607,0.1770189,3.239664,-0.04332958,0.3421468,3.239055,-0.2181629,0.08827455,3.221272,-0.4010673,-0.05578304,3.178896,-0.5289475,-0.1720243,3.110322,-0.5321231,-0.1465767,3.10549,0.1201088,0.08814847,3.264848,0.2860053,-0.01968299,3.209065,0.4264733,-0.1116985,3.120368,0.4933816,-0.1459804,3.086666,-0.1259205,-0.2372131,3.157848,-0.1194272,-0.6042894,3.171595,-0.1188062,-0.9003713,3.157072,-0.1149891,-0.9486611,3.122224,0.01840507,-0.2377157,3.17733,0.01109555,-0.6053865,3.171016,0.009263109,-0.8907358,3.143549,0.005181987,-0.9426324,3.096558,723,Point-at-the-camera,
38516621.7591,-0.05295715,-0.1684575,3.183764,-0.05853886,-0.1186232,3.233073,-0.05308769,0.1766239,3.239316,-0.04334193,0.3420865,3.23901,-0.2152827,0.08092477,3.219134,-0.3925842,-0.08815517,3.17258,-0.5192907,-0.2142117,3.126924,-0.5411369,-0.2392172,3.082178,0.1189712,0.08284047,3.26206,0.2780875,-0.05902478,3.199492,0.4042895,-0.1705973,3.119016,0.4549443,-0.2029155,3.088602,-0.1247084,-0.2422864,3.15886,-0.1203202,-0.6054618,3.172398,-0.1188632,-0.900557,3.157252,-0.1197478,-0.948974,3.122418,0.01893073,-0.2430265,3.179188,0.0115284,-0.6073801,3.171113,0.009976652,-0.890939,3.143653,0.006353751,-0.942671,3.097414,723,Point-at-the-camera,
38516659.7612,-0.05280103,-0.1733506,3.183524,-0.05816629,-0.1231351,3.232714,-0.05234963,0.1744963,3.238254,-0.04383838,0.3408797,3.237989,-0.2129443,0.07770628,3.219652,-0.3715455,-0.1094317,3.176421,-0.4683112,-0.2614989,3.139994,-0.5005664,-0.3121879,3.131788,0.117857,0.07906758,3.261725,0.2706812,-0.07186297,3.201356,0.3659498,-0.2163135,3.133404,0.41505,-0.2628036,3.100066,-0.1244485,-0.2457142,3.159522,-0.1203489,-0.6076279,3.172966,-0.1187016,-0.9008417,3.157018,-0.1177384,-0.9488848,3.123463,0.01859712,-0.2467615,3.179052,0.01176529,-0.6079476,3.170981,0.008398158,-0.8917736,3.14413,0.00684702,-0.9433386,3.098257,723,Point-at-the-camera,
38516690.763,-0.05110425,-0.1771888,3.182571,-0.05705314,-0.1267313,3.232249,-0.05317456,0.1729042,3.239478,-0.04340432,0.3398088,3.23421,-0.2107084,0.07122027,3.21865,-0.3240159,-0.1224894,3.18433,-0.4388586,-0.2604782,3.143106,-0.4664649,-0.308414,3.136369,0.1172968,0.07884192,3.261741,0.2472945,-0.09766122,3.207107,0.3299188,-0.2467746,3.131787,0.3782259,-0.3046323,3.130033,-0.1216751,-0.2494462,3.158593,-0.1199748,-0.6095333,3.173606,-0.1187579,-0.9021783,3.157777,-0.1177875,-0.9490718,3.12329,0.02033959,-0.2494912,3.177612,0.01128175,-0.6092735,3.17165,0.008366911,-0.8917609,3.144145,0.005788642,-0.9435013,3.098046,723,Point-at-the-camera,
38516721.7648,-0.05052027,-0.1791524,3.18242,-0.05628656,-0.1288715,3.232125,-0.05126287,0.1710172,3.239643,-0.04330647,0.3393192,3.233649,-0.20952,0.06865757,3.218821,-0.3237598,-0.123372,3.184146,-0.4025625,-0.2850726,3.145158,-0.4170461,-0.292379,3.138294,0.1147282,0.07327963,3.26151,0.2206575,-0.1140589,3.20799,0.3102293,-0.2597919,3.134257,0.3197087,-0.3080427,3.120667,-0.1211732,-0.2503792,3.158169,-0.1210499,-0.6135646,3.17462,-0.1187531,-0.9021898,3.15777,-0.1165877,-0.9488281,3.115459,0.02038977,-0.2515522,3.178028,0.01132458,-0.6118922,3.171535,0.008551681,-0.8921617,3.143927,0.00575115,-0.9434833,3.09802,723,Point-at-the-camera,
