Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38553696.677,-0.06521715,-0.1402856,3.177433,-0.06865602,-0.09428063,3.226305,-0.0709001,0.1849555,3.227487,-0.06053485,0.3420132,3.231431,-0.2324353,0.1242102,3.221389,-0.4573881,0.1850274,3.19348,-0.6259447,0.2221677,3.127292,-0.6454848,0.2285239,3.132974,0.1004955,0.1279597,3.242427,0.2831789,0.1981403,3.185579,0.4473572,0.2430818,3.11234,0.515696,0.2636306,3.08984,-0.1339208,-0.2137303,3.159808,-0.1329306,-0.5920597,3.168223,-0.1259429,-0.9040939,3.160624,-0.1222705,-0.9489764,3.117335,0.005018266,-0.2139196,3.167114,0.004570165,-0.6036406,3.167854,0.006239119,-0.8921312,3.144078,0.00279884,-0.9428317,3.092344,723,Draw-a-square,
38553729.6789,-0.06523331,-0.1406007,3.177538,-0.06869005,-0.0945653,3.226382,-0.07089205,0.1846756,3.227446,-0.06081632,0.3411347,3.231826,-0.2328063,0.1232739,3.221737,-0.459473,0.1757146,3.192129,-0.626727,0.2155185,3.123843,-0.656726,0.2121377,3.121031,0.100478,0.1272592,3.242935,0.2823286,0.1875958,3.18596,0.4484501,0.2241166,3.112362,0.4911472,0.2343122,3.078723,-0.1339548,-0.2140565,3.159854,-0.1328117,-0.592617,3.168029,-0.1251544,-0.9029781,3.159915,-0.1223856,-0.9484549,3.117656,0.005131684,-0.2145602,3.167415,0.004556058,-0.6036534,3.16786,0.006421901,-0.8919873,3.143924,0.002068401,-0.9423237,3.093797,723,Draw-a-square,
38553762.6808,-0.06427002,-0.1422914,3.177968,-0.06793706,-0.09610476,3.226785,-0.07022476,0.1836415,3.227807,-0.05971408,0.3405688,3.231396,-0.2319473,0.1202356,3.221398,-0.4600879,0.1619606,3.192321,-0.6260484,0.197368,3.117652,-0.6571267,0.2032668,3.122232,0.1005972,0.1247733,3.243655,0.2819838,0.1781299,3.189598,0.4592653,0.2011984,3.115962,0.5311162,0.2058091,3.095586,-0.1329843,-0.2158866,3.159867,-0.1328212,-0.5925544,3.168091,-0.1250152,-0.9028734,3.159729,-0.1246773,-0.9486295,3.120676,0.00638487,-0.216032,3.168314,0.004641629,-0.6037169,3.167859,0.006404021,-0.8923041,3.143864,0.002935193,-0.9429474,3.093889,723,Draw-a-square,
38553796.6828,-0.06457423,-0.1434257,3.178387,-0.06831913,-0.09702463,3.227199,-0.07038313,0.1833746,3.2282,-0.06048161,0.3403962,3.232095,-0.2326868,0.1177006,3.221913,-0.4642265,0.1433122,3.187274,-0.6303821,0.1782396,3.112845,-0.7040806,0.1657645,3.109213,0.1022358,0.1202639,3.244698,0.3148958,0.1483717,3.182496,0.4794399,0.1843405,3.104503,0.5525837,0.1917698,3.090536,-0.1336773,-0.2176969,3.159986,-0.1324095,-0.5929598,3.168153,-0.125492,-0.9011917,3.158144,-0.1246904,-0.9485339,3.120379,0.006441578,-0.2177971,3.169032,0.005460403,-0.6040409,3.168061,0.004799936,-0.8920782,3.143841,0.003152911,-0.9427289,3.093716,723,Draw-a-square,
38553829.6847,-0.06468493,-0.1443823,3.178547,-0.06874637,-0.09798782,3.227441,-0.07237443,0.1833384,3.229982,-0.06104787,0.3420955,3.235347,-0.2329528,0.1141388,3.22176,-0.4626785,0.1217409,3.181007,-0.6298325,0.1417463,3.102798,-0.6526061,0.1296241,3.11074,0.1028508,0.1180835,3.246017,0.3136315,0.1373306,3.183559,0.4784857,0.1515685,3.098469,0.5526683,0.1495494,3.088783,-0.1336925,-0.2186401,3.159521,-0.1329226,-0.5955057,3.168412,-0.1246543,-0.9029597,3.159336,-0.1243293,-0.9508921,3.120107,0.00695246,-0.2193906,3.169513,0.005565091,-0.6044859,3.168242,0.004425887,-0.8925923,3.143711,0.003087515,-0.942863,3.093875,723,Draw-a-square,
38553861.6865,-0.06423125,-0.1460268,3.179598,-0.06825745,-0.09950078,3.228596,-0.07108348,0.182876,3.23195,-0.06055059,0.34139,3.234836,-0.2332367,0.1098799,3.222491,-0.461793,0.1041248,3.177914,-0.6314469,0.08599762,3.105785,-0.7046556,0.07423233,3.095578,0.1042287,0.1139906,3.247166,0.2936114,0.1158562,3.191798,0.4791335,0.125924,3.095848,0.5530187,0.1143298,3.092905,-0.1336749,-0.2201867,3.159816,-0.1326213,-0.5955609,3.168973,-0.1245894,-0.9030107,3.159598,-0.1257983,-0.9519963,3.122885,0.007854147,-0.221828,3.171127,0.005577505,-0.6042814,3.168472,0.004184423,-0.8923782,3.143668,0.003639209,-0.9423909,3.095017,723,Draw-a-square,
38553897.6885,-0.06413127,-0.1484129,3.180165,-0.06855143,-0.1014814,3.228902,-0.07273774,0.1807704,3.230424,-0.06082651,0.341133,3.234699,-0.2345539,0.105975,3.2226,-0.4535064,0.07587114,3.17951,-0.624657,0.05999361,3.111087,-0.6973275,0.05048768,3.095868,0.1040436,0.1103424,3.248204,0.307532,0.09488623,3.181744,0.4703775,0.07620499,3.09324,0.5435565,0.0628202,3.084952,-0.1335987,-0.2226752,3.160277,-0.1325152,-0.5972796,3.16958,-0.1237929,-0.903044,3.159768,-0.1260657,-0.9526377,3.123146,0.009124674,-0.2255465,3.172837,0.005821725,-0.6048094,3.168596,0.003274689,-0.8934199,3.144679,0.004679754,-0.9428304,3.094043,723,Draw-a-square,
38553929.6904,-0.06486872,-0.1522603,3.181395,-0.06926028,-0.1046529,3.23021,-0.07306021,0.1799983,3.231637,-0.06119892,0.3409597,3.233988,-0.2343632,0.1034131,3.223991,-0.4518486,0.06030057,3.179675,-0.6114467,0.006182842,3.101918,-0.6390069,0.005509506,3.108252,0.1041775,0.1052342,3.249192,0.2918111,0.07696368,3.185502,0.4688996,0.04445854,3.093943,0.5354365,0.02775216,3.081686,-0.1345838,-0.2269707,3.161207,-0.1326005,-0.5983394,3.169948,-0.1230884,-0.9039806,3.159917,-0.1260743,-0.9521949,3.127951,0.008607278,-0.2282589,3.173783,0.00592896,-0.606253,3.169143,0.00523839,-0.893798,3.145185,0.005904051,-0.9434861,3.095352,723,Draw-a-square,
38553961.6922,-0.06436565,-0.1545847,3.182659,-0.06875884,-0.1069297,3.231451,-0.07082199,0.1781575,3.232838,-0.06027609,0.3405186,3.233799,-0.2340402,0.09831008,3.22465,-0.4411818,0.02402428,3.177455,-0.6030329,-0.02458963,3.10091,-0.6387221,-0.0442469,3.111145,0.1039512,0.1018022,3.252027,0.3076153,0.04076546,3.182659,0.4670837,-0.01573278,3.09953,0.5331838,-0.03695462,3.08644,-0.1345203,-0.2289076,3.161906,-0.1326288,-0.5983374,3.169956,-0.1231118,-0.9034197,3.159954,-0.08578999,-0.9452485,3.152245,0.008833636,-0.2307477,3.175729,0.006511745,-0.6063358,3.169371,0.005303307,-0.8936682,3.145131,0.005905657,-0.9434471,3.095508,723,Draw-a-square,
38553996.6942,-0.0641802,-0.1578536,3.183191,-0.06871539,-0.1097494,3.231875,-0.06980846,0.1768602,3.232837,-0.06058632,0.3401954,3.233139,-0.232058,0.09295619,3.223561,-0.4335247,-0.01337041,3.175561,-0.5912888,-0.07946008,3.104652,-0.6056439,-0.06659397,3.096051,0.1041435,0.0990353,3.253727,0.2871551,0.01914956,3.184412,0.4358179,-0.05291286,3.098734,0.4961207,-0.08631647,3.074757,-0.1345667,-0.2322999,3.162139,-0.1303363,-0.6008919,3.170474,-0.1233131,-0.9039457,3.160783,-0.1198853,-0.9514911,3.130288,0.008664981,-0.2332124,3.17679,0.00665052,-0.6070542,3.169698,0.005294624,-0.8938991,3.145169,0.005597487,-0.9432575,3.095587,723,Draw-a-square,
