Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38593245.9391,-0.0543844,-0.1436601,3.179839,-0.05898618,-0.0997934,3.229363,-0.05678617,0.1737133,3.233727,-0.04842279,0.3314506,3.222664,-0.2246612,0.1140594,3.219588,-0.4402927,0.1927477,3.191355,-0.6058477,0.2314682,3.120108,-0.650135,0.2440738,3.127348,0.1133215,0.1248163,3.253979,0.290868,0.2133995,3.192066,0.4429762,0.2785804,3.109154,0.5140783,0.3054858,3.086096,-0.123811,-0.2182333,3.156359,-0.124925,-0.5993167,3.171855,-0.1190858,-0.9023718,3.159722,-0.1236048,-0.9532869,3.120531,0.01661399,-0.2186182,3.171226,0.005603037,-0.6023068,3.168641,0.007781632,-0.8922253,3.14699,0.007217715,-0.9429678,3.094832,723,Draw-the-letter-K,
38593272.9407,-0.05442791,-0.1435864,3.179733,-0.05900558,-0.09968977,3.229232,-0.05678524,0.1738452,3.2336,-0.04857752,0.3316325,3.222548,-0.2251387,0.1140361,3.219497,-0.4406494,0.1831186,3.191423,-0.6060377,0.2269645,3.123351,-0.6505803,0.2412796,3.12642,0.113038,0.1247101,3.253785,0.3119441,0.2087005,3.184482,0.4614345,0.2785652,3.10047,0.5186836,0.2990885,3.08524,-0.1238566,-0.2181862,3.15635,-0.1246816,-0.5990528,3.17174,-0.1191628,-0.902243,3.15966,-0.1229564,-0.9526687,3.12088,0.01653641,-0.218569,3.171059,0.005938335,-0.6019995,3.168656,0.007767038,-0.8907139,3.146432,0.008109838,-0.9426668,3.094873,723,Draw-the-letter-K,
38593304.9425,-0.05471465,-0.1436262,3.179243,-0.05925166,-0.09949221,3.228573,-0.05712491,0.1740682,3.231641,-0.04898691,0.3320063,3.222451,-0.2252974,0.1140126,3.219603,-0.4405266,0.1759504,3.191599,-0.6087466,0.2089449,3.124516,-0.6813587,0.2216041,3.1121,0.1132456,0.1245488,3.253428,0.3139015,0.2052966,3.183495,0.4657686,0.2721462,3.101616,0.5381825,0.2861707,3.089513,-0.1242362,-0.2183263,3.156384,-0.1247042,-0.5991181,3.171765,-0.1192284,-0.902181,3.159468,-0.1244018,-0.9537894,3.121447,0.01625753,-0.2187788,3.170198,0.006305937,-0.6019344,3.168633,0.007724219,-0.8921076,3.147179,0.009316079,-0.944158,3.098274,723,Draw-the-letter-K,
38593340.9446,-0.05467832,-0.143928,3.178977,-0.05915582,-0.09964772,3.228231,-0.05695645,0.1740786,3.230724,-0.0490956,0.3322272,3.222607,-0.225535,0.1138532,3.219593,-0.4389904,0.1633815,3.190499,-0.6070196,0.1930302,3.120985,-0.6801682,0.2058212,3.112454,0.1133669,0.1238215,3.253043,0.3291391,0.1941998,3.181854,0.4809148,0.239933,3.08451,0.5544181,0.2533215,3.082249,-0.1243452,-0.2187183,3.156284,-0.1247023,-0.599282,3.17179,-0.1191455,-0.9022337,3.159319,-0.1236244,-0.9541421,3.118194,0.01639279,-0.2192776,3.170033,0.006602596,-0.6023103,3.169265,0.00751595,-0.8924427,3.147356,0.008133375,-0.944319,3.098211,723,Draw-the-letter-K,
38593372.9464,-0.05457091,-0.1439296,3.178746,-0.05896239,-0.09968139,3.227986,-0.05680156,0.1739171,3.230579,-0.04901212,0.3322925,3.222572,-0.2265148,0.11189,3.219938,-0.4532838,0.13748,3.185558,-0.6153747,0.1827505,3.109563,-0.6895252,0.1809149,3.100309,0.1142841,0.1203975,3.252768,0.2950676,0.1620071,3.192357,0.4497331,0.2122005,3.103074,0.5227614,0.227708,3.099374,-0.1243802,-0.2191135,3.155676,-0.124699,-0.5992917,3.171783,-0.1193317,-0.9018191,3.158955,-0.1236461,-0.954322,3.119009,0.01656316,-0.2193242,3.169943,0.006616263,-0.6020625,3.169159,0.006229682,-0.891317,3.14711,0.008099166,-0.9438467,3.098396,723,Draw-the-letter-K,
38593404.9482,-0.05505065,-0.1447141,3.177654,-0.0594709,-0.1002155,3.226766,-0.05815661,0.173846,3.228558,-0.04947696,0.3327343,3.222505,-0.2275438,0.1104239,3.219895,-0.45593,0.1216829,3.179155,-0.6214782,0.1388734,3.098481,-0.6751135,0.1281294,3.090714,0.1148708,0.1172932,3.251989,0.3409706,0.1501933,3.173451,0.5083982,0.177348,3.101025,0.5818977,0.1869059,3.091334,-0.1251311,-0.220014,3.154922,-0.1246883,-0.5995191,3.172136,-0.119398,-0.9016676,3.158811,-0.1246704,-0.9543512,3.119651,0.01659291,-0.2209108,3.168793,0.006860058,-0.6022822,3.169175,0.006019879,-0.8912529,3.146977,0.007631175,-0.9429041,3.09864,723,Draw-the-letter-K,
38593440.9503,-0.05504089,-0.1456567,3.17695,-0.05941826,-0.1008136,3.226213,-0.05837353,0.1741338,3.228373,-0.04958084,0.3338265,3.222567,-0.2277381,0.1088448,3.220526,-0.4540567,0.1035509,3.176699,-0.6211092,0.0737566,3.104473,-0.6575852,0.075155,3.114897,0.1146039,0.1155776,3.251883,0.3234026,0.1182009,3.189048,0.4973418,0.1328163,3.08971,0.5707019,0.1469736,3.087299,-0.1251728,-0.2207785,3.154567,-0.1248239,-0.5996268,3.172147,-0.1193884,-0.9015782,3.158953,-0.1253226,-0.9539402,3.122309,0.01683357,-0.2219586,3.167971,0.006990469,-0.6025817,3.169567,0.006228813,-0.8910316,3.146801,0.008646797,-0.9425853,3.099197,723,Draw-the-letter-K,
38593472.9521,-0.05501394,-0.1464806,3.176163,-0.05944613,-0.1015849,3.225381,-0.0590086,0.1736615,3.227576,-0.05056217,0.334389,3.223089,-0.2276967,0.105171,3.220841,-0.4386407,0.05501934,3.182504,-0.6012176,0.03011473,3.097254,-0.6252217,0.03113086,3.09091,0.1146407,0.10862,3.251174,0.3246163,0.1058395,3.184268,0.4936798,0.09683765,3.092073,0.5668353,0.08472496,3.082602,-0.1250881,-0.2219007,3.152722,-0.1250762,-0.6010765,3.172603,-0.1188465,-0.9016016,3.159165,-0.1245546,-0.9538466,3.122118,0.01710512,-0.2229601,3.167949,0.007276079,-0.6025431,3.169457,0.005816019,-0.8914322,3.14689,0.009539688,-0.9416572,3.097443,723,Draw-the-letter-K,
38593504.9539,-0.05516497,-0.1488076,3.174628,-0.05965654,-0.1034784,3.223737,-0.06018887,0.1729484,3.225344,-0.0506138,0.3345737,3.223071,-0.2289317,0.0999643,3.221965,-0.4350314,0.02849206,3.173494,-0.5949814,-0.01128472,3.089028,-0.6229674,-0.02602484,3.086531,0.1132001,0.1023702,3.251283,0.3157619,0.06175476,3.183303,0.4783323,0.03906193,3.08588,0.5467277,0.02430996,3.076286,-0.1252389,-0.2247348,3.151541,-0.1246278,-0.6025012,3.172096,-0.1196822,-0.9000541,3.158183,-0.1245085,-0.953541,3.122163,0.0173485,-0.2246338,3.16707,0.007106819,-0.6036206,3.168676,0.005668751,-0.8915928,3.146607,0.008406426,-0.9418153,3.096503,723,Draw-the-letter-K,
38593540.956,-0.05467726,-0.1532102,3.174223,-0.05915892,-0.106949,3.223492,-0.05989097,0.172458,3.225642,-0.05105112,0.335852,3.2242,-0.227442,0.09128182,3.221325,-0.4282265,-0.02191448,3.172796,-0.5834165,-0.08008812,3.090433,-0.5766696,-0.06909442,3.09515,0.1152193,0.09658789,3.251182,0.3153545,0.03809224,3.180237,0.466217,-0.02077943,3.089556,0.52755,-0.04342951,3.077463,-0.1254176,-0.229459,3.150793,-0.124574,-0.6035278,3.172325,-0.1197046,-0.9001161,3.158185,-0.1250053,-0.9532859,3.126111,0.01839262,-0.2296222,3.166971,0.006207969,-0.604434,3.168379,0.006399514,-0.8919848,3.146055,0.007158556,-0.9421307,3.095666,723,Draw-the-letter-K,
