Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38734861.0347,-0.06447148,-0.1610799,3.193766,-0.07064183,-0.1118764,3.242449,-0.06710646,0.1762161,3.24337,-0.0568479,0.3370017,3.240747,-0.226418,0.08233923,3.22558,-0.4311271,-0.02070068,3.19465,-0.5770289,-0.1109606,3.135745,-0.6354655,-0.1559883,3.124857,0.11059,0.09162639,3.273421,0.282694,-0.001459374,3.221188,0.4330785,-0.08708736,3.164697,0.4895997,-0.1218444,3.130665,-0.135852,-0.2335102,3.169121,-0.1142767,-0.6111482,3.18008,-0.1110457,-0.9050857,3.155349,-0.07723938,-0.9552968,3.108114,0.007589654,-0.2387312,3.19043,-0.0344507,-0.6088257,3.181005,-0.02920931,-0.9007987,3.161978,-0.02196914,-0.9510235,3.12901,723,Make-the-letter-X,
38734893.0366,-0.0640642,-0.1639665,3.194038,-0.07025425,-0.1143959,3.242722,-0.06629933,0.1758371,3.243765,-0.05520524,0.3356467,3.241921,-0.225622,0.07900736,3.224531,-0.4256718,-0.05275422,3.189998,-0.5798113,-0.1281784,3.131234,-0.6311911,-0.1533197,3.115582,0.1094083,0.09027962,3.273493,0.2698724,-0.0169906,3.221045,0.4264629,-0.1115645,3.170524,0.4822298,-0.142284,3.131696,-0.1353278,-0.2364401,3.169731,-0.1146284,-0.6121268,3.18036,-0.1110151,-0.9050798,3.15515,-0.07537132,-0.9535452,3.107444,0.007579149,-0.2402454,3.190608,-0.03469084,-0.6093011,3.181463,-0.02963674,-0.9005206,3.162016,-0.02192284,-0.9512507,3.128859,723,Make-the-letter-X,
38734924.0383,-0.06334422,-0.1686747,3.193151,-0.06919811,-0.1181898,3.242087,-0.0649318,0.1756856,3.243975,-0.05554527,0.3358762,3.242537,-0.2230985,0.074157,3.223858,-0.4181221,-0.0556777,3.191144,-0.5537875,-0.1615418,3.134163,-0.5714316,-0.1691367,3.129751,0.1064829,0.08476514,3.270562,0.2670724,-0.02294354,3.219756,0.422496,-0.1353343,3.168064,0.4753048,-0.1658129,3.13806,-0.1345475,-0.2396443,3.169816,-0.1144353,-0.6122105,3.180387,-0.111244,-0.9053207,3.154797,-0.07501648,-0.9536086,3.107351,0.007514856,-0.2430815,3.189442,-0.03375072,-0.6105459,3.182213,-0.02948316,-0.8997446,3.162042,-0.02164461,-0.9509889,3.129033,723,Make-the-letter-X,
38734960.0404,-0.06321206,-0.171694,3.193394,-0.06913216,-0.1210493,3.24225,-0.06478174,0.1749359,3.244002,-0.05524334,0.3343893,3.242327,-0.2225065,0.06748486,3.222042,-0.4193625,-0.0708178,3.191149,-0.5538101,-0.1839895,3.151607,-0.561709,-0.1729163,3.134873,0.1070027,0.08239421,3.269811,0.2650016,-0.02655035,3.219536,0.3950437,-0.1445892,3.179284,0.4533871,-0.1732791,3.142757,-0.1345798,-0.2437723,3.170217,-0.115219,-0.6137216,3.18061,-0.109973,-0.9062688,3.155705,-0.08691379,-0.9552169,3.107501,0.008017778,-0.2464713,3.189837,-0.03433425,-0.6111655,3.182686,-0.03007283,-0.8989096,3.162361,-0.02202398,-0.9505818,3.126704,723,Make-the-letter-X,
38734993.0423,-0.06335264,-0.1730178,3.193291,-0.06922635,-0.1223215,3.242056,-0.06496337,0.1744236,3.243561,-0.0560415,0.3348797,3.241286,-0.2223611,0.06724238,3.222136,-0.4177604,-0.07314062,3.191763,-0.5543665,-0.1835183,3.151511,-0.5588433,-0.178151,3.136867,0.105346,0.08225028,3.2689,0.257094,-0.03041626,3.220178,0.3867909,-0.1492459,3.181692,0.446059,-0.1771466,3.146051,-0.1344598,-0.2445791,3.170638,-0.1153788,-0.6141198,3.180741,-0.1099987,-0.9062674,3.155691,-0.07991092,-0.9556276,3.108406,0.00781595,-0.2472559,3.189604,-0.03377939,-0.6114036,3.182528,-0.03014772,-0.8985905,3.162456,-0.02236657,-0.9493175,3.129334,723,Make-the-letter-X,
38735024.0441,-0.06335466,-0.174135,3.193473,-0.06919953,-0.1232852,3.24227,-0.06489098,0.1742945,3.243838,-0.05589922,0.3350506,3.241346,-0.2221262,0.06697226,3.222171,-0.4168798,-0.07434616,3.192602,-0.5528054,-0.1848767,3.149792,-0.5565625,-0.1802655,3.136867,0.1047505,0.08178513,3.26858,0.2560207,-0.03315907,3.221615,0.3859007,-0.1512148,3.180688,0.4308494,-0.1700358,3.149456,-0.1343085,-0.245258,3.17087,-0.1156186,-0.6144938,3.180884,-0.1100208,-0.9065822,3.155446,-0.07666852,-0.9555141,3.10707,0.007672939,-0.2481498,3.189704,-0.03348919,-0.6116482,3.182444,-0.03079293,-0.8982319,3.162396,-0.02171921,-0.949599,3.128709,723,Make-the-letter-X,
38735060.0461,-0.06317396,-0.1753984,3.193786,-0.06893644,-0.1246146,3.242485,-0.06433617,0.1727738,3.243471,-0.05566572,0.3347186,3.241422,-0.2222561,0.06590307,3.221921,-0.4161136,-0.07670392,3.193851,-0.5514184,-0.1876054,3.149673,-0.5544045,-0.1830691,3.138682,0.104739,0.07923184,3.267723,0.2559202,-0.03427991,3.221402,0.3861333,-0.1521277,3.181121,0.429687,-0.1706467,3.151363,-0.1341869,-0.2471924,3.171515,-0.1147396,-0.6157389,3.181475,-0.1100395,-0.9065917,3.155501,-0.1067732,-0.9625568,3.121829,0.007898695,-0.2493906,3.190107,-0.03367476,-0.6117992,3.182525,-0.03079822,-0.8986306,3.162283,-0.02255039,-0.9511248,3.125911,723,Make-the-letter-X,
38735093.048,-0.06339041,-0.1764185,3.194044,-0.06914281,-0.125361,3.242652,-0.06431983,0.1727601,3.243461,-0.05549496,0.3348056,3.24152,-0.2215999,0.06536106,3.2218,-0.4152843,-0.07751431,3.194705,-0.5513636,-0.1875539,3.150827,-0.5539176,-0.1847142,3.140136,0.1037263,0.07909746,3.26781,0.2572253,-0.03920044,3.22064,0.3892848,-0.1552925,3.181671,0.4308749,-0.1717746,3.154513,-0.1342014,-0.247776,3.172081,-0.1146079,-0.6154511,3.181369,-0.1101208,-0.9066935,3.155316,-0.09992245,-0.9610971,3.115735,0.007514118,-0.249912,3.190278,-0.03348947,-0.6121004,3.182351,-0.03125025,-0.8985059,3.162157,-0.02051808,-0.9519167,3.125586,723,Make-the-letter-X,
38735124.0498,-0.06313872,-0.176948,3.194349,-0.06890051,-0.1257926,3.242906,-0.0637697,0.1727067,3.24356,-0.05427463,0.3348926,3.240797,-0.2214413,0.06514852,3.221716,-0.4149772,-0.07795027,3.195398,-0.5514797,-0.1872255,3.150707,-0.5540496,-0.1864051,3.132131,0.1033401,0.07888709,3.26794,0.2561933,-0.03903746,3.220959,0.3881553,-0.1549792,3.180888,0.4296333,-0.1723373,3.145594,-0.1339399,-0.2480615,3.172328,-0.1147298,-0.6155061,3.181361,-0.1108589,-0.9075313,3.155224,-0.09722862,-0.9598151,3.114898,0.007605915,-0.2505102,3.19083,-0.03461419,-0.6123076,3.182511,-0.03133231,-0.8985074,3.162242,-0.0207801,-0.9519971,3.125637,723,Make-the-letter-X,
38735160.0518,-0.06281532,-0.1772083,3.19478,-0.06859924,-0.1260231,3.243292,-0.06347897,0.172627,3.243753,-0.0540361,0.3346178,3.241798,-0.2212591,0.06515762,3.221865,-0.4147649,-0.07798712,3.195587,-0.551793,-0.1867034,3.151221,-0.5554527,-0.1859063,3.132037,0.103558,0.07921572,3.268193,0.2614746,-0.04471642,3.219537,0.4002573,-0.1515957,3.17655,0.4359248,-0.1748827,3.14157,-0.1335683,-0.2483509,3.172847,-0.114581,-0.6152938,3.181283,-0.1108923,-0.9073837,3.155323,-0.08301633,-0.9578301,3.108585,0.007961048,-0.2508911,3.191375,-0.0341633,-0.6124637,3.182603,-0.03174258,-0.898588,3.162381,-0.02169987,-0.9523057,3.125557,723,Make-the-letter-X,
