Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38787517.2348,-0.0291181,-0.1342034,3.194608,-0.02858826,-0.09049496,3.243497,-0.0206354,0.1808603,3.24606,-0.02545358,0.3308891,3.227554,-0.1998171,0.1239286,3.245265,-0.4163834,0.2295811,3.250126,-0.5785121,0.3034793,3.218289,-0.6297527,0.3285434,3.218004,0.1438473,0.1365505,3.254658,0.3604727,0.2361957,3.206181,0.5155442,0.3105023,3.143601,0.5859803,0.3339828,3.138725,-0.1020124,-0.2095662,3.175564,-0.09640317,-0.598961,3.177726,-0.08960865,-0.9088672,3.158259,-0.09423541,-0.9568914,3.128616,0.03985699,-0.2104557,3.18314,0.0218889,-0.5940197,3.168764,0.02937753,-0.8890457,3.15178,0.02336332,-0.9363768,3.114778,723,Fly-like-a-bird,
38787548.2366,-0.02973461,-0.1344384,3.195392,-0.02895718,-0.09072924,3.244185,-0.02085065,0.1801312,3.246392,-0.02545494,0.3309098,3.227617,-0.1997988,0.124033,3.246903,-0.4220969,0.2173978,3.250519,-0.5844269,0.2911966,3.219958,-0.6356624,0.3104298,3.217958,0.1436215,0.1361376,3.255016,0.3584534,0.2278279,3.206166,0.5173951,0.2939731,3.144261,0.5694373,0.3078535,3.133148,-0.1027754,-0.2096772,3.176856,-0.09651042,-0.5986634,3.177871,-0.08937669,-0.908822,3.158315,-0.09056788,-0.9564251,3.127671,0.03898539,-0.2107544,3.183866,0.02229738,-0.5944367,3.169189,0.02934801,-0.8892353,3.151471,0.02419733,-0.9360897,3.115036,723,Fly-like-a-bird,
38787583.2386,-0.03023744,-0.1340716,3.196527,-0.0293049,-0.09063441,3.245388,-0.02150338,0.179241,3.248246,-0.0260016,0.3306552,3.228271,-0.2013489,0.1237062,3.250189,-0.4265862,0.2107487,3.250346,-0.5976478,0.2595068,3.215949,-0.6655454,0.2882746,3.225883,0.1438708,0.1342224,3.256701,0.3579989,0.2139075,3.204235,0.5221857,0.254394,3.132833,0.5894885,0.2853572,3.125907,-0.1032544,-0.2095474,3.17766,-0.09575316,-0.5986288,3.178342,-0.08870202,-0.9089005,3.158016,-0.08767752,-0.9558513,3.126374,0.0386026,-0.210654,3.18465,0.02222228,-0.5944788,3.169251,0.02935376,-0.8898329,3.151319,0.02299401,-0.9380202,3.112788,723,Fly-like-a-bird,
38787616.2405,-0.03032797,-0.136415,3.197411,-0.02948198,-0.09230136,3.246331,-0.02022094,0.1796945,3.25034,-0.02574139,0.3309414,3.227782,-0.199905,0.1189635,3.24967,-0.4372195,0.1683725,3.23615,-0.6103779,0.2138266,3.214286,-0.6634774,0.2277948,3.21114,0.1438982,0.1309986,3.258849,0.3564753,0.1908066,3.202682,0.5191104,0.2366718,3.130918,0.5897605,0.2474352,3.110206,-0.1035175,-0.2113848,3.178291,-0.09576625,-0.5987521,3.178266,-0.08905388,-0.9113363,3.157741,-0.08701407,-0.9552855,3.122091,0.03813845,-0.2127662,3.185436,0.02203959,-0.5955834,3.169139,0.03066881,-0.8901705,3.151449,0.01911936,-0.9403946,3.110625,723,Fly-like-a-bird,
38787648.2423,-0.03075735,-0.1379426,3.198059,-0.0298083,-0.09358568,3.246914,-0.02013949,0.1790849,3.250363,-0.02431699,0.3310696,3.227733,-0.2000424,0.1164586,3.250389,-0.4415528,0.1379762,3.235187,-0.6194497,0.1567637,3.211076,-0.6731211,0.1685096,3.22063,0.1438466,0.1276129,3.259436,0.3569618,0.1543722,3.19717,0.5274338,0.1771832,3.134679,0.5999658,0.1852077,3.120141,-0.1043857,-0.2131478,3.179167,-0.09728724,-0.6017967,3.179018,-0.08878727,-0.9116033,3.15842,-0.0896464,-0.9574448,3.125186,0.03772556,-0.2146025,3.186368,0.02204332,-0.5958962,3.169289,0.0306176,-0.8904886,3.151543,0.01898457,-0.9402814,3.110641,723,Fly-like-a-bird,
38787683.2443,-0.03221747,-0.1401885,3.199127,-0.03177977,-0.09579569,3.248112,-0.02325372,0.1776626,3.252048,-0.02466019,0.3311783,3.228893,-0.2008444,0.1116422,3.253814,-0.4333587,0.08915064,3.229432,-0.6125013,0.08377548,3.21202,-0.6863941,0.08276919,3.203314,0.1450702,0.1200097,3.264472,0.348932,0.1134397,3.19088,0.5378014,0.1259706,3.107144,0.60299,0.1262185,3.099741,-0.10598,-0.2156112,3.180404,-0.0977843,-0.602613,3.178451,-0.08949728,-0.9115587,3.159054,-0.09195112,-0.958515,3.127496,0.03693496,-0.2172664,3.187098,0.02194433,-0.5958429,3.169153,0.02979877,-0.8903986,3.15154,0.02047237,-0.9399167,3.110921,723,Fly-like-a-bird,
38787715.2461,-0.03273522,-0.1437687,3.200391,-0.03220699,-0.09850475,3.249276,-0.02318825,0.1771755,3.25236,-0.0246288,0.3310523,3.228634,-0.1988307,0.1033131,3.256222,-0.425557,0.05411176,3.233454,-0.5988164,0.01029075,3.207044,-0.6717022,-0.002004419,3.198442,0.1487268,0.1128104,3.267492,0.3528172,0.08305006,3.189988,0.5158876,0.06054949,3.107108,0.5890801,0.04943164,3.099574,-0.1070886,-0.2187033,3.18162,-0.09893713,-0.6067713,3.178393,-0.08973117,-0.9130042,3.159304,-0.09031598,-0.9583406,3.125375,0.03680518,-0.2230335,3.188969,0.02102152,-0.5967946,3.169057,0.03005649,-0.8907508,3.151528,0.0193795,-0.9405593,3.111397,723,Fly-like-a-bird,
38787747.248,-0.03217516,-0.1529201,3.201213,-0.03174442,-0.1059347,3.250431,-0.02263984,0.1755634,3.253798,-0.02374164,0.3309615,3.230574,-0.1954529,0.09727609,3.257035,-0.4165019,-0.00236883,3.225898,-0.5790217,-0.07808928,3.21137,-0.5886715,-0.06564869,3.194616,0.1479473,0.1038423,3.268357,0.3408748,0.03634932,3.191271,0.4987976,-0.006552428,3.106184,0.5683053,-0.0314528,3.096886,-0.1063684,-0.226362,3.182382,-0.09928862,-0.6071809,3.178258,-0.0900112,-0.9110072,3.158004,-0.0901081,-0.9555744,3.123064,0.03708024,-0.2292275,3.189536,0.02278928,-0.6000378,3.168837,0.02983336,-0.8920054,3.15145,0.01590964,-0.9436991,3.116171,723,Fly-like-a-bird,
38787783.25,-0.02927725,-0.1619886,3.200474,-0.03026929,-0.1135761,3.250273,-0.02312184,0.1740389,3.255204,-0.02482037,0.3313942,3.232242,-0.1886403,0.07912643,3.24949,-0.3691962,-0.03211105,3.232863,-0.5197037,-0.1287006,3.20797,-0.5474839,-0.1421052,3.211826,0.1455605,0.09921078,3.267286,0.3327503,0.002723431,3.19516,0.4736412,-0.07273488,3.097674,0.5377824,-0.1140035,3.089284,-0.1014857,-0.2357496,3.179365,-0.09878623,-0.608634,3.177969,-0.09023628,-0.9124169,3.157539,-0.0906978,-0.9579182,3.123826,0.03983948,-0.2352248,3.190529,0.02081507,-0.6034836,3.169146,0.02597073,-0.8932495,3.151712,0.01822567,-0.9434878,3.113998,723,Fly-like-a-bird,
38787815.2519,-0.02894452,-0.1680828,3.20082,-0.03000355,-0.1186621,3.250986,-0.02360573,0.1736302,3.257576,-0.0250044,0.3304654,3.232445,-0.1873257,0.07597674,3.249217,-0.3719009,-0.0808342,3.240188,-0.5162221,-0.1848515,3.205913,-0.5185421,-0.1817984,3.20089,0.1445518,0.08838467,3.265045,0.2920031,-0.01917446,3.202759,0.4419642,-0.1117005,3.126534,0.5027573,-0.1470342,3.104208,-0.1007934,-0.2397703,3.17872,-0.09848361,-0.6098687,3.177889,-0.0911379,-0.9097396,3.156786,-0.09151778,-0.9561717,3.124367,0.04035853,-0.2425573,3.192013,0.01898388,-0.606308,3.169213,0.02578065,-0.8930049,3.151779,0.02082479,-0.9415665,3.116132,723,Fly-like-a-bird,
